Date,Close,Open,Low,High,Volume
2025-01-15 08:55:00,88.16,88.02,88.02,88.16,492.0
2025-01-15 09:00:00,88.26,88.16,88.16,88.26,2510.0
2025-01-15 09:05:00,88.32,88.26,88.22,88.64,1436.0
2025-01-15 09:10:00,88.48,88.36,88.32,88.48,629.0
2025-01-15 09:15:00,88.62,88.52,88.5,88.88,2013.0
2025-01-15 09:20:00,88.6,88.5,88.5,88.66,1041.0
2025-01-15 09:25:00,88.56,88.6,88.3,88.62,807.0
2025-01-15 09:30:00,88.54,88.5,88.46,88.62,707.0
2025-01-15 09:35:00,88.7,88.4,88.38,88.74,682.0
2025-01-15 09:40:00,88.8,88.64,88.64,88.92,1025.0
2025-01-15 09:45:00,88.66,88.9,88.66,88.9,1240.0
2025-01-15 09:50:00,88.72,88.68,88.68,88.8,1395.0
2025-01-15 09:55:00,88.86,88.76,88.7,88.86,565.0
2025-01-15 10:00:00,88.9,88.88,88.82,89.02,2974.0
2025-01-15 10:05:00,88.94,88.86,88.84,88.94,1474.0
2025-01-15 10:10:00,88.98,88.96,88.94,89.0,1785.0
2025-01-15 10:15:00,88.88,88.9,88.82,88.9,760.0
2025-01-15 10:20:00,88.92,88.82,88.78,88.92,6359.0
2025-01-15 10:25:00,88.88,88.9,88.84,88.9,1074.0
2025-01-15 10:30:00,88.86,88.84,88.84,88.92,1522.0
2025-01-15 10:35:00,88.88,88.9,88.88,88.9,1029.0
2025-01-15 10:40:00,88.88,88.86,88.86,88.98,5840.0
2025-01-15 10:45:00,88.78,88.88,88.42,88.88,11658.0
2025-01-15 10:50:00,88.9,88.8,88.8,88.9,1819.0
2025-01-15 10:55:00,88.94,88.92,88.88,88.96,496.0
2025-01-15 11:00:00,88.94,88.9,88.9,89.02,2420.0
2025-01-15 11:05:00,88.92,88.96,88.9,88.98,3274.0
2025-01-15 11:10:00,88.98,88.92,88.9,89.0,987.0
2025-01-15 11:15:00,89.0,88.9,88.9,89.02,5150.0
2025-01-15 11:20:00,89.0,89.0,89.0,89.02,6613.0
2025-01-15 11:25:00,89.26,89.04,89.04,89.36,3876.0
2025-01-15 11:30:00,89.38,89.38,89.28,89.38,1353.0
2025-01-15 11:35:00,89.38,89.4,89.32,89.44,3187.0
2025-01-15 11:40:00,89.36,89.36,89.3,89.36,2095.0
2025-01-15 11:45:00,89.4,89.3,89.3,89.4,2187.0
2025-01-15 11:50:00,89.34,89.42,89.34,89.44,1619.0
2025-01-15 11:55:00,89.3,89.34,89.3,89.34,2276.0
2025-01-15 12:00:00,89.3,89.3,89.3,89.3,116.0
2025-01-15 12:05:00,89.4,89.36,89.32,89.42,2552.0
2025-01-15 12:10:00,89.3,89.4,89.3,89.4,3139.0
2025-01-15 12:15:00,89.1,89.3,89.1,89.34,5335.0
2025-01-15 12:20:00,89.1,89.1,89.1,89.12,3931.0
2025-01-15 12:25:00,89.04,89.1,89.04,89.1,6221.0
2025-01-15 12:30:00,89.1,89.1,89.1,89.22,3289.0
2025-01-15 12:35:00,89.18,89.14,89.1,89.18,2551.0
2025-01-15 12:40:00,89.22,89.2,89.2,89.22,352.0
2025-01-15 12:45:00,89.24,89.22,89.18,89.26,2876.0
2025-01-15 12:50:00,89.34,89.26,89.26,89.48,5848.0
2025-01-15 12:55:00,89.44,89.36,89.34,89.44,1861.0
2025-01-15 13:00:00,89.5,89.42,89.4,89.54,3126.0
2025-01-15 13:05:00,89.68,89.46,89.46,89.68,2323.0
2025-01-15 13:10:00,89.74,89.7,89.7,89.82,6608.0
2025-01-15 13:15:00,89.72,89.78,89.72,89.78,590.0
2025-01-15 13:20:00,89.7,89.78,89.7,89.8,2619.0
2025-01-15 13:25:00,89.62,89.74,89.62,89.74,561.0
2025-01-15 13:30:00,89.54,89.62,89.54,89.62,909.0
2025-01-15 13:35:00,89.48,89.56,89.48,89.56,938.0
2025-01-15 13:40:00,89.52,89.46,89.44,89.52,2180.0
2025-01-15 13:45:00,89.42,89.5,89.42,89.56,2045.0
2025-01-15 13:50:00,89.36,89.4,89.1,89.4,7213.0
2025-01-15 13:55:00,89.26,89.26,89.26,89.26,31.0
2025-01-15 14:00:00,89.14,89.26,89.1,89.26,7552.0
2025-01-15 14:05:00,89.32,89.2,89.06,89.32,8780.0
