Date,Close,Open,Low,High,Volume
2025-01-15 08:55:00,50.7,50.8,50.7,50.8,23444
2025-01-15 09:00:00,50.6,50.7,50.6,50.95,191730
2025-01-15 09:05:00,50.54,50.63,50.52,50.89,22538
2025-01-15 09:10:00,50.61,50.61,50.51,50.7,7218
2025-01-15 09:15:00,50.77,50.55,50.54,50.83,7741
2025-01-15 09:20:00,50.75,50.73,50.7,50.82,2577
2025-01-15 09:25:00,50.74,50.73,50.62,50.8,11265
2025-01-15 09:30:00,50.84,50.74,50.72,50.84,5217
2025-01-15 09:35:00,50.94,50.85,50.79,51.03,33203
2025-01-15 09:40:00,50.94,50.92,50.92,51.05,14847
2025-01-15 09:45:00,50.89,50.94,50.89,50.99,7417
2025-01-15 09:50:00,50.96,50.93,50.88,50.96,6657
2025-01-15 09:55:00,50.91,50.97,50.89,50.98,9114
2025-01-15 10:00:00,50.81,50.86,50.79,50.91,6440
2025-01-15 10:05:00,50.88,50.85,50.83,50.9,9242
2025-01-15 10:10:00,50.88,50.88,50.87,50.93,7759
2025-01-15 10:15:00,50.84,50.88,50.82,50.9,5346
2025-01-15 10:20:00,50.85,50.84,50.73,50.85,6700
2025-01-15 10:25:00,50.85,50.85,50.81,50.86,4514
2025-01-15 10:30:00,50.73,50.85,50.73,50.85,5136
2025-01-15 10:35:00,50.85,50.76,50.76,50.85,8378
2025-01-15 10:40:00,50.9,50.88,50.86,50.97,15082
2025-01-15 10:45:00,50.96,50.93,50.88,50.96,4874
2025-01-15 10:50:00,50.96,50.95,50.93,50.98,5990
2025-01-15 10:55:00,50.97,50.95,50.89,50.97,10616
2025-01-15 11:00:00,50.93,50.96,50.93,50.99,37152
2025-01-15 11:05:00,50.9,50.93,50.89,50.96,8035
2025-01-15 11:10:00,50.96,50.9,50.9,50.97,7768
2025-01-15 11:15:00,50.97,50.93,50.9,50.99,35535
2025-01-15 11:20:00,50.99,50.97,50.9,50.99,51871
2025-01-15 11:25:00,50.99,50.99,50.96,50.99,47054
2025-01-15 11:30:00,50.99,50.98,50.95,50.99,71768
2025-01-15 11:35:00,50.98,50.99,50.95,50.99,21556
2025-01-15 11:40:00,50.99,50.97,50.95,50.99,8791
2025-01-15 11:45:00,50.91,50.99,50.89,50.99,9921
2025-01-15 11:50:00,50.84,50.93,50.84,50.93,8821
2025-01-15 11:55:00,50.86,50.88,50.86,50.88,2453
2025-01-15 12:00:00,50.89,50.86,50.84,50.93,5037
2025-01-15 12:05:00,50.91,50.93,50.88,50.93,4690
2025-01-15 12:10:00,50.93,50.92,50.89,50.96,8746
2025-01-15 12:15:00,50.97,50.93,50.93,50.99,28730
2025-01-15 12:20:00,50.95,50.94,50.93,50.97,10601
2025-01-15 12:25:00,50.96,50.95,50.89,50.96,26588
2025-01-15 12:30:00,50.99,50.97,50.96,50.99,23619
2025-01-15 12:35:00,50.97,50.99,50.95,50.99,13355
2025-01-15 12:40:00,50.96,50.96,50.94,50.97,8146
2025-01-15 12:45:00,50.99,50.95,50.94,50.99,17386
2025-01-15 12:50:00,50.97,50.98,50.97,51.0,18167
2025-01-15 12:55:00,51.0,50.99,50.97,51.05,49461
2025-01-15 13:00:00,51.18,51.0,50.98,51.24,49969
2025-01-15 13:05:00,51.39,51.17,51.14,51.44,59565
2025-01-15 13:10:00,51.39,51.39,51.33,51.42,15731
2025-01-15 13:15:00,51.39,51.39,51.34,51.4,22418
2025-01-15 13:20:00,51.39,51.36,51.35,51.41,43709
2025-01-15 13:25:00,51.38,51.38,51.32,51.4,13754
2025-01-15 13:30:00,51.34,51.39,51.32,51.39,10957
2025-01-15 13:35:00,51.36,51.35,51.32,51.4,12951
2025-01-15 13:40:00,51.4,51.36,51.36,51.4,6397
2025-01-15 13:45:00,51.48,51.4,51.4,51.5,22898
2025-01-15 13:50:00,51.46,51.48,51.46,51.5,19606
2025-01-15 13:55:00,51.4,51.47,51.39,51.48,13914
2025-01-15 14:00:00,51.37,51.4,51.23,51.4,33963
