Date,Close,Open,Low,High,Volume
2025-01-15 08:55:00,60.08,60.2,60.08,60.2,13967.0
2025-01-15 09:00:00,60.16,60.08,60.08,60.18,26924.0
2025-01-15 09:05:00,60.0,60.16,60.0,60.3,19292.0
2025-01-15 09:10:00,59.9,60.0,59.84,60.04,11312.0
2025-01-15 09:15:00,59.84,59.9,59.8,60.04,11227.0
2025-01-15 09:20:00,59.78,59.84,59.78,59.9,4051.0
2025-01-15 09:25:00,59.82,59.76,59.66,59.82,11156.0
2025-01-15 09:30:00,59.8,59.82,59.74,59.84,5456.0
2025-01-15 09:35:00,59.84,59.76,59.72,59.9,11200.0
2025-01-15 09:40:00,59.98,59.8,59.76,59.98,10014.0
2025-01-15 09:45:00,59.98,59.9,59.9,59.98,7334.0
2025-01-15 09:50:00,59.86,59.94,59.8,59.94,5182.0
2025-01-15 09:55:00,59.8,59.86,59.76,59.86,3817.0
2025-01-15 10:00:00,59.78,59.78,59.74,59.82,7988.0
2025-01-15 10:05:00,59.8,59.8,59.7,59.8,9593.0
2025-01-15 10:10:00,59.8,59.8,59.78,59.8,2365.0
2025-01-15 10:15:00,59.8,59.78,59.76,59.82,6798.0
2025-01-15 10:20:00,59.78,59.78,59.68,59.78,5992.0
2025-01-15 10:25:00,59.78,59.78,59.76,59.8,7245.0
2025-01-15 10:30:00,59.7,59.78,59.7,59.8,5885.0
2025-01-15 10:35:00,59.78,59.7,59.68,59.78,12626.0
2025-01-15 10:40:00,59.84,59.8,59.8,59.9,10715.0
2025-01-15 10:45:00,59.74,59.88,59.74,59.88,21875.0
2025-01-15 10:50:00,59.66,59.74,59.64,59.74,11243.0
2025-01-15 10:55:00,59.66,59.66,59.62,59.66,6473.0
2025-01-15 11:00:00,59.64,59.66,59.62,59.74,10477.0
2025-01-15 11:05:00,59.7,59.64,59.6,59.7,8236.0
2025-01-15 11:10:00,59.68,59.7,59.66,59.7,11019.0
2025-01-15 11:15:00,59.68,59.66,59.64,59.68,7885.0
2025-01-15 11:20:00,59.64,59.64,59.52,59.68,39274.0
2025-01-15 11:25:00,59.86,59.64,59.64,59.9,21454.0
2025-01-15 11:30:00,59.96,59.86,59.84,59.96,29864.0
