Date,Close,Open,Low,High,Volume
2025-01-15 08:55:00,47.5,47.5,47.5,47.5,1950
2025-01-15 09:00:00,47.51,47.5,47.5,47.51,16988
2025-01-15 09:05:00,47.29,47.51,47.22,47.6,13187
2025-01-15 09:10:00,47.28,47.29,47.14,47.35,10022
2025-01-15 09:15:00,47.24,47.25,47.24,47.36,9035
2025-01-15 09:20:00,47.45,47.24,47.24,47.45,8910
2025-01-15 09:25:00,47.43,47.44,47.31,47.49,8494
2025-01-15 09:30:00,47.44,47.49,47.39,47.55,6495
2025-01-15 09:35:00,47.57,47.39,47.36,47.57,6046
2025-01-15 09:40:00,47.59,47.51,47.51,47.67,6572
2025-01-15 09:45:00,47.58,47.66,47.57,47.66,4756
2025-01-15 09:50:00,47.62,47.63,47.56,47.63,1643
2025-01-15 09:55:00,47.56,47.57,47.54,47.6,3489
2025-01-15 10:00:00,47.54,47.58,47.54,47.59,5420
2025-01-15 10:05:00,47.6,47.6,47.53,47.6,4328
2025-01-15 10:10:00,47.59,47.6,47.57,47.6,4031
2025-01-15 10:15:00,47.56,47.57,47.56,47.58,1397
2025-01-15 10:20:00,47.58,47.58,47.55,47.58,5960
2025-01-15 10:25:00,47.58,47.58,47.55,47.58,2527
2025-01-15 10:30:00,47.58,47.58,47.56,47.59,5622
2025-01-15 10:35:00,47.7,47.57,47.55,47.7,16849
2025-01-15 10:40:00,47.7,47.71,47.69,47.77,13699
2025-01-15 10:45:00,47.72,47.75,47.67,47.75,3891
2025-01-15 10:50:00,47.68,47.68,47.68,47.68,1816
2025-01-15 10:55:00,47.58,47.65,47.58,47.67,2511
2025-01-15 11:00:00,47.65,47.64,47.59,47.76,60036
2025-01-15 11:05:00,47.74,47.64,47.62,47.74,4980
2025-01-15 11:10:00,47.7,47.76,47.7,47.76,2234
2025-01-15 11:15:00,47.67,47.73,47.67,47.73,2641
2025-01-15 11:20:00,47.74,47.68,47.67,47.75,10017
2025-01-15 11:25:00,48.0,47.76,47.76,48.0,46590
2025-01-15 11:30:00,47.96,48.0,47.94,48.0,15789
2025-01-15 11:35:00,47.95,47.94,47.9,47.97,7810
2025-01-15 11:40:00,47.96,47.94,47.9,47.96,7367
2025-01-15 11:45:00,47.94,47.96,47.94,48.0,4992
2025-01-15 11:50:00,47.92,47.94,47.92,47.95,3133
2025-01-15 11:55:00,47.92,47.94,47.92,47.95,7676
2025-01-15 12:00:00,47.9,47.91,47.9,47.93,1760
2025-01-15 12:05:00,47.92,47.9,47.9,47.93,3369
2025-01-15 12:10:00,47.93,47.92,47.87,47.93,12501
2025-01-15 12:15:00,47.9,47.95,47.89,47.95,9651
2025-01-15 12:20:00,47.91,47.93,47.89,47.94,7435
2025-01-15 12:25:00,47.9,47.92,47.85,47.92,6330
2025-01-15 12:30:00,47.88,47.88,47.82,47.88,7093
2025-01-15 12:35:00,47.91,47.91,47.89,47.92,4831
2025-01-15 12:40:00,47.93,47.92,47.9,47.93,998
2025-01-15 12:45:00,47.9,47.91,47.89,47.91,8410
2025-01-15 12:50:00,48.02,47.9,47.9,48.02,11927
2025-01-15 12:55:00,48.01,48.04,48.01,48.04,1164
2025-01-15 13:00:00,48.02,48.01,48.0,48.03,7335
2025-01-15 13:05:00,48.04,48.01,48.0,48.04,7105
2025-01-15 13:10:00,48.01,48.03,48.0,48.03,3514
2025-01-15 13:15:00,48.06,48.01,48.0,48.06,5857
2025-01-15 13:20:00,48.05,48.04,48.04,48.08,6003
2025-01-15 13:25:00,48.03,48.05,48.0,48.06,5805
2025-01-15 13:30:00,47.99,48.02,47.97,48.02,1445
2025-01-15 13:35:00,47.97,47.97,47.96,47.98,6454
2025-01-15 13:40:00,47.99,47.97,47.96,47.99,5088
2025-01-15 13:45:00,47.98,47.95,47.95,48.04,16487
2025-01-15 13:50:00,47.98,47.99,47.96,48.0,3795
2025-01-15 13:55:00,47.96,47.95,47.95,47.99,1603
2025-01-15 14:00:00,47.98,48.0,47.97,48.04,10980
2025-01-15 14:05:00,48.03,47.99,47.98,48.03,6934
2025-01-15 14:10:00,47.97,48.0,47.95,48.03,4625
