Date,Close,Open,Low,High,Volume
2025-01-15 08:55:00,475.0,475.0,475.0,475.0,5.0
2025-01-15 09:05:00,471.2,475.0,471.2,475.0,430.0
2025-01-15 09:10:00,471.0,471.3,470.9,471.9,166.0
2025-01-15 09:15:00,471.6,471.7,471.6,473.4,475.0
2025-01-15 09:20:00,471.8,471.7,471.6,472.1,127.0
2025-01-15 09:25:00,472.1,471.8,470.1,472.2,266.0
2025-01-15 09:30:00,471.8,472.2,471.7,472.2,189.0
2025-01-15 09:35:00,473.1,471.5,471.2,473.1,198.0
2025-01-15 09:40:00,472.9,472.3,472.0,473.8,149.0
2025-01-15 09:45:00,473.1,473.0,473.0,473.7,129.0
2025-01-15 09:50:00,473.3,473.5,472.3,473.5,182.0
2025-01-15 09:55:00,471.8,472.9,471.8,472.9,71.0
2025-01-15 10:00:00,472.2,471.8,471.8,472.9,304.0
2025-01-15 10:05:00,472.7,472.2,471.6,472.9,218.0
2025-01-15 10:10:00,473.4,473.5,473.1,473.5,148.0
2025-01-15 10:15:00,473.8,472.9,472.9,473.8,239.0
2025-01-15 10:20:00,472.7,473.5,472.6,473.5,237.0
2025-01-15 10:25:00,472.7,472.8,472.7,472.8,54.0
2025-01-15 10:30:00,472.5,472.8,472.5,473.4,158.0
2025-01-15 10:35:00,473.9,472.5,472.3,473.9,145.0
2025-01-15 10:40:00,474.1,474.2,474.1,474.8,316.0
2025-01-15 10:45:00,474.4,474.1,473.7,474.4,266.0
2025-01-15 10:50:00,474.4,474.6,474.4,474.8,312.0
2025-01-15 10:55:00,474.2,473.9,473.9,474.4,314.0
2025-01-15 11:00:00,474.2,474.6,474.2,475.4,601.0
2025-01-15 11:05:00,475.3,474.0,473.7,475.3,179.0
2025-01-15 11:10:00,475.5,474.8,474.8,475.5,346.0
2025-01-15 11:15:00,474.6,475.0,474.6,475.2,228.0
2025-01-15 11:20:00,474.7,474.6,474.2,475.2,480.0
2025-01-15 11:25:00,477.3,475.0,475.0,477.5,601.0
2025-01-15 11:30:00,478.0,477.1,477.1,478.0,292.0
2025-01-15 11:35:00,477.1,478.0,477.0,478.0,473.0
2025-01-15 11:40:00,477.0,477.5,476.3,477.9,383.0
2025-01-15 11:45:00,477.2,477.2,477.2,477.2,11.0
2025-01-15 11:50:00,477.0,477.2,477.0,477.2,206.0
2025-01-15 11:55:00,477.4,477.2,477.2,477.4,172.0
2025-01-15 12:00:00,,,,,
2025-01-15 12:05:00,477.3,477.6,477.3,477.7,131.0
2025-01-15 12:10:00,477.3,477.5,477.3,477.8,447.0
2025-01-15 12:15:00,477.4,477.4,477.3,477.8,355.0
2025-01-15 12:20:00,477.1,477.4,476.7,477.5,858.0
2025-01-15 12:25:00,477.0,477.1,476.4,477.1,197.0
2025-01-15 12:30:00,476.5,477.0,476.5,477.3,187.0
2025-01-15 12:35:00,476.3,476.5,476.3,476.5,37.0
2025-01-15 12:40:00,,,,,
2025-01-15 12:45:00,477.0,476.6,476.6,477.0,107.0
2025-01-15 12:50:00,478.0,477.3,477.3,478.3,370.0
2025-01-15 12:55:00,478.1,478.3,478.1,478.3,50.0
2025-01-15 13:00:00,478.1,478.1,477.9,478.1,226.0
2025-01-15 13:05:00,479.0,477.9,477.9,479.0,208.0
2025-01-15 13:10:00,478.7,479.0,478.7,479.0,137.0
2025-01-15 13:15:00,478.8,478.6,478.5,478.8,4016.0
2025-01-15 13:20:00,479.5,479.0,479.0,479.5,142.0
2025-01-15 13:25:00,479.1,478.8,478.8,479.1,45.0
2025-01-15 13:30:00,479.5,479.1,479.1,479.5,66.0
2025-01-15 13:35:00,478.1,479.5,478.1,479.5,770.0
2025-01-15 13:40:00,478.2,478.3,478.1,478.3,49.0
2025-01-15 13:45:00,477.4,478.4,477.3,478.7,1278.0
2025-01-15 13:50:00,477.3,477.4,477.3,477.7,72.0
2025-01-15 13:55:00,476.4,477.2,476.3,477.2,160.0
