Date,Open,High,Low,Close,Volume
2021-05-26,220.381,220.381,216.533,220.023,8925.0858912743
2021-05-27,220.023,221.78,217.584,218.989,37917.140882478
2021-05-28,219.681,219.681,213.043,213.742,13923.494236034
2021-05-31,218.547,222.23,214.481,220.388,16225.206598654
2021-06-01,222.969,224.446,220.388,220.76,6673.5506008419
2021-06-02,222.969,223.341,217.808,217.808,7482.816713803
2021-06-04,221.865,221.865,218.547,220.388,3724.6826661726
2021-06-07,220.76,220.76,211.901,212.266,9973.6580408186
2021-06-08,212.639,218.547,212.266,214.855,82276.24587878
2021-06-09,217.435,217.435,214.116,215.958,3567.7184916396
2021-06-10,215.958,216.331,211.901,211.901,2568.0368226876
2021-06-11,211.162,213.377,210.423,210.789,10497.300819793
2021-06-14,213.377,213.377,210.423,213.004,4313.9416164686
2021-06-15,214.116,214.855,211.162,213.004,4804.1330139856
2021-06-16,210.789,212.639,210.789,211.901,6876.832072778
2021-06-17,210.423,211.528,207.096,210.789,11192.060280841
2021-06-18,208.947,211.901,207.096,208.209,28160.916821135
2021-06-21,207.096,211.162,204.517,208.209,6337.7501946688
2021-06-22,211.162,211.901,207.47,210.423,16936.691750431
2021-06-23,211.901,211.901,208.209,208.947,4535.2353707283
2021-06-24,211.528,213.377,208.947,213.377,8643.3223320716
2021-06-25,214.481,214.481,209.312,209.312,5493.7461086552
2021-06-28,209.685,215.958,207.47,210.423,6421.3786483134
2021-06-29,210.423,211.901,207.096,207.47,15274.415410293
2021-06-30,207.47,212.266,206.731,206.731,14238.709176695
2021-07-01,206.359,208.947,202.302,203.405,36307.614797717
2021-07-02,204.144,206.359,202.302,202.302,4575.1197101588
2021-07-05,202.302,204.144,199.714,201.929,15727.29565157
2021-07-06,202.302,203.04,197.872,197.872,15301.433833779
2021-07-07,200.825,201.564,199.348,200.086,19024.829908357
2021-07-08,200.086,200.825,197.133,198.238,17927.367278221
2021-07-09,198.238,200.825,198.238,200.086,15379.915921046
2021-07-12,201.191,205.621,198.61,199.348,22867.879001227
2021-07-13,199.348,201.564,199.348,200.825,10996.498358472
2021-07-14,200.825,202.302,199.348,201.929,13994.256773734
2021-07-15,201.929,203.04,199.714,201.191,13501.492193028
2021-07-16,202.667,202.667,200.452,201.929,10613.094063301
2021-07-19,202.302,202.302,198.238,198.976,11891.966108267
2021-07-20,197.872,198.976,195.656,197.872,6394.3602248282
2021-07-21,198.61,200.825,197.133,200.825,11652.660071684
2021-07-22,200.086,203.778,199.348,200.086,14528.192285464
2021-07-23,200.825,200.825,198.61,200.086,9958.2189416842
2021-07-26,204.144,209.312,204.144,207.47,7705.3970596572
2021-07-27,208.209,210.05,202.302,202.302,5421.6969793614
2021-07-28,203.04,211.162,203.04,211.162,5329.062384555
2021-07-29,212.266,213.004,208.209,210.423,6064.9927766278
2021-07-30,211.901,215.593,209.312,215.593,7540.713335557
2021-08-02,216.331,221.492,216.331,219.285,9035.7327684042
2021-08-03,221.127,221.127,211.162,214.116,10243.84227567
2021-08-04,214.116,217.069,211.162,217.069,6701.8556159216
2021-08-05,217.808,220.023,212.639,217.069,6248.975374646
2021-08-06,218.173,218.547,214.116,217.808,5142.5066033478
2021-08-09,218.173,218.173,212.639,215.22,6876.832072778
2021-08-10,217.069,224.08,215.958,221.492,14757.205589292
2021-08-11,221.492,224.446,220.023,221.492,7980.7276608872
2021-08-12,221.492,222.969,221.492,222.23,2647.8055015486
2021-08-13,222.969,222.969,218.547,221.492,4141.5383428012
2021-08-16,222.969,222.969,220.76,221.492,2988.7522740998
2021-08-17,222.969,227.399,221.492,226.66,17390.858583301
2021-08-18,227.399,227.772,226.66,227.772,5577.3745622999
2021-08-19,224.446,226.66,218.912,220.023,5361.2271744184
2021-08-20,220.023,221.865,218.547,220.023,1757.4841181319
2021-08-23,221.492,223.708,215.958,218.547,4039.8976068331
2021-08-24,220.023,220.76,218.173,220.76,3207.4728451704
2021-08-25,220.76,221.127,217.435,217.435,4850.4503113888
2021-08-26,218.912,222.604,217.808,220.023,5646.8505084046
2021-08-27,221.865,222.23,218.173,219.65,4488.9180733251
2021-08-30,219.285,225.184,218.912,225.184,5919.6079264456
2021-08-31,225.184,225.184,214.116,218.547,9100.0623481308
2021-09-01,218.547,221.127,218.173,220.023,3067.2343613663
2021-09-02,217.808,221.492,217.808,221.492,4461.8996498399
2021-09-03,221.865,227.399,221.492,227.399,9550.3694062173
2021-09-06,227.399,228.875,224.08,228.137,14416.25881674
2021-09-07,228.137,228.875,224.446,227.772,4612.4308664002
2021-09-08,227.399,227.399,222.23,222.23,3511.1084614801
2021-09-09,223.341,225.184,221.865,223.708,4086.2149042363
2021-09-10,223.708,225.184,223.341,224.446,18353.22909601
2021-09-13,227.399,231.829,226.295,229.613,14532.052060248
2021-09-14,230.353,231.829,229.249,230.353,14587.375498814
2021-09-15,230.353,232.567,228.875,229.613,11751.727624463
2021-09-16,229.613,232.941,229.613,232.941,12302.388826923
2021-09-17,233.679,233.679,228.137,228.137,18821.548436421
2021-09-20,228.51,228.51,220.76,222.969,8245.765529361
2021-09-21,222.969,227.772,222.604,225.922,7237.0777192472
2021-09-22,227.399,227.772,225.922,227.399,7704.1104680627
2021-09-23,228.137,228.875,226.66,226.66,4943.0849061952
2021-09-24,228.137,229.613,227.033,229.613,1699.5874963779
2021-09-27,228.137,229.613,225.922,227.033,5268.592579612
2021-09-28,228.875,228.875,222.23,222.604,4569.9733437807
2021-09-29,222.969,227.033,222.23,222.604,4016.7389581315
2021-09-30,222.969,225.557,221.492,221.865,5555.5025051928
2021-10-01,222.969,223.341,220.023,221.127,8122.2527362858
2021-10-04,221.492,222.969,220.388,220.76,6681.270150409
2021-10-05,221.492,221.492,217.808,217.808,20607.337569633
2021-10-06,218.547,219.285,215.958,217.808,13200.429759907
2021-10-07,219.285,221.492,218.173,221.127,10847.253733506
2021-10-08,222.293,223.848,221.904,223.459,23334.911750042
2021-10-11,223.848,225.013,222.293,224.625,12604.737851638
2021-10-12,225.013,225.013,214.909,216.075,18389.253660658
2021-10-13,216.852,219.184,214.52,216.852,8476.0654247824
2021-10-14,216.463,218.017,215.686,216.075,2315.8648701591
2021-10-15,219.572,219.572,213.355,219.184,19076.293572139
2021-10-18,218.794,218.794,215.297,217.629,10764.911871456
2021-10-19,218.017,218.017,215.297,216.075,17085.936375396
