Date,Open,High,Low,Close,Volume
2021-05-26,28.3,28.9,27.8,28.04,688790
2021-05-27,28.01,28.64,28.01,28.39,2749870
2021-05-28,28.48,28.91,28.1,28.5,887800
2021-05-31,28.59,28.63,27.99,28.46,682050
2021-06-01,28.68,29.1,28.3,28.38,733490
2021-06-02,28.41,28.74,28.35,28.61,503170
2021-06-04,28.86,29.1,28.3,28.66,1168900
2021-06-07,28.67,29,28.47,28.61,446700
2021-06-08,28.61,28.69,28.19,28.29,859610
2021-06-09,28.24,28.3,27.87,27.98,731030
2021-06-10,27.6,27.78,26.91,27.17,1089880
2021-06-11,27.1,27.23,26.36,26.44,1660440
2021-06-14,26.54,27.1,26.54,27.02,1015770
2021-06-15,27.42,27.52,26.7,26.92,891250
2021-06-16,26.8,27.49,26.8,27,671370
2021-06-17,26.84,27.16,26.71,26.92,634950
2021-06-18,26.9,27.46,26.78,27.43,2584860
2021-06-21,27.45,27.61,26.95,27.02,501560
2021-06-22,27.26,27.51,26.85,27.5,810090
2021-06-23,27.5,27.69,27.1,27.28,991560
2021-06-24,27.1,27.65,27.1,27.4,1020210
2021-06-25,27.18,28.1,27.18,27.8,734870
2021-06-28,27.99,28,27.39,27.66,1158660
2021-06-29,27.82,28.01,27.51,27.86,939510
2021-06-30,27.89,28.38,27.56,27.99,1651600
2021-07-01,28.26,28.39,27.66,28.09,986520
2021-07-02,28.38,28.94,27.91,28.71,917210
2021-07-05,28.79,28.79,28.31,28.6,567340
2021-07-06,28.74,29.98,28.7,29.75,3518170
2021-07-07,29.9,30.6,29.57,30.56,1573050
2021-07-08,30.3,30.53,29.7,30.03,1841550
2021-07-09,30.19,30.19,29.18,29.2,935470
2021-07-12,29.18,30.28,29.18,30.03,845100
2021-07-13,30.25,30.4,30.03,30.4,535170
2021-07-14,30.24,30.59,29.9,30.04,804350
2021-07-15,29.97,30.44,29.63,29.93,1059370
2021-07-16,29.93,30.3,29.52,29.9,589300
2021-07-19,29.89,30,29.6,30,410840
2021-07-20,30.1,31.07,30,31.05,2144200
2021-07-21,31.07,31.16,30.5,30.63,1880300
2021-07-22,30.61,30.63,29.73,29.87,885030
2021-07-23,30.19,30.74,30.02,30.25,586390
2021-07-26,30.42,30.49,29.72,29.94,691340
