Date,Open,High,Low,Close,Volume
2021-05-26,435.012,437.723,431.624,434.335,12135.97514501
2021-05-27,437.044,438.4,431.624,435.689,21509.032628076
2021-05-28,430.59,444.432,429.86,436.418,35933.027515986
2021-05-31,438.604,455.361,438.604,454.632,7021.9010226045
2021-06-01,455.361,459.003,442.975,444.432,5966.4198094726
2021-06-02,442.975,444.432,430.59,431.318,21504.915016061
2021-06-04,422.575,429.131,418.932,424.032,16860.248663345
2021-06-07,426.946,442.246,426.946,442.246,8555.0252294555
2021-06-08,442.975,442.975,433.504,438.604,8840.5129958162
2021-06-09,440.061,442.975,434.233,434.233,15645.553118974
2021-06-10,434.233,440.79,434.233,435.689,3727.8114107494
2021-06-11,434.233,451.719,434.233,444.432,14312.819363511
2021-06-14,443.704,454.632,440.79,451.719,11511.470656095
2021-06-15,448.803,450.99,443.704,449.533,7036.9989333255
2021-06-16,447.347,454.632,445.889,449.533,15953.001482747
2021-06-17,448.803,453.175,444.432,450.99,10797.751240193
2021-06-18,448.803,456.09,447.347,448.075,19170.229003659
2021-06-21,448.075,448.803,444.432,448.803,8036.2061155883
2021-06-22,448.803,457.546,448.803,455.361,9121.8831501622
2021-06-23,457.546,480.862,456.818,479.404,18460.627199772
2021-06-24,477.947,483.047,473.575,481.59,14544.778173679
2021-06-25,483.775,485.232,477.947,480.133,9611.8789799256
2021-06-28,480.133,480.133,471.39,475.033,4591.1373965231
2021-06-29,477.218,480.862,472.846,480.862,5896.4204052207
2021-06-30,477.947,480.133,470.661,472.846,7424.0544627185
2021-07-01,477.218,480.862,470.661,472.846,6096.8108566086
2021-07-02,472.846,485.232,472.846,479.404,16974.169262422
2021-07-05,482.319,494.704,482.319,494.704,14795.952506583
2021-07-06,495.433,510.004,494.704,502.718,20240.808127512
2021-07-07,505.633,515.832,505.633,514.375,6334.2598161298
2021-07-08,515.832,516.56,507.09,510.733,3414.8728976232
2021-07-09,510.004,510.733,503.447,510.733,4993.2908366371
2021-07-12,512.19,512.919,505.633,512.919,4886.2329242518
2021-07-13,512.919,522.39,503.447,509.276,5613.6777135365
2021-07-14,510.004,514.375,504.176,504.176,5509.3648758277
2021-07-15,504.904,508.548,496.161,496.161,6210.7314556852
2021-07-16,497.618,504.176,496.889,498.347,4057.2203719349
2021-07-19,500.533,501.99,479.404,480.862,10245.991230208
2021-07-20,482.319,493.248,479.404,481.59,6345.240114836
2021-07-21,482.319,496.889,482.319,493.976,5823.6759262922
2021-07-22,494.704,512.919,493.248,502.718,5211.5242734225
2021-07-23,502.718,510.004,499.076,504.904,2856.2502009461
2021-07-26,504.904,510.004,496.889,510.004,1877.6310787574
2021-07-27,510.004,510.004,496.161,496.161,3694.8705146308
2021-07-28,501.261,501.261,486.69,496.889,7117.9786362837
2021-07-29,496.889,504.176,487.418,504.176,4412.7075425476
2021-07-30,501.99,515.104,497.618,506.362,7031.5087839725
2021-08-02,511.462,516.56,506.362,509.276,2952.3278146252
2021-08-03,507.819,508.548,492.519,498.347,7397.9762532913
2021-08-04,499.076,502.718,493.976,496.161,3418.990509638
2021-08-05,489.605,493.976,476.49,485.96,7113.8610242688
2021-08-06,484.504,488.147,480.133,484.504,3342.1284186947
2021-08-09,485.232,491.79,476.49,488.147,16523.977015468
2021-08-10,488.147,502.718,488.147,495.433,14483.013993456
2021-08-11,495.433,499.076,486.69,495.433,6343.8675774977
2021-08-12,494.704,494.704,485.96,491.79,2819.1916928127
2021-08-13,493.248,493.248,488.147,488.147,985.48180888
2021-08-16,488.876,491.062,481.59,481.59,3414.8728976232
2021-08-17,483.047,489.605,481.59,481.59,11334.413339458
2021-08-18,482.319,485.232,477.218,480.862,1975.0812297748
2021-08-19,477.218,483.047,460.461,483.047,8597.5738869419
2021-08-20,483.775,484.504,473.575,477.218,2404.6854166543
2021-08-23,477.218,482.319,476.49,480.133,2032.7277979823
2021-08-24,477.218,480.862,477.218,480.133,1822.7295852265
2021-08-25,482.319,487.418,479.404,486.69,2602.3307933656
2021-08-26,488.147,492.519,478.675,478.675,3666.0472305271
2021-08-27,479.404,483.775,477.218,477.947,1088.4221092505
2021-08-30,480.133,495.433,480.133,495.433,8651.1028431346
2021-08-31,492.519,497.618,481.59,483.775,5377.6012913535
2021-09-01,482.319,493.976,482.319,484.504,6553.8657902535
2021-09-02,484.504,484.504,478.675,478.675,2388.214968595
2021-09-03,480.862,488.147,477.218,484.504,3788.2030536334
2021-09-06,485.96,496.889,485.96,489.605,6007.5959296208
2021-09-07,488.876,494.704,488.876,494.704,1999.7869018637
2021-09-08,494.704,494.704,481.59,481.59,3711.3409626901
2021-09-09,480.862,483.047,479.404,479.404,2589.9779573211
2021-09-10,480.862,487.418,480.862,483.047,3917.2215634311
2021-09-13,484.504,492.519,484.504,492.519,10521.871235201
2021-09-14,492.519,492.519,480.862,480.862,8457.5750784381
2021-09-15,480.133,484.504,478.675,482.319,6717.1977335079
2021-09-16,482.319,488.147,456.818,459.003,41839.055682575
2021-09-17,458.275,466.289,457.546,461.919,24129.206406839
2021-09-20,459.732,461.919,450.262,451.719,9423.8413645822
2021-09-21,451.719,457.546,449.533,450.262,5488.7768157536
2021-09-22,453.175,464.833,451.719,464.104,13427.532780325
2021-09-23,467.018,472.846,457.546,459.003,8003.2652194697
2021-09-24,463.376,463.376,456.09,458.275,2581.7427332915
2021-09-27,459.003,468.475,452.447,455.361,17225.343595326
2021-09-28,455.361,458.275,450.262,450.262,17881.41644302
2021-09-29,450.262,464.104,450.262,462.648,8335.4192553318
2021-09-30,464.104,467.018,462.648,464.104,14731.443251684
2021-10-01,459.003,461.919,456.09,458.275,9301.685541476
2021-10-04,461.19,466.289,453.175,462.648,7076.8025161355
2021-10-05,459.003,463.376,457.546,461.19,18151.80629866
2021-10-06,459.003,461.19,456.09,457.546,32080.315207454
2021-10-07,457.546,461.919,455.361,457.546,21390.994416984
2021-10-08,455.361,462.648,452.447,457.546,18715.91914469
2021-10-11,459.003,471.39,456.09,470.661,5525.835323887
2021-10-12,470.661,470.661,458.275,459.003,3420.3630469763
2021-10-13,456.818,465.561,456.818,464.104,8815.8073237273
2021-10-14,464.104,470.661,457.546,470.661,14186.545928389
2021-10-15,470.661,473.575,459.003,462.648,17310.440910299
2021-10-18,461.919,474.304,458.275,469.933,7646.4055115187
2021-10-19,472.846,483.775,472.846,476.49,10059.326152203
2021-10-20,476.49,476.49,462.648,463.376,16604.956718426
2021-10-21,462.648,467.018,462.648,464.833,13299.886807865
2021-10-22,466.289,466.289,453.904,463.376,12870.282620986
2021-10-25,461.919,461.919,454.632,456.09,12241.660520057
2021-10-26,456.818,459.003,454.632,456.09,6186.0257835963
2021-10-27,456.09,458.275,448.075,448.803,11906.761409518
2021-10-28,450.262,450.262,437.875,446.618,39737.701017679
2021-10-29,450.262,458.275,447.347,456.09,6147.5947381247
2021-11-02,456.818,456.818,444.432,445.161,9323.6461388883
2021-11-03,445.161,457.546,444.432,456.09,8210.5183575489
2021-11-04,458.275,458.275,447.347,447.347,4941.1344177827
2021-11-05,447.347,453.904,446.618,451.719,3913.1039514163
2021-11-08,452.447,453.904,451.719,451.719,8533.0646320431
2021-11-09,453.175,453.904,449.533,453.904,7609.3470033854
2021-11-10,451.719,453.175,448.075,448.803,7709.5422290793
2021-11-12,448.803,453.175,446.618,446.618,2797.2310954003
2021-11-15,445.889,450.99,445.889,447.347,7397.9762532913
2021-11-16,447.347,448.803,445.889,447.347,11591.077821715
2021-11-17,450.262,450.262,445.889,447.347,3450.5588684183
2021-11-18,448.803,448.803,445.161,447.347,5166.2305412595
2021-11-19,446.618,453.175,443.704,445.889,6471.5135499571
2021-11-22,447.347,448.075,431.318,434.233,12549.10888383
2021-11-23,432.776,437.147,432.776,434.233,1730.7695835622
2021-11-24,435.689,437.147,432.047,432.047,4595.2550085379
2021-11-25,432.047,437.147,426.946,435.689,11478.529759977
2021-11-26,435.689,437.147,413.832,415.289,15242.027141521
2021-11-29,415.289,422.575,412.376,422.575,8217.3810442403
2021-11-30,422.575,422.575,413.832,421.847,6954.6466930292
2021-12-01,422.575,434.961,418.932,433.504,13567.531588828
