Date,Open,High,Low,Close,Volume
2021-05-26,285.2,293.2,285,292,25923
2021-05-27,292.6,301,290.6,297.8,39896
2021-05-28,300.8,304,297,300,58352
2021-05-31,300,304,298.2,302.4,23903
2021-06-01,304,310,300.6,307,25743
2021-06-02,308,309.4,299.6,300,31338
2021-06-04,300.8,306.4,300.2,301.6,22911
2021-06-07,303,308,301.6,303.2,19145
2021-06-08,302,302.8,292.8,294.4,27751
2021-06-09,294.8,302.4,294.8,300,23514
2021-06-10,298.2,298.8,294,296.6,42958
2021-06-11,298,298,291.8,294,65043
2021-06-14,294,310,292.6,308,20047
2021-06-15,306,308.6,296,296.6,16145
2021-06-16,294,302.6,294,301.6,20335
2021-06-17,301.8,302.4,297.4,299,11883
2021-06-18,299.8,310,297,310,90612
2021-06-21,309.8,315.8,305,315,40884
2021-06-22,317,327,314.8,327,43648
2021-06-23,326,339.8,326,337,44296
2021-06-24,339,354.8,333,346.4,34446
2021-06-25,350,358,340.4,346.6,30856
2021-06-28,343.8,348.2,341.8,344.6,36025
2021-06-29,345,346,337.2,339.2,46695
2021-06-30,337,338.4,317.4,325,114091
2021-07-01,327.8,332,320,327.8,75709
2021-07-02,325.2,328.8,322,325,34615
2021-07-05,322,330.8,319,327.2,20907
2021-07-06,327.2,331,317.4,317.8,16467
2021-07-07,317.8,323.4,317.8,320,17627
2021-07-08,317.6,322.4,312.4,312.4,29913
2021-07-09,313,322.4,312.2,322.4,10937
2021-07-12,321,321,301.4,304,36419
2021-07-13,304.4,312.4,304.2,304.6,16675
2021-07-14,305,315.6,305,308,24655
2021-07-15,309.2,310.6,301.4,304.6,13848
2021-07-16,304.6,308.4,300.6,300.6,15619
2021-07-19,301,301,283,287.4,35207
2021-07-20,285.8,297.4,285.8,297.2,36733
2021-07-21,297.2,317.8,295,314.2,45194
2021-07-22,316,319.8,305,305.8,29440
2021-07-23,306.2,308.8,301.8,308,19909
2021-07-26,310.6,311.4,300.6,306.2,23672
2021-07-27,308,315,306.2,307.8,18279
2021-07-28,311.4,317.8,308.2,316.8,14768
2021-07-29,317.6,321,316.6,318.6,7509
2021-07-30,314,323.8,311,320.8,27629
2021-08-02,322.8,326.4,317.8,325.4,14077
2021-08-03,329,329.2,305,306,35867
2021-08-04,311.8,317.2,307,317.2,37961
2021-08-05,315,320.8,313.4,320.8,25436
2021-08-06,321,321,313.8,320.2,34297
2021-08-09,320,323.4,317.8,320,14644
2021-08-10,320,320.2,314,314.4,12888
2021-08-11,314.4,323,310,322.2,43092
2021-08-12,322.2,324.6,316,322,12032
2021-08-13,323,326.4,320,326.4,12592
2021-08-16,326.6,332.4,321.8,331.4,11964
2021-08-17,330.8,330.8,321,329,19142
2021-08-18,326.6,330.2,321.2,329.4,10655
2021-08-19,326.8,328,321.4,325,13973
2021-08-20,322,330,322,329.8,9187
2021-08-23,329.8,336,328,336,19961
2021-08-24,335.2,336.8,332.6,334.8,7669
2021-08-25,335,348.8,334.2,348.8,32546
2021-08-26,348.8,357.2,348,355.8,27317
2021-08-27,355.4,360,349.6,358.8,19256
2021-08-30,359,365.8,353.2,358.4,32026
2021-08-31,358,372.2,355.4,371,49433
2021-09-01,375,383,373.2,377,33979
2021-09-02,376,385,365,381.2,24417
2021-09-03,380,387.6,376.6,384.8,25161
2021-09-06,383.4,387.6,379.4,383,9530
2021-09-07,383,387.4,379.8,385,12427
2021-09-08,385,385,374.4,377.6,12340
2021-09-09,373.8,384,366.6,381.8,16528
2021-09-10,381.8,384.8,376.2,379.2,8628
2021-09-13,381,384,376,384,14359
2021-09-14,384,399.8,380,396,48288
2021-09-15,392,398.6,388,392.8,17188
2021-09-16,392.4,399,389,396.2,18983
2021-09-17,396.2,400,394,397.2,39215
2021-09-20,394.8,394.8,371,374,39881
2021-09-21,372.8,392.4,372.8,381,22304
2021-09-22,380.2,394,380.2,391.2,17870
2021-09-23,394.6,400,394.4,398.4,28497
2021-09-24,399.4,400,390.2,400,18234
2021-09-27,400,417.8,397.2,410,44231
2021-09-28,408.8,409,392,393,32866
2021-09-29,393,409.6,393,409.6,10168
2021-09-30,409,413,401.6,411,26271
2021-10-01,405.8,426.2,402.2,420.2,28881
2021-10-04,420,432,416,423,27362
2021-10-05,420,429,419,424,19333
2021-10-06,423,465.2,422.4,464,91525
2021-10-07,461,467.8,458,466,50841
2021-10-08,465.2,470.8,450,466.2,70700
2021-10-11,466.2,474.4,464.2,466,27579
2021-10-12,463,493.8,460,490.8,82317
2021-10-13,485,494,478,484,30506
2021-10-14,477.6,498,477.6,498,60659
2021-10-15,493.8,511,493.8,511,39310
2021-10-18,509,527,508,520.5,45201
