Date,Open,High,Low,Close,Volume
2021-05-26,201.411,204.727,197.459,204.019,55271.075442717
2021-05-27,204.416,210.649,202.278,209.861,278630.87506237
2021-05-28,210.568,217.207,208.677,214.281,117712.04460468
2021-05-31,215.077,215.156,208.994,210.887,83533.03545744
2021-06-01,210.887,217.915,209.941,212.469,58191.86372624
2021-06-02,215.077,217.287,213.097,214.281,75610.931835724
2021-06-04,214.68,217.048,213.494,216.182,78818.515868017
2021-06-07,215.625,216.809,208.28,208.836,59183.070086023
2021-06-08,209.384,210.1,198.883,204.647,169042.19425399
2021-06-09,204.257,210.02,202.834,208.049,65062.382935801
2021-06-10,207.731,209.623,204.805,206.149,55165.413851065
2021-06-11,205.752,207.969,198.254,200.703,98577.233506937
2021-06-14,203.78,205.363,200.782,205.363,96626.26768965
2021-06-15,208.049,208.201,199.591,200.227,88154.472216125
2021-06-16,199.201,208.359,199.201,204.805,74959.352020537
2021-06-17,201.729,206.785,201.491,203.78,45425.679277715
2021-06-18,204.337,207.175,200.782,201.491,227583.74753356
2021-06-21,202.198,206.785,200.067,206.547,34929.961173619
2021-06-22,207.096,211.681,205.68,207.096,50977.94434381
2021-06-23,208.517,212.469,208.359,212.39,29841.852385139
2021-06-24,213.097,216.89,211.443,214.758,105972.28704649
2021-06-25,213.256,216.659,209.623,211.443,54316.347489576
2021-06-28,210.967,216.261,209.623,214.839,50749.01089523
2021-06-29,214.918,216.659,210.259,212.31,63278.714638628
2021-06-30,211.762,212.469,200.465,200.934,132200.26142191
2021-07-01,201.888,204.098,199.041,202.516,132780.1422999
2021-07-02,202.993,207.573,202.356,203.701,48840.812865039
2021-07-05,202.595,203.78,199.988,202.437,30173.931673188
2021-07-06,202.595,203.701,197.618,198.176,32893.459782136
2021-07-07,198.962,203.383,198.565,201.411,85546.895079284
2021-07-08,199.908,199.908,192.643,193.905,96728.155653028
2021-07-09,193.905,201.649,193.905,199.988,50605.613020846
2021-07-12,200.544,200.544,190.591,191.855,79203.425951892
2021-07-13,193.278,196.911,189.955,191.06,64324.009670329
2021-07-14,190.353,196.116,190.353,193.508,67486.310163341
2021-07-15,193.827,193.827,189.248,191.696,59073.634866097
2021-07-16,191.538,193.667,188.93,189.566,23195.235119793
2021-07-19,188.771,189.486,183.642,184.509,64840.996743768
2021-07-20,184.907,188.691,184.907,186.799,54405.656692044
2021-07-21,188.771,197.38,188.54,195.567,54925.159517666
2021-07-22,194.541,195.249,190.353,190.353,71004.589590134
2021-07-23,191.14,193.437,188.54,192.563,77842.404021327
2021-07-26,192.252,194.853,187.746,191.777,37801.692289589
2021-07-27,190.91,190.989,187.984,190.274,40167.757216938
2021-07-28,192.643,200.854,192.643,200.854,62765.501193461
2021-07-29,201.809,205.991,201.411,204.567,84961.982696925
2021-07-30,203.78,205.752,199.669,202.437,84485.2476584
2021-08-02,202.595,204.098,199.591,203.701,41367.771007844
2021-08-03,203.073,204.886,199.36,200.067,74109.027782957
2021-08-04,200.067,205.044,200.067,204.805,29555.05663637
2021-08-05,205.363,205.522,201.411,205.204,32957.611462782
2021-08-06,202.198,209.861,202.198,209.861,142050.68909128
2021-08-09,209.861,214.281,209.861,212.469,71792.020023159
2021-08-10,212.867,215.705,211.603,214.918,135138.65997071
2021-08-11,215.235,219.258,214.051,218.551,56884.930467591
2021-08-12,218.551,218.551,214.051,216.5,44042.015577511
2021-08-13,216.42,217.765,214.281,216.89,64706.404002021
2021-08-16,214.361,217.684,212.867,216.023,27697.173649822
2021-08-17,216.968,217.684,214.13,215.943,66417.115485911
2021-08-18,216.579,217.605,214.52,217.605,30558.841757063
2021-08-19,216.023,216.023,209.384,212.787,53284.889094878
2021-08-20,212.469,214.918,210.418,213.892,17055.541919158
2021-08-23,214.051,217.605,213.494,216.89,28580.202665771
2021-08-24,217.207,217.207,212.469,213.972,26282.06304734
2021-08-25,215.625,221.159,213.972,221.159,53484.891393362
2021-08-26,220.92,223.528,218.79,219.577,26235.52163197
2021-08-27,219.577,223.289,215.625,223.289,39936.308016177
2021-08-30,223.528,230.158,223.447,227.319,64196.964185128
2021-08-31,228.425,238.536,227.947,238.536,241479.50471188
2021-09-01,238.536,242.249,235.771,236.637,84814.811194267
2021-09-02,236.637,240.349,229.847,238.689,71448.619850291
2021-09-03,241.693,241.693,235.453,240.906,32282.132001863
2021-09-06,241.693,242.48,239.403,242.011,25358.781996476
2021-09-07,242.249,243.585,240.032,241.136,34014.227379302
2021-09-08,239.483,240.11,233.083,238.617,51837.073714028
2021-09-09,237.822,239.244,234.745,237.194,43867.170800849
