Date,Close,Open,Low,High,Volume
2021-05-26,58.4,58.71,57.33,58.74,609807
2021-05-27,58.28,58.15,57.51,58.85,2321612
2021-05-28,58.5,58.5,57.6,58.83,1479511
2021-05-31,57.66,58.7,57.28,58.82,487814
2021-06-01,59.21,58.9,57.89,59.96,1177366
2021-06-02,59.18,59.4,59,59.74,886587
2021-06-04,58.77,59,57.5,59.26,964784
2021-06-07,59.05,58.4,58.25,59.44,893616
2021-06-08,59.25,59.02,58.27,61.18,1951969
2021-06-09,59.64,59.5,58.88,60.23,1522661
2021-06-10,58.4,60,58.1,60.2,1905139
2021-06-11,58.3,58.67,58.02,58.86,610146
2021-06-14,58.5,58.54,58,59.17,926802
2021-06-15,58.79,59,58.56,60.08,1258238
2021-06-16,59.8,57.74,57.58,59.95,699683
2021-06-17,59.09,59.8,58.51,61.04,2192885
2021-06-18,60.05,59.35,58.8,60.5,3250796
2021-06-21,59.4,60.18,58.78,60.18,606399
2021-06-22,58.25,59.9,57.1,59.9,1181990
2021-06-23,60.25,59.13,58.53,60.28,997942
2021-06-24,62.54,60.45,60.24,63.08,2490704
2021-06-25,64.2,62.55,62.33,64.48,2317301
2021-06-28,63.94,64.2,62.3,64.21,998415
2021-06-29,65.5,63.8,63.57,65.84,1725203
2021-06-30,65.62,65.9,65.15,67.28,2320583
2021-07-01,67.3,66,64.55,68.33,2059122
2021-07-02,67.68,67.25,66,68.95,1644793
2021-07-05,69.05,67.7,67.65,69.54,1713798
2021-07-06,69.91,69.25,69,69.91,1024144
2021-07-07,73.38,70.03,70.03,75.9,4404103
2021-07-08,71.82,73.19,71.38,74.25,1748032
2021-07-09,71.55,71.83,70.6,72.75,914559
2021-07-12,73.69,71,70.83,74.83,1377603
2021-07-13,72.68,73.99,72.51,74.25,1297777
2021-07-14,73.49,72.6,72.14,73.49,762177
2021-07-15,72.99,73,72.25,73.53,549774
2021-07-16,73.6,73,72.71,73.87,822218
2021-07-19,72.9,73.87,72.46,73.9,1217846
2021-07-20,73.9,72.26,72.2,74.32,936733
2021-07-21,73.15,73.8,73,74.78,1044873
