Date,Close,Open,Low,High,Volume
2021-05-26,220.023,220.381,216.533,220.381,8925.0858912743
2021-05-27,218.989,220.023,217.584,221.78,37917.140882478
2021-05-28,213.742,219.681,213.043,219.681,13923.494236034
2021-05-31,220.388,218.547,214.481,222.23,16225.206598654
2021-06-01,220.76,222.969,220.388,224.446,6673.5506008419
2021-06-02,217.808,222.969,217.808,223.341,7482.816713803
2021-06-04,220.388,221.865,218.547,221.865,3724.6826661726
2021-06-07,212.266,220.76,211.901,220.76,9973.6580408186
2021-06-08,214.855,212.639,212.266,218.547,82276.24587878
2021-06-09,215.958,217.435,214.116,217.435,3567.7184916396
2021-06-10,211.901,215.958,211.901,216.331,2568.0368226876
2021-06-11,210.789,211.162,210.423,213.377,10497.300819793
2021-06-14,213.004,213.377,210.423,213.377,4313.9416164686
2021-06-15,213.004,214.116,211.162,214.855,4804.1330139856
2021-06-16,211.901,210.789,210.789,212.639,6876.832072778
2021-06-17,210.789,210.423,207.096,211.528,11192.060280841
2021-06-18,208.209,208.947,207.096,211.901,28160.916821135
2021-06-21,208.209,207.096,204.517,211.162,6337.7501946688
2021-06-22,210.423,211.162,207.47,211.901,16936.691750431
2021-06-23,208.947,211.901,208.209,211.901,4535.2353707283
2021-06-24,213.377,211.528,208.947,213.377,8643.3223320716
2021-06-25,209.312,214.481,209.312,214.481,5493.7461086552
2021-06-28,210.423,209.685,207.47,215.958,6421.3786483134
2021-06-29,207.47,210.423,207.096,211.901,15274.415410293
2021-06-30,206.731,207.47,206.731,212.266,14238.709176695
2021-07-01,203.405,206.359,202.302,208.947,36307.614797717
2021-07-02,202.302,204.144,202.302,206.359,4575.1197101588
2021-07-05,201.929,202.302,199.714,204.144,15727.29565157
2021-07-06,197.872,202.302,197.872,203.04,15301.433833779
2021-07-07,200.086,200.825,199.348,201.564,19024.829908357
2021-07-08,198.238,200.086,197.133,200.825,17927.367278221
2021-07-09,200.086,198.238,198.238,200.825,15379.915921046
2021-07-12,199.348,201.191,198.61,205.621,22867.879001227
2021-07-13,200.825,199.348,199.348,201.564,10996.498358472
2021-07-14,201.929,200.825,199.348,202.302,13994.256773734
2021-07-15,201.191,201.929,199.714,203.04,13501.492193028
