Date,Close,Open,Low,High,Volume
2021-05-26,152.602,155.809,152.602,158.81,415522.38319502
2021-05-27,165.728,156.372,156.285,165.728,1177962.5902146
2021-05-28,168.632,167.797,164.309,172.771,634075.18757652
2021-05-31,163.93,170.012,163.483,170.012,541422.13054555
2021-06-01,149.007,151.67,148.25,153.496,1886843.0883454
2021-06-02,156.975,149.611,148.444,157.169,1284090.7524492
2021-06-04,166.319,160.122,157.208,166.319,531518.83918779
2021-06-07,164.921,165.795,162.356,168.73,468013.63595348
2021-06-08,166.126,164.455,163.211,167.291,430295.48760897
2021-06-09,171.469,168.069,165.931,173.703,905653.47278162
2021-06-10,169.04,172.051,167.66,173.178,292554.19948516
2021-06-11,180.504,169.04,167.895,181.184,694500.60204226
2021-06-14,181.456,180.892,177.453,182.544,418389.09834224
2021-06-15,193.308,186.041,185.458,198.865,1619069.2480896
2021-06-16,180.834,201.1,180.698,205.616,1574405.1055572
2021-06-17,175.841,179.726,173.139,181.087,867940.47114295
2021-06-18,178.619,176.812,173.898,178.619,915417.80308198
2021-06-21,178.153,178.619,174.305,179.357,264349.22219652
2021-06-22,172.713,177.765,172.071,180.659,366909.68794992
2021-06-23,172.926,172.051,168.108,173.626,591984.39795898
2021-06-24,174.908,172.926,171.507,177.201,405868.19239943
2021-06-25,174.597,174.87,173.898,178.853,526214.64415956
2021-06-28,180.213,174.501,172.984,182.252,518893.9697872
2021-06-29,182.991,179.726,179.726,187.731,687402.26536175
2021-06-30,179.745,182.038,177.395,184.584,521123.52275269
2021-07-01,183.38,179.824,179.824,185.517,375840.25190585
2021-07-02,184.778,184.274,183.418,187.305,271940.61329552
2021-07-05,186.43,187.13,183.942,187.402,151240.06817429
2021-07-06,181.981,186.43,181.981,187.013,450589.97803716
2021-07-07,187.888,184.274,181.533,187.984,419479.17063699
2021-07-08,182.136,186.528,181.494,188.373,329165.80607627
2021-07-09,182.641,183.749,181.766,184.468,227310.43902154
2021-07-12,196.096,184.778,184.68,196.241,1063001.6514348
2021-07-13,197.65,196.728,195.562,200.275,429384.52067709
2021-07-14,190.356,197.214,189.927,197.408,338765.44179007
2021-07-15,189.363,190.393,187.616,192.025,411892.92624383
2021-07-16,188.605,189.383,187.984,192.317,287317.94097389
2021-07-19,180.989,188.082,179.377,188.471,523533.21042221
2021-07-20,182.252,181.533,179.862,183.418,411328.84728487
2021-07-21,179.221,182.641,175.258,188.704,428093.72685497
2021-07-22,180.737,181.961,179.961,185.555,261591.61721289
2021-07-23,180.97,182.156,180.562,183.69,225900.24162417
2021-07-26,178.755,183.517,177.143,183.517,348681.08524182
2021-07-27,177.998,179.163,176.054,179.513,326404.08372797
2021-07-28,178.542,177.998,171.761,178.814,688762.02504199
2021-07-29,178.755,180.698,177.647,183.904,555860.69908056
2021-07-30,179.473,177.453,173.547,179.533,316113.7600918
2021-08-02,170.012,178.25,169.623,178.25,853095.31284738
2021-08-03,170.517,171.955,169.138,172.323,423435.95807896
2021-08-04,170.11,170.517,167.738,172.926,251288.94148274
2021-08-05,173.158,170.867,169.759,174.655,299098.75061838
2021-08-06,169.158,173.218,168.554,173.256,187129.07726687
2021-08-09,167.097,170.012,165.795,170.245,236868.9010887
2021-08-10,161.424,167.679,161.424,167.875,542488.52799349
2021-08-11,162.59,161.462,159.403,163.755,233130.33397392
2021-08-12,162.104,162.239,160.043,163.289,180683.3428856
2021-08-13,164.086,162.823,161.735,167.951,203287.67489022
2021-08-16,160.296,164.086,160.296,165.639,287395.14156133
2021-08-17,166.145,160.783,159.811,166.65,408395.22496188
2021-08-18,161.851,165.29,161.754,165.543,221199.2405192
2021-08-19,163.503,162.317,159.889,163.871,198573.29235009
2021-08-20,161.016,163.483,159.694,163.503,424810.12853553
2021-08-23,160.51,161.424,159.52,162.997,197015.89916598
2021-08-24,161.054,161.482,160.315,162.123,184182.07350871
2021-08-25,160.86,160.996,159.461,161.656,236665.09153785
2021-08-26,163.25,160.278,158.548,166.027,473549.43274405
2021-08-27,162.997,163.426,160.783,163.678,211654.15988719
2021-08-30,162.842,163.094,159.714,165.038,453232.2968102
2021-08-31,164.494,162.997,162.511,167.699,739099.89608124
2021-09-01,165.503,166.126,164.572,168.943,451490.65155739
2021-09-02,184.565,174.87,174.482,187.459,1666552.7560757
2021-09-03,181.689,184.565,179.726,186.585,438712.41032308
2021-09-06,182.641,182,179.745,183.807,307194.5188887
2021-09-07,179.726,181.573,176.618,182.233,437191.04407978
