Date,Close,Open,Low,High,Volume
2021-05-26,28.04,28.3,27.8,28.9,688790
2021-05-27,28.39,28.01,28.01,28.64,2749870
2021-05-28,28.5,28.48,28.1,28.91,887800
2021-05-31,28.46,28.59,27.99,28.63,682050
2021-06-01,28.38,28.68,28.3,29.1,733490
2021-06-02,28.61,28.41,28.35,28.74,503170
2021-06-04,28.66,28.86,28.3,29.1,1168900
2021-06-07,28.61,28.67,28.47,29,446700
2021-06-08,28.29,28.61,28.19,28.69,859610
2021-06-09,27.98,28.24,27.87,28.3,731030
2021-06-10,27.17,27.6,26.91,27.78,1089880
2021-06-11,26.44,27.1,26.36,27.23,1660440
2021-06-14,27.02,26.54,26.54,27.1,1015770
2021-06-15,26.92,27.42,26.7,27.52,891250
2021-06-16,27,26.8,26.8,27.49,671370
2021-06-17,26.92,26.84,26.71,27.16,634950
2021-06-18,27.43,26.9,26.78,27.46,2584860
2021-06-21,27.02,27.45,26.95,27.61,501560
2021-06-22,27.5,27.26,26.85,27.51,810090
2021-06-23,27.28,27.5,27.1,27.69,991560
2021-06-24,27.4,27.1,27.1,27.65,1020210
2021-06-25,27.8,27.18,27.18,28.1,734870
2021-06-28,27.66,27.99,27.39,28,1158660
2021-06-29,27.86,27.82,27.51,28.01,939510
2021-06-30,27.99,27.89,27.56,28.38,1651600
2021-07-01,28.09,28.26,27.66,28.39,986520
2021-07-02,28.71,28.38,27.91,28.94,917210
2021-07-05,28.6,28.79,28.31,28.79,567340
2021-07-06,29.75,28.74,28.7,29.98,3518170
2021-07-07,30.56,29.9,29.57,30.6,1573050
2021-07-08,30.03,30.3,29.7,30.53,1841550
2021-07-09,29.2,30.19,29.18,30.19,935470
2021-07-12,30.03,29.18,29.18,30.28,845100
2021-07-13,30.4,30.25,30.03,30.4,535170
2021-07-14,30.04,30.24,29.9,30.59,804350
2021-07-15,29.93,29.97,29.63,30.44,1059370
2021-07-16,29.9,29.93,29.52,30.3,589300
2021-07-19,30,29.89,29.6,30,410840
2021-07-20,31.05,30.1,30,31.07,2144200
2021-07-21,30.63,31.07,30.5,31.16,1880300
2021-07-22,29.87,30.61,29.73,30.63,885030
2021-07-23,30.25,30.19,30.02,30.74,586390
2021-07-26,29.94,30.42,29.72,30.49,691340
2021-07-27,29.64,29.93,29.22,30.13,573290
2021-07-28,29.97,29.55,29.55,30.5,1963850
2021-07-29,30.55,30.11,29.8,30.65,1264620
2021-07-30,30.83,30.4,30.24,31.14,1101650
2021-08-02,30.75,30.83,30.28,30.98,1407030
2021-08-03,31.34,31,30.81,31.8,1649650
2021-08-04,30.95,31.1,30.75,31.63,881550
2021-08-05,31.14,30.94,30.9,31.37,815190
2021-08-06,30.81,31.06,30.49,31.32,636470
2021-08-09,31.15,30.73,30.54,31.17,490010
2021-08-10,31.21,31.2,30.75,31.27,577940
2021-08-11,30.96,31.3,30.81,31.8,1124660
2021-08-12,32.2,31,31,32.2,1100450
2021-08-13,32.14,32.1,31.74,32.26,594440
2021-08-16,33.12,32.14,32,33.9,2275430
2021-08-17,34,33.5,33.2,34.25,2726680
2021-08-18,33.4,34,33.2,34,1534940
2021-08-19,33.85,33.38,33.01,33.93,1146350
2021-08-20,32.07,32.92,31.31,33,2553320
2021-08-23,32.72,32.2,32.04,33.07,1043390
2021-08-24,31.73,32.66,31.73,32.66,1350550
2021-08-25,31.81,31.68,31.6,32.19,1139760
2021-08-26,32.6,32.15,31.71,32.9,1556030
2021-08-27,32,32.73,31.81,32.73,2544720
2021-08-30,32.3,32,31.77,32.62,655290
2021-08-31,32.46,32.37,32.13,32.8,1749990
2021-09-01,32.33,32.4,32.28,32.76,713430
2021-09-02,33.17,32.4,32.12,33.39,935450
2021-09-03,32.82,33.4,32.54,33.43,369040
2021-09-06,33.9,32.81,32.81,33.98,1171440
2021-09-07,33.83,33.9,33.58,33.99,1155410
2021-09-08,33.54,33.8,33.16,33.83,1244030
2021-09-09,34.06,33.63,33.52,34.13,814430
2021-09-10,34.03,34.2,33.92,34.5,615460
2021-09-13,33.75,34.2,33.16,34.21,1125320
2021-09-14,33.91,33.86,33.11,33.95,1186870
2021-09-15,33.22,33.45,33.15,33.82,1013490
2021-09-16,33.45,33.15,33.05,33.63,1312390
2021-09-17,33.2,33.46,33.15,33.58,5281930
2021-09-20,34.71,33.2,33.16,34.74,2112200
2021-09-21,34.36,34.7,34,34.79,1681000
2021-09-22,34.7,34.36,34.23,34.72,682040
2021-09-23,34.88,34.86,34.35,34.9,1110230
2021-09-24,33.36,34.6,33.01,34.9,2235470
2021-09-27,32.91,33.65,32.7,33.68,847950
2021-09-28,32.33,32.68,32.17,33,1215020
2021-09-29,33.02,32.3,32.21,33.48,602980
2021-09-30,33.22,33.45,32.37,33.45,2907900
2021-10-01,33.3,33.08,32.53,33.56,2081580
2021-10-04,33.19,33.21,32.91,33.46,1527810
2021-10-05,34,33.19,32.92,34.14,909890
2021-10-06,34.79,34.09,33.98,34.85,2343910
2021-10-07,35.15,34.46,34.46,35.2,1765200
2021-10-08,34.89,35.3,34.79,35.59,2035770
2021-10-11,35.48,35.05,34.42,35.67,1342080
2021-10-12,36.28,35.5,35.2,36.29,1741280
2021-10-13,37.03,36.5,35.66,37.03,1952510
2021-10-14,34.97,36.85,34.31,36.85,4140020
2021-10-15,36,34.9,34.55,36.13,2552960
2021-10-18,36.13,36,35.53,36.14,1660000
2021-10-19,36.96,36.17,36,36.96,1540920
2021-10-20,36.8,36.97,36.4,37,2338520
2021-10-21,37.4,36.99,36.75,37.63,1633210
2021-10-22,36.82,36.98,36.54,37.35,1324210
2021-10-25,37.48,36.94,36.93,37.48,832890
2021-10-26,36.5,37.5,36.14,37.68,3468330
2021-10-27,35.7,36.45,35.04,36.5,4706460
2021-10-28,35.8,35.62,35.24,36.2,1346390
2021-10-29,35.64,35.63,35.1,35.73,1108630
2021-11-02,36.28,35.95,35.65,36.41,1721430
2021-11-03,35.88,36.4,35.83,36.5,961970
2021-11-04,36,35.93,35.68,36.2,2283970
2021-11-05,35.38,32.54,30.6,36.41,5049820
2021-11-08,35.5,35.23,35.21,36.2,2573840
2021-11-09,34.7,35.69,34.53,35.7,1871970
2021-11-10,34.13,34.97,34,34.97,1653260
2021-11-12,33.6,34.2,33.44,34.2,2430660
