Date,Close,Open,Low,High,Volume
2021-05-26,187.937,185.716,183.685,188.081,540196.40158499
2021-05-27,189.073,187.937,186.431,190.683,1673439.6240507
2021-05-28,191.818,189.549,189.073,192.381,1541959.7048608
2021-05-31,190.97,192.857,190.302,195.222,356839.45231659
2021-06-01,197.395,191.436,191.436,199.283,621922.2861448
2021-06-02,198.053,197.491,193.991,198.435,794904.45874398
2021-06-04,193.143,192.857,189.549,193.705,952637.56621155
2021-06-07,190.398,192.381,189.358,192.476,591301.43331858
2021-06-08,189.168,189.739,186.994,190.588,766799.94291397
2021-06-09,184.677,189.644,184.354,190.026,631270.17914611
2021-06-10,186.623,185.297,183.734,188.891,621054.83691768
2021-06-11,187.042,188.605,187.042,191.723,495158.26988725
2021-06-14,186.755,186.146,183.876,187.986,452487.52985288
2021-06-15,175.888,183.4,175.888,184.867,1167860.4254193
2021-06-16,175.372,174.896,172.579,177.26,922118.45773241
2021-06-17,169.176,173.008,167.145,173.904,1216283.3922512
2021-06-18,170.605,168.747,168.317,173.228,1613175.5032589
2021-06-21,174.847,169.7,166.459,176.182,610645.44619225
2021-06-22,176.326,176.374,173.37,177.327,651748.06458872
2021-06-23,180.664,179.233,174.991,181.951,535867.54673575
2021-06-24,181.092,177.899,177.709,181.713,397655.71806614
2021-06-25,180.855,181.14,179.615,183.571,360472.87930902
2021-06-28,179.138,180.187,177.231,181.331,444448.67752321
2021-06-29,176.994,178.423,175.516,179.091,472781.85590644
2021-06-30,178.9,177.565,176.182,180.759,554914.71785455
2021-07-01,184.381,179.233,178.375,185.431,691992.67395522
2021-07-02,182.237,184.381,182.093,185.192,270411.30066468
2021-07-05,182.523,183.524,181.855,185.716,200426.92353941
2021-07-06,177.804,185.287,177.804,185.716,274272.34129953
2021-07-07,182.762,180.187,178.9,184.286,379658.50665271
2021-07-08,176.182,181.713,174.562,181.808,664615.05330585
2021-07-09,179.043,176.803,176.803,180.044,321107.25718838
2021-07-12,176.85,178.757,176.85,179.186,286315.93504291
2021-07-13,178.662,177.899,176.659,179.567,234192.41092778
2021-07-14,178.518,177.804,177.804,180.711,231275.39000805
2021-07-15,180.711,179.233,176.945,181.475,298931.18516934
2021-07-16,178.09,181.284,176.659,181.521,191284.61705384
2021-07-19,173.037,176.85,171.655,177.184,487887.22025921
2021-07-20,172.703,173.228,168.365,174.991,341844.22359726
2021-07-21,176.135,173.133,171.94,178.137,414736.1814451
2021-07-22,177.04,177.327,176.707,181.331,387176.05031748
2021-07-23,181.331,177.994,177.994,181.76,374266.05625777
2021-07-26,184.858,182.952,181.713,185.621,470687.18104967
2021-07-27,185.621,184.858,181.14,185.621,448913.89077574
2021-07-28,183.667,184.43,182.475,185.05,200346.15740823
