Date,Close,Open,Low,High,Volume
2021-05-26,197.091,197.091,189.271,197.249,52327.249696763
2021-05-27,201.646,197.249,197.249,205.724,88434.148568257
2021-05-28,210.112,203.442,202.947,212.562,76949.443798681
2021-05-31,210.112,210.112,208.484,211.747,34491.420663431
2021-06-01,213.376,209.298,206.856,216.144,32500.617917173
2021-06-02,226.891,215.657,215.657,227.546,46638.59585283
2021-06-04,226.078,226.891,222.496,227.06,24770.289025121
2021-06-07,217.444,223.469,216.144,223.469,44695.273921645
2021-06-08,216.471,216.144,214.189,220.214,46640.856844024
2021-06-09,217.444,217.444,215.004,217.772,35932.802549563
2021-06-10,225.592,217.285,216.799,225.592,38000.478996413
2021-06-11,220.382,224.777,219.081,225.918,26594.908918624
2021-06-14,219.567,220.214,218.426,223.15,17579.20653282
2021-06-15,221.027,219.727,218.268,224.123,17609.729913938
2021-06-16,224.291,219.895,219.895,228.033,38727.387665262
2021-06-17,223.308,223.15,221.682,225.264,33782.599924133
2021-06-18,222.822,223.308,222.168,229.829,50022.16917455
2021-06-21,221.841,223.15,220.054,226.733,6281.0335367427
2021-06-22,225.75,222.982,219.895,226.246,15939.987917219
2021-06-23,230.5,227.785,221.682,233.216,22404.161740671
2021-06-24,220.496,229.315,220.496,231.014,9706.4351955495
2021-06-25,223.716,219.983,215.746,225.582,9076.7491480395
2021-06-28,222.699,218.798,217.949,224.565,7498.577294675
2021-06-29,216.259,222.194,213.88,223.044,39039.404450024
2021-06-30,213.031,216.595,209.475,217.276,27867.846960808
2021-07-01,214.225,215.914,212.014,216.259,12542.848648337
2021-07-02,225.582,215.41,214.561,228.635,48778.624017886
2021-07-05,226.432,222.867,221.849,228.129,7612.7573499686
2021-07-06,234.915,226.432,225.75,234.915,34672.299958946
2021-07-07,229.829,233.216,229.829,234.915,24961.342781008
2021-07-08,231.182,231.014,226.432,231.35,23400.128361598
2021-07-09,246.617,231.182,230.165,249.837,45974.994937412
2021-07-12,254.083,248.484,243.734,254.251,67166.134902537
2021-07-13,256.118,254.251,253.57,260.186,42113.221978174
2021-07-14,256.79,256.967,255.268,257.984,29399.668494696
2021-07-15,259.001,256.454,256.118,261.886,36213.165457609
2021-07-16,259.505,257.808,254.587,262.558,24099.90513612
2021-07-19,256.967,259.673,252.889,261.035,31660.659688628
2021-07-20,262.053,254.587,254.587,266.291,43613.389635349
2021-07-21,256.454,262.903,255.773,277.993,40290.863075865
2021-07-22,256.79,256.967,255.437,262.903,40667.318109655
2021-07-23,257.639,260.691,251.536,260.691,19652.535457657
2021-07-26,255.268,254.587,252.553,257.808,25502.850171954
2021-07-27,251.872,255.941,246.449,255.941,24101.035631716
2021-07-28,266.291,248.139,248.139,267.653,20248.306637257
2021-07-29,262.903,266.459,262.726,267.14,11020.071079224
2021-07-30,256.967,262.726,255.773,262.726,38572.509768478
2021-08-02,262.053,260.868,260.018,264.256,19228.599608793
2021-08-03,261.035,264.592,256.967,264.592,22211.977489187
2021-08-04,254.083,260.868,251.872,260.868,17694.517083711
2021-08-05,256.454,254.419,251.023,257.471,15622.318654472
2021-08-06,254.419,256.79,250.519,258.32,12415.102645879
2021-08-09,249.669,254.419,249.669,256.622,18362.639981517
2021-08-10,259.842,251.023,251.023,262.053,15594.056264549
