Date,Close,Open,Low,High,Volume
2021-05-26,292,285.2,285,293.2,25923
2021-05-27,297.8,292.6,290.6,301,39896
2021-05-28,300,300.8,297,304,58352
2021-05-31,302.4,300,298.2,304,23903
2021-06-01,307,304,300.6,310,25743
2021-06-02,300,308,299.6,309.4,31338
2021-06-04,301.6,300.8,300.2,306.4,22911
2021-06-07,303.2,303,301.6,308,19145
2021-06-08,294.4,302,292.8,302.8,27751
2021-06-09,300,294.8,294.8,302.4,23514
2021-06-10,296.6,298.2,294,298.8,42958
2021-06-11,294,298,291.8,298,65043
2021-06-14,308,294,292.6,310,20047
2021-06-15,296.6,306,296,308.6,16145
2021-06-16,301.6,294,294,302.6,20335
2021-06-17,299,301.8,297.4,302.4,11883
2021-06-18,310,299.8,297,310,90612
2021-06-21,315,309.8,305,315.8,40884
2021-06-22,327,317,314.8,327,43648
2021-06-23,337,326,326,339.8,44296
2021-06-24,346.4,339,333,354.8,34446
2021-06-25,346.6,350,340.4,358,30856
2021-06-28,344.6,343.8,341.8,348.2,36025
2021-06-29,339.2,345,337.2,346,46695
2021-06-30,325,337,317.4,338.4,114091
2021-07-01,327.8,327.8,320,332,75709
2021-07-02,325,325.2,322,328.8,34615
2021-07-05,327.2,322,319,330.8,20907
2021-07-06,317.8,327.2,317.4,331,16467
2021-07-07,320,317.8,317.8,323.4,17627
2021-07-08,312.4,317.6,312.4,322.4,29913
2021-07-09,322.4,313,312.2,322.4,10937
2021-07-12,304,321,301.4,321,36419
2021-07-13,304.6,304.4,304.2,312.4,16675
2021-07-14,308,305,305,315.6,24655
2021-07-15,304.6,309.2,301.4,310.6,13848
2021-07-16,300.6,304.6,300.6,308.4,15619
2021-07-19,287.4,301,283,301,35207
2021-07-20,297.2,285.8,285.8,297.4,36733
2021-07-21,314.2,297.2,295,317.8,45194
2021-07-22,305.8,316,305,319.8,29440
2021-07-23,308,306.2,301.8,308.8,19909
2021-07-26,306.2,310.6,300.6,311.4,23672
2021-07-27,307.8,308,306.2,315,18279
2021-07-28,316.8,311.4,308.2,317.8,14768
2021-07-29,318.6,317.6,316.6,321,7509
2021-07-30,320.8,314,311,323.8,27629
2021-08-02,325.4,322.8,317.8,326.4,14077
2021-08-03,306,329,305,329.2,35867
2021-08-04,317.2,311.8,307,317.2,37961
2021-08-05,320.8,315,313.4,320.8,25436
2021-08-06,320.2,321,313.8,321,34297
2021-08-09,320,320,317.8,323.4,14644
2021-08-10,314.4,320,314,320.2,12888
2021-08-11,322.2,314.4,310,323,43092
2021-08-12,322,322.2,316,324.6,12032
2021-08-13,326.4,323,320,326.4,12592
2021-08-16,331.4,326.6,321.8,332.4,11964
2021-08-17,329,330.8,321,330.8,19142
2021-08-18,329.4,326.6,321.2,330.2,10655
2021-08-19,325,326.8,321.4,328,13973
2021-08-20,329.8,322,322,330,9187
2021-08-23,336,329.8,328,336,19961
2021-08-24,334.8,335.2,332.6,336.8,7669
2021-08-25,348.8,335,334.2,348.8,32546
2021-08-26,355.8,348.8,348,357.2,27317
2021-08-27,358.8,355.4,349.6,360,19256
2021-08-30,358.4,359,353.2,365.8,32026
2021-08-31,371,358,355.4,372.2,49433
2021-09-01,377,375,373.2,383,33979
2021-09-02,381.2,376,365,385,24417
2021-09-03,384.8,380,376.6,387.6,25161
2021-09-06,383,383.4,379.4,387.6,9530
2021-09-07,385,383,379.8,387.4,12427
2021-09-08,377.6,385,374.4,385,12340
2021-09-09,381.8,373.8,366.6,384,16528
2021-09-10,379.2,381.8,376.2,384.8,8628
2021-09-13,384,381,376,384,14359
2021-09-14,396,384,380,399.8,48288
2021-09-15,392.8,392,388,398.6,17188
2021-09-16,396.2,392.4,389,399,18983
2021-09-17,397.2,396.2,394,400,39215
2021-09-20,374,394.8,371,394.8,39881
2021-09-21,381,372.8,372.8,392.4,22304
2021-09-22,391.2,380.2,380.2,394,17870
2021-09-23,398.4,394.6,394.4,400,28497
2021-09-24,400,399.4,390.2,400,18234
2021-09-27,410,400,397.2,417.8,44231
2021-09-28,393,408.8,392,409,32866
2021-09-29,409.6,393,393,409.6,10168
2021-09-30,411,409,401.6,413,26271
2021-10-01,420.2,405.8,402.2,426.2,28881
2021-10-04,423,420,416,432,27362
2021-10-05,424,420,419,429,19333
2021-10-06,464,423,422.4,465.2,91525
2021-10-07,466,461,458,467.8,50841
2021-10-08,466.2,465.2,450,470.8,70700
2021-10-11,466,466.2,464.2,474.4,27579
2021-10-12,490.8,463,460,493.8,82317
2021-10-13,484,485,478,494,30506
2021-10-14,498,477.6,477.6,498,60659
2021-10-15,511,493.8,493.8,511,39310
2021-10-18,520.5,509,508,527,45201
2021-10-19,521,520,515,526,47092
2021-10-20,522,521.5,514.5,525,28798
2021-10-21,528,521,516.5,530,46907
2021-10-22,519.5,528,519.5,542.5,43827
2021-10-25,530,520,520,531.5,31161
2021-10-26,537,530,524.5,538,22349
2021-10-27,553,537,531,557,58252
2021-10-28,552.5,554,542,557.5,36084
2021-10-29,564.5,551,545,597.5,73332
2021-11-02,556,568,551,583.5,89678
2021-11-03,526.5,576,523.5,578,50934
2021-11-04,570,525,523,575,107541
2021-11-05,569.5,573,565.5,583,69744
2021-11-08,575,570,566,584,36238
2021-11-09,555.5,569,555.5,578,20275
2021-11-10,553,547.5,537.5,563,31894
2021-11-12,562,562,553.5,575,89438
2021-11-15,573,559.5,558,581,87937
2021-11-16,569.5,573.5,557,584.5,71334
2021-11-17,555,570,547,575,69038
2021-11-18,499.4,552,499,552,146091
2021-11-19,516.5,507.5,489.4,524.5,72883
2021-11-22,530,512,512,540,69664
2021-11-23,508.5,529.5,506,530,94163
2021-11-24,513.5,508.5,508,525,137747
2021-11-25,510,512.5,505.5,519,102329
2021-11-26,493.6,494.8,484.2,505.5,103732
2021-11-29,494.8,493.6,474,508.5,181502
2021-11-30,496.6,482.2,470.4,500,208078
