Date,Close,Open,Low,High,Volume
2021-05-26,44.3194,41.3647,41.3647,44.3194,18945416.806669
2021-05-27,43.3345,44.3194,43.236,44.3194,6113420.9361489
2021-05-28,43.9697,43.9057,42.9602,44.1667,2883521.4719155
2021-05-31,43.3345,43.9697,42.9652,43.9697,932165.06437375
2021-06-01,43.3345,43.3246,43.039,43.6201,921744.4518517
2021-06-02,43.0735,43.3345,42.7189,43.4281,236034.03189376
2021-06-04,43.1818,43.0883,42.8913,43.3296,588151.83933277
2021-06-07,43.236,43.172,43.044,43.5758,727146.13820916
2021-06-08,43.236,43.3345,43.236,43.5659,967910.72001428
2021-06-09,43.2409,43.236,43.1572,43.5167,641482.46898376
2021-06-10,43.0341,43.3345,42.8421,43.4231,744787.97223144
2021-06-11,42.9405,42.9405,42.8125,43.2163,296598.06733323
2021-06-14,42.5466,42.8913,41.8572,43.172,1248634.6904782
2021-06-15,42.2019,42.7436,41.867,42.7436,600150.31718263
2021-06-16,42.8371,42.3496,41.5617,42.8371,450916.13939316
2021-06-17,43.1277,42.6451,41.9114,43.2163,774920.73242016
2021-06-18,43.3296,43.0587,42.4481,43.3837,305891.63319256
2021-06-21,43.3739,43.3148,42.6648,43.6201,179673.57589903
2021-06-22,44.8611,43.3345,43.236,45.1023,691684.7826277
2021-06-23,46.2399,44.93,44.4376,46.2891,442408.46012567
2021-06-24,48.8203,46.2399,45.7967,50.8589,575589.83815156
2021-06-25,49.7362,47.9634,47.9634,50.4748,1241735.3372591
2021-06-28,50.5241,49.815,49.5097,51.1544,1087247.7005211
2021-06-29,50.2286,50.5241,49.746,51.1544,610528.28469582
2021-06-30,48.2589,49.8445,47.7861,50.2286,1311123.8434605
2021-07-01,49.5491,48.2589,47.5695,49.7362,720976.82692747
2021-07-02,50.6226,49.7362,49.4112,51.1052,1522602.4731099
2021-07-05,51.0953,51.0165,50.6226,51.9718,174316.55050038
2021-07-06,50.8392,51.2135,50.8195,52.0408,260838.19668974
2021-07-07,51.7059,50.9279,50.7998,52.0999,1299141.6113283
2021-07-08,51.2135,52.0014,50.7211,52.0014,276631.06497075
2021-07-09,51.0067,51.4105,50.6718,51.4105,163049.12994527
2021-07-12,51.44,51.2036,50.9673,51.5582,32816.349674816
2021-07-13,52.3264,51.4499,51.4499,52.612,161781.96396772
2021-07-14,51.2135,52.4446,50.8885,53.0158,512512.79326144
2021-07-15,51.2135,52.1885,50.8195,52.1885,1107372.0832734
2021-07-16,52.0999,51.2135,51.2135,52.612,72899.611930779
2021-07-19,52.1984,52.0999,49.7756,52.1984,252781.33608734
2021-07-20,52.2378,51.8044,51.312,52.9272,371964.99763374
2021-07-21,52.937,52.2378,52.2378,53.2325,310065.76727403
2021-07-22,53.7348,52.6908,52.1984,54.1386,381228.10277246
2021-07-23,53.5083,54.1484,53.1931,54.1484,318761.28765197
2021-07-26,53.3999,53.6067,52.6908,54.1484,284505.16124947
2021-07-27,53.9121,53.5772,53.4295,54.4636,268117.29355914
2021-07-28,53.6757,54.1189,53.4886,54.6212,257738.31068859
2021-07-29,53.2817,54.2272,51.8044,54.2272,197042.27879314
2021-07-30,52.6908,53.2817,52.1984,53.9514,177726.12049444
2021-08-02,54.0401,53.1734,52.8287,54.9954,574685.15474932
2021-08-03,53.7545,54.178,53.3901,54.6507,666247.03484295
2021-08-04,54.7689,53.7545,53.528,54.7689,568942.29355623
2021-08-05,55.153,54.7689,53.6855,55.5469,749235.23744108
2021-08-06,54.9068,55.478,54.6015,55.478,80290.398109089
2021-08-09,54.1681,54.9068,53.7348,55.3106,179097.86827943
2021-08-10,54.2666,54.178,54.178,55.2515,630840.50855859
2021-08-11,54.2666,54.3651,54.178,55.0545,1041641.9096178
2021-08-12,54.1681,54.1681,53.9022,55.3401,190484.08564494
2021-08-13,55.2613,54.3257,54.1484,56.5712,377799.24098867
2021-08-16,55.153,56.4235,54.178,56.4235,194992.27229581
2021-08-17,55.0939,55.153,54.6606,56.1182,116322.38452339
2021-08-18,55.3697,55.153,54.6803,55.6356,539491.85350926
2021-08-19,54.828,55.3697,53.6757,56.0197,393997.23685384
2021-08-20,54.6606,54.828,53.7939,55.6454,786717.15415661
2021-08-23,54.4734,54.8674,54.2272,55.153,30923.723567333
2021-08-24,54.6606,54.4045,54.1386,54.7393,38792.743059283
2021-08-25,54.4636,54.5325,54.1681,54.6803,60366.040755471
2021-08-26,54.1681,54.1681,52.7696,54.6212,173974.37507215
2021-08-27,53.3999,54.0302,53.3999,54.2568,73835.771410982
2021-08-30,54.1681,53.4295,53.1931,54.6015,187830.95687946
2021-08-31,52.9863,54.2962,52.3363,54.2962,269556.05492947
2021-09-01,51.9029,52.9863,51.4302,53.2719,509140.79148947
2021-09-02,51.2135,51.8044,49.746,51.9029,241881.4748943
2021-09-03,50.8195,51.2135,50.1597,51.2135,347453.25575565
2021-09-06,51.2135,50.918,50.7309,51.6961,271497.41818994
2021-09-07,51.637,51.2135,51.0264,52.4052,374558.22031534
2021-09-08,50.4157,51.7256,49.4407,52.2181,309916.50974302
2021-09-09,50.0218,50.2385,49.3521,50.6226,415312.63378217
2021-09-10,49.5983,50.3271,49.3718,51.0067,153233.67040608
2021-09-13,49.293,49.7362,48.9483,50.9968,268419.87005057
2021-09-14,49.2437,49.3521,48.8547,49.7263,156208.66745271
2021-09-15,49.2388,49.2437,47.7861,49.6672,394316.05906294
2021-09-16,47.4119,49.1453,47.402,49.5392,216277.20850352
2021-09-17,47.1755,47.4119,46.7914,48.2392,254726.76077722
2021-09-20,46.8259,46.9785,46.0971,47.274,180198.51565095
2021-09-21,48.5051,47.0622,46.9884,49.1945,323046.09568501
2021-09-22,49.3422,49.5885,48.7513,49.5885,162617.6030699
2021-09-23,51.5582,49.7362,49.0025,51.7552,831810.18959622
