Date,Open,High,Low,Close,Volume
2021-05-26,8046.66,8088.64,8009.68,8016.68,1799671.713834
2021-05-27,7997.68,8096.64,7922.72,8096.64,7957426.0824848
2021-05-28,8011.68,8117.63,7993.68,8042.66,2489176.9890917
2021-06-01,8091.64,8103.64,7942.71,7953.7,2817989.2563619
2021-06-02,7931.71,7988.68,7881.73,7928.72,2357386.6593658
2021-06-03,7928.72,7969.69,7866.73,7944.71,1516969.4105364
2021-06-04,7989.68,8055.66,7928.72,8051.66,1553958.5904151
2021-06-07,8025.67,8042.66,7959.7,8001.68,1776408.7139649
2021-06-08,7978.68,8040.66,7921.72,7931.71,1982703.4486712
2021-06-09,7960.7,8165.61,7927.72,8126.63,2539833.3439075
2021-06-10,8175.61,8290.57,8157.62,8278.57,2959874.4539214
2021-06-11,8330.54,8420.51,8303.56,8336.54,3225562.2945229
2021-06-14,8350.53,8392.52,8301.56,8344.53,3212322.1562973
2021-06-15,8386.53,8405.51,8327.54,8339.54,1938866.6801202
2021-06-16,8322.54,8416.51,8315.55,8400.52,2644748.3632219
2021-06-17,8312.56,8379.53,8275.57,8379.53,2214896.4097913
2021-06-18,8408.51,8434.49,8343.53,8380.53,4456292.0976675
2021-06-21,8360.53,8472.49,8349.53,8404.51,1289711.8737039
2021-06-22,8353.53,8406.51,8266.57,8346.53,1752012.6166858
2021-06-23,8312.56,8428.51,8260.57,8318.54,2124699.655774
2021-06-24,8333.54,8488.48,8304.56,8411.51,2617591.0285653
2021-06-25,8376.53,8507.47,8350.53,8495.47,2528588.3772024
2021-06-28,8510.47,8687.39,8475.49,8662.42,2791572.9854129
2021-06-29,8658.42,8724.38,8598.43,8670.4,1687952.1095444
2021-06-30,8670.4,8735.38,8654.42,8679.39,2066515.6538228
2021-07-01,8696.39,8740.38,8653.42,8738.38,1890842.5515911
2021-07-02,8746.38,8806.34,8732.38,8775.36,1427736.7393992
2021-07-05,8747.38,8773.36,8660.42,8674.4,909259.16701831
2021-07-06,8668.4,8774.36,8658.42,8717.38,1612188.5963212
2021-07-07,8672.4,8705.39,8611.43,8654.42,3445006.1596312
2021-07-08,8632.42,8664.41,8547.46,8585.43,1982144.400611
2021-07-09,8571.44,8672.4,8530.46,8644.42,1427491.7183352
2021-07-12,8623.42,8773.36,8610.43,8758.37,1539076.3110182
2021-07-13,8698.39,8761.37,8654.42,8755.37,5042079.4565232
2021-07-14,8737.38,8756.37,8592.43,8665.4,2337449.9454502
2021-07-15,8610.43,8629.42,8304.56,8342.53,3789920.811188
2021-07-16,8223.58,8336.54,8171.61,8336.54,4073927.2265973
2021-07-19,8279.57,8311.56,8186.61,8303.56,3267324.8847613
2021-07-20,8344.53,8509.47,8293.57,8452.49,60316397.268514
2021-07-21,8513.47,8670.4,8419.51,8455.49,5160416.6297107
2021-07-22,8479.49,8498.47,8346.53,8455.49,2994027.3899745
2021-07-23,8448.49,8521.47,8436.49,8476.49,1866508.4596426
2021-07-26,8485.48,8489.48,8253.57,8288.57,1968484.2262758
2021-07-27,8217.59,8358.53,8185.61,8249.58,5107434.0749165
2021-07-28,8239.58,8293.57,8207.59,8262.57,2211786.1424084
2021-07-29,8246.58,8395.52,8138.62,8273.57,3009821.7477808
2021-07-30,8214.59,8277.57,8176.61,8264.57,3873138.9652704
2021-08-02,8267.57,8296.57,8170.61,8270.57,5219680.724515
2021-08-03,8275.57,8331.54,8248.58,8293.57,1398250.2045064
2021-08-04,8333.54,8353.53,8238.58,8266.57,2570442.9753505
2021-08-05,8346.53,8370.53,8238.58,8338.54,2391487.5909482
2021-08-06,8354.53,8379.53,8137.62,8153.62,1782540.2410788
2021-08-09,8199.61,8219.59,8107.64,8191.61,2194956.6956178
