Date,Open,High,Low,Close,Volume
2021-05-26,494.752,500.655,493.804,498.375,7315576.8007068
2021-05-27,499.322,506.933,496.469,502.373,10145519.823693
2021-05-28,506.746,506.933,500.082,501.04,5121849.5094437
2021-06-01,500.28,505.798,498.572,502.748,6064324.4003225
2021-06-02,501.8,507.506,501.228,505.225,6661072.1320466
2021-06-03,505.601,506.173,503.508,506.173,3773692.2842358
2021-06-04,506.558,509.223,502.373,506.746,3240677.2532116
2021-06-07,509.026,511.129,503.508,509.411,2417009.5415105
2021-06-08,508.651,510.744,505.225,509.411,8854684.9528392
2021-06-09,508.276,508.838,503.508,508.276,3545391.567522
2021-06-10,509.796,510.931,505.423,509.026,3552089.609564
2021-06-11,507.703,510.931,504.456,509.796,4986173.6375736
2021-06-14,512.076,515.877,507.881,507.881,9266059.4072884
2021-06-15,511.306,512.836,507.506,511.306,6364722.2661845
2021-06-16,511.504,518.355,510.171,516.074,5111436.7486831
2021-06-17,513.409,518.73,509.223,517.595,3875383.5955458
2021-06-18,519.302,519.5,508.078,509.984,10069663.383254
2021-06-21,506.558,513.024,501.603,512.836,3760105.7537055
2021-06-22,513.597,515.304,509.796,512.076,4123093.6415887
2021-06-23,513.784,513.982,506.933,506.933,4764489.9218607
2021-06-24,508.838,509.984,504.08,507.703,4212332.9969429
2021-06-25,508.651,509.599,502.56,509.026,6616915.9078229
2021-06-28,506.371,507.703,499.895,500.082,4990386.7586947
2021-06-29,499.52,501.603,496.854,498,5788674.4423681
2021-06-30,497.23,499.707,489.816,496.667,5729766.7226491
2021-07-01,500.655,501.04,495.147,500.655,2711953.3453105
2021-07-02,501.04,503.508,497.23,499.895,3749316.152104
2021-07-05,500.467,503.133,496.469,501.8,2340813.7417117
2021-07-06,500.467,502.175,497.042,500.467,5947031.6755993
2021-07-07,502.945,505.798,499.52,503.32,3505045.2852403
2021-07-08,502.56,507.131,501.04,507.131,5810805.7376631
2021-07-09,510.931,517.407,508.453,511.879,6510092.672589
