Date,Open,High,Low,Close,Volume
2021-05-26,170.628,171.25,167.076,171.033,42687359.503914
2021-05-27,170.529,175.67,170.421,175.266,63029483.12526
2021-05-28,176.509,176.795,174.309,174.703,34947485.165729
2021-06-01,176.509,177.96,175.651,177.062,29384197.31717
2021-06-02,177.614,178.039,175.739,177.881,25632530.70673
2021-06-03,178.66,178.66,175.572,177.782,22005256.797859
2021-06-04,177.368,177.782,175.118,175.522,18080521.33183
2021-06-07,176.065,179.39,175.572,178.394,32577289.580053
2021-06-08,177.703,179.371,175.937,176.657,51393630.46844
2021-06-09,176.045,176.282,171.506,172.207,33158424.951548
2021-06-10,172.542,173.648,170.727,170.845,32177283.902544
2021-06-11,170.529,172.69,170.253,172.128,25940666.743501
2021-06-14,173.263,174.101,170.934,171.171,22652835.813793
2021-06-15,171.21,171.27,168.951,170.993,40732121.771974
2021-06-16,171.605,173.361,167.332,168.99,33950893.331937
2021-06-17,170.115,173.509,169.612,170.608,47352883.383763
2021-06-18,168.97,169.562,163.859,163.977,109155093.22195
2021-06-21,162.142,165.25,160.267,165.004,40604549.934114
2021-06-22,165.862,166.148,163.573,164.619,24010609.757307
2021-06-23,164.658,166.395,164.658,164.875,20724130.745932
2021-06-24,165.25,167.135,164.471,166.395,24543687.168323
2021-06-25,167.954,168.398,165.537,166.819,19746694.804445
2021-06-28,166.819,167.096,163.642,163.642,21566052.582711
2021-06-29,164.273,168.872,164.214,165.25,26107750.269498
2021-06-30,165.714,166.553,161.54,163.257,31948302.988213
2021-07-01,165.004,168.112,165.004,167.253,36252351.876482
2021-07-02,168.25,168.891,164.195,164.451,22848110.992109
2021-07-05,164.658,170.095,164.412,169.543,23678952.976461
2021-07-06,169.691,169.908,162.576,163.642,42930082.556625
2021-07-07,163.642,165.902,162.596,164.579,30154481.670336
2021-07-08,163.04,163.04,157.643,159.942,44002245.003753
2021-07-09,160.859,165.497,159.823,165.398,40007026.353199
2021-07-12,165.112,165.556,160.82,164.796,27369766.033562
2021-07-13,167.273,168.398,162.004,162.201,40357676.877224
2021-07-14,161.757,165.655,161.264,162.862,40449142.15858
2021-07-15,163.395,163.395,160.445,161.363,33529249.867073
2021-07-16,162.675,162.981,156.705,157.83,36844556.966084
2021-07-19,155.363,156.449,149.719,152.008,44711874.436259
2021-07-20,153.034,155.501,149.946,154.238,46407058.414276
2021-07-21,154.189,160.178,153.814,159.527,28327369.110146
2021-07-22,160.682,162.399,157.268,157.731,26922272.957809
2021-07-23,158.876,160.8,158.018,159.448,19521642.966108
2021-07-26,157.623,162.142,155.709,161.659,23152096.01127
2021-07-27,161.58,162.339,158.837,161.599,22241487.804961
2021-07-28,167.313,170.441,164.56,164.836,56149574.781218
2021-07-29,166.148,169.582,166.148,168.132,33622837.275107
2021-07-30,167.372,169.128,166.148,166.494,29137368.851289
2021-08-02,168.743,170.993,167.411,167.826,31561214.515408
2021-08-03,168.398,170.332,166.415,168.27,27206111.961567
2021-08-04,169.947,170.973,168.378,170.628,46558769.189751
2021-08-05,169.01,171.585,168.27,171.467,30580956.165706
2021-08-06,171.151,174.98,170.727,174.279,45136570.358409
2021-08-09,174.792,176.341,173.805,175.917,26187039.164967
2021-08-10,176.47,177.279,175.118,176.864,24995222.824459
2021-08-11,177.18,178.581,175.72,177.94,22504246.408983
2021-08-12,177.94,179.736,177.111,177.703,34716127.753278
2021-08-13,177.999,179.538,177.94,178.522,23247846.083264
2021-08-16,176.489,178.226,174.22,176.42,51474352.356805
2021-08-17,175.513,177.052,173.944,175.739,44755409.449571
2021-08-18,175.532,176.361,172.769,175.917,182656232.74017
2021-08-19,172.463,174.851,171.516,172.542,42038988.997561
2021-08-20,172.829,173.717,170.648,172.947,28395765.638114
2021-08-23,175.216,176.588,173.134,174.18,19190892.193501
2021-08-24,175.661,175.661,172.69,175.355,30289760.658813
2021-08-25,175.917,178.927,174.427,178.562,25797899.505726
2021-08-26,177.151,179.41,176.805,177.979,39945291.11399
