Date,Open,High,Low,Close,Volume
2021-05-26,2539.38,2547.61,2522.94,2536.65,2347469.8500403
2021-05-27,2536.65,2546.68,2512.9,2520.66,12595411.279008
2021-05-28,2515.18,2527.51,2474.99,2478.18,4382258.2667635
2021-06-01,2484.58,2489.14,2468.13,2480,3780999.5189421
2021-06-02,2482.76,2501.02,2473.16,2494.18,4456480.6167687
2021-06-03,2504.22,2507.88,2466.3,2507.88,3758450.2381356
2021-06-04,2507.88,2511.53,2484.58,2497.37,1246955.3027246
2021-06-07,2504.67,2548.98,2486.4,2533.9,3149705.3479614
2021-06-08,2558.56,2595.1,2540.75,2543.96,3795629.0372348
2021-06-09,2534.82,2568.16,2528.42,2567.7,3014936.2018891
2021-06-10,2568.16,2593.28,2568.16,2572.73,2206615.567707
2021-06-11,2577.75,2586.88,2559.47,2563.14,1832858.7346979
2021-06-14,2578.2,2592.82,2553.54,2553.54,2007565.3300373
2021-06-15,2577.75,2618.86,2568.16,2599.21,4399848.7912991
2021-06-16,2590.07,2599.67,2569.07,2580.49,2722707.1861709
2021-06-17,2566.32,2609.72,2566.32,2600.12,3483339.9269206
2021-06-18,2594.65,2598.3,2543.49,2550.34,6591731.597818
2021-06-21,2545.31,2569.98,2535.28,2568.16,1751792.4131497
2021-06-22,2572.73,2579.12,2550.8,2552.64,1895806.9605143
2021-06-23,2553.54,2557.19,2532.07,2532.07,1852984.904747
2021-06-24,2539.83,2544.41,2527.05,2531.16,2081169.2550985
2021-06-25,2546.23,2557.64,2538.01,2545.31,1771622.2760889
2021-06-28,2545.78,2581.85,2545.31,2572.26,2730059.1127596
2021-06-29,2580.03,2607.88,2577.29,2583.68,2495131.9689029
2021-06-30,2580.49,2585.06,2546.68,2557.64,2785711.163151
2021-07-01,2572.73,2586.88,2554.47,2583.23,2442025.8883147
2021-07-02,2583.23,2606.98,2573.18,2576.84,3114808.2168528
2021-07-05,2579.58,2593.73,2564.96,2583.68,1214737.3247542
2021-07-06,2576.84,2582.76,2556.74,2560.39,2379737.3846005
2021-07-07,2564.96,2584.59,2548.52,2577.75,2650194.5385151
2021-07-08,2573.93,2581.84,2547.85,2568.8,3316103.9874997
2021-07-09,2565.55,2587.9,2559.48,2581.84,2132326.1098196
2021-07-12,2574.86,2589.76,2566.94,2581.84,5203548.2734785
2021-07-13,2584.17,2601.4,2573.47,2590.68,2931406.5048543
2021-07-14,2573.47,2611.64,2553.44,2607.45,3196217.304814
2021-07-15,2609.31,2637.72,2591.62,2600.94,5155439.1490325
2021-07-16,2625.61,2669.38,2614.44,2651.22,4653334.8780512
2021-07-19,2630.74,2638.65,2550.18,2557.16,3704232.2315628
2021-07-20,2569.75,2600.94,2536.22,2536.69,5516973.0556432
2021-07-21,2542.26,2570.21,2542.26,2553.9,4144894.5905729
2021-07-22,2557.62,2565.08,2528.3,2546.93,2966081.6637376
2021-07-23,2551.57,2584.17,2546.93,2578.59,2345483.4567308
2021-07-26,2571.14,2592.08,2560.89,2575.79,1880831.5785219
2021-07-27,2575.33,2582.77,2537.15,2579.98,3274547.6896313
2021-07-28,2523.64,2592.54,2523.64,2545.99,2376033.0295099
2021-07-29,2541.8,2554.38,2518.98,2535.75,2944223.0779019
2021-07-30,2535.75,2541.34,2493.83,2496.18,3864817.2636553
2021-08-02,2495.7,2521.32,2495.7,2518.05,1818587.4692526
2021-08-03,2521.32,2529.7,2507.82,2519.92,1860409.1013625
2021-08-04,2518.52,2527.83,2494.78,2494.78,2145915.9721546
2021-08-05,2497.1,2503.16,2473.83,2473.83,2615897.2486294
2021-08-06,2478.01,2478.95,2463.58,2467.3,3486582.7862683
2021-08-09,2467.3,2485,2463.58,2474.76,2650396.8945903
2021-08-10,2478.49,2480.81,2451,2465.9,2877597.3401477
2021-08-11,2471.03,2498.5,2467.76,2491.51,4537993.9800544
2021-08-12,2503.16,2519.92,2481.74,2487.33,2844801.2019626
2021-08-13,2491.51,2508.74,2489.19,2501.28,1883023.4251933
2021-08-16,2486.39,2498.04,2469.62,2495.7,2298861.0299801
2021-08-17,2489.65,2531.56,2488.73,2516.66,2553575.7071887
2021-08-18,2514.33,2537.62,2500.36,2510.6,2238352.4337843
2021-08-19,2496.64,2499.9,2462.18,2486.39,3276797.3523243
2021-08-20,2489.65,2533.89,2485.92,2525.04,3803742.8963923
2021-08-23,2525.5,2552.52,2519.92,2519.92,2035127.0534205
2021-08-24,2514.33,2522.25,2492.45,2503.16,1965101.5271173
2021-08-25,2496.64,2516.66,2492.45,2516.19,6612606.2788596
2021-08-26,2509.68,2518.98,2489.19,2508.74,4070072.3993448
2021-08-27,2517.59,2540.87,2506.42,2513.41,1837641.9780465
2021-08-31,2542.26,2549.25,2517.59,2541.34,4057106.1240987
2021-09-01,2545.99,2561.83,2516.19,2519.45,3435346.4345176
2021-09-02,2522.25,2538.55,2513.41,2532.02,1746811.9758707
