Date,Open,High,Low,Close,Volume
2021-05-26,310.739,312.388,308.089,310.489,35563237.51166
2021-05-27,308.789,309.889,304.391,306.34,73014511.730322
2021-05-28,307.889,309.289,304.491,305.94,44722045.469132
2021-06-01,308.389,316.577,307.989,314.528,85258657.479773
2021-06-02,316.677,321.526,315.427,321.526,47239632.798755
2021-06-03,323.775,325.875,317.477,323.875,43108719.596889
2021-06-04,324.875,325.725,319.177,319.227,22675173.382532
2021-06-07,319.227,322.076,315.577,318.977,15204285.803189
2021-06-08,319.077,324.375,315.927,322.976,51074573.606127
2021-06-09,323.475,326.225,320.476,324.525,33262547.899113
2021-06-10,323.425,328.024,320.526,323.126,23763197.892529
2021-06-11,325.025,326.424,321.826,324.075,29378531.258791
2021-06-14,324.875,334.072,324.675,330.174,79550959.960999
2021-06-15,330.924,334.372,326.375,332.473,41411506.788861
2021-06-16,334.222,336.722,328.174,328.724,61782892.748794
2021-06-17,327.174,331.773,323.475,323.825,59300936.736485
2021-06-18,322.576,322.976,312.878,315.177,87007495.78747
2021-06-21,312.388,318.677,308.639,316.627,36424651.764827
2021-06-22,320.576,323.475,319.826,322.476,35480054.760014
2021-06-23,323.275,329.574,323.275,323.975,34253799.10364
2021-06-24,321.776,327.124,321.076,324.075,25305321.145837
2021-06-25,326.674,329.024,325.275,325.275,27789568.757382
2021-06-28,325.275,326.724,314.628,314.927,34265268.102695
2021-06-29,314.828,319.377,313.478,315.777,20734080.801829
2021-06-30,314.927,317.977,310.989,314.778,29412378.109481
2021-07-01,317.927,326.974,315.827,324.275,36493251.703181
2021-07-02,324.775,325.675,320.826,321.176,31209361.006615
2021-07-05,321.626,324.525,320.026,324.025,13405084.325912
2021-07-06,327.224,328.274,310.039,310.589,55211963.501597
2021-07-07,312.388,317.427,305.74,307.489,51124677.707962
2021-07-08,307.489,309.139,300.991,307.489,37824798.892477
2021-07-09,307.389,310.989,304.091,310.689,31152039.017358
2021-07-12,310.239,311.039,304.991,308.939,20923895.436888
2021-07-13,309.789,310.889,304.941,305.69,19242880.864574
2021-07-14,304.941,310.389,303.891,304.541,50656883.383362
2021-07-15,300.491,301.491,293.743,295.843,67248659.004412
2021-07-16,295.693,300.391,290.044,292.043,34141865.833955
2021-07-19,285.795,288.995,276.118,278.267,65496649.867568
2021-07-20,280.707,284.795,275.668,279.967,81759938.591833
2021-07-21,281.057,290.894,279.417,289.245,53697782.554985
2021-07-22,290.594,291.493,282.456,283.796,34394360.859452
2021-07-23,285.795,287.845,281.856,283.896,24378182.706303
2021-07-26,281.506,292.943,281.007,292.043,37183218.124065
2021-07-27,295.543,295.543,288.695,291.194,30284305.11165
2021-07-28,289.095,292.443,288.445,291.593,41035189.38477
2021-07-29,295.043,299.691,293.043,295.443,37797613.78378
2021-07-30,291.943,293.743,287.645,288.995,45714510.991193
2021-08-02,291.993,295.593,289.495,289.545,31449626.834272
2021-08-03,295.793,306.889,295.443,305.89,83966255.526654
2021-08-04,306.989,310.389,298.991,302.791,73759212.463806
2021-08-05,298.242,305.84,297.693,305.54,54874361.22121
2021-08-06,305.59,307.789,302.791,307.239,37633286.813549
2021-08-09,305.44,306.04,299.791,305.241,37462884.254597
2021-08-10,304.991,309.889,302.141,308.689,41936464.06113
2021-08-11,310.289,312.488,307.789,311.489,27889564.905601
2021-08-12,309.139,310.889,305.64,306.789,51737825.041248
2021-08-13,306.14,308.239,303.741,305.191,80632762.844089
2021-08-16,300.641,300.791,295.193,297.843,72540192.699562
2021-08-17,294.493,304.441,292.393,302.291,36946852.316235
2021-08-18,300.791,303.191,298.941,302.491,31231946.912655
2021-08-19,290.394,292.443,286.545,287.595,72979141.481275
2021-08-20,287.495,289.195,285.945,287.695,39131500.584866
2021-08-23,291.843,297.243,290.944,294.843,42406408.948084
2021-08-24,296.893,300.091,295.643,298.691,32597454.982458
2021-08-25,298.841,299.641,296.443,298.192,20479998.361235
2021-08-26,296.493,299.391,295.393,296.393,24914867.045108
2021-08-27,296.343,303.141,296.043,302.341,25949800.672251
2021-08-31,298.941,302.241,296.693,296.793,75509689.19994
2021-09-01,297.943,300.791,294.093,294.093,32895088.811403
2021-09-02,293.593,301.541,292.393,299.741,41313973.284604
2021-09-03,299.441,301.591,296.443,296.443,35772989.360147
2021-09-06,298.541,301.041,296.843,298.292,16767691.621723
2021-09-07,297.893,301.491,296.743,298.242,24798804.695701
2021-09-08,297.293,303.091,294.593,298.092,44430170.145991
2021-09-09,293.243,295.643,291.144,294.543,48886497.441126
2021-09-10,296.243,298.641,294.393,295.493,34119734.046664
2021-09-13,297.043,302.991,296.843,302.141,50643967.005829
2021-09-14,301.791,305.141,299.241,299.841,46213541.483808
2021-09-15,299.791,311.089,299.141,309.089,71057398.960463
2021-09-16,310.239,313.378,305.54,305.79,81697249.199042
2021-09-17,308.339,309.389,302.591,304.491,98652758.93375
2021-09-20,300.841,305.99,299.541,303.541,50883849.733308
2021-09-21,305.141,313.078,305.141,308.639,50652796.314625
2021-09-22,313.078,319.526,312.978,316.577,51124111.559918
2021-09-23,318.227,319.027,312.189,317.577,31395495.679393
2021-09-24,317.827,321.026,315.127,320.026,39806187.01015
2021-09-27,324.225,331.174,323.675,331.124,63707899.123077
2021-09-28,332.073,343.32,331.873,336.422,82390145.386038
2021-09-29,334.022,338.572,328.724,338.122,54637232.213809
2021-09-30,337.672,342.02,334.672,340.121,60052168.177698
2021-10-01,335.472,341.12,333.922,337.772,58654704.751817
2021-10-04,338.772,347.569,337.122,344.27,48292118.015501
2021-10-05,344.67,352.418,343.17,350.468,73121224.634922
2021-10-06,349.968,350.218,340.52,341.37,72050023.524113
2021-10-07,344.22,347.22,338.122,344.62,54133115.391157
2021-10-08,347.969,354.767,346.42,353.368,51905810.96827
2021-10-11,355.267,361.316,353.818,360.116,39730471.211054
2021-10-12,356.417,359.366,352.968,358.016,58412412.394239
2021-10-13,355.117,357.716,349.468,354.767,70945961.820513
2021-10-14,359.816,360.816,355.767,357.516,49607996.107449
2021-10-15,361.765,365.005,360.416,363.405,35457860.956506
2021-10-18,364.805,366.204,360.816,361.266,39974614.05252
2021-10-19,361.266,364.205,359.366,361.765,64703264.403402
2021-10-20,360.166,365.704,359.016,362.915,34775295.470908
2021-10-21,361.016,363.065,355.517,356.017,38766443.125163
2021-10-22,354.717,358.616,351.818,354.817,27360191.478543
2021-10-25,358.366,362.915,357.366,360.466,26273645.355131
2021-10-26,360.416,362.765,356.367,359.016,30747687.282505
2021-10-27,358.616,361.565,354.168,357.416,31071083.848207
