Date,Open,High,Low,Close,Volume
2021-05-26,3287.19,3319.62,3278.97,3299.28,2198236.1638389
2021-05-27,3299.28,3303.65,3276.55,3276.55,4398201.1166594
2021-05-28,3277.03,3310.42,3265.9,3293.97,3882264.8958317
2021-06-01,3302.2,3324.45,3275.58,3296.87,2131869.088467
2021-06-02,3298.32,3339.45,3293.48,3308.96,2315887.9465411
2021-06-03,3299.78,3307.03,3255.74,3290.58,2455252.8330099
2021-06-04,3268.32,3293.97,3268.32,3286.22,1885138.1064337
2021-06-07,3291.55,3321.07,3282.36,3305.1,1704319.734753
2021-06-08,3305.58,3334.61,3282.84,3305.1,1933817.4842331
2021-06-09,3302.2,3350.58,3289.14,3348.15,2899732.7799882
2021-06-10,3346.71,3360.26,3324.45,3345.25,1746527.2877583
2021-06-11,3342.35,3360.73,3322.04,3322.99,1671045.6077147
2021-06-14,3320.09,3340.42,3307.03,3323.49,3666305.9528024
2021-06-15,3349.13,3371.39,3338,3366.06,4708724.2096798
2021-06-16,3367.99,3395.57,3366.06,3373.81,2190060.8543515
2021-06-17,3342.35,3375.73,3317.67,3375.73,3935276.3678006
2021-06-18,3391.21,3404.28,3340.42,3347.67,5649329.1440332
2021-06-21,3322.51,3385.41,3313.8,3374.28,2065065.7671636
2021-06-22,3375.73,3401.38,3367.99,3389.77,1647009.5702754
2021-06-23,3426.54,3458.95,3375.73,3375.73,2441883.0592054
2021-06-24,3369.93,3393.15,3367.03,3375.73,2972856.1003555
2021-06-25,3373.31,3374.28,3347.19,3371.39,2117087.3353714
2021-06-28,3364.12,3376.7,3343.8,3372.83,1381662.7293722
2021-06-29,3373.31,3402.34,3367.99,3370.9,1643931.5566378
2021-06-30,3367.99,3391.7,3346.71,3349.13,3358154.3776882
2021-07-01,3365.58,3401.38,3341.87,3382.03,1846537.9327787
2021-07-02,3389.29,3402.34,3360.26,3367.51,1680177.4193026
2021-07-05,3356.86,3368.96,3344.28,3367.03,1262340.8636374
2021-07-06,3355.89,3365.58,3328.32,3362.19,2013130.2335364
2021-07-07,3360.73,3376.23,3326.38,3375.25,2851967.3930848
2021-07-08,3366.54,3369.45,3293.97,3322.51,2862611.3889458
2021-07-09,3331.71,3343.32,3306.06,3322.99,2478662.3362691
2021-07-12,3317.19,3346.71,3314.29,3338.96,1457705.1524461
2021-07-13,3355.42,3389.77,3338.96,3388.79,2911314.0466905
2021-07-14,3379.12,3379.12,3351.55,3374.28,2346213.6178982
2021-07-15,3386.37,3437.67,3361.22,3365.09,3229804.9540337
2021-07-16,3380.09,3409.6,3362.67,3387.35,2910501.272948
2021-07-19,3346.71,3363.64,3307.03,3322.51,6791627.475803
2021-07-20,3347.19,3383.48,3332.18,3332.18,5561554.6406982
2021-07-21,3344.28,3379.61,3342.35,3354.44,3371931.0444498
2021-07-22,3352.02,3372.83,3308.48,3360.26,4353623.0579193
2021-07-23,3370.9,3392.19,3355.42,3392.19,1420560.4814584
2021-07-26,3376.7,3381.06,3337.03,3349.6,1756986.0562284
2021-07-27,3351.55,3383.96,3294.45,3367.51,4093942.3532684
2021-07-28,3353,3408.16,3353,3399.44,2694316.6156664
2021-07-29,3290.09,3490.41,3280.42,3425.57,4401908.7009917
2021-07-30,3430.42,3467.66,3411.05,3455.08,3556071.363108
2021-08-02,3481.7,3510.73,3449.76,3484.11,2678975.1317119
2021-08-03,3476.38,3502.02,3465.24,3472.99,1830798.665411
2021-08-04,3487.99,3511.21,3466.7,3496.7,2429579.1020272
2021-08-05,3493.3,3511.69,3485.08,3487.99,1680034.7031161
2021-08-06,3497.17,3504.92,3465.73,3472.02,1562726.0465643
2021-08-09,3473.96,3487.99,3461.86,3475.41,1043051.8762583
2021-08-10,3471.04,3498.63,3465.24,3476.86,2393142.9511138
2021-08-11,3480.73,3482.18,3455.08,3477.34,2038515.4956317
2021-08-12,3483.63,3495.72,3473.96,3495.25,2427109.403482
2021-08-13,3496.22,3523.31,3494.75,3517.98,1453778.9390623
2021-08-16,3501.05,3514.59,3491.37,3502.98,2595842.447036
2021-08-17,3502.98,3509.27,3484.11,3509.27,3247832.7412418
2021-08-18,3502.02,3523.31,3488.47,3507.34,2017066.5686356
2021-08-19,3477.83,3477.83,3418.8,3451.7,2377332.8317387
2021-08-20,3441.53,3455.08,3358.31,3409.13,4858151.0933771
2021-08-23,3421.7,3435.25,3406.71,3417.35,2028528.3990968
2021-08-24,3424.6,3441.53,3396.54,3412.99,1766775.779314
2021-08-25,3412.5,3442.02,3399.93,3405.74,1312577.9734291
2021-08-26,3396.03,3421.99,3384.26,3412.19,2249191.9154204
2021-08-27,3408.76,3431.79,3401.9,3418.08,3481230.3876459
2021-08-31,3447.48,3453.84,3401.9,3424.44,4731209.6003276
2021-09-01,3439.14,3492.56,3437.18,3482.27,2273187.4659982
2021-09-02,3489.62,3511.67,3475.41,3485.21,3297246.9555756
2021-09-03,3478.84,3499.42,3444.53,3460.21,2114009.3217337
2021-09-06,3470.99,3502.85,3465.61,3490.6,1019850.8803353
2021-09-07,3481.29,3484.23,3439.63,3446.01,2682749.5193656
2021-09-08,3415.63,3447.48,3399.94,3442.58,1982772.1726901
2021-09-09,3422.48,3434.24,3409.25,3417.58,2384500.0183773
2021-09-10,3419.05,3470.99,3414.15,3441.59,2483098.6841065
2021-09-13,3453.36,3478.84,3446.98,3461.19,1653573.5026792
2021-09-14,3457.76,3457.76,3422.48,3439.14,3474752.4898226
2021-09-15,3440.61,3449.44,3389.65,3389.65,3229113.6408754
2021-09-16,3394.55,3412.68,3379.36,3397.98,4405851.1091202
2021-09-17,3429.34,3437.68,3372.99,3389.16,9202499.6235221
2021-09-20,3365.15,3395.04,3342.61,3368.58,2856069.7243157
2021-09-21,3380.83,3416.6,3371.51,3411.7,3671646.1698205
2021-09-22,3413.18,3447.96,3413.18,3441.11,2134440.0041657
2021-09-23,3459.73,3468.06,3433.76,3435.71,2265847.1980271
2021-09-24,3424.93,3435.23,3403.86,3414.64,1833553.796329
2021-09-27,3435.23,3441.59,3399.45,3428.36,4562694.1736537
2021-09-28,3420.53,3467.56,3420.53,3454.83,3645378.2941468
2021-09-29,3458.74,3496.97,3447.96,3490.6,3394049.0168304
2021-09-30,3528.33,3593.02,3520.01,3534.21,5285651.8628575
2021-10-01,3508.73,3517.56,3444.04,3460.71,4696915.2043821
2021-10-04,3464.63,3509.71,3449.44,3449.44,2425335.0667813
2021-10-05,3489.13,3495.01,3449.44,3467.56,2018085.8253712
2021-10-06,3417.09,3456.79,3382.3,3441.11,3927160.7764338
2021-10-07,3482.76,3503.83,3470.51,3480.8,2912897.0829711
2021-10-08,3471.49,3493.54,3460.21,3472.96,1895340.7955055
2021-10-11,3469.53,3492.07,3447.48,3481.78,2539361.2510455
2021-10-12,3469.53,3497.46,3452.86,3492.56,1457733.4932491
2021-10-13,3466.09,3531.27,3457.28,3524.41,3173067.6786449
2021-10-14,3561.66,3571.94,3528.82,3566.56,2155389.930595
2021-10-15,3575.38,3577.34,3529.31,3543.52,3341942.4262137
2021-10-18,3524.41,3544.51,3506.28,3535.69,2828573.0723986
2021-10-19,3555.29,3555.29,3521.96,3534.71,2943577.0143655
2021-10-20,3547.94,3585.67,3532.26,3570.97,4574646.9073093
2021-10-21,3567.04,3577.34,3534.71,3534.71,2535434.0254901
