Date,Open,High,Low,Close,Volume
2021-05-26,7029.79,7050.88,6998.19,7026.93,588905679
2021-05-27,7026.93,7044.01,7008.53,7019.67,583726588
2021-05-28,7019.67,7054.91,7019.58,7022.61,1391882050
2021-06-01,7022.61,7118.03,7022.61,7080.46,675286948
2021-06-02,7080.46,7122.54,7074.06,7108,592283705
2021-06-03,7108,7108.04,7013.85,7064.35,543580632
2021-06-04,7064.35,7071.81,7039.74,7069.04,532080748
2021-06-07,7069.04,7098.31,7042.19,7077.22,412922863
2021-06-08,7077.22,7120.73,7074.94,7095.09,452893692
2021-06-09,7095.09,7095.72,7046.02,7081.01,520921320
2021-06-10,7081.01,7117.74,7080.02,7088.18,556457697
2021-06-11,7088.18,7140.7,7088.18,7134.06,542638232
2021-06-14,7134.06,7188.26,7131.79,7146.68,482347224
2021-06-15,7146.68,7189.63,7142.71,7172.48,535325119
2021-06-16,7172.48,7217.54,7169.21,7184.95,673187575
2021-06-17,7184.95,7184.95,7132.96,7153.43,677044630
2021-06-18,7153.43,7154.63,7008.74,7017.47,683297321
2021-06-21,7017.47,7065.05,6948.63,7062.29,1491493866
2021-06-22,7062.29,7098.67,7061.13,7090.01,786529844
2021-06-23,7090.01,7129.4,7074.06,7074.06,504708981
2021-06-24,7074.06,7119.41,7070.9,7109.97,538381507
2021-06-25,7109.97,7139.08,7109.79,7136.07,688091389
2021-06-28,7136.07,7136.22,7071.95,7072.97,500659824
2021-06-29,7072.97,7120.77,7071.86,7087.55,665442060
2021-06-30,7087.55,7100.71,7010.57,7037.47,501886280
2021-07-01,7037.47,7134.21,7037.47,7125.16,642004773
2021-07-02,7125.16,7162.16,7110.3,7123.27,542042895
2021-07-05,7123.27,7168.03,7111.51,7164.91,456874982
2021-07-06,7164.91,7170.6,7075.73,7100.88,374008327
2021-07-07,7100.88,7153.68,7100.88,7151.02,587799792
2021-07-08,7151.02,7151.02,6981.57,7030.66,535478008
2021-07-09,7030.66,7121.88,7030.22,7121.88,708375564
2021-07-12,7121.88,7134.87,7066.2,7125.42,562407146
2021-07-13,7125.42,7152.44,7116.26,7124.72,453005635
2021-07-14,7124.72,7124.72,7073.59,7091.19,538559849
2021-07-15,7091.19,7111.77,7005.02,7012.02,539347612
2021-07-16,7012.02,7056.73,6978.06,7008.09,563558143
2021-07-19,7008.09,7008.09,6813.03,6844.39,596087856
2021-07-20,6844.39,6929.89,6827.26,6881.13,787397581
2021-07-21,6881.13,7007.75,6881.13,6998.28,913431047
2021-07-22,6998.28,7018.95,6956.24,6968.3,603320587
2021-07-23,6968.3,7033.27,6968.3,7027.58,495541057
