Date,Open,High,Low,Close,Volume
2021-05-26,306.056,307.705,302.857,307.356,25790748.873738
2021-05-27,309.855,322.701,308.005,321.602,56061742.32387569
2021-05-28,324.351,325.451,319.052,321.302,31653954.304174602
2021-06-01,328.3,333.948,327.75,330.849,32747203.583933827
2021-06-02,329.849,334.298,327.5,333.398,32176152.734974854
2021-06-03,334.448,335.848,323.251,324.901,39513466.054552674
2021-06-04,325.501,330.599,324.551,329.599,18194041.30705898
2021-06-07,328.85,329,322.951,323.551,18362168.486086737
2021-06-08,322.351,325.601,320.352,323.601,20145884.41441269
2021-06-09,323.451,324.251,316.703,318.502,29387934.902886253
2021-06-10,320.552,324.101,317.603,319.752,28550026.7569708
2021-06-11,322.801,330.599,322.701,328.95,52050859.66581734
2021-06-14,326.8,330.299,325.201,327.5,54719231.58015883
2021-06-15,325.8,326.9,317.053,320.852,50997772.417252265
2021-06-16,317.853,319.452,310.605,316.903,50106276.55254615
2021-06-17,314.204,314.204,305.006,305.456,44193256.43964834
2021-06-18,302.857,307.156,294.669,297.418,162669529.9903761
2021-06-21,292.67,302.857,289.52,301.117,32225121.18500373
2021-06-22,304.006,308.655,300.817,307.456,45377000.57537963
2021-06-23,309.355,314.704,307.106,309.955,40978992.58667627
2021-06-24,310.505,315.053,308.305,314.004,37293021.17109122
2021-06-25,314.604,318.003,313.754,315.053,42493545.584763825
2021-06-28,313.454,315.303,309.355,309.405,23574044.017539497
2021-06-29,310.855,315.603,307.955,313.554,19502140.599077478
2021-06-30,313.354,314.304,306.156,309.305,27749528.88643233
2021-07-01,311.754,316.303,308.405,310.355,24757030.945290565
2021-07-02,310.355,317.503,309.855,315.003,23338607.35080071
2021-07-05,316.103,322.052,314.853,320.002,21071257.58410457
2021-07-06,322.102,322.651,307.456,309.855,34964913.716248736
2021-07-07,312.004,320.452,312.004,318.003,54402583.60733497
2021-07-08,314.853,314.853,302.657,307.506,38603809.2016181
2021-07-09,309.555,319.552,307.955,319.252,37929696.04481977
2021-07-12,318.752,318.852,310.705,316.903,36511985.64622147
2021-07-13,317.553,319.552,312.254,313.604,23387209.700273763
2021-07-14,312.604,321.702,311.005,319.102,31381043.344475307
2021-07-15,319.202,321.852,314.654,319.902,39366432.66929898
2021-07-16,320.052,320.952,306.306,308.855,42614645.847038284
2021-07-19,304.456,304.456,290.87,296.069,56913904.38487462
2021-07-20,298.118,304.156,295.619,302.007,55341268.43330271
2021-07-21,303.107,315.253,301.907,313.954,31837310.66615997
2021-07-22,315.353,317.953,311.304,311.504,22124754.94531415
2021-07-23,315.653,317.303,313.254,315.603,20828826.99636483
2021-07-26,316.853,327.6,315.753,326.05,36343563.38614461
2021-07-27,324.601,324.601,317.703,323.451,29017548.16978558
2021-07-28,320.852,326.95,318.702,326.8,41131951.59950573
2021-07-29,328.85,332.949,327.65,329.3,42949631.85672006
2021-07-30,324.851,326.6,318.103,323.401,33107407.52015381
2021-08-02,325.551,330.399,325.551,326.65,24231120.494920157
2021-08-03,326.35,331.099,324.551,329.949,29334836.318444766
2021-08-04,331.949,333.798,325.601,329.15,38812978.65361358
2021-08-05,333.848,333.848,319.402,323.851,50104139.965695746
2021-08-06,322.401,328.6,320.902,325.251,31982820.63298054
2021-08-09,323.851,326.65,320.052,325.401,18762759.515317976
2021-08-10,325.501,332.199,322.851,330.299,26836830.1980052
2021-08-11,330.949,341.196,330.949,341.196,69367910.0922141
2021-08-12,341.346,341.796,337.697,339.197,49473783.82751683
2021-08-13,339.897,340.846,333.198,336.697,20788203.838514294
2021-08-16,331.899,332.749,325.001,329.549,45793433.955985755
2021-08-17,328.75,328.75,323.351,324.401,27705850.88951759
2021-08-18,324.801,325.551,315.103,318.103,51841025.03111797
2021-08-19,309.855,310.805,302.407,306.956,83107873.00986767
2021-08-20,308.605,310.655,304.706,309.455,45476380.8718911
2021-08-23,315.153,319.602,314.154,317.353,42980197.25203274
2021-08-24,319.902,327.05,319.752,325.551,46562212.11415847
2021-08-25,324.901,329.449,322.601,328.8,35468636.07227658
2021-08-26,325.351,328.05,324.601,324.951,19983186.726688307
2021-08-27,325.101,333.548,325.101,332.399,23535904.54187509
2021-08-31,333.248,335.448,325.601,327.25,41650221.95139139
2021-09-01,327,330.749,324.701,329.15,37357170.79089006
2021-09-02,324.111,330.209,323.911,329.06,34719883.41445272
2021-09-03,329.859,335.808,327.41,332.959,43577990.4462378
2021-09-06,333.658,340.307,332.509,338.107,32986280.250461295
2021-09-07,338.007,340.257,336.408,337.507,25590723.93344028
2021-09-08,337.157,338.707,332.409,334.108,25507076.958356734
2021-09-09,330.759,332.909,329.31,332.059,29216113.7092337
2021-09-10,334.908,338.657,333.708,335.908,34344141.21037963
2021-09-13,336.658,341.356,335.908,339.807,51253767.73077776
2021-09-14,333.408,338.457,331.009,335.808,48118528.58330323
2021-09-15,336.158,342.806,335.258,340.307,55905139.31015858
2021-09-16,339.907,341.006,331.509,332.909,60150365.33466194
2021-09-17,337.907,339.207,323.811,327.11,195184934.90681034
2021-09-20,317.913,319.162,305.016,314.714,71435450.97795695
2021-09-21,317.663,322.062,311.414,311.914,58090342.51388523
2021-09-22,321.262,326.36,318.512,324.111,49620090.013032585
2021-09-23,329.459,332.759,324.111,329.21,45889271.27935858
2021-09-24,327.96,331.459,326.51,330.409,22058819.835099597
2021-09-27,335.158,337.407,330.259,336.458,47766427.872773856
2021-09-28,336.857,345.655,336.358,344.155,60486104.55122497
2021-09-29,345.705,351.903,342.756,347.704,52811732.652698494
2021-09-30,348.104,352.803,345.855,351.753,55129369.2315344
2021-10-01,347.405,353.353,343.806,350.604,56832717.08538337
2021-10-04,350.954,360.551,349.704,354.902,45865520.75586791
2021-10-05,359.901,368.949,356.652,367.499,54568165.087142564
2021-10-06,364.9,366.399,358.102,360.101,55282634.328435116
2021-10-07,364.5,368.349,356.052,358.302,62854069.95373982
2021-10-08,356.552,358.951,354.003,355.202,38519061.92431758
2021-10-11,357.902,370.098,355.752,366.899,39515328.56612358
2021-10-12,362.45,371.698,360.551,370.898,50602748.9172389
2021-10-13,366.149,374.847,366.149,372.148,68307955.9575404
2021-10-14,377.346,386.294,377.296,384.694,85674542.99001987
2021-10-15,388.893,392.192,387.394,390.443,67406629.39266302
2021-10-18,394.392,397.441,391.243,392.342,70532525.97404073
2021-10-19,395.591,397.691,376.297,380.595,62373878.060759254
2021-10-20,377.896,379.146,373.747,377.846,43727533.52082094
2021-10-21,372.898,374.797,366.349,368.449,49492774.04350699
2021-10-22,368.149,372.648,364.4,366.899,29122614.027934562
2021-10-25,371.048,374.197,369.448,371.798,20923142.90185401
2021-10-26,372.248,373.947,367.899,369.798,23997519.332334228
2021-10-27,363.15,365.45,357.252,360.001,51497768.74986355
2021-10-28,358.052,361.251,355.502,359.301,34576791.11168525
2021-10-29,356.152,366.949,352.603,365.15,43890117.17722465
2021-11-01,366.149,372.498,363.8,365.799,29427252.70219756
2021-11-02,359.151,360.401,351.303,354.153,39389469.9968981
2021-11-03,361.851,363.25,355.002,355.402,31184305.3069821
2021-11-04,358.701,359.901,352.303,353.903,41088371.629515775
2021-11-05,353.303,355.252,350.704,353.303,22727365.462680053
2021-11-08,354.703,361.501,352.753,360.351,35667461.683157794
2021-11-09,358.901,364.9,354.603,355.352,45764032.88047357
2021-11-10,354.053,357.902,350.504,355.252,58015527.96477973
2021-11-11,357.802,370.798,356.552,369.898,48171785.21115406
2021-11-12,368.549,370.998,364.3,367.799,32177523.11137235
2021-11-15,364.9,365.7,358.252,362.051,23673287.27641122
2021-11-16,359.551,365.4,359.051,363.6,42882695.47148806
2021-11-17,363.6,375.397,362.55,371.848,47540426.797682956
2021-11-18,369.099,370.298,365.25,368.699,27419228.163645364
2021-11-19,375.897,377.896,363.9,369.349,37845919.03401968
2021-11-22,369.948,374.997,366.499,372.398,36857057.426133886
2021-11-23,373.847,378.896,368.349,375.547,67868442.2375212
2021-11-24,376.846,380.346,373.247,375.397,46914213.79748831
2021-11-25,378.096,378.496,369.498,372.398,41384153.87120691
2021-11-26,354.902,358.352,346.805,351.903,75119045.74075334
2021-11-29,356.252,363.25,353.053,357.052,47300228.823168926
2021-11-30,356.702,363.05,350.604,357.002,59450445.089501955
2021-12-01,366.299,370.948,363.35,369.698,56852732.5829848
2021-12-02,365.15,366.249,346.305,354.553,59414908.32871805
2021-12-03,357.152,359.501,349.304,351.803,39124590.24310794
2021-12-06,351.603,360.551,351.603,357.102,36842005.29180574
2021-12-07,362.4,371.948,362.4,368.249,32423579.695054382
2021-12-08,368.999,372.048,367.199,370.198,22652913.01303141
2021-12-09,370.248,372.048,363.75,368.799,36687223.77839508
2021-12-10,367.149,373.147,366.299,367.799,24384050.499782074
2021-12-13,372.898,373.897,361.551,362.75,31340615.2401996
2021-12-14,367.849,369.399,363.7,366.899,23670779.58763127
2021-12-15,362.6,365.5,355.902,358.302,46810409.28578987
2021-12-16,367.899,369.898,365.05,367.199,79219289.94350028
2021-12-17,366.599,370.948,364.9,368.249,51831867.51584855
2021-12-20,358.102,363.15,354.003,360.751,57243414.89061485
2021-12-21,367.199,370.098,366.099,366.999,26110847.794424165
2021-12-22,369.448,373.297,365.55,373.247,20926903.934886564
2021-12-23,372.348,376.447,372.048,375.897,21914863.29495444
2021-12-24,372.898,378.696,371.948,372.898,6724495.9987374125
2021-12-29,374.897,382.145,373.247,380.046,28208388.920250073
2021-12-30,378.746,382.445,376.896,377.546,15622859.087542454
2021-12-31,375.297,377.746,373.847,374.847,9350288.217831645
2022-01-04,380.945,389.843,380.945,387.544,47738504.20305664
2022-01-05,386.644,392.892,385.894,392.892,30104536.729930244
2022-01-06,384.994,390.843,384.494,388.243,26629306.19796146
2022-01-07,389.893,397.791,388.893,395.241,29563323.07627127
2022-01-10,394.941,396.641,386.294,388.843,26200857.517146025
2022-01-11,392.292,394.342,382.745,387.693,27137744.849401128
2022-01-12,390.893,401.79,390.893,401.14,69455788.22945926
2022-01-13,399.89,408.438,399.19,405.988,49356447.59909915
2022-01-14,405.489,408.588,402.889,403.189,33566573.638042815
2022-01-17,406.738,411.687,404.339,411.187,67828890.37392011
2022-01-18,409.887,421.134,405.789,413.686,68984993.91768637
2022-01-19,412.137,421.084,411.087,418.985,49744299.12920736
2022-01-20,420.734,423.084,408.788,412.387,40336913.22851291
2022-01-21,402.889,409.987,400.94,409.937,55811249.521709785
2022-01-24,401.04,403.389,382.895,388.143,105676311.82060331
2022-01-25,391.243,394.892,385.444,388.843,36851301.84526439
2022-01-26,394.542,405.888,393.442,398.99,41153524.52488154
2022-01-27,393.742,408.138,389.843,403.089,45524899.198285766
2022-01-28,401.89,402.889,389.743,393.142,73054475.67099631
2022-01-31,397.441,398.291,381.995,382.895,38775532.368345864
2022-02-01,388.893,396.991,387.743,395.791,48421643.83913309
2022-02-02,399.04,403.489,396.191,399.19,41319631.148929045
2022-02-03,400.74,404.989,399.54,400.19,30978350.738009654
2022-02-04,404.589,404.689,396.341,402.14,30893750.501096316
2022-02-07,405.039,411.037,402.04,407.688,34509622.662712954
2022-02-08,407.888,423.184,407.888,413.736,35252849.80285813
2022-02-09,415.286,421.334,410.887,419.885,42868206.49184005
2022-02-10,421.934,428.282,417.385,420.934,51254531.94068119
2022-02-11,412.887,420.085,411.737,417.635,44762867.89325257
2022-02-14,413.286,423.284,408.338,421.984,42384881.73836535
2022-02-15,429.882,442.229,423.634,426.883,59605288.61994666
2022-02-16,429.182,431.881,418.735,425.183,63256998.62504475
2022-02-17,424.833,426.833,418.035,420.584,43069523.78710534
2022-02-18,424.483,426.833,418.435,421.884,81345993.07917486
2022-02-21,425.333,427.083,414.336,417.735,28931828.625435162
2022-02-22,408.888,425.133,405.589,422.084,66749507.902918935
2022-02-23,424.883,431.282,423.734,427.233,71628245.93241443
2022-02-24,410.937,429.282,408.888,422.134,83869175.11461344
2022-02-25,427.882,442.628,421.084,439.029,64231179.20053193
2022-02-28,439.079,446.727,436.23,442.029,69953775.01011246
2022-03-01,443.478,451.426,434.681,444.828,62294934.37751589
2022-03-02,451.376,459.024,449.477,452.476,79557844.933464
2022-03-03,468.271,484.467,467.472,476.369,96480817.11947924
2022-03-04,479.868,482.467,457.174,460.523,76542891.82462336
2022-03-07,479.518,489.865,464.972,474.72,119606911.09981963
2022-03-08,478.219,482.268,465.472,476.069,73574287.44626048
2022-03-09,478.768,479.168,459.874,469.971,96323074.7928302
2022-03-10,472.17,498.613,469.071,497.863,121032039.5359098
2022-03-11,506.861,513.959,500.363,511.16,82828265.21076599
2022-03-14,504.661,505.361,478.818,481.418,53729228.65879162
2022-03-15,472.77,474.02,458.224,460.174,63457702.75189276
2022-03-16,475.719,480.218,469.721,473.02,76181871.66421334
2022-03-17,477.869,482.268,467.422,474.97,50069812.537075765
2022-03-18,480.268,484.717,476.369,479.118,130814188.37170422
2022-03-21,481.868,497.813,480.418,497.413,46148171.39073688
2022-03-22,497.863,507.261,496.863,502.062,83876535.13617022
2022-03-23,506.361,512.759,501.862,511.06,39710652.21513061
2022-03-24,496.863,502.962,491.715,500.163,104245373.78880754
2022-03-25,501.362,508.66,499.513,505.861,82925125.81520061
2022-03-28,509.76,512.259,497.613,499.463,36913305.87574013
2022-03-29,501.862,509.06,468.471,480.518,73286825.48987912
2022-03-30,491.465,500.562,485.367,500.562,90589514.97179493
2022-03-31,504.861,504.961,495.964,499.863,40286187.29576111
2022-04-01,498.763,509.86,495.464,507.461,31300599.24911789
2022-04-04,509.46,511.559,504.161,504.861,34711599.139033675
2022-04-05,503.162,516.658,493.414,516.658,71132591.79246122
2022-04-06,508.06,518.757,506.661,518.458,51768221.03424529
2022-04-07,517.358,519.257,504.861,514.559,37582366.64481308
2022-04-08,518.458,527.855,515.658,527.855,44463087.55341487
2022-04-11,524.856,536.253,520.257,520.257,41949712.211553715
2022-04-12,519.957,528.555,519.857,524.656,37977549.18851054
2022-04-13,528.755,535.153,526.755,529.954,26458212.204046853
2022-04-14,531.954,534.753,525.456,526.655,55865401.39545534
2022-04-19,533.853,540.052,526.855,535.453,180912168.64553443
2022-04-20,534.253,534.453,507.76,518.757,47987742.6606952
2022-04-21,504.861,505.261,488.316,489.565,101436582.30581109
2022-04-22,481.618,495.714,474.87,476.069,99786500.08228563
2022-04-25,454.875,462.673,440.879,449.227,113139255.64676529
2022-04-26,462.323,468.771,450.926,464.672,72504618.64328566
2022-04-27,469.821,481.468,466.022,479.518,107705205.09111246
2022-04-28,488.316,492.665,475.769,483.267,52097364.43915495
2022-04-29,496.164,499.963,485.467,497.163,42944790.52696539
2022-05-03,490.265,491.615,477.969,483.367,44044754.65107235
2022-05-04,482.967,487.116,473.87,482.168,44350165.537436716
2022-05-05,498.213,502.362,482.068,483.967,41119862.27896546
2022-05-06,482.667,489.665,479.668,487.466,46242721.360515855
2022-05-09,481.968,482.268,455.775,458.424,46235807.46149431
2022-05-10,467.622,470.121,452.326,455.375,62366790.11393248
2022-05-11,466.172,477.569,455.375,475.869,57670085.08293776
2022-05-12,456.924,459.474,440.279,454.875,63344100.54908958
2022-05-13,456.575,463.073,449.077,461.223,87577752.7393835
