Date,Open,High,Low,Close,Volume
2021-05-26,1323.76,1329.82,1319.24,1326.11,4168724.2933853
2021-05-27,1321.79,1322.96,1301.59,1313.17,21494807.009432
2021-05-28,1307.29,1324.92,1307.09,1317.28,13198829.520354
2021-06-01,1326.68,1331,1310.41,1311.01,5910599.1004305
2021-06-02,1309.05,1320.02,1308.26,1312.96,9857996.0302539
2021-06-03,1313.55,1321.21,1303.77,1316.49,5192163.8920429
2021-06-04,1322.37,1327.68,1314.14,1327.09,3383332.7468446
2021-06-07,1325.71,1329.63,1316.49,1325.32,3919328.1877502
2021-06-08,1324.33,1338.64,1323.94,1324.73,11959037.03354
2021-06-09,1324.13,1355.89,1321.58,1352.76,8390038.9221933
2021-06-10,1359.61,1374.32,1357.66,1368.63,8331866.2879268
2021-06-11,1372.16,1379.8,1371.57,1375.3,6184931.0870323
2021-06-14,1376.47,1385.48,1373.53,1379.21,5503049.95688
2021-06-15,1390.19,1395.29,1382.36,1388.62,6896556.2537104
2021-06-16,1382.55,1422.53,1382.36,1406.84,13270767.389906
2021-06-17,1391.56,1408.21,1389.21,1406.66,25569363.021799
2021-06-18,1406.66,1409.97,1391.76,1394.89,18098551.714524
2021-06-21,1390,1397.85,1378.62,1386.67,5079975.6116702
2021-06-22,1380.99,1383.33,1363.53,1366.86,6452237.3201239
2021-06-23,1354.12,1414.69,1344.33,1380.99,14043903.683767
2021-06-24,1386.27,1389.21,1373.13,1382.75,10454823.20697
2021-06-25,1385.87,1389.02,1375.3,1384.91,6291238.7008369
2021-06-28,1381.95,1396.27,1378.82,1392.74,5524909.4246887
2021-06-29,1390,1403.32,1386.85,1397.05,4941614.6354731
2021-06-30,1399.79,1402.14,1388.04,1390.97,7463209.9862971
2021-07-01,1405.87,1410.38,1395.09,1409.2,5744409.2859385
2021-07-02,1409.39,1419.98,1405.67,1409.01,6735439.6985322
2021-07-05,1412.73,1415.08,1399.01,1403.72,2560316.6270575
2021-07-06,1400.38,1411.16,1398.22,1405.49,3981049.9867384
2021-07-07,1406.46,1409.8,1397.85,1408.21,5538350.0842736
2021-07-08,1401.36,1403.72,1388.82,1397.44,8621661.988245
2021-07-09,1403.12,1411.36,1396.46,1406.46,6579860.0822398
2021-07-12,1399.59,1412.93,1390.19,1409.97,5018774.9482007
2021-07-13,1404.49,1415.28,1401.36,1415.28,4838757.4024814
2021-07-14,1409.8,1412.53,1399.21,1409.01,6071335.6399594
2021-07-15,1409.01,1410.18,1378.62,1378.82,6236912.5910175
2021-07-16,1383.52,1396.08,1379.61,1396.08,7853862.0414552
2021-07-19,1395.88,1412.14,1373.53,1385.69,9033926.5514397
2021-07-20,1392.94,1396.67,1380.78,1384.12,11238422.531166
2021-07-21,1383.33,1403.32,1380.4,1385.48,6508150.0204777
2021-07-22,1383.52,1387.64,1374.69,1381.37,4495826.0392441
2021-07-23,1380.4,1390.77,1378.23,1387.64,3484024.7978363
2021-07-26,1382.94,1387.25,1365.3,1371.76,4267192.6984308
2021-07-27,1364.92,1373.74,1355.89,1371.17,5573342.7719512
2021-07-28,1361.18,1397.64,1355.69,1373.53,8949127.6217677
2021-07-29,1381.57,1396.27,1373.74,1378.23,7286307.1577007
2021-07-30,1377.45,1392.54,1370.4,1389.4,7839654.2945787
2021-08-02,1392.94,1399.01,1378.23,1399.01,6444808.3669859
2021-08-03,1405.87,1413.71,1393.91,1404.69,7691759.6631877
2021-08-04,1411.16,1412.35,1401.56,1404.89,4811247.0918924
2021-08-05,1409.6,1415.66,1407.83,1413.12,6615143.0736492
2021-08-06,1415.28,1416.65,1402.93,1407.63,6500921.6591545
2021-08-09,1409.39,1419.79,1408.04,1419.39,7025522.6785851
2021-08-10,1412.53,1420.57,1411.16,1417.04,6986266.154846
