Date,Open,High,Low,Close,Volume
2021-05-26,447.79,449.08,439.692,446.54,13891653.966526
2021-05-27,444.941,451.728,444.491,449.88,31357983.516906
2021-05-28,459.576,461.676,453.628,454.978,25742600.257426
2021-06-01,448.48,453.978,445.89,445.99,29422013.930519
2021-06-02,446.79,451.978,446.79,451.378,30472884.992179
2021-06-03,447.09,451.578,444.142,448.98,18366018.963331
2021-06-04,446.84,447.49,441.292,443.642,13501291.18762
2021-06-07,444.341,446.94,442.092,445.19,12779435.352277
2021-06-08,445.09,447.29,443.192,443.992,12748873.11335
2021-06-09,440.842,442.042,437.444,437.794,10455050.639485
2021-06-10,435.194,440.492,433.894,435.844,16214626.206112
2021-06-11,433.544,436.644,432.296,436.644,14687608.626374
2021-06-14,437.994,441.042,437.644,439.142,20439752.703312
2021-06-15,433.144,436.494,431.496,435.844,22812081.47827
2021-06-16,439.642,441.992,435.294,437.744,21425070.80349
2021-06-17,442.142,449.78,439.092,439.092,26186699.038908
2021-06-18,439.892,441.292,428.446,429.096,41022920.453374
2021-06-21,424.548,427.096,421.798,426.248,16119567.359603
2021-06-22,424.048,426.896,421.698,423.448,15416736.89812
2021-06-23,424.848,427.646,420.61,420.61,15144870.817847
2021-06-24,422.448,425.798,421.848,424.298,14434425.805346
2021-06-25,426.697,429.196,425.748,427.246,16607191.722977
2021-06-28,426.098,427.246,419.66,420.11,14334895.4608
2021-06-29,419.71,424.248,419.11,420.998,14816460.794285
2021-06-30,417.91,420.26,413.762,417.01,20991753.634052
2021-07-01,419.46,424.598,419.46,423.048,17890982.817248
2021-07-02,419.11,421.448,415.46,416.36,18886596.366596
2021-07-05,418.71,424.848,417.61,422.798,9163958.0990924
2021-07-06,422.498,423.198,413.512,416.21,16581352.066204
2021-07-07,414.612,418.86,413.462,417.66,15270078.764875
2021-07-08,413.012,413.412,406.414,410.312,17506597.04075
2021-07-09,408.664,413.812,406.514,413.812,20751181.037687
2021-07-12,409.762,413.562,405.164,412.562,12396004.89583
2021-07-13,422.498,423.698,410.512,411.912,23456139.249792
2021-07-14,411.012,415.81,409.812,410.762,12474170.082645
2021-07-15,413.762,414.112,406.414,408.464,17135969.873647
2021-07-16,410.462,411.362,401.466,402.965,21152424.461815
2021-07-19,399.716,401.316,389.98,391.528,20683021.202855
2021-07-20,395.718,398.166,389.08,395.518,35509502.354149
2021-07-21,396.867,404.814,395.918,401.566,18862741.374723
2021-07-22,404.014,407.464,399.616,400.416,14906525.967819
2021-07-23,400.216,404.664,399.816,401.316,9364937.4309656
2021-07-26,399.216,404.914,392.628,402.616,18771383.768199
2021-07-27,406.714,407.114,398.916,403.015,18938393.719688
2021-07-28,394.368,398.616,393.478,396.318,26907152.404396
2021-07-29,396.468,402.865,393.578,400.716,21846072.847129
2021-07-30,396.418,400.066,393.718,397.166,20651277.568138
2021-08-02,401.466,404.764,394.768,395.868,17121650.076245
2021-08-03,395.868,400.316,393.078,397.766,15547471.696748
2021-08-04,399.716,401.266,394.818,400.116,18674945.459544
2021-08-05,399.616,404.564,398.166,402.616,12048930.619391
2021-08-06,400.516,409.862,399.466,409.562,16143745.459723
2021-08-09,405.564,411.512,404.714,410.462,11331901.401056
2021-08-10,406.064,409.762,403.964,409.662,33160466.382719
2021-08-11,409.712,413.062,408.464,412.412,15919866.456027
2021-08-12,411.712,413.612,408.014,409.662,19925642.46667
2021-08-13,410.112,414.462,410.112,411.212,20492278.300379
2021-08-16,409.462,410.962,403.864,404.914,27139852.363279
2021-08-17,407.364,408.564,401.466,405.564,22480807.495227
2021-08-18,405.964,406.914,400.966,405.164,12056436.13388
