Date,Open,High,Low,Close,Volume
2021-05-26,7477.72,7497.4,7389.12,7422.59,654818.19715921
2021-05-27,7398.97,7414.72,7239.49,7239.49,1996463.9015474
2021-05-28,7235.54,7499.37,7211.92,7456.06,721891.29785772
2021-06-01,7428.5,7530.87,7335.96,7365.49,750994.68573956
2021-06-02,7361.56,7487.56,7330.05,7381.24,572392.39184414
2021-06-03,7391.09,7420.62,7314.29,7322.18,426891.51279936
2021-06-04,7345.8,7460.01,7312.33,7460.01,461544.76036246
2021-06-07,7481.65,7511.19,7389.12,7420.62,347783.17651061
2021-06-08,7432.43,7519.06,7400.93,7428.5,880596.80777736
2021-06-09,7418.65,7418.65,7310.37,7379.27,581430.36192374
2021-06-10,7412.74,7465.9,7361.56,7450.15,603029.54452847
2021-06-11,7487.56,7613.57,7456.06,7603.73,801479.43753363
2021-06-14,7637.2,7668.7,7586,7649,1200780.2480253
2021-06-15,7708.08,7792.73,7676.58,7717.92,705697.43165444
2021-06-16,7743.52,7845.89,7682.48,7790.77,956694.82950937
2021-06-17,7775.02,7867.56,7676.58,7859.68,1017615.8068607
2021-06-18,7857.7,7891.18,7763.2,7841.95,1519942.8513596
2021-06-21,7802.57,8011.29,7788.79,7997.5,786555.34389262
2021-06-22,7999.46,8101.84,7969.93,8092,1025906.9699946
2021-06-23,8093.97,8117.59,7971.9,7971.9,635393.18638838
2021-06-24,8005.37,8123.5,7973.87,8054.59,567971.77653643
2021-06-25,8048.68,8158.94,7983.71,8153.03,533240.23469675
2021-06-28,8139.25,8168.78,7999.46,8021.12,404615.78734327
2021-06-29,8005.37,8105.78,7995.52,8040.8,446487.16494219
2021-06-30,8021.12,8040.8,7828.18,7845.89,816239.91621206
2021-07-01,7902.99,7952.21,7690.35,7755.33,524302.6418948
2021-07-02,7792.73,7822.27,7731.7,7773.04,644693.14116265
2021-07-05,7743.52,7780.92,7702.17,7753.36,254150.24814592
2021-07-06,7706.1,7845.89,7694.29,7845.89,476347.39749751
2021-07-07,7875.43,7979.77,7790.77,7934.49,528591.76296878
2021-07-08,7893.15,7936.46,7721.85,7741.54,1084682.8849226
2021-07-09,7776.98,7802.57,7658.84,7749.42,835217.24432457
2021-07-12,7735.64,7859.68,7735.64,7818.32,267776.4635869
2021-07-13,7820.31,7841.95,7668.7,7678.54,514135.42744163
2021-07-14,7684.45,7690.35,7511.19,7540.72,572923.3876429
2021-07-15,7538.75,7566.31,7396.99,7450.15,811189.93537349
2021-07-16,7524.97,7550.56,7448.18,7481.65,661777.35381868
2021-07-19,7483.62,7517.1,7393.06,7481.65,650053.28778916
