Date,Open,High,Low,Close,Volume
2021-05-26,873.898,884.046,871.411,882.114,5309724.6797767
2021-05-27,882.483,887.193,870.12,870.304,11746046.214187
2021-05-28,872.421,873.344,866.332,866.526,9303962.8035426
2021-06-01,866.148,881.007,866.148,876.578,5595917.6399177
2021-06-02,876.947,890.874,875.102,886.261,9874974.0931399
2021-06-03,894.525,894.525,867.896,879.443,10066479.196719
2021-06-04,879.831,885.649,871.237,872.761,7969736.9937249
2021-06-07,877.161,877.345,871.528,874.393,5490357.3298718
2021-06-08,877.345,884.124,872.761,873.15,13259506.360639
2021-06-09,872.101,874.674,868.469,871.528,6636351.4076067
2021-06-10,876.393,882.978,870.479,872.48,7888841.7798761
2021-06-11,874.199,879.54,872.858,876.869,9040704.0375904
2021-06-14,880.21,882.978,876.296,878.21,4547258.7412101
2021-06-15,883.172,887.271,881.162,884.891,12010366.586309
2021-06-16,884.318,892.243,881.735,889.087,11578034.424244
2021-06-17,879.929,888.038,876.966,887.368,8426204.9934306
2021-06-18,888.135,889.951,882.405,882.881,11917188.249285
2021-06-21,879.637,886.892,877.637,884.794,13362287.548425
2021-06-22,888.417,892.719,884.697,887.941,4604216.8467975
2021-06-23,884.697,887.086,876.199,877.161,6798201.5570868
2021-06-24,878.21,884.794,875.723,881.929,6850628.015001
2021-06-25,883.269,884.6,877.734,881.259,4070167.1624891
2021-06-28,883.269,885.173,880.404,883.454,3890413.8641579
2021-06-29,883.745,885.464,879.443,881.832,3948148.3529185
2021-06-30,879.734,883.357,873.053,878.967,6751159.3267761
2021-07-01,881.075,883.842,874.004,883.454,5117438.0445952
2021-07-02,883.172,885.649,878.307,881.929,6040710.031133
2021-07-05,885.561,885.561,878.685,882.026,2945308.4176649
2021-07-06,880.016,887.756,878.588,887.756,6646090.1769075
2021-07-07,891.476,899.012,885.173,898.255,6798250.9820103
2021-07-08,898.352,898.352,888.708,893.098,5287501.9985491
2021-07-09,893.476,897.584,890.903,896.914,4833675.1431928
2021-07-12,895.39,903.596,895.39,902.168,4703700.9803109
2021-07-13,902.168,902.741,896.438,899.779,4803329.2698512
2021-07-14,896.438,896.438,885.173,888.805,7236220.6744111
2021-07-15,887.368,896.06,882.978,885.649,7819283.4078546
2021-07-16,893.671,900.158,889.951,900.158,7152688.4349566
2021-07-19,897.584,899.109,887.086,888.708,7836296.9080827
2021-07-20,891.757,892.049,878.307,880.113,10634408.636399
2021-07-21,880.113,884.221,874.674,879.637,5142220.5249856
2021-07-22,877.821,877.821,867.896,876.772,6621702.0662191
2021-07-23,879.929,887.271,874.102,887.271,5352891.1723364
2021-07-26,886.795,891,882.123,885.94,5799430.9405345
2021-07-27,884.221,888.708,878.015,888.708,3638766.8661698
2021-07-28,890.611,893.573,885.746,887.659,5076401.9721754
2021-07-29,888.514,888.514,881.929,884.891,3506737.4502192
2021-07-30,881.075,884.124,877.161,882.123,6079432.3993216
2021-08-02,882.599,887.562,879.064,885.94,2878085.3732787
2021-08-03,886.892,889.184,881.832,885.746,4414328.3500915
2021-08-04,884.415,886.795,881.162,885.173,4442708.5530382
2021-08-05,889.66,897.011,888.514,891.573,3872258.4422597
2021-08-06,892.719,898.633,888.038,898.633,4909397.2150488
2021-08-09,897.303,905.218,897.303,902.168,20266615.742806
2021-08-10,900.255,908.753,900.158,908.277,4743745.465203
2021-08-11,903.596,906.752,889.184,904.742,4616322.8639967
2021-08-12,907.034,910.851,905.509,907.325,7933392.1702938
2021-08-13,908.083,912.094,905.985,912.094,2883973.1172903
2021-08-16,911.618,916.105,909.034,913.434,7182738.7884431
2021-08-17,910.18,922.689,908.656,918.97,4442666.335916
2021-08-18,920.97,927.555,917.726,924.787,7507424.4968156
2021-08-19,923.553,935.004,923.553,933.858,5548317.3198459
2021-08-20,934.906,938.917,929.847,934.528,6110738.9696137
2021-08-23,936.052,937.393,921.737,924.029,5425415.0397678
2021-08-24,923.641,927.37,909.996,919.824,6749827.9428994
2021-08-25,918.678,920.873,907.325,907.325,5202043.216764
2021-08-26,903.499,907.413,895.671,900.731,5029533.7587829
2021-08-27,900.546,904.936,892.903,895.292,7244440.6570003
2021-08-31,892.816,904.266,891.282,898.536,7768138.9088936
2021-09-01,901.401,909.52,899.876,903.314,7008267.7788107
2021-09-02,904.557,905.791,898.536,901.119,3772851.5351893
2021-09-03,903.023,903.499,892.33,898.73,5240811.9208184
2021-09-06,898.633,902.644,892.525,893.865,2978736.1409238
2021-09-07,893.098,895.098,886.892,888.232,7317713.1060855
2021-09-08,887.271,905.412,883.075,905.033,8060756.0794035
2021-09-09,900.255,903.023,897.303,900.158,11187390.125778
2021-09-10,901.304,902.926,893,893.389,6578343.022395
2021-09-13,897.206,919.445,897.206,916.105,8250446.8764154
2021-09-14,914.58,922.883,914.191,922.407,7812251.6828011
2021-09-15,922.495,923.359,911.618,916.105,8359665.6604861
2021-09-16,915.532,925.36,915.532,923.068,18467774.028706
2021-09-17,927.652,932.43,912.385,921.349,28780744.586081
2021-09-20,915.726,916.386,905.888,913.24,7394939.5490505
2021-09-21,911.997,918.202,911.045,914.191,7349282.2462837
2021-09-22,912.861,916.862,900.158,903.984,6704845.0844012
2021-09-23,903.984,905.121,891,892.427,31525837.787086
2021-09-24,888.708,890.136,876.491,877.637,8308025.8826042
2021-09-27,880.307,881.259,866.847,867.614,5944737.1265598
2021-09-28,863.03,865.128,850.619,854.63,8594145.7350459
2021-09-29,854.154,861.69,849.473,857.494,9806618.3942568
2021-09-30,862.457,862.554,843.655,844.413,11577428.968932
2021-10-01,844.413,859.689,841.645,854.532,8840067.6793955
2021-10-04,852.143,864.079,851.959,861.884,8719467.7770036
2021-10-05,866.274,872.188,864.934,869.042,8575855.4242941
2021-10-06,865.419,866.565,855.97,862.554,9526961.8802484
2021-10-07,874.102,876.102,855.678,855.678,5604018.1789418
2021-10-08,853.008,860.262,847.569,849.57,8561370.8326516
2021-10-11,848.618,851.192,841.072,846.608,5521511.5066498
2021-10-12,845.559,849.473,840.596,849.473,4299165.1892844
2021-10-13,846.132,861.214,843.655,861.02,6020420.0703514
2021-10-14,863.788,865.507,858.165,860.447,4861732.0247649
2021-10-15,862.836,862.933,848.997,856.446,10915286.357892
2021-10-18,855.397,866.08,852.24,864.749,4745943.8446127
2021-10-19,865.798,867.517,857.97,862.739,6396902.0688635
2021-10-20,864.555,874.393,862.933,872.383,6539715.3853098
2021-10-21,873.247,873.247,863.982,866.274,4456418.8208792
2021-10-22,867.226,872.956,863.603,870.761,4921717.4069165
2021-10-25,872.004,879.161,868.372,870.091,4105264.0066019
2021-10-26,868.274,880.88,867.993,880.88,4054826.9018585
