Date,Open,High,Low,Close,Volume
2021-05-26,1511.68,1517.68,1484.2,1493.2,2964304.2981071
2021-05-27,1486.7,1520.68,1483.7,1499.7,10735216.299354
2021-05-28,1509.68,1539.18,1500.7,1500.7,3352226.8087998
2021-06-01,1499.7,1518.68,1486.2,1495.7,4294737.3608648
2021-06-02,1495.2,1513.68,1493.2,1512.68,1981687.2119304
2021-06-03,1512.18,1514.68,1476.2,1487.7,2402568.8051266
2021-06-04,1480.2,1488.7,1463.7,1473.2,2186035.1235526
2021-06-07,1481.2,1492.2,1470.2,1474.7,1844069.5166241
2021-06-08,1473.2,1480.2,1464.7,1469.7,3811938.8554791
2021-06-09,1465.7,1467.2,1448.7,1451.2,3332048.5338455
2021-06-10,1454.2,1480.7,1451.2,1472.7,4235681.6294575
2021-06-11,1474.2,1500.7,1466.7,1488.7,4394204.6456562
2021-06-14,1496.7,1505.68,1484.7,1484.7,4793205.8563512
2021-06-15,1495.7,1515.18,1485.7,1501.2,4407832.5067259
2021-06-16,1507.18,1527.68,1495.7,1503.68,2117445.7897693
2021-06-17,1498.7,1510.68,1479.2,1486.7,4442177.6768086
2021-06-18,1476.2,1486.7,1440.2,1444.7,6908882.5343401
2021-06-21,1431.2,1458.7,1417.2,1456.2,4055022.2145814
2021-06-22,1463.2,1469.7,1429.2,1434.7,3184570.2155006
2021-06-23,1431.7,1442.7,1422.7,1427.2,2257370.6308515
2021-06-24,1429.7,1445.2,1422.7,1442.7,5208969.1261486
2021-06-25,1447.2,1451.7,1431.7,1449.7,1936431.3524612
2021-06-28,1440.7,1446.7,1414.7,1414.7,3028473.3525972
2021-06-29,1414.2,1440.7,1414.2,1424.7,2506787.3901266
2021-06-30,1424.2,1426.2,1360.71,1373.21,4976728.452136
2021-07-01,1390.71,1406.71,1384.71,1392.21,4283246.634829
2021-07-02,1397.71,1404.71,1384.71,1391.21,2773728.2566537
2021-07-05,1388.21,1413.2,1380.71,1408.21,1534714.9702095
2021-07-06,1403.71,1417.2,1377.71,1385.21,3852353.4090527
2021-07-07,1387.71,1399.21,1381.71,1392.71,2205649.3628686
2021-07-08,1380.21,1380.71,1327.73,1341.72,3495577.8663658
2021-07-09,1349.71,1379.21,1342.22,1378.71,4086777.2210058
2021-07-12,1372.21,1381.21,1348.21,1376.21,4950687.8067707
2021-07-13,1379.21,1382.21,1355.21,1358.71,4202544.5357066
2021-07-14,1348.21,1358.71,1339.72,1343.72,2979145.2358244
2021-07-15,1360.71,1400.71,1353.71,1365.71,5214020.4453138
2021-07-16,1378.21,1397.21,1356.71,1361.21,3424011.3444704
2021-07-19,1341.22,1344.72,1298.24,1306.24,4132356.1008849
2021-07-20,1319.74,1327.73,1294.24,1317.24,6690421.7310018
2021-07-21,1321.73,1372.71,1321.73,1367.21,5955856.317848
2021-07-22,1376.21,1383.21,1351.71,1355.71,2582070.1468305
2021-07-23,1367.21,1377.21,1354.71,1364.21,3062069.4753516
2021-07-26,1352.21,1372.71,1331.73,1366.21,3644075.2490998
2021-07-27,1361.21,1361.21,1325.23,1336.22,2835474.1580381
2021-07-28,1333.22,1354.21,1333.22,1341.72,3248061.2271489
2021-07-29,1352.71,1382.71,1350.21,1374.21,3384305.8356973
2021-07-30,1359.21,1374.71,1351.21,1356.21,2765954.7654895
2021-08-02,1367.21,1387.71,1360.21,1363.21,5288953.1799017
2021-08-03,1365.71,1403.21,1338.22,1377.71,4038624.1784796
2021-08-04,1398.21,1409.21,1379.21,1391.71,4936816.9303462
2021-08-05,1381.71,1404.21,1375.21,1389.21,3834834.3021166
2021-08-06,1392.21,1441.7,1386.71,1426.2,4767371.2240027
2021-08-09,1421.2,1429.2,1410.71,1422.7,1903235.2549822
2021-08-10,1427.7,1458.2,1423.7,1451.2,4044058.5218459
2021-08-11,1469.7,1496.2,1442.2,1489.2,5965103.902152
2021-08-12,1486.2,1505.68,1475.7,1497.7,8413583.6081363
2021-08-13,1502.2,1543.18,1494.2,1518.18,5021729.2954922
2021-08-16,1506.18,1508.68,1446.7,1459.7,14300658.580069
2021-08-17,1446.7,1474.7,1428.7,1471.2,6821354.003893
2021-08-18,1475.2,1480.2,1443.7,1480.2,6618452.1836414
2021-08-19,1459.75,1465.25,1435.75,1446.75,2582464.1717267
2021-08-20,1449.25,1454.25,1436.25,1454.25,5179633.2725772
2021-08-23,1489.25,1503.73,1485.75,1494.75,4999586.8964356
2021-08-24,1499.25,1520.23,1479.75,1520.23,5991444.5664739
2021-08-25,1522.23,1547.73,1516.73,1541.73,8053748.8721557
2021-08-26,1526.73,1544.23,1522.23,1531.23,3036247.8438246
2021-08-27,1528.23,1541.73,1508.23,1526.73,7262244.8613647
2021-08-31,1514.23,1519.23,1495.75,1514.73,16551500.798426
2021-09-01,1509.73,1509.73,1473.25,1480.75,8057475.1075961
2021-09-02,1478.75,1540.73,1474.75,1536.23,8239731.6233843
2021-09-03,1531.73,1541.73,1522.23,1536.73,9476216.750088
2021-09-06,1542.23,1565.73,1540.73,1553.23,2842563.6059814
2021-09-07,1550.73,1554.73,1544.73,1552.23,3354336.9421276
2021-09-08,1537.73,1554.23,1519.23,1530.73,7346126.1613633
2021-09-09,1512.23,1512.23,1478.25,1484.25,14900960.509851
2021-09-10,1488.75,1502.25,1475.25,1483.75,3403106.023578
2021-09-13,1474.75,1499.25,1474.25,1478.75,8348199.4768722
2021-09-14,1471.25,1473.75,1435.75,1451.25,4766475.1673858
2021-09-15,1445.75,1464.75,1441.25,1450.75,7580253.9546126
2021-09-16,1463.75,1467.75,1447.75,1461.75,8786110.1460421
2021-09-17,1461.75,1468.25,1439.25,1445.25,13001747.509013
2021-09-20,1400.26,1402.26,1312.78,1324.27,11492043.119084
2021-09-21,1327.77,1370.76,1327.77,1363.26,9533773.3867757
2021-09-22,1381.26,1423.25,1381.26,1420.75,4944481.4146229
2021-09-23,1433.75,1442.25,1389.76,1389.76,6147262.4117477
2021-09-24,1378.26,1391.76,1366.26,1391.76,8853315.3923725
2021-09-27,1412.25,1442.75,1410.26,1428.75,7743128.2457445
2021-09-28,1435.75,1438.75,1405.76,1420.75,6641434.6357763
2021-09-29,1428.75,1447.25,1426.25,1447.25,7586011.3183888
2021-09-30,1457.75,1461.75,1437.75,1454.75,5492051.0125382
2021-10-01,1434.75,1459.75,1428.25,1450.25,6258666.4507571
2021-10-04,1436.75,1453.75,1421.75,1438.75,25070209.048811
2021-10-05,1448.75,1479.25,1434.25,1473.25,8779911.7543998
2021-10-06,1472.75,1491.75,1453.25,1479.25,5834740.6652151
2021-10-07,1499.75,1518.73,1485.75,1504.73,5084464.25937
2021-10-08,1506.73,1509.73,1479.75,1501.25,6599592.9920327
2021-10-11,1494.25,1499.75,1479.25,1487.75,4720631.2707618
2021-10-12,1454.25,1467.75,1447.75,1457.75,3851543.35787
2021-10-13,1451.25,1460.25,1426.25,1435.25,8995256.3608427
2021-10-14,1444.25,1454.25,1438.25,1451.25,3951878.6975091
2021-10-15,1455.75,1471.25,1449.75,1454.25,2954523.6801235
2021-10-18,1442.25,1444.25,1421.75,1432.75,5986775.2714468
2021-10-19,1422.75,1453.25,1415.75,1445.75,3448410.8861434
2021-10-20,1444.75,1451.75,1432.25,1444.75,3078088.487505
2021-10-21,1434.75,1450.25,1427.25,1450.25,3655082.9446156
2021-10-22,1435.75,1466.75,1434.25,1456.75,2579580.9895543
2021-10-25,1458.75,1479.75,1449.25,1463.75,2792388.435688
2021-10-26,1465.75,1497.25,1461.75,1488.75,3927519.1583636
2021-10-27,1481.75,1500.75,1479.75,1491.25,10576979.301228
2021-10-28,1483.75,1487.75,1473.75,1485.25,2082365.5732431
2021-10-29,1479.75,1494.25,1468.75,1494.25,4246665.3234568
2021-11-01,1503.24,1508.73,1491.25,1496.75,2548284.0120702
2021-11-02,1491.25,1495.25,1481.75,1481.75,5446305.1221066
2021-11-03,1464.25,1485.75,1452.75,1475.75,3362203.4391683
2021-11-04,1478.25,1481.75,1463.25,1468.25,4571039.8188996
2021-11-05,1461.75,1478.25,1456.75,1475.25,5037412.2864142
2021-11-08,1474.75,1493.25,1466.75,1488.75,2973814.8990297
2021-11-09,1497.25,1500.75,1479.75,1479.75,9907021.9703036
2021-11-10,1473.25,1498.25,1466.25,1498.25,5326837.5736084
2021-11-11,1496.75,1513.23,1495.25,1499.25,2951803.5082508
2021-11-12,1495.25,1516.23,1489.25,1508.73,12333674.297136
2021-11-15,1497.25,1507.73,1490.75,1503.73,2496747.7557772
2021-11-16,1498.75,1502.74,1485.75,1492.25,4248144.4169126
2021-11-17,1486.75,1496.25,1482.75,1488.25,9188482.5697455
2021-11-18,1484.75,1503.73,1466.25,1467.75,6086978.602745
2021-11-19,1469.75,1473.75,1417.25,1450.75,5832100.4983975
