Date,Open,High,Low,Close,Volume
2021-05-26,1832.19,1840.94,1815.17,1819.05,2296415.7233103
2021-05-27,1812.25,1818.56,1787.93,1787.93,6239604.3407846
2021-05-28,1782.59,1802.04,1782.59,1788.42,3466651.2868246
2021-06-01,1788.42,1819.05,1785.99,1796.21,1600783.0021784
2021-06-02,1794.26,1813.22,1786.47,1799.12,1995978.2213318
2021-06-03,1801.07,1807.39,1783.56,1799.61,4083031.3853484
2021-06-04,1800.58,1801.07,1786.47,1796.21,1527700.2094757
2021-06-07,1803.98,1806.41,1788.91,1790.37,1336429.4434204
2021-06-08,1793.76,1823.43,1787.93,1813.22,1822422.8184357
2021-06-09,1809.81,1838.02,1805.44,1834.13,2167054.6207927
2021-06-10,1839.96,1849.2,1824.89,1834.13,2793854.9883233
2021-06-11,1831.21,1854.06,1831.21,1846.77,2033770.1908736
2021-06-14,1861.36,1868.66,1851.64,1856.98,2246865.8495343
2021-06-15,1873.03,1881.78,1858.43,1875.46,3285435.4311699
2021-06-16,1873.52,1890.54,1868.66,1890.54,5508282.2234669
2021-06-17,1871.08,1893.93,1863.79,1893.93,2587786.6954701
2021-06-18,1894.92,1902.69,1863.79,1866.22,5009979.3835667
2021-06-21,1848.72,1880.32,1848.72,1879.84,1708245.7377704
2021-06-22,1879.35,1888.1,1869.14,1882.27,3011054.1374448
2021-06-23,1878.87,1892.97,1862.82,1877.41,3331577.3042836
2021-06-24,1880.81,1898.8,1876.43,1898.8,2832055.5958654
2021-06-25,1898.8,1900.26,1879.35,1884.22,2072034.2077605
2021-06-28,1882.27,1891.51,1871.08,1875.95,3296629.6967831
2021-06-29,1872.06,1879.84,1856.01,1862.82,3352887.8766472
2021-06-30,1868.17,1873.03,1851.14,1866.22,2875941.9079973
2021-07-01,1878.38,1911.45,1875.95,1910.95,3691883.2927937
2021-07-02,1912.41,1926.04,1907.07,1925.55,2676034.3865718
2021-07-05,1927.97,1929.92,1920.2,1920.2,2014826.9007184
2021-07-06,1911.45,1944.99,1911.45,1944.99,2989562.3955244
2021-07-07,1949.86,1967.37,1944.03,1967.37,2498334.2268159
2021-07-08,1948.89,1957.63,1922.14,1931.38,2220076.9110735
2021-07-09,1944.99,1956.67,1939.64,1952.78,3216870.8059135
2021-07-12,1947.91,1980.97,1945.97,1973.2,2783207.250873
2021-07-13,1978.06,2006.25,1966.38,2002.37,3035242.2862684
2021-07-14,1990.71,1999.46,1974.17,1993.62,2866348.9799665
2021-07-15,1986.82,2011.12,1977.08,1980,2399849.4492593
2021-07-16,1993.62,2004.32,1982.92,1999.46,3201264.0550955
2021-07-19,1988.76,1994.59,1957.63,1969.3,3335810.6329268
2021-07-20,1988.76,1991.67,1968.33,1981.95,4322592.8967603
2021-07-21,1993.62,1999.46,1974.17,1977.08,2329071.5359178
2021-07-22,1976.12,2012.1,1972.23,2004.32,2297484.6236953
2021-07-23,2003.34,2013.07,1988.76,2009.18,2724830.3936922
2021-07-26,1999.46,2002.37,1970.28,1976.12,2093405.1699764
2021-07-27,1971.25,1981.95,1957.63,1973.2,2397386.5497848
2021-07-28,1967.37,1980.97,1961.53,1978.06,2353610.952382
2021-07-29,2000.42,2050.03,1994.59,2042.24,6540248.1747583
2021-07-30,2024.74,2062.67,2018.9,2055.86,3447909.296177
2021-08-02,2071.42,2086.01,2019.88,2057.81,2670436.2472677
2021-08-03,2052.94,2087.95,2050.99,2072.39,3988631.9812969
2021-08-04,2079.2,2114.2,2067.53,2113.24,3483886.5506585
2021-08-05,2127.24,2140.94,2106.68,2112.55,4695765.949791
2021-08-06,2117.44,2122.34,2082.2,2087.1,4092307.2666549
2021-08-09,2086.12,2097.87,2078.29,2093.95,4681228.0993579
2021-08-10,2091.01,2096.89,2074.37,2088.08,2770191.2247168
2021-08-11,2095.91,2116.47,2092,2114.51,2343101.1050944
2021-08-12,2110.6,2123.32,2109.61,2123.32,2837406.1367752
2021-08-13,2127.24,2134.08,2122.34,2125.28,1183907.8260651
