Date,Open,High,Low,Close,Volume
2022-01-31,1738.42,1746.63,1706.57,1717.15,8958107
2022-02-01,1727.88,1771.74,1725.33,1771.74,9550635
2022-02-02,1772.5,1781.22,1748.46,1758.83,13232796
2022-02-03,1791.96,1796.51,1760.28,1783.95,24027070
2022-02-04,1820.35,1857.67,1810.89,1854.04,22594559
2022-02-07,1854.5,1889.07,1842.2,1876.32,34254050
2022-02-08,1863.13,1893.15,1814.53,1816.71,37525499
2022-02-09,1821.24,1855.87,1799.24,1845.85,15446204
2022-02-10,1819.25,1857.23,1815.79,1837.2,24561421
2022-02-11,1818.16,1865.41,1814.88,1855.87,17027259
2022-02-14,1847.67,1861.31,1809.43,1825.36,15048832
2022-02-15,1820.35,1831.75,1774.12,1805.79,32718649
2022-02-16,1811.05,1844.48,1805.6,1841.75,31390946
2022-02-17,1817.49,1827.83,1777.26,1792.72,17191938
2022-02-18,1795.27,1815.3,1773.79,1781.42,58472308
2022-02-21,1781.06,1795.08,1759.03,1769.78,29379652
2022-02-22,1779.24,1820.39,1769.78,1779.24,23710020
2022-02-23,1765.24,1787.6,1755.95,1768.88,18140103
2022-02-24,1766.69,1849.25,1735.75,1777.59,65622217
2022-02-25,1758.13,1831.98,1756.66,1821.02,33278313
2022-02-28,1836.95,1838.33,1752.84,1795.08,33790312
2022-03-01,1772.7,1808.19,1754.32,1775.98,31095084
2022-03-02,1795.27,1878.82,1792.15,1863.82,32495115
2022-03-03,1872.45,1892.94,1757.04,1757.04,37055205
2022-03-04,1750.11,1752.31,1668.93,1668.93,41828430
2022-03-07,1688.41,1820.01,1687.14,1803.27,49059374
2022-03-08,1801.99,1869.27,1776.51,1856.52,33501758
2022-03-09,1874.73,1882.91,1801.64,1824.67,46426121
2022-03-10,1806.92,1831.98,1773.24,1780.33,28791869
2022-03-11,1807.46,1838.78,1766.33,1787.43,32432162
2022-03-14,1779.97,1783.24,1738.83,1753.93,29462853
2022-03-15,1714.98,1766.69,1703.31,1765.96,37112947
2022-03-16,1778.88,1789.26,1726.83,1732.81,24417602
2022-03-17,1737.17,1789.06,1727.54,1789.06,28187109
2022-03-18,1782.35,1784.33,1745.74,1767.59,42137282
2022-03-21,1783.78,1846.06,1778.88,1839.24,32591789
2022-03-22,1856.52,1863.82,1820.19,1827.42,30111750
2022-03-23,1834.23,1902.49,1831.49,1897.94,38678001
2022-03-24,1903.39,1922.99,1887.94,1894.29,38538970
2022-03-25,1889.75,1931.64,1871.08,1921.17,28123530
2022-03-28,1892.47,1928.45,1874.73,1876.55,20141296
2022-03-29,1886.09,1923.89,1828.77,1840.61,27339341
2022-03-30,1866.09,1924.82,1864.71,1922.06,30294655
2022-03-31,1897.49,1931.18,1890.2,1919.33,30125125
2022-04-01,1904.78,1930.72,1895.67,1929.36,26086871
2022-04-04,1929.81,1945.29,1913.42,1926.18,34597814
2022-04-05,1933,1941.18,1905.23,1930.72,32998408
2022-04-06,1933.92,1949.83,1929.36,1940.28,33445616
2022-04-07,1914.79,1931.64,1891.57,1898.86,35549630
2022-04-08,1934.37,1973.95,1916.17,1973.48,22135130
2022-04-11,1960.76,1981.22,1936.63,1943.45,16242336
2022-04-12,1941.18,1981.22,1929.81,1971.22,36162765
2022-04-13,1963.48,2005.36,1963.04,1986.26,25330794
2022-04-14,1981.7,2001.72,1969.86,1995.34,20838655
2022-04-19,2005.36,2056.78,2001.72,2028.12,41148300
2022-04-20,2032.22,2036.77,2004.9,2009.9,37118531
2022-04-21,2035.4,2035.4,2003.55,2022.65,55430185
2022-04-22,1980.8,2022.19,1980.8,1991.7,41861385
2022-04-25,1933.92,1953.93,1885.19,1888.37,24712723
2022-04-26,1938.9,1960.76,1875.64,1933.45,30178204
2022-04-27,1929.36,1955.29,1914.32,1939.37,36961054
2022-04-28,1948.92,1992.16,1928.9,1988.98,23389293
2022-04-29,1998.55,2000.8,1957.11,1978.04,28549035
2022-05-03,1946.2,2024.03,1940.28,2017.18,24349230
2022-05-04,2024.03,2049.51,2014.02,2025.37,19459573
2022-05-05,2061.8,2116.41,2049.97,2087.28,43708405
2022-05-06,2088.64,2125.08,2082.27,2093.19,42212841
2022-05-09,2109.59,2125.08,2022.19,2025.37,30261813
2022-05-10,2007.19,2056.78,1994.43,2033.12,30516422
2022-05-11,2037.67,2114.13,2036.3,2108.69,39028270
2022-05-12,2064.99,2084.55,2029.93,2039.5,48507236
2022-05-13,2072.27,2105.03,2044.02,2096.84,32224219
2022-05-16,2091.85,2130.52,2086.36,2127.78,45744584
2022-05-17,2139.17,2151.46,2124.59,2139.63,51165215
2022-05-18,2136.45,2192.44,2129.62,2157.84,32772805
2022-05-19,2161.47,2177.05,2109.66,2134.88,20534187
2022-05-20,2157.8,2181.19,2135.34,2142.21,61354193
2022-05-23,2156.88,2190.35,2153.23,2188.98,50321685
2022-05-24,2157.8,2178.89,2150,2169.26,59723297
2022-05-25,2191.71,2201.35,2167.43,2180.72,27341375
2022-05-26,2192.18,2212.83,2189.88,2204.1,16981679
2022-05-27,2184.85,2209.6,2158.71,2182.1,22109244
2022-05-30,2185.3,2197.67,2153.23,2176.59,23851374
2022-05-31,2185.78,2220.15,2178.89,2178.89,33721838
2022-06-01,2165.15,2191.27,2161,2164.67,23517688
2022-06-06,2181.64,2221.97,2176.59,2195.39,22393360
2022-06-07,2199.52,2223.37,2192.64,2215.11,23656887
2022-06-08,2222.9,2237.11,2213.74,2237.11,30530964
2022-06-09,2236.65,2254.54,2196.3,2196.3,48145116
2022-06-10,2186.23,2192.64,2130.76,2143.58,27548003
2022-06-13,2089.04,2131.67,2071.61,2097.3,37242257
2022-06-14,2115.63,2142.67,2078.94,2116.07,27114554
2022-06-15,2100.96,2111.96,2063.84,2082.14,33566192
2022-06-16,2077.56,2083.53,1960.22,1965.71,42219607
2022-06-17,1957.47,1963.42,1857.98,1874.03,65697348
2022-06-20,1876.32,1952.42,1873.58,1935.02,36110836
2022-06-21,1943.72,1984.49,1938.23,1972.14,29456991
2022-06-22,1897.86,1918.5,1883.19,1903.36,42908977
2022-06-23,1893.75,1934.09,1859.83,1860.28,43525294
2022-06-24,1839.2,1917.13,1836.44,1913.93,25942993
2022-06-27,1901.54,1954.72,1897.41,1936.85,34496322
2022-06-28,1966.18,2018.9,1966.18,1995.98,36810535
2022-06-29,1993.22,2051.91,1993.22,2003.32,33992885
2022-06-30,1969.39,1994.59,1937.76,1956.54,21999147
2022-07-01,1946.92,1998.27,1920.33,1944.63,15804986
2022-07-04,1973.97,2030.8,1973.97,2019.81,19230806
2022-07-05,2028.53,2031.72,1841.02,1848.37,33712389
2022-07-06,1893.28,1903.36,1791.89,1810.03,38047525
2022-07-07,1840.11,1881.38,1816.99,1864.41,36784946
2022-07-08,1860.76,1907.96,1850.67,1873.58,11806167
2022-07-11,1831.29,1875.87,1827.09,1861.68,13097358
2022-07-12,1868.54,1876.32,1817.92,1831.88,17267124
2022-07-13,1833.69,1852.51,1795.54,1835.53,16385528
2022-07-14,1841.49,1846.54,1749.9,1775.37,18233965
2022-07-15,1787.85,1844.7,1777.95,1824.16,15356148
2022-07-18,1857.08,1892.83,1854.32,1867.63,14110796
2022-07-19,1861.68,1879.99,1849.74,1864.88,25750741
2022-07-20,1888.23,1892.37,1868.08,1879.99,14859139
2022-07-21,1888.7,1890.07,1838.28,1859.83,18261914
2022-07-22,1870.37,1886.89,1848.83,1869.91,11888186
2022-07-25,1861.19,1896.96,1835.98,1896.96,28580056
2022-07-26,1922.17,1947.4,1912.07,1913,19545798
2022-07-27,1921.26,1947.84,1908.86,1941.43,21054496
2022-07-28,1984.07,1984.07,1938.66,1947.4,26995006
2022-07-29,1947.4,2007.44,1937.3,1997.8,18313120
2022-08-01,1995.51,2012.95,1955.64,1958.38,13436802
2022-08-02,1961.58,1996.43,1959.3,1985.88,53555985
2022-08-03,1987.72,2022.58,1969.84,1990.02,14150275
2022-08-04,1982.68,2009.72,1952.89,1955.18,28624386
2022-08-05,1929.06,1984.49,1918.97,1971.21,27668235
2022-08-08,1980.85,2003.32,1969.39,1981.78,11445590
2022-08-09,1973.49,2025.78,1967.99,2002.85,23308059
2022-08-10,1992.77,2014.31,1965.71,1989.09,13524117
2022-08-11,1987.02,2031.96,1982,2029.68,17243160
2022-08-12,2024.16,2053.98,2015.92,2031.05,12099320
2022-08-15,2042.05,2043.89,1962.73,2000.79,18637241
2022-08-16,2010.85,2018.21,1987.5,1988.42,34455319
2022-08-17,2002.17,2015.47,1976.94,2000.79,19130285
2022-08-18,2012.72,2033.35,1998.95,2033.35,16589549
2022-08-19,2034.72,2072.32,2022.34,2061.77,18854500
2022-08-22,2037.02,2074.12,2028.75,2057.64,12831103
2022-08-23,2058.1,2128.71,2053.98,2125.05,19471520
2022-08-24,2125.05,2131,2098.9,2102.11,24793295
2022-08-25,2127.78,2144.75,2114.04,2127.78,18504450
2022-08-26,2134.66,2151.17,2121.84,2140.16,44036835
2022-08-30,2169.96,2194.72,2125.05,2145.2,22842995
2022-08-31,2137.43,2148.87,2052.61,2099.82,57522328
2022-09-01,2093.39,2105.79,2064.98,2084.22,16235168
2022-09-02,2114.04,2141.99,2095.69,2131,14501454
2022-09-05,2132.36,2169.96,2125.96,2153,11096191
2022-09-06,2142.45,2147.49,2096.6,2116.8,15428698
2022-09-07,2095.24,2123.21,2054.41,2075.05,20321355
2022-09-08,2077.82,2102.57,2062.22,2081.49,16928733
2022-09-09,2092.02,2125.05,2091.58,2109,18359104
2022-09-12,2119.08,2145.67,2113.57,2128.71,30960599
2022-09-13,2125.96,2156.21,2115.87,2134.21,15422874
2022-09-14,2114.5,2158.49,2094.78,2146.58,19955760
2022-09-15,2145.67,2169.05,2116.32,2122.28,15103399
2022-09-16,2125.96,2146.58,2092.02,2105.79,85687799
2022-09-20,2122.75,2155.76,2099.82,2111.29,23920797
2022-09-21,2129.16,2175.01,2125.51,2141.1,22524252
2022-09-22,2133.28,2168.6,2121.35,2144.28,14923378
2022-09-23,2130.54,2131.46,2015.47,2030.59,24676304
2022-09-26,2004.91,2045.73,1979.24,2027.84,24598266
2022-09-27,2016.39,2079.65,2004.91,2057.19,24132542
2022-09-28,2031.5,2086.52,2005.37,2073.22,16017372
2022-09-29,2073.71,2082.87,2035.17,2055.35,18678630
2022-09-30,2065.43,2092.49,2043.45,2059.92,18210557
2022-10-03,2067.72,2123.21,2060.83,2108.54,16989672
2022-10-04,2135.15,2160.78,2098.46,2143.84,19373726
2022-10-05,2145.67,2188.76,2104.41,2180.97,33745827
2022-10-06,2127.34,2131.93,2071.4,2120.01,21598835
2022-10-07,2101.19,2164.45,2101.19,2150.72,22985489
2022-10-10,2141.99,2168.13,2125.05,2134.21,16936687
2022-10-11,2124.12,2124.12,2083.78,2096.16,19676816
2022-10-12,2098.9,2122.75,2066.81,2080.58,15206578
2022-10-13,2080.1,2122.75,2049.85,2111.29,23554601
2022-10-14,2118.62,2129.16,2070.49,2081.49,25407554
2022-10-17,2077.82,2105.79,2070.02,2078.28,23522702
2022-10-18,2101.19,2109,2060.39,2065.89,22935325
2022-10-19,2083.78,2091.1,2048.48,2084.22,21015936
2022-10-20,2119.54,2139.24,2101.65,2127.34,28278167
2022-10-21,2123.21,2151.17,2114.04,2149.32,11790821
2022-10-24,2104.86,2163.55,2078.72,2150.24,24635895
2022-10-25,2147.05,2147.05,2099.36,2099.36,9836010
2022-10-26,2105.32,2114.5,2077.82,2108.54,29857006
2022-10-27,2102.11,2235.99,2102.11,2223.62,54332863
2022-10-28,2188.76,2249.28,2186.46,2217.64,33384003
2022-10-31,2196.11,2231.41,2167.22,2204.35,36225771
2022-11-01,2234.61,2264.42,2229.13,2250.2,30758090
2022-11-02,2241.02,2258.91,2209.86,2226.35,17093782
2022-11-03,2214,2289.16,2204.35,2284.58,12071537
2022-11-04,2294.68,2344.65,2281.84,2316.67,14449045
