Date,Open,High,Low,Close,Volume
2021-05-26,211.723,213.084,211.018,211.904,12740250.767788
2021-05-27,211.532,212.094,210.494,210.78,23038526.758323
2021-05-28,210.78,212.284,209.694,210.076,18439097.450475
2021-06-01,210.685,212.237,210.076,211.675,20282863.121877
2021-06-02,211.865,212.989,211.066,212.189,15167542.004377
2021-06-03,212.751,212.751,210.494,212.38,15373383.549445
2021-06-04,212.284,212.522,210.685,211.723,8804259.5935742
2021-06-07,211.865,213.228,210.97,212.284,61401234.656175
2021-06-08,212.332,213.694,211.904,212.894,25057160.241299
2021-06-09,212.094,213.456,211.723,213.18,26544123.120228
2021-06-10,213.456,215.999,213.456,214.542,29495622.954145
2021-06-11,214.685,218.446,214.351,217.932,89050959.186927
2021-06-14,218.732,219.484,217.742,218.075,17168882.449545
2021-06-15,219.151,219.626,217.37,217.37,34749411.235747
2021-06-16,217.275,218.122,215.951,216.57,14868665.848083
2021-06-17,215.674,217.503,215.294,217.503,20943886.026767
2021-06-18,217.503,217.598,208.666,208.666,55628233.100346
2021-06-21,212.666,215.294,210.446,212.284,29367511.870859
2021-06-22,212.666,213.18,210.78,210.97,20679691.50514
2021-06-23,210.923,211.865,209.837,209.837,32000781.165445
2021-06-24,209.694,211.77,209.227,210.171,18834731.870658
2021-06-25,210.494,211.58,209.933,211.247,15491485.084736
2021-06-28,210.78,211.437,209.789,210.733,16070451.118093
2021-06-29,210.875,211.342,209.694,209.694,11686179.83767
2021-06-30,209.837,210.446,208.666,209.789,25103452.82563
2021-07-01,211.018,211.675,208.618,209.933,14981454.930235
2021-07-02,210.685,212.846,210.685,211.342,27671812.322667
2021-07-05,211.865,218.027,211.818,217.837,26457937.257641
2021-07-06,218.304,222.493,217.37,220.427,28340202.725326
2021-07-07,220.093,224.798,219.198,223.436,21917590.745473
2021-07-08,225.693,226.635,219.998,220.427,25173954.402771
2021-07-09,221.551,223.95,221.179,223.674,21301372.433986
2021-07-12,223.436,224.236,219.579,222.074,17950352.811906
2021-07-13,222.446,224.331,222.398,222.96,21619950.556236
2021-07-14,222.779,223.341,220.427,221.741,14253006.189505
2021-07-15,221.407,222.351,219.008,219.198,23637911.975563
2021-07-16,220.141,221.037,219.436,221.037,16085278.522384
2021-07-19,219.808,221.646,217.037,217.55,42535323.232529
2021-07-20,217.979,219.626,215.951,216.094,28329865.546301
2021-07-21,216.094,218.351,215.722,217.646,15210445.917768
2021-07-22,218.351,219.674,217.503,218.122,11824845.470568
2021-07-23,218.779,221.598,218.589,220.475,18123062.669102
2021-07-26,219.389,220.38,218.446,218.684,8732189.1678484
2021-07-27,218.541,220.57,218.255,220.57,11778131.796358
2021-07-28,219.674,221.274,219.389,219.389,27698679.117196
2021-07-29,219.77,220.703,217.932,219.484,17423898.051845
2021-07-30,216.989,219.998,216.941,219.246,19479833.167626
2021-08-02,220.188,220.475,218.075,219.808,11673137.602452
2021-08-03,219.531,221.789,218.589,221.502,11912158.089869
2021-08-04,222.208,222.541,219.579,219.579,14036496.684083
2021-08-05,219.389,220.522,217.789,218.17,11058703.409938
2021-08-06,218.446,219.722,217.884,219.389,10349636.354829
2021-08-09,218.684,220.57,218.636,219.855,18299662.094677
2021-08-10,220.236,221.322,219.626,220.655,11168045.015583
2021-08-11,221.979,225.084,221.407,224.798,12549374.190037
2021-08-12,224.522,227.579,224.522,226.96,14905508.587425
2021-08-13,227.292,228.607,226.874,228.607,11603796.385207
2021-08-16,228.283,228.893,226.398,227.807,7433128.9850171
2021-08-17,225.55,231.626,224.893,230.779,20988243.277803
2021-08-18,231.483,232.559,229.36,230.826,11401779.302349
2021-08-19,229.455,230.492,227.15,229.597,15056980.183165
2021-08-20,230.207,232.797,229.788,231.95,16152670.755042
2021-08-23,233.359,237.883,233.13,236.654,16747083.751367
2021-08-24,237.034,237.93,233.787,236.235,20960416.692372
2021-08-25,235.435,236.844,235.054,236.702,9183985.0070295
2021-08-26,236.844,238.492,236.33,238.063,12155707.656231
2021-08-27,239.197,242.958,239.197,239.806,15461977.290079
2021-08-31,242.729,242.729,238.863,240.092,24546873.862532
2021-09-01,241.081,243.291,239.806,240.891,16867075.465674
2021-09-02,240.416,241.501,239.102,241.453,14044482.690431
2021-09-03,241.93,241.93,239.949,240.606,9067814.6046343
2021-09-06,240.986,243.615,240.653,242.205,12226959.004383
2021-09-07,242.349,244.281,241.93,243.149,10635184.648853
2021-09-08,242.815,243.006,240.749,241.835,10968283.546353
2021-09-09,240.891,241.13,238.91,239.615,23223944.919111
2021-09-10,240.701,241.13,234.111,239.387,11080527.62689
2021-09-13,240.511,242.3,239.339,241.081,8623161.5419392
2021-09-14,240.844,242.3,239.711,240.701,14377966.974429
2021-09-15,240.606,241.034,239.482,239.663,30197744.651464
2021-09-16,240.606,242.444,240.606,241.968,17658671.93707
2021-09-17,243.149,244.415,240.416,240.844,29201470.145195
2021-09-20,239.806,240.377,237.177,239.434,14594327.36573
2021-09-21,240.463,242.634,239.949,242.015,19525941.984551
2021-09-22,243.482,246.205,242.815,246.205,16147527.367917
2021-09-23,247.948,248.51,244.186,244.234,14153190.036006
2021-09-24,244.748,245.129,242.3,242.3,10518909.236513
2021-09-27,243.615,244.605,241.93,242.682,17081766.198843
2021-09-28,241.739,243.711,239.434,241.215,15481250.815458
2021-09-29,241.787,243.615,240.986,241.358,25901414.999915
2021-09-30,242.767,243.434,237.883,238.348,26852617.137421
2021-10-01,236.377,236.702,232.045,233.312,25655143.575768
2021-10-04,234.026,239.102,232.892,236.797,17147279.803578
2021-10-05,237.359,238.958,236.939,238.063,32541229.550829
2021-10-06,244.653,256.414,244.558,252.234,38552157.390444
2021-10-07,255.757,258.671,252.796,257.023,23433134.18124
2021-10-08,256.938,260.604,256.09,259.338,45032984.783827
2021-10-11,259.004,259.708,252.414,254.395,21325936.360414
2021-10-12,252.234,254.157,251.472,254.157,14503138.829344
2021-10-13,254.062,254.252,251.71,253.453,17455420.987355
2021-10-14,255.214,255.262,252.072,253.309,13647994.539391
2021-10-15,254.262,256.738,253.214,255.119,14087956.807825
2021-10-18,255.214,258.404,254.88,256.643,14984542.222631
2021-10-19,257.452,261.404,257.023,261.166,16912551.072629
2021-10-20,261.547,262.546,259.166,259.166,13825251.327224
2021-10-21,259.404,259.88,256.69,257.785,20815702.486619
2021-10-22,257.262,258.976,256.643,257.832,10469097.768913
2021-10-25,258.642,261.214,258.119,260.642,12310501.766644
2021-10-26,260.642,261.737,260.023,260.832,13840464.118013
2021-10-27,261.309,261.689,257.88,258.594,13758334.789618
2021-10-28,259.642,260.547,256.738,256.738,15594567.047537
2021-10-29,255.976,258.309,255.309,257.023,18521133.320019
