Date,Open,High,Low,Close,Volume
2021-05-26,127.461,128.221,126.501,126.861,54682667.702954
2021-05-27,127.481,128.381,127.021,128.261,157967591.52292
2021-05-28,129.22,129.66,127.681,128.181,89944145.197469
2021-06-01,127.981,128.881,127.961,128.141,88059381.846137
2021-06-02,128.181,128.381,127.221,127.601,93102324.628791
2021-06-03,127.741,128.281,126.401,127.461,74565017.176299
2021-06-04,127.161,128.241,127.061,127.821,40452865.749823
2021-06-07,128.321,129.88,128.041,129.02,44158065.747568
2021-06-08,129,129.96,128.021,128.461,86083057.447309
2021-06-09,128.241,128.601,127.321,128.121,45798716.320898
2021-06-10,128.581,129.98,128.101,129.68,77512204.975475
2021-06-11,129.62,130.38,128.001,129.72,57040512.971405
2021-06-14,130.1,130.76,129.32,129.88,36726059.133416
2021-06-15,130.56,132.179,130.1,131.88,177839670.85025
2021-06-16,131.72,132.219,130.04,130.04,65379598.447066
2021-06-17,129.88,132.08,129.56,130.18,62628153.608976
2021-06-18,129.78,129.96,126.821,127.561,200222160.18053
2021-06-21,126.921,129.58,126.281,129.34,216485813.15437
2021-06-22,129.72,130.42,129.06,130.12,47505722.220566
2021-06-23,130.48,131.9,130.28,130.54,72530173.851624
2021-06-24,127.181,127.181,125.222,125.222,154816252.18689
2021-06-25,125.821,125.881,122.103,122.922,169865827.25754
2021-06-28,122.522,122.862,120.263,120.483,178128696.38618
2021-06-29,120.863,122.063,120.543,121.023,59834075.711288
2021-06-30,120.943,122.323,120.323,121.263,52560477.621728
2021-07-01,121.823,122.842,120.783,121.623,96999829.53446
2021-07-02,121.403,122.442,121.403,121.783,89342967.041188
2021-07-05,121.923,122.382,121.543,122.083,31883213.645693
2021-07-06,121.983,121.983,118.944,119.203,101128303.19178
2021-07-07,119.543,120.183,118.504,119.004,92110357.763911
2021-07-08,118.264,119.024,116.584,117.784,59305503.79616
2021-07-09,117.444,119.203,117.104,118.564,58172192.633897
2021-07-12,118.684,119.743,117.704,119.583,45182815.654735
2021-07-13,120.063,120.203,118.664,119.243,98470511.041908
2021-07-14,118.944,119.143,117.284,117.404,82278374.975531
2021-07-15,117.564,117.564,114.525,115.225,78711223.265515
2021-07-16,115.805,117.004,115.605,116.524,62447088.143983
2021-07-19,115.545,115.785,111.946,112.925,177661917.39981
2021-07-20,113.645,115.025,112.845,113.265,114109045.52593
2021-07-21,113.385,115.265,112.925,115.025,263522479.69115
2021-07-22,115.465,117.264,115.205,115.964,73661278.337925
2021-07-23,120.023,121.043,117.964,118.764,102125137.5477
2021-07-26,118.124,118.124,116.524,117.524,87711009.130643
2021-07-27,117.324,117.564,115.845,116.664,54238467.633085
2021-07-28,116.684,117.004,115.145,115.265,92716165.338301
2021-07-29,115.845,117.084,114.565,116.324,92140977.143411
2021-07-30,115.425,117.024,115.165,116.104,52543949.558759
2021-08-02,116.264,117.344,116.204,116.724,47180158.49205
2021-08-03,117.064,117.704,116.424,117.624,46288031.210593
2021-08-04,117.804,118.284,116.444,116.844,48389431.923502
2021-08-05,116.344,118.004,116.064,117.384,124016112.31446
2021-08-06,117.344,119.143,116.864,118.584,100475574.24417
2021-08-09,118.504,119.843,117.344,119.303,77183003.132512
2021-08-10,118.924,119.343,117.984,119.203,38349274.365855
2021-08-11,118.804,120.343,118.804,119.903,52799857.950059
2021-08-12,120.163,122.083,120.163,120.523,47751957.64879
2021-08-13,120.683,121.043,119.763,120.223,47580617.162807
2021-08-16,119.683,120.183,118.944,119.423,32405566.655811
2021-08-17,119.223,120.863,118.744,120.323,44138288.689348
2021-08-18,120.843,122.103,120.603,121.603,50958345.847694
2021-08-19,120.763,121.743,119.463,121.143,176333192.37728
2021-08-20,121.423,122.782,120.463,122.602,43771433.312141
2021-08-23,123.142,123.562,121.583,122.243,39880846.52567
2021-08-24,122.822,122.822,120.903,122.323,45459294.347246
2021-08-25,122.462,123.442,121.763,122.902,41367062.791813
2021-08-26,122.482,123.302,121.923,122.422,37346676.244348
2021-08-27,122.243,123.002,121.543,122.662,35644188.728777
2021-08-31,122.922,123.062,121.563,121.883,171211990.62189
2021-09-01,122.522,123.902,121.883,122.183,54504406.096854
2021-09-02,122.363,123.142,120.943,121.183,59856643.624418
2021-09-03,121.623,122.023,120.403,120.743,46149824.874449
2021-09-06,120.863,121.903,120.143,121.523,27365565.774336
2021-09-07,122.023,122.502,121.283,122.203,50865885.524727
2021-09-08,121.603,122.822,120.443,121.763,47700312.828658
2021-09-09,121.143,121.283,118.744,118.804,63492932.512924
2021-09-10,119.004,119.223,116.404,116.684,53967923.758561
2021-09-13,116.724,118.204,116.644,117.564,34305271.584131
2021-09-14,117.484,117.924,115.565,115.984,63068861.609135
2021-09-15,115.425,116.264,114.585,114.585,90794694.742599
2021-09-16,115.305,115.944,114.865,114.925,51072127.701993
2021-09-17,116.344,116.604,114.085,114.245,153745243.10935
2021-09-20,112.905,114.485,112.745,114.065,68253390.763325
2021-09-21,114.385,115.465,113.745,113.965,57990202.885772
2021-09-22,114.265,115.605,114.265,115.325,53185413.055472
2021-09-23,116.024,116.204,114.245,114.265,72764494.630085
2021-09-24,114.185,114.825,113.485,113.725,73496878.978186
2021-09-27,114.025,116.204,113.585,115.805,65725087.279152
2021-09-28,115.924,116.244,114.805,114.905,91016450.672125
2021-09-29,114.365,115.785,113.765,115.425,59756925.078071
2021-09-30,115.984,116.344,113.225,113.225,82786275.5585
2021-10-01,112.266,113.265,111.626,112.126,75811221.92076
2021-10-04,112.026,114.905,111.566,113.705,54947018.680435
2021-10-05,114.285,115.085,113.725,114.585,55655550.721964
2021-10-06,113.385,113.785,111.366,111.546,147080763.60843
2021-10-07,112.246,113.465,111.826,112.366,46360479.403332
2021-10-08,112.765,112.965,111.306,112.026,48439796.351418
2021-10-11,111.986,112.466,111.046,111.686,46394591.852849
2021-10-12,110.646,111.066,110.026,110.946,98128443.257776
2021-10-13,110.106,110.626,109.366,110.066,127364809.10613
2021-10-14,110.346,111.426,109.866,111.046,71227133.69702
2021-10-15,110.926,111.206,109.566,110.366,62918402.519659
2021-10-18,109.866,110.746,108.887,109.366,48620337.655848
2021-10-19,109.906,109.906,108.887,109.327,69360422.87564
2021-10-20,109.526,112.426,109.307,111.926,57815475.362252
2021-10-21,111.406,111.786,110.806,110.806,48803242.684347
2021-10-22,110.606,111.326,109.986,110.746,34974627.625046
2021-10-25,110.946,112.066,110.586,110.646,40906676.76377
2021-10-26,110.446,113.045,110.406,112.486,61496217.868041
2021-10-27,112.106,112.905,111.786,111.946,36244255.544626
2021-10-28,110.826,111.706,108.907,108.907,80147525.241632
2021-10-29,108.287,109.087,107.707,107.967,87078943.512741
