Date,Close,Open,Low,High,Volume
2021-05-26,117.85,117.5,116.4,120.2,91839
2021-05-27,119.65,117.5,117,120.4,159399
2021-05-28,120,120.25,119,121,98781
2021-05-31,120.8,121,119.45,121.85,55870
2021-06-01,118.8,118.9,118.5,124.25,123534
2021-06-02,117.65,119.25,117.5,119.9,92978
2021-06-04,116.55,118.1,116.1,119.2,124672
2021-06-07,115.6,116.5,115.2,119.8,120826
2021-06-08,118,116.1,113.2,118.6,207810
2021-06-09,118.3,118.1,116.3,119.8,126893
2021-06-10,114.85,118,114.7,118.15,132233
2021-06-11,112.8,115,112.55,115.8,141017
2021-06-14,113,112.8,111.85,114.3,150329
2021-06-15,106.8,114,106.05,114.4,310800
2021-06-16,110.2,106.8,105.65,111,171990
2021-06-17,108.7,110.25,106.1,110.25,165991
2021-06-18,113.05,108.95,108.2,115.3,318642
2021-06-21,114.65,112.95,110.3,116,152404
2021-06-22,113.5,115.1,111.9,116.5,174308
2021-06-23,113.6,113.95,112.8,115,132430
2021-06-24,116.2,113.65,113.15,116.2,99929
2021-06-25,114.75,116,114.75,116.7,119895
2021-06-28,113.7,115.45,112.6,115.45,70025
2021-06-29,113.1,114.1,112.75,115.2,138949
2021-06-30,112.35,113.65,111.55,115,160664
2021-07-01,119,113.8,112.3,119.4,280211
2021-07-02,119.2,119,117.2,120.1,120688
2021-07-05,119,120.5,118.2,121.5,101207
2021-07-06,116.6,118,116.2,118.85,97120
2021-07-07,121.4,117.65,116.75,121.5,200979
2021-07-08,118.05,121.2,117.9,121.3,84720
2021-07-09,119.5,119.35,117.2,119.5,70094
2021-07-12,120.8,119.2,118.2,120.8,128792
2021-07-13,124.1,120.95,120.2,124.2,320055
2021-07-14,128.6,124.2,123.8,130,410234
2021-07-15,126.1,128.1,125.3,128.1,132051
2021-07-16,125.65,126.15,124.7,126.75,136206
2021-07-19,120.65,125.15,119.25,125.15,199955
2021-07-20,120.55,120.65,119.95,122.25,168266
2021-07-21,125.05,120.6,120.6,125.8,101787
2021-07-22,125.6,124.65,124.6,125.95,77874
2021-07-23,124.9,125.8,124.6,125.9,80048
2021-07-26,125.1,125,124.6,125.9,121878
2021-07-27,122.2,125.3,121.8,125.35,213555
2021-07-28,123,121.8,121.8,124.5,92824
2021-07-29,122.45,123,120.15,123.6,106597
2021-07-30,121.55,121.8,119.45,122.4,104344
2021-08-02,123.55,122.4,122.3,124.5,122273
2021-08-03,119.65,125,119.5,126.1,291711
2021-08-04,122.35,120.4,120.05,124.8,114707
2021-08-05,124.9,122.55,120.2,124.9,124648
2021-08-06,124.6,124.65,123.2,125.2,94144
2021-08-09,124,124.95,123.3,125.2,73599
2021-08-10,125.15,124.8,123.35,125.6,67701
2021-08-11,122.45,125,121.6,125.25,63525
2021-08-12,123.7,122.55,120.35,123.7,118079
2021-08-13,124,123.65,123.35,124.4,39366
2021-08-16,121.9,123.5,121.15,123.75,57669
2021-08-17,118.6,121,115.35,121,262403
2021-08-18,118.25,118.6,117.15,119.85,63708
2021-08-19,116.35,118.25,113.75,118.35,187204
2021-08-20,114.65,116.9,112.9,117.55,160441
2021-08-23,118.8,116,116,118.85,63781
2021-08-24,116.1,118.8,115.3,118.8,85116
2021-08-25,123,116.1,116,123,177295
2021-08-26,122.6,122.5,119.5,123,71572
2021-08-27,121.5,123,119.85,123.05,57574
2021-08-30,122.95,121.5,120.3,122.95,98688
2021-08-31,122.45,122.7,119.05,122.95,228469
2021-09-01,120,122.05,119.9,122.5,110913
2021-09-02,124,119.8,119.6,124.2,218393
2021-09-03,120.2,123.9,119.85,123.9,101778
2021-09-06,120,120.95,119.5,121.6,91914
2021-09-07,119.3,120,118.6,121.35,83562
2021-09-08,116.55,119,116.3,119,129339
2021-09-09,115.5,116,114.25,117.5,118783
2021-09-10,119,116.8,116.8,120.6,116145
2021-09-13,118.6,119,116.85,119.35,111335
2021-09-14,119,118.7,116.8,120,91094
2021-09-15,119.8,118.9,118,120.1,65497
2021-09-16,119.55,119.55,118.9,120,129965
2021-09-17,119.3,119.35,118.4,119.9,141468
2021-09-20,115.2,118.55,115,118.6,200052
2021-09-21,116.95,115,115,117.75,126678
2021-09-22,117.5,118.4,115.9,118.85,54763
2021-09-23,121.15,117.5,117.5,122.35,213329
2021-09-24,122.25,121,119.1,122.25,103633
2021-09-27,117.9,121.55,117.1,121.55,86920
2021-09-28,118,117.5,116.55,118.7,82325
2021-09-29,119,117.8,116.75,119,63670
2021-09-30,120.9,119,118.25,121.35,111698
2021-10-01,122,119.5,118.2,123.3,259917
2021-10-04,123.3,122.5,120.9,123.8,124106
2021-10-05,124.5,123.6,123,125.6,265908
2021-10-06,118,124.95,116.7,128.5,968139
2021-10-07,118.6,119.3,116.65,120.45,153627
2021-10-08,121.15,119.5,119,122.7,177489
2021-10-11,120.5,121.7,119.3,121.7,133577
2021-10-12,120.2,119.75,119.55,122.2,170692
2021-10-13,120,121,119.85,122.1,124456
2021-10-14,123.85,121.85,120.95,124.55,268988
2021-10-15,123.65,123.75,123.25,124.4,97733
2021-10-18,125.1,124,123.95,127.85,180911
2021-10-19,126.4,125.35,124.4,126.45,73411
2021-10-20,122.45,125.4,122.45,126.7,110429
2021-10-21,123.45,122.2,120.7,123.75,152551
2021-10-22,124.5,123.5,122.8,125.2,97846
2021-10-25,123.45,124.5,121.7,125,71614
2021-10-26,124.85,123.5,123.3,124.95,67314
2021-10-27,121.45,123.9,120.4,124.3,147009
2021-10-28,122.7,121,120.55,122.7,58537
2021-10-29,120.5,122.7,120.25,122.8,71709
2021-11-02,120.5,121.45,120.35,123,73602
2021-11-03,119.15,121,118.8,122.3,125302
2021-11-04,121.7,119.2,118.6,122.75,79783
2021-11-05,122.55,122.4,121.7,123.5,110017
2021-11-08,120.1,123.05,119.75,123.3,74573
2021-11-09,121.45,120.25,120.25,122.55,68402
2021-11-10,118.3,121,117.5,121.8,117230
2021-11-12,118.4,119,115.4,119.2,91400
2021-11-15,116.7,117.95,116.7,119.2,71360
2021-11-16,116,116.5,115.05,117.5,106819
2021-11-17,111.95,117.15,109.3,117.15,145488
2021-11-18,111.4,111,109.85,112.95,103064
2021-11-19,105.2,111.5,103.1,111.5,290850
2021-11-22,104.5,105.3,103.9,107.5,212674
2021-11-23,101.5,104.45,101.05,104.9,176512
2021-11-24,105,101.95,100.5,105.7,238785
2021-11-25,106.05,105,99.42,107.35,285456
2021-11-26,98.02,102.95,98,102.95,284156
2021-11-29,98.7,98.94,92.08,99.68,319136
2021-11-30,102.65,97.5,94.64,102.9,197037
2021-12-01,103.7,104.2,102.85,107.2,180640
2021-12-02,106.9,103.6,102,107.2,140127
2021-12-03,105,107.1,104.05,108.7,92985
2021-12-06,103.4,105.2,102.25,105.9,69738
2021-12-07,104.5,103.95,103.6,105.7,92486
2021-12-08,104.15,104.5,102.2,105.8,77425
2021-12-09,104.3,104.15,103.2,108.5,146714
2021-12-10,104.1,104.55,103.55,107.6,111555
2021-12-13,102.5,104.7,102.3,106.5,99560
2021-12-14,103.5,103.5,102.5,105.5,61080
2021-12-15,101.55,103.95,100.15,103.95,159740
2021-12-16,103.5,103.5,101.35,105.3,91942
2021-12-17,101.2,103.55,100.35,103.55,199895
2021-12-20,99.32,99.9,96,100.85,79056
2021-12-21,101,100.65,99.54,102.1,71594
2021-12-22,101.75,101.5,100.75,102.7,48300
2021-12-23,103.4,102.35,102.2,106,110536
2021-12-27,102.5,103.85,101.25,104.3,68299
2021-12-28,105.25,102.35,102,105.5,93798
2021-12-29,105,105.5,104.2,105.9,49710
2021-12-30,105.5,104.65,103.6,105.75,87949
2022-01-03,104.9,105.3,103.6,106.5,52929
2022-01-04,103,105,102,105,84590
2022-01-05,101.65,102.7,100.3,102.9,154239
2022-01-07,101.5,101.5,99.34,102.8,86404
2022-01-10,99.9,102.5,99.1,102.5,86573
2022-01-11,99.88,101.1,98.56,101.1,54793
2022-01-12,101.75,100.95,99.4,102.45,85499
2022-01-13,101.6,102.4,100.8,103.6,90922
2022-01-14,101.05,101.5,99.9,102.8,79369
2022-01-17,99.9,100.1,99.5,101.05,51868
2022-01-18,98.98,99.9,98.22,100.9,75516
2022-01-19,92.78,98.2,92.78,98.24,249681
2022-01-20,84.88,92.78,84.56,94.26,714440
2022-01-21,81.1,83,79.3,83.04,767719
2022-01-24,74.68,80.54,72.56,81.44,538068
2022-01-25,78.48,75.1,75,80.1,424555
2022-01-26,78.9,79.9,78.66,82.46,320647
2022-01-27,78,78,75.5,80.5,154030
2022-01-28,76.34,78,74.64,78.4,272249
2022-01-31,76.8,78.42,76.6,80.3,209126
2022-02-01,76,77.02,75.26,78.5,195805
2022-02-02,73.7,77,73.7,79.32,630304
2022-02-03,68,73.42,67.74,74,801972
2022-02-04,65.44,68.2,65.1,69.98,856507
2022-02-07,61.4,66,59.04,66.5,1240138
2022-02-08,62.34,61.5,60.54,64.24,465103
2022-02-09,65.26,63.2,62.22,67.76,736001
2022-02-10,63.86,66.52,62.86,67,379134
2022-02-11,61.6,63.66,60.72,63.8,318679
2022-02-14,58.5,59.22,57.64,60,456518
2022-02-15,61.82,58.3,58.3,62.38,301004
2022-02-16,60.9,63.44,60.5,63.68,297457
2022-02-17,58.84,61.52,58.52,61.52,227289
2022-02-18,59.06,58.7,57.98,59.8,221094
2022-02-21,56,59.6,54.8,59.8,462471
2022-02-22,57.1,54,52.7,58,370559
2022-02-23,54.38,57.8,54.2,58.58,278353
2022-02-24,45.71,49.74,45,50.5,730427
2022-02-25,52.52,46.7,46.7,53.48,587169
2022-02-28,53.6,51.9,49.52,54.62,451606
2022-03-01,55.84,54.22,53.7,57.9,474619
2022-03-02,54.06,56,52.16,56.32,344559
2022-03-03,52.7,53,51.12,53.96,407234
2022-03-04,51.3,53.76,49.76,53.76,404350
2022-03-07,50.9,50,47,52.24,382795
2022-03-08,50.22,50.9,49.5,51.9,313383
2022-03-09,54.4,52,50.74,54.7,311011
2022-03-10,56.32,56.5,54.82,58.2,423617
2022-03-11,62.9,56.5,56.4,63.52,790954
2022-03-14,59.36,62.8,59.06,64.8,725440
2022-03-15,57.5,59.3,56.6,60.76,579787
2022-03-16,56,58.6,55.26,59.2,966711
2022-03-17,60.66,57.98,56.2,60.68,883255
2022-03-18,58.7,61.04,58.7,61.8,765330
2022-03-21,59.74,60.3,58.72,62.18,425248
2022-03-22,59.78,60,59.26,60.8,217988
2022-03-23,61,60.02,60.02,61.6,375153
2022-03-24,60.7,61.3,59.54,61.8,232168
2022-03-25,59.66,61,59.46,61.56,298071
2022-03-28,61,60.3,60.3,62.5,472610
2022-03-29,61.6,61.8,59.72,62.18,995248
2022-03-30,61.6,61.6,60.66,63,424878
2022-03-31,59.5,62,59.5,62,400060
2022-04-01,59,59.84,58.74,60.34,261627
2022-04-04,59.6,59.6,58.82,60.5,218487
2022-04-05,58.04,60.4,58,60.4,237713
2022-04-06,56.1,58.4,55.2,58.94,359079
2022-04-07,53.96,56.5,53.7,56.56,269593
2022-04-08,54,54.76,52.8,54.76,213525
2022-04-11,54.34,54,52.5,54.58,165931
2022-04-12,52.8,54.34,52.72,54.34,303277
2022-04-13,51.38,52.8,51.1,53.26,398728
2022-04-14,53.2,51.66,51.02,53.74,300866
2022-04-19,52.56,52.8,50.56,52.98,307492
2022-04-20,51.72,53,51.54,54.88,419317
2022-04-21,55.08,51.5,50.6,58.08,481075
2022-04-22,53.02,56,53,56.5,252881
2022-04-25,52.6,52.54,51.52,54.4,268020
2022-04-26,50.7,53.04,50.36,53.48,193424
2022-04-27,50.6,50.36,48.2,51.5,305037
2022-04-28,53.98,51.98,51.4,54.22,237466
2022-04-29,52.26,54.8,51.68,55,209854
2022-05-02,50.58,51.68,49.16,51.68,162580
2022-05-04,51.54,50.8,50.2,52,155445
2022-05-05,48.71,52.7,48.6,53.5,385100
2022-05-06,46.31,48.7,45.08,48.71,528785
2022-05-09,45.31,46,44.76,46.7,272800
2022-05-10,43.62,46,42.37,46.4,551778
2022-05-11,45,43.75,43.61,45.7,415210
2022-05-12,43.01,43.8,41.66,44,529462
2022-05-13,47.59,44,44,48,409534
2022-05-16,46.24,48,46.06,48.8,391949
2022-05-17,48.15,47.41,46.41,49.19,865217
2022-05-18,47.68,49,47.5,49.5,388092
2022-05-19,45.1,46.06,44.67,46.98,386083
2022-05-20,45.61,45.5,45.46,46.47,186871
2022-05-23,46.9,46.48,46.24,47.81,203464
2022-05-24,45.68,46.7,45.5,47.43,236149
2022-05-25,46.8,46.08,45.42,46.97,106899
2022-05-26,47,46,45.85,47.7,148922
2022-05-27,48.89,47.4,46.56,48.98,331860
2022-05-30,51.6,49.28,49.28,52.6,328069
2022-05-31,52.2,51.6,50.66,52.9,229933
2022-06-01,52.6,52.5,51.28,54.4,213210
2022-06-02,51.28,52.9,50.5,52.9,235329
2022-06-03,50.74,51.82,50.6,53.1,192573
