Date,Close,Open,Low,High,Volume
2021-05-26,434.335,435.012,431.624,437.723,12135.97514501
2021-05-27,435.689,437.044,431.624,438.4,21509.032628076
2021-05-28,436.418,430.59,429.86,444.432,35933.027515986
2021-05-31,454.632,438.604,438.604,455.361,7021.9010226045
2021-06-01,444.432,455.361,442.975,459.003,5966.4198094726
2021-06-02,431.318,442.975,430.59,444.432,21504.915016061
2021-06-04,424.032,422.575,418.932,429.131,16860.248663345
2021-06-07,442.246,426.946,426.946,442.246,8555.0252294555
2021-06-08,438.604,442.975,433.504,442.975,8840.5129958162
2021-06-09,434.233,440.061,434.233,442.975,15645.553118974
2021-06-10,435.689,434.233,434.233,440.79,3727.8114107494
2021-06-11,444.432,434.233,434.233,451.719,14312.819363511
2021-06-14,451.719,443.704,440.79,454.632,11511.470656095
2021-06-15,449.533,448.803,443.704,450.99,7036.9989333255
2021-06-16,449.533,447.347,445.889,454.632,15953.001482747
2021-06-17,450.99,448.803,444.432,453.175,10797.751240193
2021-06-18,448.075,448.803,447.347,456.09,19170.229003659
2021-06-21,448.803,448.075,444.432,448.803,8036.2061155883
2021-06-22,455.361,448.803,448.803,457.546,9121.8831501622
2021-06-23,479.404,457.546,456.818,480.862,18460.627199772
2021-06-24,481.59,477.947,473.575,483.047,14544.778173679
2021-06-25,480.133,483.775,477.947,485.232,9611.8789799256
2021-06-28,475.033,480.133,471.39,480.133,4591.1373965231
2021-06-29,480.862,477.218,472.846,480.862,5896.4204052207
2021-06-30,472.846,477.947,470.661,480.133,7424.0544627185
2021-07-01,472.846,477.218,470.661,480.862,6096.8108566086
2021-07-02,479.404,472.846,472.846,485.232,16974.169262422
2021-07-05,494.704,482.319,482.319,494.704,14795.952506583
2021-07-06,502.718,495.433,494.704,510.004,20240.808127512
2021-07-07,514.375,505.633,505.633,515.832,6334.2598161298
2021-07-08,510.733,515.832,507.09,516.56,3414.8728976232
2021-07-09,510.733,510.004,503.447,510.733,4993.2908366371
2021-07-12,512.919,512.19,505.633,512.919,4886.2329242518
2021-07-13,509.276,512.919,503.447,522.39,5613.6777135365
2021-07-14,504.176,510.004,504.176,514.375,5509.3648758277
2021-07-15,496.161,504.904,496.161,508.548,6210.7314556852
2021-07-16,498.347,497.618,496.889,504.176,4057.2203719349
2021-07-19,480.862,500.533,479.404,501.99,10245.991230208
2021-07-20,481.59,482.319,479.404,493.248,6345.240114836
2021-07-21,493.976,482.319,482.319,496.889,5823.6759262922
2021-07-22,502.718,494.704,493.248,512.919,5211.5242734225
2021-07-23,504.904,502.718,499.076,510.004,2856.2502009461
2021-07-26,510.004,504.904,496.889,510.004,1877.6310787574
2021-07-27,496.161,510.004,496.161,510.004,3694.8705146308
2021-07-28,496.889,501.261,486.69,501.261,7117.9786362837
2021-07-29,504.176,496.889,487.418,504.176,4412.7075425476
2021-07-30,506.362,501.99,497.618,515.104,7031.5087839725
2021-08-02,509.276,511.462,506.362,516.56,2952.3278146252
2021-08-03,498.347,507.819,492.519,508.548,7397.9762532913
2021-08-04,496.161,499.076,493.976,502.718,3418.990509638
2021-08-05,485.96,489.605,476.49,493.976,7113.8610242688
2021-08-06,484.504,484.504,480.133,488.147,3342.1284186947
2021-08-09,488.147,485.232,476.49,491.79,16523.977015468
2021-08-10,495.433,488.147,488.147,502.718,14483.013993456
2021-08-11,495.433,495.433,486.69,499.076,6343.8675774977
2021-08-12,491.79,494.704,485.96,494.704,2819.1916928127
2021-08-13,488.147,493.248,488.147,493.248,985.48180888
2021-08-16,481.59,488.876,481.59,491.062,3414.8728976232
2021-08-17,481.59,483.047,481.59,489.605,11334.413339458
2021-08-18,480.862,482.319,477.218,485.232,1975.0812297748
2021-08-19,483.047,477.218,460.461,483.047,8597.5738869419
2021-08-20,477.218,483.775,473.575,484.504,2404.6854166543
2021-08-23,480.133,477.218,476.49,482.319,2032.7277979823
2021-08-24,480.133,477.218,477.218,480.862,1822.7295852265
2021-08-25,486.69,482.319,479.404,487.418,2602.3307933656
2021-08-26,478.675,488.147,478.675,492.519,3666.0472305271
2021-08-27,477.947,479.404,477.218,483.775,1088.4221092505
2021-08-30,495.433,480.133,480.133,495.433,8651.1028431346
2021-08-31,483.775,492.519,481.59,497.618,5377.6012913535
2021-09-01,484.504,482.319,482.319,493.976,6553.8657902535
2021-09-02,478.675,484.504,478.675,484.504,2388.214968595
2021-09-03,484.504,480.862,477.218,488.147,3788.2030536334
2021-09-06,489.605,485.96,485.96,496.889,6007.5959296208
2021-09-07,494.704,488.876,488.876,494.704,1999.7869018637
2021-09-08,481.59,494.704,481.59,494.704,3711.3409626901
2021-09-09,479.404,480.862,479.404,483.047,2589.9779573211
2021-09-10,483.047,480.862,480.862,487.418,3917.2215634311
2021-09-13,492.519,484.504,484.504,492.519,10521.871235201
2021-09-14,480.862,492.519,480.862,492.519,8457.5750784381
2021-09-15,482.319,480.133,478.675,484.504,6717.1977335079
2021-09-16,459.003,482.319,456.818,488.147,41839.055682575
2021-09-17,461.919,458.275,457.546,466.289,24129.206406839
2021-09-20,451.719,459.732,450.262,461.919,9423.8413645822
2021-09-21,450.262,451.719,449.533,457.546,5488.7768157536
2021-09-22,464.104,453.175,451.719,464.833,13427.532780325
2021-09-23,459.003,467.018,457.546,472.846,8003.2652194697
2021-09-24,458.275,463.376,456.09,463.376,2581.7427332915
2021-09-27,455.361,459.003,452.447,468.475,17225.343595326
2021-09-28,450.262,455.361,450.262,458.275,17881.41644302
2021-09-29,462.648,450.262,450.262,464.104,8335.4192553318
2021-09-30,464.104,464.104,462.648,467.018,14731.443251684
2021-10-01,458.275,459.003,456.09,461.919,9301.685541476
2021-10-04,462.648,461.19,453.175,466.289,7076.8025161355
2021-10-05,461.19,459.003,457.546,463.376,18151.80629866
2021-10-06,457.546,459.003,456.09,461.19,32080.315207454
2021-10-07,457.546,457.546,455.361,461.919,21390.994416984
2021-10-08,457.546,455.361,452.447,462.648,18715.91914469
2021-10-11,470.661,459.003,456.09,471.39,5525.835323887
2021-10-12,459.003,470.661,458.275,470.661,3420.3630469763
2021-10-13,464.104,456.818,456.818,465.561,8815.8073237273
2021-10-14,470.661,464.104,457.546,470.661,14186.545928389
2021-10-15,462.648,470.661,459.003,473.575,17310.440910299
2021-10-18,469.933,461.919,458.275,474.304,7646.4055115187
2021-10-19,476.49,472.846,472.846,483.775,10059.326152203
2021-10-20,463.376,476.49,462.648,476.49,16604.956718426
2021-10-21,464.833,462.648,462.648,467.018,13299.886807865
2021-10-22,463.376,466.289,453.904,466.289,12870.282620986
2021-10-25,456.09,461.919,454.632,461.919,12241.660520057
2021-10-26,456.09,456.818,454.632,459.003,6186.0257835963
2021-10-27,448.803,456.09,448.075,458.275,11906.761409518
2021-10-28,446.618,450.262,437.875,450.262,39737.701017679
2021-10-29,456.09,450.262,447.347,458.275,6147.5947381247
2021-11-02,445.161,456.818,444.432,456.818,9323.6461388883
2021-11-03,456.09,445.161,444.432,457.546,8210.5183575489
2021-11-04,447.347,458.275,447.347,458.275,4941.1344177827
2021-11-05,451.719,447.347,446.618,453.904,3913.1039514163
2021-11-08,451.719,452.447,451.719,453.904,8533.0646320431
2021-11-09,453.904,453.175,449.533,453.904,7609.3470033854
2021-11-10,448.803,451.719,448.075,453.175,7709.5422290793
2021-11-12,446.618,448.803,446.618,453.175,2797.2310954003
