Date,Close,Open,Low,High,Volume
2021-05-26,9083.04,9174.83,8966.29,9249.84,4174.8447420588
2021-05-27,9208.19,9083.04,9007.98,9441.61,23570.622324896
2021-05-28,9566.89,9266.56,9116.39,9700.32,1713.4692784934
2021-05-31,9341.67,9641.92,9124.8,9750.27,1324.4654422949
2021-06-01,9441.61,9391.66,9249.84,9633.56,1084.8112932082
2021-06-02,9475.13,9541.86,9391.66,9666.9,1110.2817824832
2021-06-04,9158.08,9550.14,8882.88,9558.51,2548.2066770027
2021-06-07,9266.56,9283.28,9216.51,9458.37,1287.417457895
2021-06-08,9558.51,9174.83,9174.83,9641.92,1391.6149140196
2021-06-09,9508.44,9425.06,9416.68,9633.56,1616.2183194438
2021-06-10,9224.83,9433.34,9191.47,9558.51,1675.263544581
2021-06-11,9133.13,9224.83,8974.61,9274.96,2623.4603953148
2021-06-14,9450.09,9133.13,9133.13,9458.37,1472.6573798943
2021-06-15,9141.45,9508.44,9116.39,9566.89,1597.6943272438
2021-06-16,9416.68,9266.56,9183.14,9441.61,1995.9601595422
2021-06-17,9408.31,9266.56,9266.56,9475.13,1542.122350644
2021-06-18,9992.16,9274.96,9274.96,10108.8,6478.7662719249
2021-06-21,9566.89,9842.11,9383.35,9842.11,831.26414997178
2021-06-22,9600.2,9625.11,9266.56,9666.9,3107.399691538
2021-06-23,9633.56,9708.69,9441.61,9708.69,1502.7588672192
2021-06-24,10292.4,9758.73,9600.2,10467.5,3812.4691446477
2021-06-25,10784.7,10217.4,10175.8,10884.7,4215.3659749962
2021-06-28,10959.8,10592.7,10534.4,11251.7,2380.3329976908
2021-06-29,10642.9,11143.3,10609.4,11168.2,4276.7266991585
2021-06-30,10734.5,10551,10551,10901.4,3680.4857002232
2021-07-01,10843,10843,10626,10851.4,4633.313549007
2021-07-02,10926.4,10951.3,10726.1,10968,1615.0605699313
2021-07-05,11168.2,11202.7,10926.4,11289.3,1529.3871060066
2021-07-06,11055.9,10978.2,10978.2,11202.7,1251.5272230076
2021-07-07,11833.3,11055.9,11030,12049.3,2227.5100620414
2021-07-08,11366.9,11885.1,11159.7,11911.1,1580.3280845564
2021-07-09,11772.8,11531,11418.7,11859.2,842.84164509674
2021-07-12,11660.5,11876.5,11591.5,11876.5,1310.572448145
2021-07-13,11945.6,11660.5,11582.8,11997.5,1382.3529179197
2021-07-14,11833.3,11876.5,11712.4,11980.1,3250.9606310875
2021-07-15,11746.9,11824.7,11729.7,11911.1,2553.9954245651
2021-07-16,11772.8,11807.4,11712.4,11902.5,2733.446599002
2021-07-19,11427.3,11807.4,11237.3,11807.4,1819.982233643
2021-07-20,11790.1,11729.7,11453.1,11790.1,1644.0043077436
2021-07-21,11669.3,11686.4,11669.3,11807.4,1369.6176732822
2021-07-22,11660.5,11772.8,11591.5,11772.8,1327.9386908324
2021-07-23,11703.7,11617.3,11539.6,11746.9,409.84332742342
2021-07-26,11634.7,11807.4,11453.1,11816.1,1624.3225660312
2021-07-27,11531,11703.7,11280.6,11703.7,1167.0115085955
2021-07-28,11738.3,11401.6,11228.8,11824.7,1826.928730718
2021-07-29,12006.1,11660.5,11660.5,12040.5,3223.1746427875
2021-07-30,11954.2,11790.1,11790.1,12230.5,1669.4747970186
2021-08-02,12360.2,11997.5,11902.5,12403.3,742.11743750962
2021-08-03,12593.4,12438.1,12282.4,12688.4,2530.8404343152
2021-08-04,12152.8,12533,12144.2,12809.3,1674.1057950685
2021-08-05,12308.3,12135.5,12049.3,12377.5,1846.6104724304
2021-08-06,12420.7,12317.1,12040.5,12446.6,2265.7157959538
2021-08-09,12213.2,12265.2,12204.8,12429.3,2161.5183398291
2021-08-10,12273.8,12127,12127,12282.4,642.55097943501
2021-08-11,11937,12152.8,11919.7,12230.5,1021.135070021
2021-08-12,12092.4,11842,11833.3,12092.4,529.09152721045
2021-08-13,12101,11988.8,11911.1,12135.5,2022.5883983296
2021-08-16,11790.1,11919.7,11790.1,12057.9,1613.9028204188
2021-08-17,11937,11928.3,11755.5,12161.5,2593.3589079899
2021-08-18,11625.9,11781.5,11462,12032,1669.4747970186
2021-08-19,11556.9,11358.2,11315,11703.7,1508.5476147816
2021-08-20,11591.5,11643.4,11496.5,11686.4,662.23272114743
2021-08-23,11703.7,11574.2,11574.2,11859.2,1473.8151294068
2021-08-24,11772.8,11634.7,11634.7,11980.1,2753.1283407143
2021-08-25,12075.2,11876.5,11686.4,12178.9,2720.7113543645
2021-08-26,11695.1,12032,11444.5,12066.5,2631.5646419024
2021-08-27,11798.7,11824.7,11660.5,11842,1977.4361673423
