Date,Close,Open,Low,High,Volume
2021-05-26,10.24,9.7,9.6,10.27,5413668
2021-05-27,10.025,10.22,9.9,10.22,5029909
2021-05-28,10.165,10,10,10.24,1761749
2021-05-31,9.986,10.1,9.9,10.125,1136519
2021-06-01,9.936,10,9.91,10.195,1390303
2021-06-02,10.24,9.964,9.964,10.33,1935516
2021-06-04,10.675,10.31,10.135,10.83,2870493
2021-06-07,10.75,10.675,10.65,10.98,3018911
2021-06-08,10.69,10.7,10.46,10.845,1566599
2021-06-09,10.235,10.69,10.23,10.69,2255361
2021-06-10,10.395,10.2,10.015,10.465,1491461
2021-06-11,10.15,10.4,10.08,10.4,1043211
2021-06-14,10.245,10.125,10.12,10.295,972719
2021-06-15,9.986,10.38,9.92,10.38,1871057
2021-06-16,9.96,9.92,9.92,10.25,2244927
2021-06-17,10.255,9.92,9.92,10.3,1680360
2021-06-18,10.255,10.25,10.04,10.35,4056654
2021-06-21,10.065,10.165,10.01,10.28,1127841
2021-06-22,10.36,10.185,10.095,10.39,2343496
2021-06-23,10.375,10.22,10.025,10.4,1564138
2021-06-24,10.155,10.335,10.13,10.405,2627573
2021-06-25,10.09,10.12,10.04,10.275,1705770
2021-06-28,9.952,10.05,9.9,10.11,1732578
2021-06-29,9.632,9.998,9.63,10.035,2319484
2021-06-30,9.41,9.658,9.384,9.756,2787939
2021-07-01,9.3,9.45,9.09,9.598,3284109
2021-07-02,9.14,9.386,9.14,9.396,1670722
2021-07-05,9.094,9.142,9.078,9.24,932489
2021-07-06,8.912,9.128,8.9,9.176,1913485
2021-07-07,8.988,8.962,8.93,9.106,2553347
2021-07-08,9.046,9,8.92,9.134,1850697
2021-07-09,9.04,9.05,8.956,9.076,2397698
2021-07-12,8.94,9.03,8.94,9.076,2461875
2021-07-13,8.95,8.96,8.854,9.05,1003042
2021-07-14,8.85,8.99,8.82,8.99,1524953
2021-07-15,8.856,8.836,8.82,9.028,1018747
2021-07-16,8.844,8.856,8.814,8.918,817829
2021-07-19,8.4,8.854,8.35,8.854,3830331
2021-07-20,8.384,8.4,8.3,8.486,2377919
2021-07-21,8.58,8.33,8.33,8.69,1223329
2021-07-22,8.6,8.516,8.5,8.65,502093
2021-07-23,9.084,8.6,8.524,9.16,2943282
2021-07-26,8.652,9.084,8.652,9.086,1623342
2021-07-27,8.508,8.78,8.48,8.78,1777675
2021-07-28,8.662,8.506,8.506,8.768,2056283
2021-07-29,8.978,8.75,8.702,9.006,1868362
2021-07-30,8.68,8.918,8.66,8.93,2090977
2021-08-02,8.8,8.72,8.71,8.85,703127
2021-08-03,8.806,8.8,8.728,8.948,1163087
2021-08-04,8.856,8.808,8.806,8.932,753079
2021-08-05,9.128,8.926,8.824,9.14,872680
2021-08-06,9.11,9.132,9.06,9.19,891250
2021-08-09,9.02,9.098,9.02,9.12,373257
2021-08-10,8.98,9.042,8.932,9.076,548500
2021-08-11,8.92,8.94,8.848,8.98,616452
2021-08-12,9.13,8.87,8.868,9.13,838682
2021-08-13,8.95,9.13,8.9,9.13,975437
2021-08-16,8.95,8.912,8.9,8.998,495982
2021-08-17,8.9,8.95,8.82,8.99,1353595
2021-08-18,9.04,8.9,8.826,9.052,946907
2021-08-19,8.864,9.034,8.83,9.04,1717298
2021-08-20,9.25,8.968,8.912,9.3,2717932
2021-08-23,9.78,9.3,9.19,9.882,4979469
2021-08-24,9.74,9.822,9.64,9.858,2026357
2021-08-25,9.662,9.738,9.55,9.738,1353437
2021-08-26,9.598,9.698,9.544,9.78,1418232
2021-08-27,9.616,9.628,9.476,9.628,857555
2021-08-30,9.876,9.614,9.614,9.876,1464763
2021-08-31,10.09,9.928,9.92,10.15,4040296
2021-09-01,10,10.08,9.942,10.095,1467763
2021-09-02,9.742,9.922,9.66,10.03,1842167
2021-09-03,9.634,9.7,9.59,9.8,622073
2021-09-06,9.78,9.634,9.57,9.88,705803
2021-09-07,9.776,9.85,9.648,9.85,708765
2021-09-08,9.7,9.77,9.6,9.938,1828568
2021-09-09,9.85,9.74,9.65,9.85,1072646
2021-09-10,9.766,9.85,9.7,9.85,666294
2021-09-13,10.11,9.766,9.708,10.115,1737037
2021-09-14,10.2,10.11,10.01,10.28,1404041
2021-09-15,10.01,10.1,9.956,10.26,1585518
2021-09-16,9.946,10,9.87,10.195,1415151
2021-09-17,9.756,9.94,9.75,10.07,3334015
2021-09-20,9.312,9.69,9.19,9.69,2817868
2021-09-21,9.146,9.26,9.088,9.39,738228
2021-09-22,9.364,9.152,9.076,9.48,1074040
2021-09-23,9.132,9.448,9.112,9.45,1447405
2021-09-24,8.96,9.138,8.96,9.27,1890860
2021-09-27,8.866,9.038,8.73,9.09,2067561
2021-09-28,8.834,8.86,8.732,8.996,1291968
2021-09-29,8.782,8.912,8.75,8.94,1848781
2021-09-30,8.93,8.888,8.85,9.098,2678427
2021-10-01,9.024,8.86,8.81,9.064,1304719
2021-10-04,9.374,9.02,8.96,9.438,2312906
2021-10-05,9.348,9.36,9.166,9.46,1316541
2021-10-06,9.34,9.374,9.21,9.44,1257811
2021-10-07,9.366,9.422,9.23,9.46,1139360
2021-10-08,9.8,9.386,9.366,9.894,2415452
2021-10-11,9.95,9.82,9.82,10.05,1625257
2021-10-12,10.01,9.898,9.7,10.09,2491732
2021-10-13,9.99,10.03,9.93,10.095,2184307
2021-10-14,10.05,10.035,9.95,10.12,2314946
2021-10-15,10.4,10.08,10.065,10.495,4496895
2021-10-18,10.48,10.44,10.305,10.56,1159206
2021-10-19,10.07,10.5,10,10.54,2405267
2021-10-20,10.265,10.07,10,10.285,1310221
2021-10-21,10.045,10.205,10.01,10.225,875595
2021-10-22,9.97,10.01,9.878,10.12,1317344
2021-10-25,9.85,9.998,9.81,10.135,1273906
