Date,Close,Open,Low,High,Volume
2021-05-26,55.6079,55.1443,54.7676,55.6079,1088437.9691694
2021-05-27,56.7094,55.55,55.1733,57.0283,2779847.0863189
2021-05-28,57.912,56.7672,56.7672,57.941,1355408.46176
2021-05-31,59.2594,58.0422,57.8107,59.8972,1454852.884697
2021-06-01,59.1725,59.2594,58.8247,61.0268,1715002.4693943
2021-06-02,58.8103,59.1869,58.1867,59.7807,1410029.5880078
2021-06-04,59.0713,59.0126,58.6656,59.665,936177.4907561
2021-06-07,59.0713,59.2449,58.9115,60.3753,738381.67172482
2021-06-08,58.68,59.0424,58.231,59.1725,1032223.2833541
2021-06-09,58.1578,59.0424,57.1585,59.2738,1921443.9731031
2021-06-10,59.9695,57.9554,57.6509,59.9695,1535127.2983931
2021-06-11,58.9258,59.7807,58.6069,59.8385,844758.66996087
2021-06-14,60.201,59.2449,59.1002,60.201,979621.3665501
2021-06-15,59.6795,60.433,59.3896,60.5778,1052897.5182379
2021-06-16,58.6069,59.5927,58.6069,60.3753,1377611.8832361
2021-06-17,58.9692,58.448,58.3177,59.6072,1194050.3741092
2021-06-18,56.8829,58.8536,56.4628,58.9692,4217383.6407113
2021-06-21,57.2885,56.7382,55.4778,57.5642,1177535.4216581
2021-06-22,57.5787,58.1434,57.3762,58.5203,1169721.3307203
2021-06-23,57.7376,57.912,57.622,58.1,668982.34961971
2021-06-24,57.8397,57.941,57.1874,58.0277,1196145.7801358
2021-06-25,57.5064,57.941,57.2451,58.2454,880238.68911986
2021-06-28,57.2307,57.4484,56.9559,57.5064,480578.41628354
2021-06-29,55.7823,56.8829,54.8551,56.9118,1754602.3589603
2021-06-30,55.6224,55.8401,54.9563,56.1445,1432833.3860069
2021-07-01,56.3759,55.7678,55.6369,57.3616,1255169.2296405
2021-07-02,56.0859,56.8684,56.0859,57.2307,670766.40064418
2021-07-05,56.3614,56.2892,56.0859,56.7528,616401.45256267
2021-07-06,54.8254,56.5791,54.7097,56.8684,935219.77853457
2021-07-07,54.3329,54.8254,54.087,55.2752,1964045.7452839
2021-07-08,53.1447,54.3329,52.3918,54.3763,2102179.6399961
2021-07-09,54.0003,53.4058,52.9133,54.2462,1422322.1987854
2021-07-12,54.6953,54.0582,53.6524,54.8407,963672.6335331
2021-07-13,53.9127,54.9129,53.826,54.9274,784941.72500782
2021-07-14,54.5362,54.3329,54.1883,54.7386,729452.22046316
2021-07-15,53.6669,53.985,53.5504,54.6953,1321144.9604572
2021-07-16,53.6958,53.6813,53.609,54.1738,887507.58037053
2021-07-19,51.9283,53.6958,51.5226,53.8405,1884799.9854554
2021-07-20,52.5221,52.1598,51.6095,52.9711,1553725.8332631
2021-07-21,53.6181,53.0396,52.6742,53.8922,1083264.4839453
2021-07-22,52.3089,53.7704,52.2937,53.9531,1345673.6914424
2021-07-23,52.8264,52.2632,52.0805,52.9027,844130.70502001
2021-07-26,53.5421,52.8264,52.0652,53.9379,969409.71072299
2021-07-27,52.8569,53.5725,52.6895,53.6791,708420.64988086
2021-07-28,54.4555,53.0396,53.0396,54.7752,1217450.6074287
2021-07-29,55.2167,55.993,55.2167,56.5411,2459724.2223003
2021-07-30,55.5212,55.2167,54.973,55.6582,1473285.8890595
2021-08-02,54.9883,56.1758,54.8208,56.1758,856402.29605063
2021-08-03,56.0844,56.0387,55.308,56.9826,1869801.0822548
2021-08-04,56.2672,56.328,55.8256,56.7846,853916.71097088
2021-08-05,56.8608,56.5411,55.9779,57.0283,936465.19854281
2021-08-06,56.328,56.7085,55.7342,56.8151,932480.64275694
2021-08-09,55.506,56.2367,55.506,56.2519,481029.02710931
2021-08-10,56.2824,55.4907,55.4146,56.4193,686825.4873328
2021-08-11,56.7085,56.1605,56.0996,56.937,846378.50421211
2021-08-12,57.5306,56.7085,56.4954,57.7286,842470.14500901
2021-08-13,57.0891,57.6676,56.5869,57.6676,610293.90233236
2021-08-16,56.3127,56.8151,56.2062,57.5459,609265.24846478
2021-08-17,56.4802,56.2367,55.9626,56.4954,628720.33802399
2021-08-18,55.856,56.4802,55.582,56.4802,576059.30318161
2021-08-19,53.8465,55.1862,53.1615,55.1862,1750261.7812101
2021-08-20,54.3641,53.8313,53.3594,54.425,760853.09497489
2021-08-23,55.1862,54.6229,54.6229,55.506,1173550.8658722
2021-08-24,56.6019,55.5668,55.4298,56.6933,1116448.0957473
2021-08-25,56.5106,56.5564,55.8407,56.5564,552670.89346978
2021-08-26,55.3384,56.328,55.3384,56.328,593119.4553199
2021-08-27,55.993,55.4755,55.034,56.0692,419401.75644806
2021-08-30,56.2976,55.993,55.8104,56.4193,576697.77799597
2021-08-31,56.5564,56.2976,55.7038,56.9978,2363172.6420408
2021-09-01,56.0539,56.7085,56.0539,56.8303,696556.31644787
2021-09-02,55.9474,55.9779,54.8056,56.2519,1050485.5022725
2021-09-03,56.6019,56.1301,55.8256,56.8456,783934.09088722
2021-09-06,56.7085,56.5411,56.0692,56.7085,354989.36931268
2021-09-07,57.2109,56.6324,56.4346,57.4241,961793.99364724
2021-09-08,57.2262,57.0739,56.2672,57.6981,1209484.1233254
2021-09-09,56.7846,56.8913,56.5259,57.2262,851964.50197061
2021-09-10,56.739,56.9675,56.4041,57.0891,693714.70940373
2021-09-13,58.5963,57.0587,56.6324,58.5963,1443919.9888018
2021-09-14,61.2757,58.6116,58.4137,61.4432,2654307.9612471
2021-09-15,60.3623,61.0473,59.7989,61.1235,1883469.172725
2021-09-16,58.6877,60.2709,58.5051,60.2861,1321377.4914081
2021-09-17,57.9113,58.779,57.485,59.1901,3203794.3630502
2021-09-20,56.4954,57.1654,55.2014,57.5002,1480674.3301211
2021-09-21,57.1349,56.4954,56.4954,57.8352,1045798.0986972
2021-09-22,58.9922,57.4697,57.4697,59.2052,795543.55988815
2021-09-23,58.1853,59.6772,57.9418,59.7989,975743.22323328
2021-09-24,60.0579,58.2462,58.0178,60.0579,2070467.4104823
2021-09-27,60.7581,60.2101,60.1644,61.1843,2086339.9469165
2021-09-28,60.5601,60.7886,59.6315,60.8038,1336055.8434673
2021-09-29,60.8951,60.3319,59.7837,61.0017,1125240.9186536
2021-09-30,62.4327,60.8951,60.7733,62.6763,3479520.8939899
2021-10-01,61.8999,61.8542,61.3518,62.524,1078318.2747353
2021-10-04,62.3566,61.6563,61.5803,62.8742,1349272.0093776
2021-10-05,62.3871,62.4175,61.1538,62.4175,1144579.0858703
2021-10-06,62.0825,62.1283,60.9713,62.3566,1692633.5174107
2021-10-07,61.4432,62.0978,61.0017,62.113,1100742.4035547
2021-10-08,64.1074,61.6411,61.565,64.2443,2738272.6542714
2021-10-11,66.5583,64.4879,63.5896,66.6497,2317039.5523682
2021-10-12,67.0151,66.3756,65.8428,67.1064,1979361.2584233
2021-10-13,66.2235,67.0151,64.838,68.0959,1725902.5219348
2021-10-14,67.9741,66.9085,66.2235,68.4309,1872443.0017027
2021-10-15,68.9637,68.2026,68.1263,69.4205,1573338.5709246
2021-10-18,68.0808,68.8876,67.6393,69.192,1111913.0853375
2021-10-19,67.3956,67.8676,66.8629,69.1616,1527812.4264459
2021-10-20,68.5375,67.3956,67.3043,68.583,1017395.1655977
2021-10-21,66.6802,68.2787,66.33,68.2787,1626381.9024151
2021-10-22,65.7971,66.2995,65.3558,66.7411,1191361.1602307
2021-10-25,68.1568,65.8885,65.8885,68.1568,1120811.0069787
2021-10-26,68.1263,68.2026,67.7002,68.9486,969894.47863759
2021-10-27,67.8219,68.1263,66.5583,68.1263,1083682.2514164
2021-10-28,66.5736,68.6593,66.4214,68.9333,1711912.566589
2021-10-29,65.5079,66.5736,65.0055,67.4566,1642903.4235371
2021-11-02,66.6345,65.5079,65.3558,67.7153,2144801.1181897
2021-11-03,66.2235,66.5888,65.5383,67.2891,1174725.3442344
2021-11-04,67.7458,66.5888,66.4517,67.9741,1416696.7890013
2021-11-05,67.3347,67.6697,66.7259,67.8981,583166.60512741
2021-11-08,66.7562,67.7458,66.4366,68.3548,805510.86115668
2021-11-09,67.0151,66.6192,65.7363,67.2586,1344771.1560566
2021-11-10,66.8781,66.8934,66.6649,67.9741,1189188.2438872
2021-11-12,65.2948,66.6802,65.1426,67.1673,1730964.3397532
2021-11-15,63.057,65.1273,60.4232,65.9038,2471228.5925664
2021-11-16,63.5289,62.661,62.0369,63.9094,2108440.8971261
2021-11-17,61.6563,63.7116,61.5041,63.7724,1339819.6919099
2021-11-18,59.8294,61.2757,59.3728,61.2757,1681859.5833521
2021-11-19,58.779,60.1339,58.0787,61.2757,1544863.3824449
2021-11-22,60.2709,58.7638,58.4593,61.093,1408550.3233144
2021-11-23,60.3623,60.4079,59.7076,60.956,1820206.3030023
2021-11-24,60.8951,60.8646,60.1035,62.2653,1010901.3775167
2021-11-25,59.8446,60.9104,59.5402,61.2757,849513.0739797
2021-11-26,56.0539,58.5963,55.8256,58.5963,1775065.0826401
2021-11-29,54.5163,56.0083,54.2727,56.9065,1760787.4195076
2021-11-30,54.2727,53.877,52.6742,55.2318,2054315.0486665
2021-12-01,56.937,55.5973,55.3384,57.0436,1442675.8825277
2021-12-02,56.0234,56.4802,55.445,56.7085,1149703.9629295
2021-12-03,56.1453,56.4802,55.9626,57.6676,1933494.8567905
2021-12-06,55.993,56.328,55.4907,57.4697,914169.81567366
2021-12-07,58.1395,56.7238,56.7238,58.1548,1232008.0959429
2021-12-08,57.0891,58.307,57.0891,58.7333,1170047.1367984
2021-12-09,56.1149,57.622,55.1862,57.7895,1157709.8590585
2021-12-10,55.9474,55.7191,55.5668,56.7085,358700.66838789
2021-12-13,56.465,56.2976,56.0539,57.2567,1400372.3280071
2021-12-14,57.0131,56.4041,55.4755,57.2109,1356500.1748685
2021-12-15,54.6991,56.8608,54.425,56.8608,1505275.3164866
2021-12-16,56.9065,55.6429,55.1405,56.9065,1246126.7972389
2021-12-17,55.4907,56.0539,54.9578,56.328,2615918.0208663
2021-12-20,54.0292,54.8056,53.0243,54.8056,1525697.3144066
2021-12-21,54.5011,54.8056,54.3793,55.2622,1078768.8855611
2021-12-22,55.2014,54.5315,54.425,55.2014,609972.03745681
2021-12-23,55.5668,55.3384,54.8817,55.8712,698448.09367558
2021-12-27,54.5011,55.5515,54.288,55.7799,619836.86745884
2021-12-28,55.3536,54.5163,54.5163,55.7038,1016349.4331857
2021-12-29,56.2824,55.445,55.3536,56.2824,436101.94541941
2021-12-30,56.5869,56.4802,56.0083,56.5869,516549.77202806
2022-01-03,57.2109,56.7085,56.328,57.6068,743781.11922893
2022-01-04,58.1244,57.6372,57.0739,58.1244,1080034.0115821
2022-01-05,60.1492,58.1548,57.9113,60.2101,2223458.3251029
2022-01-07,60.7886,59.7534,58.9159,61.7781,2106935.3577491
2022-01-10,59.2357,60.9104,59.1597,61.0017,1298845.6363854
2022-01-11,60.2405,59.6011,58.1853,60.4384,1738682.5280954
2022-01-12,62.5698,60.4688,59.388,62.7524,3180939.3294178
2022-01-13,61.9912,62.5698,61.3975,63.6811,1917004.8652889
2022-01-14,62.5393,61.9912,61.9455,63.1787,1391927.64466
2022-01-17,62.0825,62.448,61.8542,62.5698,545878.8877286
2022-01-18,60.8951,62.0673,60.5145,62.6002,1014698.069314
2022-01-19,61.5498,60.5145,59.8904,61.8999,1639663.7550347
2022-01-20,61.4736,61.5803,60.1796,61.6563,725437.44879101
2022-01-21,59.2052,60.5449,58.307,60.8342,1642761.5402451
2022-01-24,55.4146,58.9159,54.8056,59.5249,1839766.4912964
2022-01-25,56.6629,55.7191,55.4907,57.0587,1538231.6522744
