Date,Close,Open,Low,High,Volume
2021-05-26,23.6834,23.6834,23.576,23.8517,2148009.1179903
2021-05-27,24.3364,23.9591,23.7444,24.5378,7916537.8489121
2021-05-28,24.8276,24.4576,24.3701,24.9887,4488482.6574392
2021-05-31,24.9349,24.8879,24.646,25.1769,2800778.3995619
2021-06-01,25.0901,24.9349,24.8813,25.3858,3659761.2124741
2021-06-02,25.5005,25.1298,25.0968,25.5674,3512967.6054252
2021-06-04,25.7086,25.6277,25.3453,25.9778,4033436.2097396
2021-06-07,25.3321,25.7358,25.2783,25.8233,3693957.8908751
2021-06-08,25.1372,25.2783,24.9349,25.5071,5375295.4854679
2021-06-09,25.2644,25.1769,24.9754,25.3593,2038504.4132442
2021-06-10,25.9645,25.2512,25.1166,26.0719,4888674.0865807
2021-06-11,25.749,25.9512,25.7226,26.0388,2939683.7080819
2021-06-14,25.9645,25.7895,25.6954,26.005,1528144.6886512
2021-06-15,26.0586,26.0388,25.9241,26.308,4334581.2868304
2021-06-16,26.0182,26.18,25.8102,26.4426,4732289.6900948
2021-06-17,26.0586,25.7358,25.7358,26.0858,3330348.2591863
2021-06-18,25.9175,25.9917,25.6145,26.0388,5339074.0395253
2021-06-21,25.9844,25.6821,25.3792,25.9844,1727825.6590312
2021-06-22,25.8233,26.0313,25.6145,26.0454,2302526.4857086
2021-06-23,25.702,25.8969,25.6483,25.9711,1162561.9624676
2021-06-24,26.133,25.7292,25.5005,26.2131,3232261.9379513
2021-06-25,26.0388,26.0926,25.8969,26.2064,965173.64358219
2021-06-28,25.8704,26.0388,25.6483,26.0388,1617502.3444396
2021-06-29,25.621,25.7895,25.4394,25.8637,2326684.9948733
2021-06-30,24.693,25.621,24.646,25.6887,5204660.2066201
2021-07-01,24.8004,24.6996,24.646,25.0224,4113227.5527973
2021-07-02,25.0968,24.9218,24.9218,25.3189,1494774.778998
2021-07-05,25.0968,25.0968,24.9556,25.2314,697414.7939488
2021-07-06,24.6592,25.1637,24.6592,25.2173,1311540.7954665
2021-07-07,25.1298,24.7335,24.7129,25.2173,2594326.900243
2021-07-08,24.7739,25.1372,24.7739,25.1372,3382752.8874756
2021-07-09,24.9416,24.8879,24.7129,25.1166,1694148.4307316
2021-07-12,24.7261,24.9416,24.7063,25.1034,2010625.4447149
2021-07-13,24.8945,24.7261,24.7261,25.2783,2749215.4980077
2021-07-14,25.2983,24.9953,24.9349,25.3255,2506391.6130569
2021-07-15,25.3255,25.3115,25.1769,25.5137,3010849.7317862
2021-07-16,25.3387,25.2983,25.2173,25.5071,1824927.4727443
2021-07-19,24.6394,25.2718,24.5246,25.2718,2464287.5986887
2021-07-20,24.5313,24.6394,24.39,24.8342,1627672.4159268
2021-07-21,25.2512,24.6254,24.5784,25.2917,3736643.9069275
2021-07-22,24.7938,25.2644,24.7938,25.3519,1618138.7388047
2021-07-23,24.8409,24.8945,24.6996,25.0026,1290921.890003
2021-07-26,24.8211,24.9085,24.5989,24.9284,1789415.8512857
2021-07-27,24.8276,24.6996,24.6592,24.9556,1414678.8369281
2021-07-28,25.2578,24.8945,24.8342,25.3858,3629212.9231358
2021-07-29,25.2314,25.2578,25.0762,25.4263,1490466.878681
2021-07-30,25.2983,25.0762,25.0026,25.3387,2119069.4921858
2021-08-02,25.2917,25.3593,25.2578,25.6682,1455627.0068298
2021-08-03,25.0968,25.3659,25.0563,25.4666,1986204.4908655
2021-08-04,25.749,25.1842,25.1842,25.7624,2602723.7703371
2021-08-05,25.7696,25.83,25.6483,25.8704,1687012.1110143
2021-08-06,25.6954,25.7762,25.6549,25.9711,1208718.2315532
2021-08-09,25.7696,25.7624,25.6887,25.8704,1277620.1599203
2021-08-10,26.1057,25.8366,25.7152,26.2064,1996781.1476415
2021-08-11,26.4823,26.1057,26.005,26.5227,3398687.2233075
2021-08-12,26.8322,26.5095,26.3881,26.8595,2840608.7998739
2021-08-13,26.8728,26.8322,26.6712,26.9132,1999498.0620461
2021-08-16,26.7587,26.7853,26.6845,27.061,1737812.1552208
2021-08-17,26.933,26.8794,26.7249,27.0345,1970925.5868369
2021-08-18,27.3169,27.0073,26.8058,27.3772,2884647.8338603
