Date,Close,Open,Low,High,Volume
2021-05-26,204.019,201.411,197.459,204.727,55271.075442717
2021-05-27,209.861,204.416,202.278,210.649,278630.87506237
2021-05-28,214.281,210.568,208.677,217.207,117712.04460468
2021-05-31,210.887,215.077,208.994,215.156,83533.03545744
2021-06-01,212.469,210.887,209.941,217.915,58191.86372624
2021-06-02,214.281,215.077,213.097,217.287,75610.931835724
2021-06-04,216.182,214.68,213.494,217.048,78818.515868017
2021-06-07,208.836,215.625,208.28,216.809,59183.070086023
2021-06-08,204.647,209.384,198.883,210.1,169042.19425399
2021-06-09,208.049,204.257,202.834,210.02,65062.382935801
2021-06-10,206.149,207.731,204.805,209.623,55165.413851065
2021-06-11,200.703,205.752,198.254,207.969,98577.233506937
2021-06-14,205.363,203.78,200.782,205.363,96626.26768965
2021-06-15,200.227,208.049,199.591,208.201,88154.472216125
2021-06-16,204.805,199.201,199.201,208.359,74959.352020537
2021-06-17,203.78,201.729,201.491,206.785,45425.679277715
2021-06-18,201.491,204.337,200.782,207.175,227583.74753356
2021-06-21,206.547,202.198,200.067,206.785,34929.961173619
2021-06-22,207.096,207.096,205.68,211.681,50977.94434381
2021-06-23,212.39,208.517,208.359,212.469,29841.852385139
2021-06-24,214.758,213.097,211.443,216.89,105972.28704649
2021-06-25,211.443,213.256,209.623,216.659,54316.347489576
2021-06-28,214.839,210.967,209.623,216.261,50749.01089523
2021-06-29,212.31,214.918,210.259,216.659,63278.714638628
2021-06-30,200.934,211.762,200.465,212.469,132200.26142191
2021-07-01,202.516,201.888,199.041,204.098,132780.1422999
2021-07-02,203.701,202.993,202.356,207.573,48840.812865039
2021-07-05,202.437,202.595,199.988,203.78,30173.931673188
2021-07-06,198.176,202.595,197.618,203.701,32893.459782136
2021-07-07,201.411,198.962,198.565,203.383,85546.895079284
2021-07-08,193.905,199.908,192.643,199.908,96728.155653028
2021-07-09,199.988,193.905,193.905,201.649,50605.613020846
2021-07-12,191.855,200.544,190.591,200.544,79203.425951892
