variant,agents,total_return,cagr,max_drawdown,sharpe,calmar_ratio,num_trades,win_rate
all,macd|rsi|roc|bollinger|ma_trend,0.23104945066086893,0.12637243964928646,-0.060305901287496494,1.0633196204402016,2.095523604677273,34,0.6470588235294118
no_macd,rsi|roc|bollinger|ma_trend,0.27774756421757246,0.1506386651716718,-0.056368601630319544,1.2761982788086175,2.6723860591681996,22,0.6363636363636364
no_rsi,macd|roc|bollinger|ma_trend,0.2295034688526707,0.12556241715975314,-0.0801364702956333,0.9214750028089618,1.566857345931733,11,0.36363636363636365
no_roc,macd|rsi|bollinger|ma_trend,0.26020749880735133,0.14156932905621122,-0.0646634673539979,1.1662866801704863,2.189324743153578,47,0.6382978723404256
no_bollinger,macd|rsi|roc|ma_trend,0.23104945066086893,0.12637243964928646,-0.060305901287496494,1.0633196204402016,2.095523604677273,34,0.6470588235294118
no_ma_trend,macd|rsi|roc|bollinger,0.18540695119652884,0.10227142100819187,-0.046966516753540744,1.1174182180811725,2.177538980479785,36,0.8055555555555556
only_macd,macd,0.14720505664635217,0.08179267195498285,-0.060725265207733574,0.8619713359005402,1.346929843372117,15,0.6666666666666666
only_rsi,rsi,0.1638466460878859,0.0907489556308132,-0.053707832275532705,1.0307691871111675,1.6896782421835903,22,0.7727272727272727
only_roc,roc,0.003736234872606292,0.0021372599617242027,-0.022782902968565732,0.13364866545066978,0.09380981715425141,0,0.0
only_bollinger,bollinger,0.0,0.0,0.0,0.0,0.0,0,0.0
only_ma_trend,ma_trend,-0.0010518637393225944,-0.0006023192101177743,-0.1075167842907187,0.027967499111161677,-0.0056020947249421135,1,1.0
