date,equity,cash,positions
2024-07-01,100000.0,100000.0,0
2024-07-02,100000.0,100000.0,0
2024-07-03,100000.0,100000.0,0
2024-07-04,100000.0,100000.0,0
2024-07-05,100000.0,100000.0,0
2024-07-08,100000.0,100000.0,0
2024-07-09,100000.0,100000.0,0
2024-07-10,100000.0,100000.0,0
2024-07-11,100000.0,100000.0,0
2024-07-12,100000.0,100000.0,0
2024-07-15,100000.0,100000.0,0
2024-07-16,100000.0,100000.0,0
2024-07-17,99956.32849615725,90035.38349615726,1
2024-07-18,100313.50949615726,90035.38349615726,1
2024-07-19,100171.99749615726,90035.38349615726,1
2024-07-22,100279.82249615726,90035.38349615726,1
2024-07-23,100043.93749615726,90035.38349615726,1
2024-07-24,100023.72149615726,90035.38349615726,1
2024-07-25,100010.23149615726,90035.38349615726,1
2024-07-26,100000.12349615726,90035.38349615726,1
2024-07-29,99964.39398027066,73424.79698027065,3
2024-07-30,99692.18498027066,73424.79698027065,3
2024-07-31,100106.02398027065,73424.79698027065,3
2024-08-01,99531.74698027065,73424.79698027065,3
2024-08-02,98961.3469638554,66502.9659638554,4
2024-08-05,97760.56596385539,66502.9659638554,4
2024-08-06,97309.18996385539,66502.9659638554,4
2024-08-07,97326.16496385541,66502.9659638554,4
2024-08-08,97553.91996385541,66502.9659638554,4
2024-08-09,97754.28496385539,66502.9659638554,4
2024-08-12,98662.92396385538,66502.9659638554,4
2024-08-13,98557.73444900259,59876.27584900258,5
2024-08-14,98906.05764900259,59876.27584900258,5
2024-08-16,100860.41364900258,59876.27584900258,5
2024-08-19,101196.39564900256,59876.27584900258,5
2024-08-20,100538.10284900258,59876.27584900258,5
2024-08-21,100742.03764900257,59876.27584900258,5
2024-08-22,100715.25964900258,59876.27584900258,5
2024-08-23,100738.5428490026,59876.27584900258,5
2024-08-26,100505.16344900258,59876.27584900258,5
2024-08-27,100664.07884900257,59876.27584900258,5
2024-08-28,100408.98084900259,59876.27584900258,5
2024-08-29,100951.37224900258,59876.27584900258,5
2024-08-30,101111.46704900259,59876.27584900258,5
2024-09-02,101641.92284900257,59876.27584900258,5
2024-09-03,100467.58144900258,59876.27584900258,5
2024-09-04,100797.22424900258,59876.27584900258,5
2024-09-05,100262.63824900257,59876.27584900258,5
2024-09-06,99151.20884900258,59876.27584900258,5
2024-09-09,99479.8682490026,59876.27584900258,5
2024-09-10,99045.70264900259,59876.27584900258,5
2024-09-11,97789.34864900257,59876.27584900258,5
2024-09-12,98391.4230490026,59876.27584900258,5
2024-09-13,99245.26304900258,59876.27584900258,5
2024-09-16,98955.44024900258,59876.27584900258,5
2024-09-17,99422.64164900259,59876.27584900258,5
2024-09-18,99288.67444900257,59876.27584900258,5
2024-09-19,100122.05784900258,59876.27584900258,5
2024-09-20,99483.56524900257,59876.27584900258,5
2024-09-23,99563.37464900258,59876.27584900258,5
2024-09-24,100504.76024900259,59876.27584900258,5
2024-09-25,100536.77419470258,53976.41879470258,6
