date,equity,cash,positions
2024-07-01,99956.44182436,90061.24182436,1
2024-07-02,99640.07457931855,81124.37127931856,2
2024-07-03,100006.92057931855,81124.37127931856,2
2024-07-04,99968.49947931856,81124.37127931856,2
2024-07-05,99664.82517931856,81124.37127931856,2
2024-07-08,100142.83237931856,81124.37127931856,2
2024-07-09,100216.51297931855,81124.37127931856,2
2024-07-10,99886.01127931855,81124.37127931856,2
2024-07-11,100161.02227931855,81124.37127931856,2
2024-07-12,100447.29947931856,81124.37127931856,2
2024-07-15,100783.29947931856,81124.37127931856,2
2024-07-16,99541.43777931854,81124.37127931856,2
2024-07-17,99624.28468116416,65783.72598116417,4
2024-07-18,100365.85068116417,65783.72598116417,4
2024-07-19,100222.75638116417,65783.72598116417,4
2024-07-22,100613.79788116418,65783.72598116417,4
2024-07-23,99612.48285741417,59230.00325741417,5
2024-07-24,99958.8635574142,59230.00325741417,5
2024-07-25,99556.63585741418,59230.00325741417,5
2024-07-26,99493.27635741419,59230.00325741417,5
2024-07-29,99955.20252264233,53641.628322642326,6
2024-07-30,99439.18742264232,53641.628322642326,6
2024-07-31,100078.24542264233,53641.628322642326,6
2024-08-01,99141.88392264232,53641.628322642326,6
2024-08-02,98097.69081060449,48565.61891060448,7
2024-08-05,96470.96591060449,48565.61891060448,7
2024-08-06,96537.45701060447,48565.61891060448,7
2024-08-07,96991.16361060448,48565.61891060448,7
2024-08-08,97801.67921060449,48565.61891060448,7
2024-08-09,97040.23580896088,43831.82430896087,8
2024-08-12,98905.05780896088,43831.82430896087,8
2024-08-13,99837.68030896087,43831.82430896087,8
2024-08-14,99956.12260896088,43831.82430896087,8
2024-08-16,102567.94450896088,43831.82430896087,8
2024-08-19,102743.05530896089,43831.82430896087,8
2024-08-20,102155.57231628566,39621.43561628567,9
2024-08-21,102606.15931628566,39621.43561628567,9
2024-08-22,102635.12781628568,39621.43561628567,9
2024-08-23,102686.5749162857,39621.43561628567,9
2024-08-26,102591.59641628567,39621.43561628567,9
2024-08-27,102858.63321628567,39621.43561628567,9
2024-08-28,102505.16861628563,39621.43561628567,9
2024-08-29,104070.30881628567,39621.43561628567,9
2024-08-30,104434.91381628567,39621.43561628567,9
2024-09-02,105535.74841628567,39621.43561628567,9
2024-09-03,104035.36231628565,39621.43561628567,9
2024-09-04,104210.21691628567,39621.43561628567,9
2024-09-05,102900.48931628566,39621.43561628567,9
2024-09-06,101292.74801628567,39621.43561628567,9
2024-09-09,101527.39051628568,39621.43561628567,9
2024-09-10,100601.59965605043,35685.08895605042,10
2024-09-11,99586.84585605044,35685.08895605042,10
2024-09-12,101014.43505605042,35685.08895605042,10
2024-09-13,102204.34935605041,35685.08895605042,10
2024-09-16,102026.32915605041,35685.08895605042,10
2024-09-17,102894.77295605044,35685.08895605042,10
2024-09-18,102517.75035605043,35685.08895605042,10
2024-09-19,103541.22365605044,35685.08895605042,10
2024-09-20,102049.98625605041,35685.08895605042,10
2024-09-23,102222.24795605043,35685.08895605042,10
2024-09-24,103131.46665605043,35685.08895605042,10
2024-09-25,105381.27485605041,35685.08895605042,10
2024-09-26,106427.06221680043,43834.09091680042,9
2024-09-27,106246.63161680043,43834.09091680042,9
2024-09-30,104839.1658168004,43834.09091680042,9
2024-10-01,104496.3006168004,43834.09091680042,9
2024-10-02,104002.89631680043,43834.09091680042,9
2024-10-03,103527.904111648,39455.58221164798,10
2024-10-04,104091.52141164798,39455.58221164798,10
2024-10-07,104828.239511648,39455.58221164798,10
2024-10-08,104656.46091164798,39455.58221164798,10
2024-10-09,105615.336751648,39455.58221164798,10
2024-10-10,105746.44253164798,39455.58221164798,10
2024-10-11,106075.57871164798,39455.58221164798,10
2024-10-14,106416.06757164797,39455.58221164798,10
2024-10-15,106106.627171648,39455.58221164798,10
2024-10-16,106570.38465164798,39455.58221164798,10
2024-10-17,104864.15779164799,39455.58221164798,10
2024-10-18,105362.70981164798,39455.58221164798,10
2024-10-21,104900.09433164798,39455.58221164798,10
2024-10-22,103525.22306604961,35513.794706049586,11
2024-10-23,103948.25914604959,35513.794706049586,11
2024-10-24,103144.79247794636,31973.301937946388,12
2024-10-25,102466.8245979464,31973.301937946388,12
2024-10-28,102828.38369794638,31973.301937946388,12
2024-10-29,104165.4537379464,31973.301937946388,12
2024-10-30,102633.92763794637,31973.301937946388,12
2024-10-31,102284.27837794641,31973.301937946388,12
2024-11-04,103614.63087794639,31973.301937946388,12
2024-11-05,103020.42367794641,31973.301937946388,12
2024-11-06,103528.9193779464,31973.301937946388,12
2024-11-07,105565.17909794641,31973.301937946388,12
2024-11-08,104959.6313779464,31973.301937946388,12
2024-11-12,104029.21161794638,31973.301937946388,12
2024-11-13,102898.17457794638,31973.301937946388,12
2024-11-14,104828.4221179464,31973.301937946388,12
2024-11-15,104013.5297579464,31973.301937946388,12
2024-11-18,104241.0588979464,31973.301937946388,12
2024-11-19,102463.9724379464,31973.301937946388,12
2024-11-20,103021.2640379464,31973.301937946388,12
2024-11-21,104255.71899794637,31973.301937946388,12
2024-11-22,104894.9059179464,31973.301937946388,12
2024-11-25,105365.89063794637,31973.301937946388,12
2024-11-26,105122.3760379464,31973.301937946388,12
2024-11-27,105243.62629794641,31973.301937946388,12
2024-11-28,103917.13451796638,28903.44781796639,13
2024-11-29,104479.09985796639,28903.44781796639,13
2024-12-02,106226.39065796637,28903.44781796639,13
2024-12-03,106034.90949796641,28903.44781796639,13
2024-12-04,106702.18185796637,28903.44781796639,13
2024-12-05,106855.15615796637,28903.44781796639,13
2024-12-06,106831.82145796638,28903.44781796639,13
2024-12-09,105524.98655570683,36811.2947757068,12
2024-12-10,105644.60215570682,36811.2947757068,12
2024-12-11,105383.92111570678,36811.2947757068,12
2024-12-12,104824.5333357068,36811.2947757068,12
