date,equity,cash,positions
2024-07-01,100000.0,100000.0,0
2024-07-02,100000.0,100000.0,0
2024-07-03,100000.0,100000.0,0
2024-07-04,100000.0,100000.0,0
2024-07-05,100000.0,100000.0,0
2024-07-08,100000.0,100000.0,0
2024-07-09,100000.0,100000.0,0
2024-07-10,99957.59409199786,90324.15709199785,1
2024-07-11,100006.29109199786,90324.15709199785,1
2024-07-12,100068.20080112787,81438.61480112786,2
2024-07-15,100468.94280112785,81438.61480112786,2
2024-07-16,99923.13080112785,81438.61480112786,2
2024-07-17,99706.67780112787,81438.61480112786,2
2024-07-18,99967.83480112786,81438.61480112786,2
2024-07-19,99759.22380112787,81438.61480112786,2
2024-07-22,99720.97680112786,81438.61480112786,2
2024-07-23,99594.99780112784,81438.61480112786,2
2024-07-24,99540.57580112785,81438.61480112786,2
2024-07-25,99390.49380112786,81438.61480112786,2
2024-07-26,99272.70080112785,81438.61480112786,2
2024-07-29,99509.66080112786,81438.61480112786,2
2024-07-30,99187.87980112786,81438.61480112786,2
2024-07-31,99390.10580112785,81438.61480112786,2
2024-08-01,99212.18880112785,81438.61480112786,2
2024-08-02,98950.26580112785,81438.61480112786,2
2024-08-05,98338.27680112785,81438.61480112786,2
2024-08-06,98044.27880112785,81438.61480112786,2
2024-08-07,98443.79180112785,81438.61480112786,2
2024-08-08,98858.35580112787,81438.61480112786,2
2024-08-09,98982.22880112786,81438.61480112786,2
2024-08-12,99521.93080112786,81438.61480112786,2
2024-08-13,99642.45180112786,81438.61480112786,2
2024-08-14,99780.21880112785,81438.61480112786,2
2024-08-16,100498.47580112785,81438.61480112786,2
2024-08-19,100484.56780112785,81438.61480112786,2
2024-08-20,100081.17080112785,81438.61480112786,2
2024-08-21,100334.98280112786,81438.61480112786,2
2024-08-22,100650.24580112785,81438.61480112786,2
2024-08-23,100535.64080112785,81438.61480112786,2
2024-08-26,100434.55280112787,81438.61480112786,2
2024-08-27,100330.81180112786,81438.61480112786,2
2024-08-28,100399.06980112786,81438.61480112786,2
2024-08-29,100564.77480112786,81438.61480112786,2
2024-08-30,100690.29080112785,81438.61480112786,2
2024-09-02,100845.82780112786,81438.61480112786,2
2024-09-03,100327.56180112786,81438.61480112786,2
2024-09-04,100358.97980112786,81438.61480112786,2
2024-09-05,100093.57980112785,81438.61480112786,2
2024-09-06,99715.98380112785,81438.61480112786,2
2024-09-09,99521.26380112786,81438.61480112786,2
2024-09-10,99231.96580112785,81438.61480112786,2
2024-09-11,98623.73580112786,81438.61480112786,2
2024-09-12,98824.33001120233,73299.30941120234,3
2024-09-13,99029.46093120234,73299.30941120234,3
2024-09-16,99246.23421120233,73299.30941120234,3
2024-09-17,99539.64065120232,73299.30941120234,3
2024-09-18,99377.51425120233,73299.30941120234,3
2024-09-19,99510.32417120234,73299.30941120234,3
2024-09-20,99067.09829120233,73299.30941120234,3
2024-09-23,98697.41405120234,73299.30941120234,3
