date,equity,cash,positions
2024-07-01,99956.44182436,90061.24182436,1
2024-07-02,99639.84413239392,81071.78973239393,2
2024-07-03,100093.22013239392,81071.78973239393,2
2024-07-04,100167.96893239392,81071.78973239393,2
2024-07-05,99877.70973239394,81071.78973239393,2
2024-07-08,100325.48573239392,81071.78973239393,2
2024-07-09,100107.28733239391,81071.78973239393,2
2024-07-10,99764.61213239393,81071.78973239393,2
2024-07-11,100055.16253239392,81071.78973239393,2
2024-07-12,100394.67933239393,81071.78973239393,2
2024-07-15,100508.96413239393,81071.78973239393,2
2024-07-16,99577.12413239392,81071.78973239393,2
2024-07-17,99521.54621719349,59803.89241719349,5
2024-07-18,100503.6926171935,59803.89241719349,5
2024-07-19,100200.90781719348,59803.89241719349,5
2024-07-22,100705.1778171935,59803.89241719349,5
2024-07-23,99358.7671658185,53905.54196581849,6
2024-07-24,99555.95404951648,48995.66364951649,7
2024-07-25,99176.59884951648,48995.66364951649,7
2024-07-26,99292.6374495165,48995.66364951649,7
2024-07-29,99819.92770470955,44267.03870470954,8
2024-07-30,99303.40310470955,44267.03870470954,8
2024-07-31,100006.64710470954,44267.03870470954,8
2024-08-01,98886.47605487006,40060.99505487004,9
2024-08-02,97847.10809836519,36076.71029836519,10
2024-08-05,95818.32869836519,36076.71029836519,10
2024-08-06,95773.5054983652,36076.71029836519,10
2024-08-07,96253.0549454852,32783.878945485194,11
2024-08-08,97065.30432624268,29508.373526242696,12
2024-08-09,96172.79407370946,26717.406673709447,13
2024-08-12,98466.73367370944,26717.406673709447,13
2024-08-13,99409.00387370944,26717.406673709447,13
2024-08-14,99597.88087370945,26717.406673709447,13
2024-08-16,102468.64587370945,26717.406673709447,13
2024-08-19,102789.01327370948,26717.406673709447,13
2024-08-20,101689.26347370945,26717.406673709447,13
2024-08-21,102237.76547370943,26717.406673709447,13
2024-08-22,102194.24747370945,26717.406673709447,13
2024-08-23,102321.14427370942,26717.406673709447,13
2024-08-26,102289.45747370945,26717.406673709447,13
2024-08-27,102218.44047370944,26717.406673709447,13
2024-08-28,101686.27247370945,26717.406673709447,13
2024-08-29,103631.77247370944,26717.406673709447,13
2024-08-30,104030.69707370945,26717.406673709447,13
2024-09-02,105335.30227370944,26717.406673709447,13
2024-09-03,103533.68487370946,26717.406673709447,13
2024-09-04,103514.00567370943,26717.406673709447,13
2024-09-05,102117.78487370943,26717.406673709447,13
2024-09-06,100070.79819390994,37727.41659390993,11
2024-09-09,100356.22579390992,37727.41659390993,11
2024-09-10,99518.03059390993,37727.41659390993,11
2024-09-11,98523.95639390993,37727.41659390993,11
2024-09-12,99917.61879390992,37727.41659390993,11
2024-09-13,101068.83799390991,37727.41659390993,11
2024-09-16,100967.22299390995,37727.41659390993,11
2024-09-17,101813.82879390994,37727.41659390993,11
2024-09-18,101418.06559390994,37727.41659390993,11
2024-09-19,102444.25739390994,37727.41659390993,11
2024-09-20,101027.44339390993,37727.41659390993,11
2024-09-23,101180.70564324745,44441.009443247436,10
2024-09-24,101692.59384324742,44441.009443247436,10
2024-09-25,103901.04264324743,44441.009443247436,10
2024-09-26,104609.62484324745,44441.009443247436,10
2024-09-27,104435.82844324743,44441.009443247436,10
2024-09-30,103052.07684324744,44441.009443247436,10
2024-10-01,102752.01124324738,44441.009443247436,10
2024-10-02,102248.67744324746,44441.009443247436,10
2024-10-03,101764.62461974155,39999.72641974156,11
2024-10-04,102275.60031974154,39999.72641974156,11
2024-10-07,103039.49221974157,39999.72641974156,11
2024-10-08,102650.09331974156,39999.72641974156,11
2024-10-09,103779.50849974155,39999.72641974156,11
2024-10-10,103928.17065974155,39999.72641974156,11
2024-10-11,104370.05391974155,39999.72641974156,11
2024-10-14,104717.03583974155,39999.72641974156,11
2024-10-15,104304.52163974155,39999.72641974156,11
2024-10-16,104819.57549974155,39999.72641974156,11
2024-10-17,103215.83137974156,39999.72641974156,11
2024-10-18,103643.14121974155,39999.72641974156,11
2024-10-21,103156.06611299353,44409.605872993554,10
2024-10-22,101827.91924919534,39975.09492919535,11
2024-10-23,102199.64260919535,39975.09492919535,11
2024-10-24,101570.33532805029,35979.39594805031,12
2024-10-25,100964.43665986681,32386.117839866813,13
2024-10-28,101396.2865598668,32386.117839866813,13
2024-10-29,102627.80453986683,32386.117839866813,13
2024-10-30,101125.64183986682,32386.117839866813,13
2024-10-31,100863.33011986682,32386.117839866813,13
2024-11-04,102272.89711986682,32386.117839866813,13
2024-11-05,101628.94221986682,32386.117839866813,13
2024-11-06,102170.40391986679,32386.117839866813,13
2024-11-07,103956.81083326679,29384.96481326681,14
2024-11-08,103905.02586139682,33739.13038139681,13
2024-11-12,102929.96065033431,30395.727390334312,14
2024-11-13,101788.4825703343,30395.727390334312,14
2024-11-14,103699.26405033431,30395.727390334312,14
2024-11-15,102970.88893033433,30395.727390334312,14
2024-11-18,103193.98441033432,30395.727390334312,14
2024-11-19,101394.40779033431,30395.727390334312,14
2024-11-20,101994.20399033432,30395.727390334312,14
2024-11-21,103221.88445271422,27378.18453271421,15
2024-11-22,103929.71779271422,27378.18453271421,15
2024-11-25,104253.02353271423,27378.18453271421,15
2024-11-26,103978.26503271422,27378.18453271421,15
2024-11-27,104052.17985271421,27378.18453271421,15
2024-11-28,102674.51213271421,27378.18453271421,15
2024-11-29,103324.46821271424,27378.18453271421,15
2024-12-02,105121.6698127142,27378.18453271421,15
2024-12-03,104852.40159271422,27378.18453271421,15
2024-12-04,105472.2599127142,27378.18453271421,15
2024-12-05,105590.85071271422,27378.18453271421,15
2024-12-06,105461.48991271423,27378.18453271421,15
2024-12-09,104246.64774296725,37770.23328296724,13
2024-12-10,104425.93194296725,37770.23328296724,13
2024-12-11,104104.61276296726,37770.23328296724,13
2024-12-12,103608.77723969021,41841.03161969019,12
2024-12-13,103409.14331969016,41841.03161969019,12
2024-12-16,103717.31225969018,41841.03161969019,12
2024-12-17,101945.58553861285,49876.163598612846,10
2024-12-18,102394.02011861284,49876.163598612846,10
2024-12-19,102143.65497861286,49876.163598612846,10
2024-12-20,101248.59825861284,49876.163598612846,10
2024-12-23,101411.90155861284,49876.163598612846,10
2024-12-27,101661.52603861284,49876.163598612846,10
2024-12-30,101202.96599861287,49876.163598612846,10
2025-01-02,102754.24507861286,49876.163598612846,10
2025-01-03,102198.47995861286,49876.163598612846,10
2025-01-07,102233.66867861284,49876.163598612846,10
2025-01-08,101204.27493861283,49876.163598612846,10
2025-01-09,101530.16323861285,49876.163598612846,10
2025-01-10,102068.16991861284,49876.163598612846,10
2025-01-13,101152.89313861284,49876.163598612846,10
2025-01-14,101508.57515861283,49876.163598612846,10
2025-01-15,102237.48117861287,49876.163598612846,10
2025-01-16,101673.33833861284,49876.163598612846,10
2025-01-17,102495.05921861285,49876.163598612846,10
2025-01-20,102341.74035861283,49876.163598612846,10
2025-01-21,102528.29901861284,49876.163598612846,10
2025-01-22,102475.06683861285,49876.163598612846,10
2025-01-23,102265.33377861284,49876.163598612846,10
2025-01-24,102517.89894484339,56105.992464843395,9
2025-01-27,102687.18660484339,56105.992464843395,9
2025-01-28,102204.1302448434,56105.992464843395,9
2025-01-29,102452.48352484338,56105.992464843395,9
2025-01-30,103249.12440332214,63052.21370332214,7
2025-01-31,103524.60313083009,70345.07863083009,5
2025-02-03,103068.43453083008,70345.07863083009,5
2025-02-04,103801.63863083009,70345.07863083009,5
2025-02-05,103408.04035158188,81862.70835158187,3
2025-02-06,104325.04335158187,81862.70835158187,3
2025-02-07,104631.04635158187,81862.70835158187,3
2025-02-10,104376.99335158187,81862.70835158187,3
2025-02-11,106617.97035158187,81862.70835158187,3
2025-02-12,105983.86435158187,81862.70835158187,3
2025-02-13,105872.76735158186,81862.70835158187,3
2025-02-14,105924.31735158186,81862.70835158187,3
2025-02-17,105947.01335158186,81862.70835158187,3
2025-02-18,105175.68135158188,81862.70835158187,3
2025-02-19,105254.13235158187,81862.70835158187,3
2025-02-20,105686.43535158187,81862.70835158187,3
2025-02-21,105408.98235158186,81862.70835158187,3
2025-02-24,105003.42939626938,85204.19739626937,2
2025-02-25,105036.88039626936,85204.19739626937,2
2025-02-26,105124.54439626938,85204.19739626937,2
2025-02-27,104713.95039626937,85204.19739626937,2
2025-02-28,104816.92939626938,85204.19739626937,2
2025-03-03,104336.36339626937,85204.19739626937,2
