date,equity,cash,positions
2024-07-01,99917.05871561407,81075.11721561407,2
2024-07-02,99408.65171561406,81075.11721561407,2
2024-07-03,99746.04171561406,81075.11721561407,2
2024-07-04,99708.93021561406,81075.11721561407,2
2024-07-05,99407.08071561407,81075.11721561407,2
2024-07-08,99858.82871561407,81075.11721561407,2
2024-07-09,99934.10771561408,81075.11721561407,2
2024-07-10,99624.11721561407,81075.11721561407,2
2024-07-11,99896.43221561407,81075.11721561407,2
2024-07-12,100106.66491500032,72982.92691500032,3
2024-07-15,100677.44591500031,72982.92691500032,3
2024-07-16,99311.76741500033,72982.92691500032,3
2024-07-17,99375.92991500032,72982.92691500032,3
2024-07-18,99969.03641500032,72982.92691500032,3
2024-07-19,99516.78591500032,72982.92691500032,3
2024-07-22,99836.74591500031,72982.92691500032,3
2024-07-23,99172.02891500034,72982.92691500032,3
2024-07-24,99342.74741500033,72982.92691500032,3
2024-07-25,99217.77291500033,72982.92691500032,3
2024-07-26,99098.73441500032,72982.92691500032,3
2024-07-29,99686.50041500032,72982.92691500032,3
2024-07-30,99196.47641500032,72982.92691500032,3
2024-07-31,99691.54591500033,72982.92691500032,3
2024-08-01,99310.90891500031,72982.92691500032,3
2024-08-02,98723.80941500032,72982.92691500032,3
2024-08-05,97986.06191500032,72982.92691500032,3
2024-08-06,98290.23041500032,72982.92691500032,3
2024-08-07,99070.97541500033,72982.92691500032,3
2024-08-08,99792.80098335033,65704.02598335032,4
2024-08-09,99163.33298335034,65704.02598335032,4
2024-08-12,100470.97848335034,65704.02598335032,4
2024-08-13,101542.11420322552,59163.296203225524,5
2024-08-14,101816.38570322553,59163.296203225524,5
2024-08-16,103513.73520322551,59163.296203225524,5
2024-08-19,103347.49870322553,59163.296203225524,5
2024-08-20,102495.19170322553,59163.296203225524,5
2024-08-21,103067.66870322553,59163.296203225524,5
2024-08-22,103479.6397032255,59163.296203225524,5
2024-08-23,103360.07420322552,59163.296203225524,5
2024-08-26,103239.92170322553,59163.296203225524,5
2024-08-27,103251.12720322552,59163.296203225524,5
2024-08-28,103294.61820322553,59163.296203225524,5
2024-08-29,104514.13720322553,59163.296203225524,5
2024-08-30,104664.89570322553,59163.296203225524,5
2024-09-02,105026.54420322552,59163.296203225524,5
2024-09-03,104402.75120322553,59163.296203225524,5
2024-09-04,104307.48720322551,59163.296203225524,5
2024-09-05,103333.75520322552,59163.296203225524,5
2024-09-06,101984.74920322552,59163.296203225524,5
2024-09-09,101979.37770322552,59163.296203225524,5
2024-09-10,101198.15420322551,59163.296203225524,5
2024-09-11,100678.20420322554,59163.296203225524,5
2024-09-12,101866.01120322554,59163.296203225524,5
2024-09-13,102816.10920322551,59163.296203225524,5
2024-09-16,102588.76220322553,59163.296203225524,5
2024-09-17,103438.16170322552,59163.296203225524,5
2024-09-18,103332.95520322553,59163.296203225524,5
