date,equity,cash,positions
2024-07-01,100000.0,100000.0,0
2024-07-02,100000.0,100000.0,0
2024-07-03,100000.0,100000.0,0
2024-07-04,100000.0,100000.0,0
2024-07-05,99956.345157538,90039.185157538,1
2024-07-08,100183.305157538,90039.185157538,1
2024-07-09,100241.885157538,90039.185157538,1
2024-07-10,100179.645157538,90039.185157538,1
2024-07-11,100156.9654097022,73168.2014097022,3
2024-07-12,100777.49840970221,73168.2014097022,3
2024-07-15,101279.4274097022,73168.2014097022,3
2024-07-16,100394.8474097022,73168.2014097022,3
2024-07-17,100012.00540970221,73168.2014097022,3
2024-07-18,100392.6764097022,73168.2014097022,3
2024-07-19,100142.33640970221,73168.2014097022,3
2024-07-22,100238.2124097022,73168.2014097022,3
2024-07-23,99945.95240970221,73168.2014097022,3
2024-07-24,99848.72440970219,73168.2014097022,3
2024-07-25,99627.41040970219,73168.2014097022,3
2024-07-26,99491.57140970221,73168.2014097022,3
2024-07-29,99851.51740970221,73168.2014097022,3
2024-07-30,99376.4994097022,73168.2014097022,3
2024-07-31,99603.64440970222,73168.2014097022,3
2024-08-01,99209.8224097022,73168.2014097022,3
2024-08-02,98722.69640970221,73168.2014097022,3
2024-08-05,97810.59340970221,73168.2014097022,3
2024-08-06,97322.6574097022,73168.2014097022,3
2024-08-07,97860.8944097022,73168.2014097022,3
2024-08-08,98232.7526184082,79887.5986184082,2
2024-08-09,98363.1636184082,79887.5986184082,2
2024-08-12,98931.6066184082,79887.5986184082,2
2024-08-13,99058.5416184082,79887.5986184082,2
2024-08-14,99203.69061840819,79887.5986184082,2
2024-08-16,99960.0416184082,79887.5986184082,2
2024-08-19,99945.40161840818,79887.5986184082,2
2024-08-20,99520.53461840819,79887.5986184082,2
2024-08-21,99787.9306184082,79887.5986184082,2
2024-08-22,100120.06961840819,79887.5986184082,2
2024-08-23,99999.2466184082,79887.5986184082,2
2024-08-26,99892.7726184082,79887.5986184082,2
2024-08-27,99783.52961840821,79887.5986184082,2
2024-08-28,99855.4116184082,79887.5986184082,2
2024-08-29,100029.8956184082,79887.5986184082,2
2024-08-30,100162.1226184082,79887.5986184082,2
2024-09-02,100325.75661840821,79887.5986184082,2
2024-09-03,99779.9486184082,79887.5986184082,2
2024-09-04,99813.0726184082,79887.5986184082,2
2024-09-05,99533.5626184082,79887.5986184082,2
2024-09-06,99135.8886184082,79887.5986184082,2
2024-09-09,98895.70278415599,71906.40634415598,3
2024-09-10,98620.09122415599,71906.40634415598,3
2024-09-11,97956.31402415599,71906.40634415598,3
2024-09-12,98192.43094415599,71906.40634415598,3
2024-09-13,98397.08826415599,71906.40634415598,3
2024-09-16,98626.23614415599,71906.40634415598,3
2024-09-17,98932.42138415598,71906.40634415598,3
2024-09-18,98772.87598415598,71906.40634415598,3
2024-09-19,98918.988304156,71906.40634415598,3
2024-09-20,98463.16982415598,71906.40634415598,3
2024-09-23,98067.09678415599,71906.40634415598,3
