date,equity,cash,positions
2024-07-01,100000.0,100000.0,0
2024-07-02,100000.0,100000.0,0
2024-07-03,100000.0,100000.0,0
2024-07-04,100000.0,100000.0,0
2024-07-05,100000.0,100000.0,0
2024-07-08,100000.0,100000.0,0
2024-07-09,100000.0,100000.0,0
2024-07-10,100000.0,100000.0,0
2024-07-11,100000.0,100000.0,0
2024-07-12,100000.0,100000.0,0
2024-07-15,100000.0,100000.0,0
2024-07-16,99956.3550355138,90041.4390355138,1
2024-07-17,99913.0790355138,90041.4390355138,1
2024-07-18,100036.64503551381,90041.4390355138,1
2024-07-19,99771.0370355138,90041.4390355138,1
2024-07-22,99771.0370355138,90041.4390355138,1
2024-07-23,99758.6370355138,90041.4390355138,1
2024-07-24,99690.6850355138,90041.4390355138,1
2024-07-25,99755.5370355138,90041.4390355138,1
2024-07-26,99644.3710355138,90041.4390355138,1
2024-07-29,99845.1270355138,90041.4390355138,1
2024-07-30,99650.5710355138,90041.4390355138,1
2024-07-31,99866.7650355138,90041.4390355138,1
2024-08-01,99931.6170355138,90041.4390355138,1
2024-08-02,99764.8370355138,90041.4390355138,1
2024-08-05,99397.2390355138,90041.4390355138,1
2024-08-06,99335.4870355138,90041.4390355138,1
2024-08-07,99727.7610355138,90041.4390355138,1
2024-08-08,100154.0110355138,90041.4390355138,1
2024-08-09,100175.64903551381,90041.4390355138,1
2024-08-12,100571.0230355138,90041.4390355138,1
2024-08-13,100654.4130355138,90041.4390355138,1
2024-08-14,100808.8550355138,90041.4390355138,1
2024-08-16,101151.6530355138,90041.4390355138,1
2024-08-19,101151.6530355138,90041.4390355138,1
2024-08-20,100870.6070355138,90041.4390355138,1
2024-08-21,101136.2150355138,90041.4390355138,1
2024-08-22,101469.8370355138,90041.4390355138,1
2024-08-23,101250.54303551381,90041.4390355138,1
2024-08-26,101173.2910355138,90041.4390355138,1
2024-08-27,101123.8770355138,90041.4390355138,1
2024-08-28,101160.9530355138,90041.4390355138,1
2024-08-29,101228.9050355138,90041.4390355138,1
2024-08-30,101352.47103551381,90041.4390355138,1
2024-09-02,101247.4430355138,90041.4390355138,1
2024-09-03,100935.4590355138,90041.4390355138,1
2024-09-04,100997.2110355138,90041.4390355138,1
2024-09-05,100830.4310355138,90041.4390355138,1
2024-09-06,100589.4990355138,90041.4390355138,1
2024-09-09,100308.4530355138,90041.4390355138,1
2024-09-10,100061.3210355138,90041.4390355138,1
2024-09-11,100215.76303551381,90041.4390355138,1
2024-09-12,100364.73905640916,81041.88185640916,2
2024-09-13,100676.33249640916,81041.88185640916,2
2024-09-16,100843.18545640918,81041.88185640916,2
2024-09-17,101102.52953640916,81041.88185640916,2
2024-09-18,100930.95273640916,81041.88185640916,2
2024-09-19,100926.02817640916,81041.88185640916,2
2024-09-20,100631.89801640916,81041.88185640916,2
2024-09-23,100230.17433640917,81041.88185640916,2
2024-09-24,100550.22489640916,81041.88185640916,2
