date,equity,cash,positions
2024-07-01,99956.44182436,90061.24182436,1
2024-07-02,99679.24182436,90061.24182436,1
2024-07-03,100015.24182436,90061.24182436,1
2024-07-04,99990.04182436,90061.24182436,1
2024-07-05,99838.84182436,90061.24182436,1
2024-07-08,100208.44182436,90061.24182436,1
2024-07-09,100233.64182435999,90061.24182436,1
2024-07-10,99964.84182436,90061.24182436,1
2024-07-11,100107.64182435999,90061.24182436,1
2024-07-12,100468.84182436,90061.24182436,1
2024-07-15,100804.84182436,90061.24182436,1
2024-07-16,99981.64182435999,90061.24182436,1
2024-07-17,100334.44182436,90061.24182436,1
2024-07-18,100552.84182436,90061.24182436,1
2024-07-19,100309.24182436,90061.24182436,1
2024-07-22,100468.84182436,90061.24182436,1
2024-07-23,99981.64182435999,90061.24182436,1
2024-07-24,100099.24182436,90061.24182436,1
2024-07-25,99830.44182436,90061.24182436,1
2024-07-26,100057.24182436,90061.24182436,1
2024-07-29,100309.24182436,90061.24182436,1
2024-07-30,100275.64182435999,90061.24182436,1
2024-07-31,100645.24182436,90061.24182436,1
2024-08-01,100368.04182436,90061.24182436,1
2024-08-02,100258.84182436,90061.24182436,1
2024-08-05,99847.24182436,90061.24182436,1
2024-08-06,100326.04182436,90061.24182436,1
2024-08-07,100788.04182436,90061.24182436,1
2024-08-08,101157.64182435999,90061.24182436,1
2024-08-09,100443.64182435999,90061.24182436,1
2024-08-12,101031.64182435999,90061.24182436,1
2024-08-13,101418.04182436,90061.24182436,1
2024-08-14,101157.64182435999,90061.24182436,1
2024-08-16,101712.04182436,90061.24182436,1
2024-08-19,101745.64182435999,90061.24182436,1
2024-08-20,101787.64182435999,90061.24182436,1
2024-08-21,101871.64182435999,90061.24182436,1
2024-08-22,101770.84182436,90061.24182436,1
2024-08-23,101863.24182436,90061.24182436,1
2024-08-26,101989.24182436,90061.24182436,1
2024-08-27,102232.84182436,90061.24182436,1
2024-08-28,102056.44182436,90061.24182436,1
2024-08-29,103081.24182436,90061.24182436,1
2024-08-30,103089.64182435999,90061.24182436,1
2024-09-02,103408.84182436,90061.24182436,1
2024-09-03,103316.44182436,90061.24182436,1
2024-09-04,103156.84182436,90061.24182436,1
2024-09-05,102669.64182435999,90061.24182436,1
2024-09-06,102426.04182436,90061.24182436,1
2024-09-09,102451.24182436,90061.24182436,1
2024-09-10,102073.24182436,90061.24182436,1
2024-09-11,102098.44182436,90061.24182436,1
2024-09-12,102602.44182436,90061.24182436,1
2024-09-13,102829.24182436,90061.24182436,1
2024-09-16,102711.64182435999,90061.24182436,1
2024-09-17,103081.24182436,90061.24182436,1
2024-09-18,102980.44182436,90061.24182436,1
2024-09-19,103358.44182436,90061.24182436,1
2024-09-20,102972.04182436,90061.24182436,1
2024-09-23,103131.64182435999,90061.24182436,1
2024-09-24,102837.64182435999,90061.24182436,1
2024-09-25,105013.24182436,90061.24182436,1
2024-09-26,104862.04182436,90061.24182436,1
2024-09-27,104593.24182436,90061.24182436,1
2024-09-30,104299.24182436,90061.24182436,1
2024-10-01,104484.04182436,90061.24182436,1
2024-10-02,104164.84182436,90061.24182436,1
2024-10-03,104374.84182436,90061.24182436,1
2024-10-04,104593.24182436,90061.24182436,1
2024-10-07,105063.64182435999,90061.24182436,1
2024-10-08,104853.64182435999,90061.24182436,1
2024-10-09,105013.24182436,90061.24182436,1
2024-10-10,105248.44182436,90061.24182436,1
2024-10-11,105181.24182436,90061.24182436,1
2024-10-14,105676.84182436,90061.24182436,1
2024-10-15,105181.24182436,90061.24182436,1
2024-10-16,105097.24182436,90061.24182436,1
2024-10-17,104929.24182436,90061.24182436,1
2024-10-18,104988.04182436,90061.24182436,1
2024-10-21,105139.24182436,90061.24182436,1
2024-10-22,104349.64182435999,90061.24182436,1
2024-10-23,104576.44182436,90061.24182436,1
2024-10-24,104887.24182436,90061.24182436,1
2024-10-25,104677.24182436,90061.24182436,1
2024-10-28,104895.64182435999,90061.24182436,1
2024-10-29,105181.24182436,90061.24182436,1
2024-10-30,104794.84182436,90061.24182436,1
2024-10-31,104878.84182436,90061.24182436,1
2024-11-04,105265.24182436,90061.24182436,1
2024-11-05,104937.64182435999,90061.24182436,1
2024-11-06,105324.04182436,90061.24182436,1
2024-11-07,105088.84182436,90061.24182436,1
2024-11-08,105223.24182436,90061.24182436,1
2024-11-12,104937.64182435999,90061.24182436,1
2024-11-13,104694.04182436,90061.24182436,1
2024-11-14,106357.24182436,90061.24182436,1
2024-11-15,107029.24182436,90061.24182436,1
2024-11-18,107348.44182436,90061.24182436,1
2024-11-19,106962.04182436,90061.24182436,1
2024-11-20,107180.44182436,90061.24182436,1
2024-11-21,107869.24182436,90061.24182436,1
2024-11-22,108087.64182435999,90061.24182436,1
2024-11-25,107953.24182436,90061.24182436,1
2024-11-26,108087.64182435999,90061.24182436,1
2024-11-27,108440.44182436,90061.24182436,1
2024-11-28,106995.64182435999,90061.24182436,1
2024-11-29,107516.44182436,90061.24182436,1
2024-12-02,108138.04182436,90061.24182436,1
2024-12-03,108121.24182436,90061.24182436,1
2024-12-04,108205.24182436,90061.24182436,1
2024-12-05,107298.04182436,90061.24182436,1
2024-12-06,107331.64182435999,90061.24182436,1
2024-12-09,106273.24182436,90061.24182436,1
2024-12-10,106222.84182436,90061.24182436,1
2024-12-11,106256.44182436,90061.24182436,1
2024-12-12,106130.44182436,90061.24182436,1
2024-12-13,105954.04182436,90061.24182436,1
2024-12-16,105937.24182436,90061.24182436,1
2024-12-17,105626.44182436,90061.24182436,1
2024-12-18,105853.24182436,90061.24182436,1
2024-12-19,105895.24182436,90061.24182436,1
2024-12-20,105458.44182436,90061.24182436,1
2024-12-23,105508.84182436,90061.24182436,1
2024-12-27,105744.04182436,90061.24182436,1
2024-12-30,105500.44182436,90061.24182436,1
2025-01-02,106508.44182436,90061.24182436,1
2025-01-03,106046.44182436,90061.24182436,1
2025-01-07,105718.84182436,90061.24182436,1
2025-01-08,105298.84182436,90061.24182436,1
2025-01-09,105332.44182436,90061.24182436,1
2025-01-10,105702.04182436,90061.24182436,1
2025-01-13,105391.24182436,90061.24182436,1
2025-01-14,105534.04182436,90061.24182436,1
2025-01-15,105517.24182436,90061.24182436,1
2025-01-16,105349.24182436,90061.24182436,1
2025-01-17,105584.44182436,90061.24182436,1
2025-01-20,105156.04182436,90061.24182436,1
2025-01-21,105256.84182436,90061.24182436,1
2025-01-22,105004.84182436,90061.24182436,1
2025-01-23,104971.24182436,90061.24182436,1
2025-01-24,104845.24182436,90061.24182436,1
2025-01-27,104895.64182435999,90061.24182436,1
2025-01-28,104047.24182436,90061.24182436,1
2025-01-29,104089.24182436,90061.24182436,1
2025-01-30,104173.24182436,90061.24182436,1
2025-01-31,104509.24182436,90061.24182436,1
2025-02-03,104400.04182436,90061.24182436,1
2025-02-04,104870.44182436,90061.24182436,1
2025-02-05,104778.04182436,90061.24182436,1
2025-02-06,105592.84182436,90061.24182436,1
2025-02-07,105853.24182436,90061.24182436,1
2025-02-10,105366.04182436,90061.24182436,1
2025-02-11,107617.24182436,90061.24182436,1
2025-02-12,106928.44182436,90061.24182436,1
2025-02-13,106819.24182436,90061.24182436,1
2025-02-14,106861.24182436,90061.24182436,1
2025-02-17,106777.24182436,90061.24182436,1
2025-02-18,106012.84182436,90061.24182436,1
2025-02-19,106155.64182435999,90061.24182436,1
2025-02-20,106584.04182436,90061.24182436,1
