date,equity,cash,positions
2024-07-01,100000.0,100000.0,0
2024-07-02,100000.0,100000.0,0
2024-07-03,100000.0,100000.0,0
2024-07-04,100000.0,100000.0,0
2024-07-05,100000.0,100000.0,0
2024-07-08,100000.0,100000.0,0
2024-07-09,100000.0,100000.0,0
2024-07-10,100000.0,100000.0,0
2024-07-11,100000.0,100000.0,0
2024-07-12,100000.0,100000.0,0
2024-07-15,100000.0,100000.0,0
2024-07-16,100000.0,100000.0,0
2024-07-17,100000.0,100000.0,0
2024-07-18,100000.0,100000.0,0
2024-07-19,100000.0,100000.0,0
2024-07-22,100000.0,100000.0,0
2024-07-23,100000.0,100000.0,0
2024-07-24,100000.0,100000.0,0
2024-07-25,100000.0,100000.0,0
2024-07-26,100000.0,100000.0,0
2024-07-29,100000.0,100000.0,0
2024-07-30,100000.0,100000.0,0
2024-07-31,100000.0,100000.0,0
2024-08-01,100000.0,100000.0,0
2024-08-02,100000.0,100000.0,0
2024-08-05,100000.0,100000.0,0
2024-08-06,100000.0,100000.0,0
2024-08-07,100000.0,100000.0,0
2024-08-08,100000.0,100000.0,0
2024-08-09,100000.0,100000.0,0
2024-08-12,100000.0,100000.0,0
2024-08-13,99956.43622772077,90059.96482772077,1
2024-08-14,100087.56052772078,90059.96482772077,1
2024-08-16,100594.88602772077,90059.96482772077,1
2024-08-19,100519.23952772077,90059.96482772077,1
2024-08-20,100144.03732772077,90059.96482772077,1
2024-08-21,100216.65352772077,90059.96482772077,1
2024-08-22,100332.64852772077,90059.96482772077,1
2024-08-23,100347.77782772077,90059.96482772077,1
2024-08-26,100277.17072772078,90059.96482772077,1
2024-08-27,100196.48482772078,90059.96482772077,1
2024-08-28,100418.37382772077,90059.96482772077,1
2024-08-29,100413.33442772078,90059.96482772077,1
2024-08-30,100398.20512772078,90059.96482772077,1
2024-09-02,100499.07082772077,90059.96482772077,1
2024-09-03,100282.22122772077,90059.96482772077,1
2024-09-04,100342.73842772077,90059.96482772077,1
2024-09-05,100121.84842772078,90059.96482772077,1
2024-09-06,99532.81582772077,90059.96482772077,1
2024-09-09,99661.91992772077,90059.96482772077,1
2024-09-10,99442.04002772078,90059.96482772077,1
2024-09-11,99056.75902772078,90059.96482772077,1
2024-09-12,99262.50862772077,90059.96482772077,1
2024-09-13,99599.39362772077,90059.96482772077,1
2024-09-16,99433.98142772078,90059.96482772077,1
2024-09-17,99540.88552772078,90059.96482772077,1
2024-09-18,99490.45822772078,90059.96482772077,1
2024-09-19,99742.60582772078,90059.96482772077,1
2024-09-20,99440.03092772077,90059.96482772077,1
2024-09-23,99312.94702772077,90059.96482772077,1
2024-09-24,99381.53392772077,90059.96482772077,1
2024-09-25,99354.45557272076,81120.78747272077,2
2024-09-26,99772.79117272077,81120.78747272077,2
2024-09-27,99495.79717272076,81120.78747272077,2
2024-09-30,98943.57477272076,81120.78747272077,2
2024-10-01,98904.30197272077,81120.78747272077,2
