date,equity,cash,positions
2024-07-01,99946.551514,91042.551514,1
2024-07-02,99874.188190125,83607.688190125,2
2024-07-03,100075.688190125,83607.688190125,2
2024-07-04,100112.33174972501,75252.231749725,3
2024-07-05,100109.33174972501,75252.231749725,3
2024-07-08,100221.631749725,75252.231749725,3
2024-07-09,99916.27513972501,69175.97513972501,4
2024-07-10,100087.97513972501,69175.97513972501,4
2024-07-11,100369.27513972501,69175.97513972501,4
2024-07-12,100307.97513972501,69175.97513972501,4
2024-07-15,100110.97513972501,69175.97513972501,4
2024-07-16,100100.97513972501,69175.97513972501,4
2024-07-17,100200.57513972501,69175.97513972501,4
2024-07-18,100397.47513972501,69175.97513972501,4
2024-07-19,100202.77513972501,69175.97513972501,4
2024-07-22,100283.57513972501,69175.97513972501,4
2024-07-23,100132.72877690502,51805.84877690501,7
2024-07-24,100242.458776905,51805.84877690501,7
2024-07-25,100596.26832520751,47009.338325207515,8
2024-07-26,101460.88832520752,47009.338325207515,8
2024-07-29,101252.33104008253,55859.981040082515,7
2024-07-30,100452.85104008252,55859.981040082515,7
2024-07-31,100968.45104008252,55859.981040082515,7
2024-08-01,100579.19104008253,55859.981040082515,7
2024-08-02,100283.46577670751,60801.53577670752,6
2024-08-05,99720.75577670752,60801.53577670752,6
2024-08-06,99657.14577670752,60801.53577670752,6
2024-08-07,100167.03577670752,60801.53577670752,6
2024-08-08,100255.84577670752,60801.53577670752,6
2024-08-09,100318.49577670751,60801.53577670752,6
2024-08-12,100719.96577670751,60801.53577670752,6
2024-08-13,100904.65577670753,60801.53577670752,6
2024-08-14,100967.83577670752,60801.53577670752,6
2024-08-15,101146.39577670752,60801.53577670752,6
2024-08-16,100864.29577670751,60801.53577670752,6
2024-08-19,101201.18577670753,60801.53577670752,6
2024-08-20,100764.58577670752,60801.53577670752,6
2024-08-21,101138.08577670752,60801.53577670752,6
2024-08-22,100924.49577670751,60801.53577670752,6
2024-08-23,101100.23577670752,60801.53577670752,6
2024-08-27,101334.32539470751,67267.06539470752,5
2024-08-28,101230.11539470752,67267.06539470752,5
2024-08-29,101300.51539470752,67267.06539470752,5
2024-08-30,101077.97539470752,67267.06539470752,5
2024-09-02,100746.62539470752,67267.06539470752,5
2024-09-03,99973.91359140501,87193.91359140501,2
2024-09-04,99875.11359140501,87193.91359140501,2
2024-09-05,99751.1613260975,79626.83132609751,3
2024-09-06,99317.19132609751,79626.83132609751,3
2024-09-09,99563.1513260975,79626.83132609751,3
2024-09-10,99295.22132609751,79626.83132609751,3
2024-09-11,99294.54973647752,71758.19973647752,4
2024-09-12,99959.71973647752,71758.19973647752,4
2024-09-13,100134.66973647752,71758.19973647752,4
2024-09-16,100061.27973647752,71758.19973647752,4
2024-09-17,100474.38973647752,71758.19973647752,4
2024-09-18,100284.36973647751,71758.19973647752,4
2024-09-19,101032.00973647751,71758.19973647752,4
2024-09-20,100344.61973647751,71758.19973647752,4
2024-09-23,100545.2197364775,71758.19973647752,4
2024-09-24,101322.08090097751,65599.45090097752,5
2024-09-25,101220.50090097751,65599.45090097752,5
2024-09-26,102038.13090097753,65599.45090097752,5
2024-09-27,102284.08369565253,71572.17369565253,4
2024-09-30,102019.86369565253,71572.17369565253,4
2024-10-01,102277.37380122254,81104.91380122253,3
2024-10-02,102254.11015637254,73333.14015637254,4
2024-10-03,102254.65739437254,67932.91739437253,5
2024-10-04,102382.22739437253,67932.91739437253,5
2024-10-07,102720.73739437253,67932.91739437253,5
2024-10-08,101991.21739437254,67932.91739437253,5
2024-10-09,102112.51739437254,67932.91739437253,5
2024-10-10,102363.99739437253,67932.91739437253,5
2024-10-11,102213.98739437254,67932.91739437253,5
2024-10-14,102314.21739437254,67932.91739437253,5
2024-10-15,101826.45739437253,67932.91739437253,5
2024-10-16,102060.63739437253,67932.91739437253,5
2024-10-17,102374.90739437254,67932.91739437253,5
2024-10-18,102074.71739437252,67932.91739437253,5
2024-10-21,102065.32739437252,67932.91739437253,5
2024-10-22,102119.70739437254,67932.91739437253,5
2024-10-23,101850.87739437254,67932.91739437253,5
2024-10-24,101833.06739437253,67932.91739437253,5
2024-10-25,101884.27739437253,67932.91739437253,5
2024-10-28,101697.77739437253,67932.91739437253,5
2024-10-29,101052.59344581004,75131.46344581003,4
2024-10-30,100681.96344581003,75131.46344581003,4
2024-10-31,100822.03344581003,75131.46344581003,4
2024-11-01,100941.03344581003,75131.46344581003,4
2024-11-04,100904.33344581003,75131.46344581003,4
2024-11-05,100855.72344581003,75131.46344581003,4
2024-11-06,100540.56436826003,67859.87436826003,5
2024-11-07,100525.85540010502,61111.18540010503,6
2024-11-08,100124.70540010501,61111.18540010503,6
2024-11-11,100672.65540010502,61111.18540010503,6
2024-11-12,100326.30540010502,61111.18540010503,6
2024-11-13,100453.58540010503,61111.18540010503,6
2024-11-14,100645.05540010502,61111.18540010503,6
2024-11-15,100807.14390294753,62101.85390294753,6
2024-11-18,100999.65390294754,62101.85390294753,6
2024-11-19,100682.90390294754,62101.85390294753,6
2024-11-20,100667.95390294756,62101.85390294753,6
2024-11-21,100876.60390294754,62101.85390294753,6
2024-11-22,101076.53566469753,58356.50566469753,7
2024-11-25,101201.89566469753,58356.50566469753,7
2024-11-26,100796.55566469753,58356.50566469753,7
2024-11-27,100697.38566469753,58356.50566469753,7
2024-11-28,100857.28264076002,63255.85264076003,6
2024-11-29,100733.78264076002,63255.85264076003,6
2024-12-02,100740.09264076003,63255.85264076003,6
2024-12-03,100981.16264076003,63255.85264076003,6
2024-12-04,100789.86264076004,63255.85264076003,6
2024-12-05,101131.24958676002,67036.06958676003,5
2024-12-06,100927.74958676002,67036.06958676003,5
2024-12-09,101384.39958676003,67036.06958676003,5
2024-12-10,101211.91958676004,67036.06958676003,5
2024-12-11,101349.48958676003,67036.06958676003,5
2024-12-12,101776.69958676003,67036.06958676003,5
2024-12-13,101929.86958676003,67036.06958676003,5
2024-12-16,101741.66958676004,67036.06958676003,5
2024-12-17,101161.92403861003,74436.06403861003,4
2024-12-18,101162.53580926002,67913.74580926003,5
2024-12-19,100999.56580926002,67913.74580926003,5
2024-12-20,100932.83580926002,67913.74580926003,5
2024-12-23,101046.06580926002,67913.74580926003,5
2024-12-24,101203.19580926003,67913.74580926003,5
2024-12-27,101385.81580926002,67913.74580926003,5
2024-12-30,101249.08532376002,61151.39532376003,6
2024-12-31,101571.89100006003,45229.59100006003,9
2025-01-02,102199.25100006003,45229.59100006003,9
2025-01-03,101556.99100006004,45229.59100006003,9
2025-01-06,101988.42929668502,37655.89929668503,11
2025-01-07,101792.52929668502,37655.89929668503,11
2025-01-08,101466.48929668502,37655.89929668503,11
2025-01-09,101787.13929668501,37655.89929668503,11
2025-01-10,100866.17929668502,37655.89929668503,11
2025-01-13,100931.35094926253,45498.360949262526,10
2025-01-14,100905.02094926253,45498.360949262526,10
2025-01-15,102262.62094926253,45498.360949262526,10
2025-01-16,102761.09094926252,45498.360949262526,10
2025-01-17,103894.78094926252,45498.360949262526,10
2025-01-20,104194.22864038752,54254.09864038753,8
2025-01-21,104430.64864038753,54254.09864038753,8
2025-01-22,104062.24864038754,54254.09864038753,8
2025-01-23,104248.86864038753,54254.09864038753,8
2025-01-24,104219.40864038753,54254.09864038753,8
2025-01-27,104160.39864038752,54254.09864038753,8
2025-01-28,104111.86619397253,61820.86619397253,7
2025-01-29,104048.96619397252,61820.86619397253,7
2025-01-30,104356.90717157253,67325.75717157254,6
2025-01-31,104342.85717157254,67325.75717157254,6
2025-02-03,104094.10717157253,67325.75717157254,6
2025-02-04,103561.09879907253,73829.24879907253,5
2025-02-05,103765.74879907253,73829.24879907253,5
2025-02-06,103983.29879907252,73829.24879907253,5
2025-02-07,103810.74879907253,73829.24879907253,5
2025-02-10,103771.54879907252,73829.24879907253,5
2025-02-11,103432.94879907253,73829.24879907253,5
2025-02-12,103105.29879907254,73829.24879907253,5
2025-02-13,103163.25114876003,78223.60114876003,4
2025-02-14,103104.90114876002,78223.60114876003,4
2025-02-17,103000.70114876004,78223.60114876003,4
2025-02-18,103049.15114876004,78223.60114876003,4
2025-02-19,102557.70114876004,78223.60114876003,4
2025-02-20,102586.05114876005,78223.60114876003,4
2025-02-21,102722.45114876002,78223.60114876003,4
2025-02-24,102874.75114876003,78223.60114876003,4
2025-02-25,102906.30114876003,78223.60114876003,4
2025-02-26,102957.50114876004,78223.60114876003,4
2025-02-27,102617.85114876003,78223.60114876003,4
2025-02-28,102829.15114876004,78223.60114876003,4
2025-03-03,102791.14607276002,70513.59607276003,5
2025-03-04,102709.41099876004,63535.960998760034,6
2025-03-05,102488.32743256004,70064.62743256004,5
2025-03-06,102565.82743256004,70064.62743256004,5
2025-03-07,102558.32743256004,70064.62743256004,5
2025-03-10,102691.37743256004,70064.62743256004,5
2025-03-11,102143.57743256004,70064.62743256004,5
2025-03-12,102084.27743256003,70064.62743256004,5
2025-03-13,102144.92743256004,70064.62743256004,5
2025-03-14,102616.87743256004,70064.62743256004,5
2025-03-17,102840.02743256003,70064.62743256004,5
2025-03-18,102829.92743256004,70064.62743256004,5
2025-03-19,102660.92743256004,70064.62743256004,5
2025-03-20,102930.62743256004,70064.62743256004,5
2025-03-21,102778.52743256003,70064.62743256004,5
2025-03-24,102480.95781761005,63181.757817610036,6
2025-03-25,102586.35781761004,63181.757817610036,6
2025-03-26,102683.95781761003,63181.757817610036,6
2025-03-27,102435.10781761004,63181.757817610036,6
2025-03-28,102404.40781761004,63181.757817610036,6
