date,equity,cash,positions
2024-07-01,99946.551514,91042.551514,1
2024-07-02,99874.188190125,83607.688190125,2
2024-07-03,100075.688190125,83607.688190125,2
2024-07-04,100162.188190125,83607.688190125,2
2024-07-05,100014.188190125,83607.688190125,2
2024-07-08,100019.188190125,83607.688190125,2
2024-07-09,99875.867427625,76012.367427625,3
2024-07-10,100004.867427625,76012.367427625,3
2024-07-11,100135.367427625,76012.367427625,3
2024-07-12,100091.867427625,76012.367427625,3
2024-07-15,99919.367427625,76012.367427625,3
2024-07-16,99915.7153330125,69283.2653330125,4
2024-07-17,99902.2853330125,69283.2653330125,4
2024-07-18,100071.61533301251,69283.2653330125,4
2024-07-19,99762.2853330125,69283.2653330125,4
2024-07-22,99833.5153330125,69283.2653330125,4
2024-07-23,99481.3760572625,57841.996057262506,6
2024-07-24,99571.2560572625,57841.996057262506,6
2024-07-25,99824.03605726249,57841.996057262506,6
2024-07-26,100645.1260572625,57841.996057262506,6
2024-07-29,100385.5760572625,57841.996057262506,6
2024-07-30,99561.7760572625,57841.996057262506,6
2024-07-31,100017.2160572625,57841.996057262506,6
2024-08-01,99621.2160572625,57841.996057262506,6
2024-08-02,99291.4760572625,57841.996057262506,6
2024-08-05,98699.9160572625,57841.996057262506,6
2024-08-06,98578.51219841249,52186.852198412504,7
2024-08-07,99289.8021984125,52186.852198412504,7
2024-08-08,99382.36219841249,52186.852198412504,7
2024-08-09,99567.1621984125,52186.852198412504,7
2024-08-12,100030.23219841249,52186.852198412504,7
2024-08-13,100207.6221984125,52186.852198412504,7
2024-08-14,100337.0521984125,52186.852198412504,7
2024-08-15,100685.4621984125,52186.852198412504,7
2024-08-16,100408.5621984125,52186.852198412504,7
2024-08-19,100783.7021984125,52186.852198412504,7
2024-08-20,100254.1021984125,52186.852198412504,7
2024-08-21,100603.6521984125,52186.852198412504,7
2024-08-22,100397.9121984125,52186.852198412504,7
2024-08-23,100721.3021984125,52186.852198412504,7
2024-08-27,100961.9242209125,60268.764220912504,6
2024-08-28,100681.66422091251,60268.764220912504,6
2024-08-29,100805.66422091251,60268.764220912504,6
2024-08-30,100647.27422091251,60268.764220912504,6
2024-09-02,100281.0742209125,60268.764220912504,6
2024-09-03,99402.6542209125,60268.764220912504,6
2024-09-04,99283.70422091249,60268.764220912504,6
2024-09-05,99257.50271070751,55224.04271070751,7
2024-09-06,98297.3627107075,55224.04271070751,7
2024-09-09,98693.2127107075,55224.04271070751,7
2024-09-10,98217.0327107075,55224.04271070751,7
2024-09-11,98269.8327107075,55224.04271070751,7
2024-09-12,99211.6127107075,55224.04271070751,7
2024-09-13,99522.06271070751,55224.04271070751,7
2024-09-16,99471.9427107075,55224.04271070751,7
2024-09-17,99514.12271070751,55224.04271070751,7
2024-09-18,99287.16271070752,55224.04271070751,7
2024-09-19,100304.8827107075,55224.04271070751,7
2024-09-20,99429.8527107075,55224.04271070751,7
2024-09-23,99594.4727107075,55224.04271070751,7
2024-09-24,100516.11108408251,50604.98108408251,8
2024-09-25,100413.89108408251,50604.98108408251,8
2024-09-26,101290.19539833251,55856.725398332506,7
2024-09-27,101559.32124977,62256.07124977001,6
2024-09-30,101179.01124977,62256.07124977001,6
2024-10-01,101489.6663289475,69405.6263289475,5
2024-10-02,101685.4063289475,69405.6263289475,5
2024-10-03,101617.5135669475,64005.403566947505,6
2024-10-04,101752.5935669475,64005.403566947505,6
2024-10-07,102031.7335669475,64005.403566947505,6
2024-10-08,101588.05356694749,64005.403566947505,6
2024-10-09,101835.4535669475,64005.403566947505,6
2024-10-10,101601.5735669475,64005.403566947505,6
2024-10-11,101760.5335669475,64005.403566947505,6
2024-10-14,101995.5035669475,64005.403566947505,6
2024-10-15,101898.1135669475,64005.403566947505,6
2024-10-16,102213.5335669475,64005.403566947505,6
2024-10-17,102773.2635669475,64005.403566947505,6
2024-10-18,102420.7535669475,64005.403566947505,6
2024-10-21,102262.9935669475,64005.403566947505,6
2024-10-22,102438.4635669475,64005.403566947505,6
2024-10-23,102041.8935669475,64005.403566947505,6
2024-10-24,102169.0535669475,64005.403566947505,6
2024-10-25,101893.0435669475,64005.403566947505,6
2024-10-28,101885.6435669475,64005.403566947505,6
2024-10-29,101461.9235669475,64005.403566947505,6
2024-10-30,101143.1035669475,64005.403566947505,6
2024-10-31,100954.7835669475,64005.403566947505,6
2024-11-01,101262.9835669475,64005.403566947505,6
2024-11-04,101123.9835669475,64005.403566947505,6
2024-11-05,101370.0435669475,64005.403566947505,6
2024-11-06,101933.6135669475,64005.403566947505,6
2024-11-07,102182.1763286875,57640.78632868751,7
2024-11-08,101795.1863286875,57640.78632868751,7
2024-11-11,102433.8763286875,57640.78632868751,7
2024-11-12,102070.1063286875,57640.78632868751,7
2024-11-13,101932.5363286875,57640.78632868751,7
2024-11-14,101896.72632868751,57640.78632868751,7
2024-11-15,101873.49483153001,58631.45483153001,7
2024-11-18,102092.66483153001,58631.45483153001,7
2024-11-19,101925.57483153002,58631.45483153001,7
2024-11-20,101843.95483153002,58631.45483153001,7
2024-11-21,102171.99483153003,58631.45483153001,7
2024-11-22,102425.03483153,58631.45483153001,7
2024-11-25,102335.25483153002,58631.45483153001,7
2024-11-26,101952.46483153001,58631.45483153001,7
2024-11-27,101782.69483153003,58631.45483153001,7
2024-11-28,101997.26180759251,63530.801807592514,6
2024-11-29,101434.96180759252,63530.801807592514,6
2024-12-02,101607.5918075925,63530.801807592514,6
2024-12-03,101809.80180759249,63530.801807592514,6
2024-12-04,101641.6418075925,63530.801807592514,6
2024-12-05,101919.6118075925,63530.801807592514,6
2024-12-06,101613.64180759252,63530.801807592514,6
2024-12-09,101756.43180759251,63530.801807592514,6
2024-12-10,101472.66180759249,63530.801807592514,6
2024-12-11,101794.31180759252,63530.801807592514,6
2024-12-12,102321.7218075925,63530.801807592514,6
2024-12-13,102375.92180759252,63530.801807592514,6
2024-12-16,102222.12180759251,63530.801807592514,6
2024-12-17,101504.87180759251,63530.801807592514,6
2024-12-18,101592.93332529251,57940.24332529251,7
2024-12-19,101227.37332529252,57940.24332529251,7
2024-12-20,101097.15332529251,57940.24332529251,7
2024-12-23,101219.76332529252,57940.24332529251,7
2024-12-24,101404.97332529252,57940.24332529251,7
2024-12-27,101586.7633252925,57940.24332529251,7
2024-12-30,101386.73541261752,52192.245412617514,8
2024-12-31,101793.34994446751,42729.17994446752,10
2025-01-02,102263.97994446752,42729.17994446752,10
2025-01-03,101690.36994446751,42729.17994446752,10
2025-01-06,102231.93994446752,42729.17994446752,10
2025-01-07,102016.65994446752,42729.17994446752,10
2025-01-08,101847.77994446753,42729.17994446752,10
2025-01-09,102044.88994446752,42729.17994446752,10
2025-01-10,101097.16994446752,42729.17994446752,10
2025-01-13,101049.66771285252,47957.48771285252,9
2025-01-14,101063.1077128525,47957.48771285252,9
2025-01-15,102491.95771285253,47957.48771285252,9
2025-01-16,103055.34771285253,47957.48771285252,9
2025-01-17,104103.37771285253,47957.48771285252,9
2025-01-20,104361.92835572752,56520.41835572752,8
2025-01-21,104644.66835572751,56520.41835572752,8
2025-01-22,104295.9683557275,56520.41835572752,8
2025-01-23,104533.90835572752,56520.41835572752,8
2025-01-24,104469.08835572752,56520.41835572752,8
2025-01-27,104331.01835572752,56520.41835572752,8
2025-01-28,104315.00686154752,63656.55686154752,7
2025-01-29,104331.55686154753,63656.55686154752,7
2025-01-30,104586.73646694754,68473.33646694753,6
2025-01-31,104587.93646694753,68473.33646694753,6
2025-02-03,104266.98646694752,68473.33646694753,6
2025-02-04,103859.68646694752,68473.33646694753,6
2025-02-05,104062.43646694753,68473.33646694753,6
2025-02-06,104577.33646694753,68473.33646694753,6
2025-02-07,104469.9364669475,68473.33646694753,6
2025-02-10,104429.98646694752,68473.33646694753,6
2025-02-11,104092.48646694752,68473.33646694753,6
2025-02-12,103895.18646694752,68473.33646694753,6
2025-02-13,103608.38646694753,68473.33646694753,6
2025-02-14,103511.23646694752,68473.33646694753,6
2025-02-17,103603.83646694753,68473.33646694753,6
2025-02-18,103815.33646694753,68473.33646694753,6
2025-02-19,103273.58646694751,68473.33646694753,6
2025-02-20,103049.63646694753,68473.33646694753,6
2025-02-21,103443.03646694752,68473.33646694753,6
2025-02-24,103621.38646694753,68473.33646694753,6
2025-02-25,103646.08646694751,68473.33646694753,6
2025-02-26,104005.08646694753,68473.33646694753,6
2025-02-27,103511.88646694752,68473.33646694753,6
2025-02-28,104050.33646694754,68473.33646694753,6
2025-03-03,104064.33392894753,64618.333928947526,7
2025-03-04,103403.99709894751,58461.597098947525,8
2025-03-05,103581.84709894753,58461.597098947525,8
2025-03-06,103757.19709894752,58461.597098947525,8
2025-03-07,103757.49709894754,58461.597098947525,8
2025-03-10,103759.99709894753,58461.597098947525,8
2025-03-11,103044.34709894753,58461.597098947525,8
2025-03-12,103080.64709894753,58461.597098947525,8
2025-03-13,103325.69709894752,58461.597098947525,8
2025-03-14,103914.44709894752,58461.597098947525,8
2025-03-17,104250.39709894753,58461.597098947525,8
2025-03-18,104531.34709894752,58461.597098947525,8
2025-03-19,104357.44709894752,58461.597098947525,8
2025-03-20,104586.14709894752,58461.597098947525,8
2025-03-21,104320.74709894753,58461.597098947525,8
2025-03-24,103870.85026779753,52889.75026779753,9
2025-03-25,104046.95026779753,52889.75026779753,9
2025-03-26,104299.50026779753,52889.75026779753,9
2025-03-27,103926.75026779753,52889.75026779753,9
2025-03-28,103865.95026779753,52889.75026779753,9
