date,equity,cash,positions
2024-07-01,99946.551514,91042.551514,1
2024-07-02,99874.188190125,83607.688190125,2
2024-07-03,100075.688190125,83607.688190125,2
2024-07-04,100112.33174972501,75252.231749725,3
2024-07-05,100109.33174972501,75252.231749725,3
2024-07-08,100221.631749725,75252.231749725,3
2024-07-09,99916.27513972501,69175.97513972501,4
2024-07-10,100087.97513972501,69175.97513972501,4
2024-07-11,100369.27513972501,69175.97513972501,4
2024-07-12,100307.97513972501,69175.97513972501,4
2024-07-15,100110.97513972501,69175.97513972501,4
2024-07-16,100060.8230451125,62446.87304511251,5
2024-07-17,100060.49304511251,62446.87304511251,5
2024-07-18,100289.2230451125,62446.87304511251,5
2024-07-19,99978.69304511251,62446.87304511251,5
2024-07-22,100024.7230451125,62446.87304511251,5
2024-07-23,99768.48536121252,51441.60536121251,7
2024-07-24,99878.2153612125,51441.60536121251,7
2024-07-25,100232.024909515,46645.09490951501,8
2024-07-26,101096.64490951502,46645.09490951501,8
2024-07-29,100888.08762439003,55495.737624390014,7
2024-07-30,100088.60762439002,55495.737624390014,7
2024-07-31,100604.20762439002,55495.737624390014,7
2024-08-01,100214.94762439003,55495.737624390014,7
2024-08-02,99919.22236101501,60437.29236101502,6
2024-08-05,99356.51236101502,60437.29236101502,6
2024-08-06,99257.90872961502,54572.69872961502,7
2024-08-07,99951.19872961502,54572.69872961502,7
2024-08-08,100019.00872961502,54572.69872961502,7
2024-08-09,100200.65872961501,54572.69872961502,7
2024-08-12,100653.92872961501,54572.69872961502,7
2024-08-13,100814.81872961503,54572.69872961502,7
2024-08-14,100943.79872961502,54572.69872961502,7
2024-08-15,101294.55872961502,54572.69872961502,7
2024-08-16,101027.858729615,54572.69872961502,7
2024-08-19,101384.34872961503,54572.69872961502,7
2024-08-20,100863.74872961502,54572.69872961502,7
2024-08-21,101205.04872961502,54572.69872961502,7
2024-08-22,101006.858729615,54572.69872961502,7
2024-08-23,101323.99872961502,54572.69872961502,7
2024-08-27,101551.08834761502,61038.22834761502,6
2024-08-28,101270.47834761502,61038.22834761502,6
2024-08-29,101401.07834761501,61038.22834761502,6
2024-08-30,101244.33834761502,61038.22834761502,6
2024-09-02,100877.98834761501,61038.22834761502,6
2024-09-03,99990.4765443125,80965.07654431251,3
2024-09-04,99909.87654431252,80965.07654431251,3
2024-09-05,99921.724279005,73397.99427900501,4
2024-09-06,99272.15427900502,73397.99427900501,4
2024-09-09,99606.314279005,73397.99427900501,4
2024-09-10,99133.98427900502,73397.99427900501,4
2024-09-11,99101.65058679,67496.52058679001,5
2024-09-12,99805.32058679001,67496.52058679001,5
2024-09-13,100010.17058679,67496.52058679001,5
2024-09-16,99937.46058679001,67496.52058679001,5
2024-09-17,100425.95058679,67496.52058679001,5
2024-09-18,100207.12058679001,67496.52058679001,5
2024-09-19,100995.28058679,67496.52058679001,5
2024-09-20,100353.00058679,67496.52058679001,5
2024-09-23,100460.54058679001,67496.52058679001,5
2024-09-24,101189.32175129,61337.771751290005,6
2024-09-25,100964.44175129001,61337.771751290005,6
2024-09-26,101744.5570879025,68477.07708790251,5
2024-09-27,102057.98988257752,74449.79988257751,4
2024-09-30,101697.32988257751,74449.79988257751,4
2024-10-01,101773.85988257753,74449.79988257751,4
2024-10-02,101767.03695587751,67087.06695587751,5
2024-10-03,101741.38419387751,61686.844193877514,6
2024-10-04,102054.30419387751,61686.844193877514,6
2024-10-07,102482.7641938775,61686.844193877514,6
2024-10-08,101735.29419387752,61686.844193877514,6
2024-10-09,101918.2441938775,61686.844193877514,6
2024-10-10,102179.27419387751,61686.844193877514,6
2024-10-11,102162.26419387752,61686.844193877514,6
2024-10-14,102180.9441938775,61686.844193877514,6
2024-10-15,101741.2841938775,61686.844193877514,6
2024-10-16,102056.5141938775,61686.844193877514,6
2024-10-17,102591.63419387751,61686.844193877514,6
2024-10-18,102212.0441938775,61686.844193877514,6
2024-10-21,102127.4041938775,61686.844193877514,6
2024-10-22,102248.78419387752,61686.844193877514,6
2024-10-23,101870.30419387751,61686.844193877514,6
2024-10-24,102130.59419387749,61686.844193877514,6
2024-10-25,101992.5041938775,61686.844193877514,6
2024-10-28,101823.00419387751,61686.844193877514,6
2024-10-29,101107.36467210253,75186.23467210252,4
2024-10-30,100736.73467210252,75186.23467210252,4
2024-10-31,100876.80467210253,75186.23467210252,4
2024-11-01,100995.80467210253,75186.23467210252,4
2024-11-04,100959.10467210252,75186.23467210252,4
2024-11-05,100910.49467210252,75186.23467210252,4
2024-11-06,100595.33559455253,67914.64559455252,5
2024-11-07,100580.62662639753,61165.95662639752,6
2024-11-08,100179.47662639752,61165.95662639752,6
2024-11-11,100727.42662639753,61165.95662639752,6
2024-11-12,100381.07662639752,61165.95662639752,6
2024-11-13,100508.35662639754,61165.95662639752,6
2024-11-14,100699.82662639752,61165.95662639752,6
2024-11-15,100861.91512924,62156.62512924002,6
2024-11-18,101054.42512924001,62156.62512924002,6
2024-11-19,100737.67512924001,62156.62512924002,6
2024-11-20,100722.72512924003,62156.62512924002,6
2024-11-21,100931.37512924001,62156.62512924002,6
2024-11-22,101131.30689099003,58411.27689099002,7
2024-11-25,101256.66689099002,58411.27689099002,7
2024-11-26,100851.32689099002,58411.27689099002,7
2024-11-27,100752.15689099002,58411.27689099002,7
2024-11-28,100912.05386705251,63310.62386705252,6
2024-11-29,100788.55386705251,63310.62386705252,6
2024-12-02,100794.86386705253,63310.62386705252,6
2024-12-03,101035.93386705252,63310.62386705252,6
2024-12-04,100844.63386705253,63310.62386705252,6
2024-12-05,101186.02081305251,67090.84081305252,5
2024-12-06,100982.52081305251,67090.84081305252,5
2024-12-09,101439.17081305252,67090.84081305252,5
2024-12-10,101266.69081305253,67090.84081305252,5
2024-12-11,101404.26081305252,67090.84081305252,5
2024-12-12,101831.47081305253,67090.84081305252,5
2024-12-13,101984.64081305252,67090.84081305252,5
2024-12-16,101796.44081305253,67090.84081305252,5
2024-12-17,101216.69526490252,74490.83526490252,4
2024-12-18,101217.30703555251,67968.51703555252,5
2024-12-19,101054.33703555251,67968.51703555252,5
2024-12-20,100987.60703555252,67968.51703555252,5
2024-12-23,101100.83703555251,67968.51703555252,5
2024-12-24,101257.96703555252,67968.51703555252,5
2024-12-27,101440.58703555251,67968.51703555252,5
2024-12-30,101303.85655005253,61206.16655005252,6
2024-12-31,101626.66222635252,45284.36222635252,9
2025-01-02,102254.02222635252,45284.36222635252,9
2025-01-03,101611.76222635251,45284.36222635252,9
2025-01-06,102043.20052297751,37710.67052297752,11
2025-01-07,101847.30052297752,37710.67052297752,11
2025-01-08,101521.2605229775,37710.67052297752,11
2025-01-09,101841.9105229775,37710.67052297752,11
2025-01-10,100920.95052297751,37710.67052297752,11
2025-01-13,100986.12217555502,45553.132175555016,10
2025-01-14,100959.79217555502,45553.132175555016,10
2025-01-15,102317.39217555503,45553.132175555016,10
2025-01-16,102815.86217555501,45553.132175555016,10
2025-01-17,103949.55217555501,45553.132175555016,10
2025-01-20,104248.99986668001,54308.86986668002,8
2025-01-21,104485.41986668002,54308.86986668002,8
2025-01-22,104117.01986668003,54308.86986668002,8
2025-01-23,104303.63986668002,54308.86986668002,8
2025-01-24,104274.17986668002,54308.86986668002,8
2025-01-27,104215.16986668001,54308.86986668002,8
2025-01-28,104166.63742026502,61875.63742026502,7
2025-01-29,104103.73742026501,61875.63742026502,7
2025-01-30,104411.678397865,67380.52839786501,6
2025-01-31,104397.62839786502,67380.52839786501,6
2025-02-03,104148.878397865,67380.52839786501,6
2025-02-04,103615.870025365,73884.02002536501,5
2025-02-05,103820.52002536501,73884.02002536501,5
2025-02-06,104038.070025365,73884.02002536501,5
2025-02-07,103865.52002536501,73884.02002536501,5
2025-02-10,103826.320025365,73884.02002536501,5
2025-02-11,103487.72002536501,73884.02002536501,5
2025-02-12,103160.07002536501,73884.02002536501,5
2025-02-13,103218.0223750525,78278.37237505251,4
2025-02-14,103159.6723750525,78278.37237505251,4
2025-02-17,103055.47237505252,78278.37237505251,4
2025-02-18,103103.92237505251,78278.37237505251,4
2025-02-19,102612.47237505252,78278.37237505251,4
2025-02-20,102640.82237505252,78278.37237505251,4
2025-02-21,102777.2223750525,78278.37237505251,4
2025-02-24,102929.5223750525,78278.37237505251,4
2025-02-25,102961.0723750525,78278.37237505251,4
2025-02-26,103012.27237505252,78278.37237505251,4
2025-02-27,102672.62237505251,78278.37237505251,4
2025-02-28,102883.92237505251,78278.37237505251,4
2025-03-03,102845.9172990525,70568.36729905251,5
2025-03-04,102764.18222505251,63590.73222505251,6
2025-03-05,102543.09865885251,70119.39865885251,5
2025-03-06,102620.59865885251,70119.39865885251,5
2025-03-07,102613.09865885251,70119.39865885251,5
2025-03-10,102746.14865885251,70119.39865885251,5
2025-03-11,102198.34865885251,70119.39865885251,5
2025-03-12,102139.04865885251,70119.39865885251,5
2025-03-13,102199.69865885252,70119.39865885251,5
2025-03-14,102671.64865885251,70119.39865885251,5
2025-03-17,102894.79865885251,70119.39865885251,5
2025-03-18,102884.69865885252,70119.39865885251,5
2025-03-19,102715.69865885252,70119.39865885251,5
2025-03-20,102985.39865885251,70119.39865885251,5
2025-03-21,102833.29865885251,70119.39865885251,5
2025-03-24,102535.72904390252,63236.52904390251,6
2025-03-25,102641.12904390252,63236.52904390251,6
2025-03-26,102738.72904390251,63236.52904390251,6
2025-03-27,102489.87904390252,63236.52904390251,6
2025-03-28,102459.17904390252,63236.52904390251,6
2025-03-31,102031.12904390252,63236.52904390251,6
