date,equity,cash,positions
2024-07-01,99946.551514,91042.551514,1
2024-07-02,99874.188190125,83607.688190125,2
2024-07-03,100075.688190125,83607.688190125,2
2024-07-04,100162.188190125,83607.688190125,2
2024-07-05,100014.188190125,83607.688190125,2
2024-07-08,100019.188190125,83607.688190125,2
2024-07-09,99875.867427625,76012.367427625,3
2024-07-10,100004.867427625,76012.367427625,3
2024-07-11,100135.367427625,76012.367427625,3
2024-07-12,100091.867427625,76012.367427625,3
2024-07-15,99919.367427625,76012.367427625,3
2024-07-16,99955.867427625,76012.367427625,3
2024-07-17,100042.367427625,76012.367427625,3
2024-07-18,100179.867427625,76012.367427625,3
2024-07-19,99986.367427625,76012.367427625,3
2024-07-22,100092.367427625,76012.367427625,3
2024-07-23,99845.619472955,58206.23947295499,6
2024-07-24,99935.499472955,58206.23947295499,6
2024-07-25,100188.279472955,58206.23947295499,6
2024-07-26,101009.369472955,58206.23947295499,6
2024-07-29,100749.819472955,58206.23947295499,6
2024-07-30,99926.019472955,58206.23947295499,6
2024-07-31,100381.459472955,58206.23947295499,6
2024-08-01,99985.459472955,58206.23947295499,6
2024-08-02,99655.719472955,58206.23947295499,6
2024-08-05,99064.159472955,58206.23947295499,6
2024-08-06,98976.499472955,58206.23947295499,6
2024-08-07,99510.939472955,58206.23947295499,6
2024-08-08,99623.749472955,58206.23947295499,6
2024-08-09,99693.799472955,58206.23947295499,6
2024-08-12,100106.91947295499,58206.23947295499,6
2024-08-13,100307.259472955,58206.23947295499,6
2024-08-14,100373.239472955,58206.23947295499,6
2024-08-15,100555.599472955,58206.23947295499,6
2024-08-16,100263.849472955,58206.23947295499,6
2024-08-19,100620.089472955,58206.23947295499,6
2024-08-20,100171.489472955,58206.23947295499,6
2024-08-21,100552.089472955,58206.23947295499,6
2024-08-22,100331.499472955,58206.23947295499,6
2024-08-23,100518.539472955,58206.23947295499,6
2024-08-27,100765.91149545499,66288.151495455,5
2024-08-28,100655.751495455,66288.151495455,5
2024-08-29,100721.701495455,66288.151495455,5
2024-08-30,100499.861495455,66288.151495455,5
2024-09-02,100167.41149545499,66288.151495455,5
2024-09-03,99399.69149545499,66288.151495455,5
2024-09-04,99263.19149545499,66288.151495455,5
2024-09-05,99106.03998525,61243.42998525,6
2024-09-06,98353.79998524999,61243.42998525,6
2024-09-09,98664.59998525,61243.42998525,6
2024-09-10,98385.51998525,61243.42998525,6
2024-09-11,98480.16998524999,61243.42998525,6
2024-09-12,99328.79998524999,61243.42998525,6
2024-09-13,99570.39998525,61243.42998525,6
2024-09-16,99524.32998524999,61243.42998525,6
2024-09-17,99458.50998525,61243.42998525,6
2024-09-18,99272.04998525,61243.42998525,6
2024-09-19,100177.71998524999,61243.42998525,6
2024-09-20,99326.98998525001,61243.42998525,6
2024-09-23,99587.45998525,61243.42998525,6
2024-09-24,100422.698358625,56624.368358625,7
2024-09-25,100406.87835862499,56624.368358625,7
2024-09-26,101172.0880094875,69015.4180094875,5
2024-09-27,101386.223860925,75414.763860925,4
2024-09-30,101159.183860925,75414.763860925,4
2024-10-01,101566.903860925,75414.763860925,4
2024-10-02,101749.143860925,75414.763860925,4
2024-10-03,101704.201098925,70014.541098925,5
2024-10-04,101652.981098925,70014.541098925,5
2024-10-07,101840.321098925,70014.541098925,5
2024-10-08,101429.041098925,70014.541098925,5
2024-10-09,101617.041098925,70014.541098925,5
2024-10-10,101369.66109892499,70014.541098925,5
2024-10-11,101401.72109892499,70014.541098925,5
2024-10-14,101716.341098925,70014.541098925,5
2024-10-15,101587.901098925,70014.541098925,5
2024-10-16,101822.321098925,70014.541098925,5
2024-10-17,102164.701098925,70014.541098925,5
2024-10-18,101889.141098925,70014.541098925,5
2024-10-21,101798.88109892499,70014.541098925,5
2024-10-22,101908.201098925,70014.541098925,5
2024-10-23,101620.981098925,70014.541098925,5
2024-10-24,101480.841098925,70014.541098925,5
2024-10-25,101384.38109892499,70014.541098925,5
2024-10-28,101366.181098925,70014.541098925,5
2024-10-29,101023.46109892499,70014.541098925,5
2024-10-30,100615.541098925,70014.541098925,5
2024-10-31,100551.421098925,70014.541098925,5
2024-11-01,100775.921098925,70014.541098925,5
2024-11-04,100558.621098925,70014.541098925,5
2024-11-05,100766.88109892499,70014.541098925,5
2024-11-06,100972.701098925,70014.541098925,5
2024-11-07,101333.76257083,63046.38257082999,6
2024-11-08,100994.16257083,63046.38257082999,6
2024-11-11,101401.86257083,63046.38257082999,6
2024-11-12,101115.66257083,63046.38257082999,6
2024-11-13,100949.78257083,63046.38257082999,6
2024-11-14,100979.56257083,63046.38257082999,6
2024-11-15,100897.92107367249,64037.05107367249,6
2024-11-18,101073.95107367248,64037.05107367249,6
2024-11-19,101031.74107367247,64037.05107367249,6
2024-11-20,100867.52107367248,64037.05107367249,6
2024-11-21,101091.26107367247,64037.05107367249,6
2024-11-22,101484.85107367247,64037.05107367249,6
2024-11-25,101223.56107367248,64037.05107367249,6
2024-11-26,100900.03107367248,64037.05107367249,6
2024-11-27,100781.62107367249,64037.05107367249,6
2024-11-28,100831.018049735,68936.39804973498,5
2024-11-29,100301.61804973499,68936.39804973498,5
2024-12-02,100497.25804973498,68936.39804973498,5
2024-12-03,100653.53804973498,68936.39804973498,5
2024-12-04,100553.53804973498,68936.39804973498,5
2024-12-05,100691.61804973497,68936.39804973498,5
2024-12-06,100453.518049735,68936.39804973498,5
2024-12-09,100523.81804973498,68936.39804973498,5
2024-12-10,100327.19804973499,68936.39804973498,5
2024-12-11,100596.77804973499,68936.39804973498,5
2024-12-12,101023.41804973499,68936.39804973498,5
2024-12-13,101116.89804973498,68936.39804973498,5
2024-12-16,100938.79804973498,68936.39804973498,5
2024-12-17,100364.03804973498,68936.39804973498,5
2024-12-18,100385.63982038498,62414.079820384984,6
2024-12-19,100193.35982038498,62414.079820384984,6
2024-12-20,100069.03982038498,62414.079820384984,6
2024-12-23,100163.55982038498,62414.079820384984,6
2024-12-24,100303.57982038498,62414.079820384984,6
2024-12-27,100451.45982038497,62414.079820384984,6
2024-12-30,100251.71737372498,56192.71737372498,7
2024-12-31,100582.33053372499,46374.13053372499,9
2025-01-02,101112.88053372498,46374.13053372499,9
2025-01-03,100532.87053372498,46374.13053372499,9
2025-01-06,100909.55053372499,46374.13053372499,9
2025-01-07,100870.650533725,46374.13053372499,9
2025-01-08,100692.76053372498,46374.13053372499,9
2025-01-09,100871.070533725,46374.13053372499,9
2025-01-10,100096.81053372497,46374.13053372499,9
2025-01-13,99989.02830210997,51602.438302109986,8
2025-01-14,99925.47830210999,51602.438302109986,8
2025-01-15,100968.04830210998,51602.438302109986,8
2025-01-16,101502.80830210999,51602.438302109986,8
2025-01-17,102410.22830210997,51602.438302109986,8
2025-01-20,102613.98894498499,60165.368944984984,7
2025-01-21,102814.84894498499,60165.368944984984,7
2025-01-22,102506.36894498496,60165.368944984984,7
2025-01-23,102623.24894498498,60165.368944984984,7
2025-01-24,102681.10894498498,60165.368944984984,7
2025-01-27,102662.02894498498,60165.368944984984,7
2025-01-28,102628.08024014998,67978.21024014999,6
2025-01-29,102448.95024014999,67978.21024014999,6
2025-01-30,102731.63984554999,72794.98984555,5
2025-01-31,102701.64984555,72794.98984555,5
2025-02-03,102562.22984554998,72794.98984555,5
2025-02-04,102025.08984554998,72794.98984555,5
2025-02-05,102214.66984555,72794.98984555,5
2025-02-06,102404.13984554999,72794.98984555,5
2025-02-07,102388.26984554999,72794.98984555,5
2025-02-10,102400.11984554998,72794.98984555,5
2025-02-11,101935.37984555,72794.98984555,5
2025-02-12,101686.82984555,72794.98984555,5
2025-02-13,101790.83984555,72794.98984555,5
2025-02-14,101654.72984554998,72794.98984555,5
2025-02-17,101470.42984555,72794.98984555,5
2025-02-18,101577.39984554998,72794.98984555,5
2025-02-19,101074.86984555,72794.98984555,5
2025-02-20,101048.53984555,72794.98984555,5
2025-02-21,101307.53984554998,72794.98984555,5
2025-02-24,101650.53984555,72794.98984555,5
2025-02-25,101733.06984555,72794.98984555,5
2025-02-26,101767.92984555,72794.98984555,5
2025-02-27,101473.81984555,72794.98984555,5
2025-02-28,101752.29984554999,72794.98984555,5
2025-03-03,101761.69730754998,68939.98730754999,6
2025-03-04,101601.99135555,62372.80135554999,7
2025-03-05,101449.38135554998,62372.80135554999,7
2025-03-06,101485.20135555,62372.80135554999,7
2025-03-07,101772.35135555,62372.80135554999,7
2025-03-10,102195.00135554999,62372.80135554999,7
2025-03-11,101479.55135555,62372.80135554999,7
2025-03-12,101278.02135555,62372.80135554999,7
2025-03-13,101637.71135555,62372.80135554999,7
2025-03-14,102098.83135554999,62372.80135554999,7
2025-03-17,102451.97135554999,62372.80135554999,7
2025-03-18,102499.20135555,62372.80135554999,7
2025-03-19,102291.01135555,62372.80135554999,7
2025-03-20,102615.38135555,62372.80135554999,7
2025-03-21,102459.18135555,62372.80135554999,7
2025-03-24,101795.84313249998,56145.44313249999,8
2025-03-25,101862.82313249998,56145.44313249999,8
2025-03-26,102108.94313249999,56145.44313249999,8
2025-03-27,101877.27313249999,56145.44313249999,8
2025-03-28,102111.97313249999,56145.44313249999,8
2025-03-31,101717.0431325,56145.44313249999,8
2025-04-01,101724.59313249998,56145.44313249999,8
2025-04-02,101493.65313249998,56145.44313249999,8
2025-04-03,101402.02313249998,56145.44313249999,8
2025-04-04,99576.40313249998,56145.44313249999,8
2025-04-07,97554.08616862248,42059.98616862249,11
2025-04-08,98557.08616862251,42059.98616862249,11
