date,equity,cash,positions
2024-07-01,99575.20261039252,28808.072610392504,13
2024-07-02,99284.5606751525,25963.740675152505,14
2024-07-03,99923.8906751525,25963.740675152505,14
2024-07-04,100551.7306751525,25963.740675152505,14
2024-07-05,100268.4106751525,25963.740675152505,14
2024-07-08,100074.66067515251,25963.740675152505,14
2024-07-09,99466.89067515249,25963.740675152505,14
2024-07-10,100022.79067515249,25963.740675152505,14
2024-07-11,100129.66067515251,25963.740675152505,14
2024-07-12,100122.1306751525,25963.740675152505,14
2024-07-15,99360.2606751525,25963.740675152505,14
2024-07-16,98866.88067515251,25963.740675152505,14
2024-07-17,99135.53067515249,25963.740675152505,14
2024-07-18,99590.36067515251,25963.740675152505,14
2024-07-19,98999.4906751525,25963.740675152505,14
2024-07-22,99223.39067515249,25963.740675152505,14
2024-07-23,98615.58067515251,25963.740675152505,14
2024-07-24,98709.7706751525,25963.740675152505,14
2024-07-25,99436.3723811775,23441.792381177504,15
2024-07-26,100488.13238117751,23441.792381177504,15
2024-07-29,100525.22238117752,23441.792381177504,15
2024-07-30,99730.32238117752,23441.792381177504,15
2024-07-31,100589.6323811775,23441.792381177504,15
2024-08-01,99340.7123811775,23441.792381177504,15
2024-08-02,98303.54238117753,23441.792381177504,15
2024-08-05,96667.25238117749,23441.792381177504,15
2024-08-06,96803.8523811775,23441.792381177504,15
2024-08-07,98245.99238117751,23441.792381177504,15
2024-08-08,98264.95238117751,23441.792381177504,15
2024-08-09,98423.2723811775,23441.792381177504,15
2024-08-12,98961.3723811775,23441.792381177504,15
2024-08-13,99118.99238117751,23441.792381177504,15
2024-08-14,99483.3623811775,23441.792381177504,15
2024-08-15,100044.78238117752,23441.792381177504,15
2024-08-16,99766.1623811775,23441.792381177504,15
2024-08-19,100252.8823811775,23441.792381177504,15
2024-08-20,99322.1323811775,23441.792381177504,15
2024-08-21,99643.08238117749,23441.792381177504,15
2024-08-22,99445.28238117749,23441.792381177504,15
2024-08-23,99928.8623811775,23441.792381177504,15
2024-08-27,100275.34238117751,23441.792381177504,15
2024-08-28,100150.30238117749,23441.792381177504,15
2024-08-29,100291.71238117752,23441.792381177504,15
2024-08-30,100174.91238117749,23441.792381177504,15
2024-09-02,99968.0823811775,23441.792381177504,15
2024-09-03,98887.62238117753,23441.792381177504,15
2024-09-04,98854.8223811775,23441.792381177504,15
2024-09-05,98927.84238117751,23441.792381177504,15
2024-09-06,97887.72238117753,23441.792381177504,15
2024-09-09,98499.41238117749,23441.792381177504,15
2024-09-10,97813.68238117748,23441.792381177504,15
2024-09-11,98007.2623811775,23441.792381177504,15
2024-09-12,98776.0823811775,23441.792381177504,15
2024-09-13,99194.22238117749,23441.792381177504,15
2024-09-16,99228.8423811775,23441.792381177504,15
2024-09-17,99080.2923811775,23441.792381177504,15
2024-09-18,98736.6223811775,23441.792381177504,15
2024-09-19,99385.12238117751,23441.792381177504,15
2024-09-20,98195.3323811775,23441.792381177504,15
2024-09-23,98612.6723811775,23441.792381177504,15
2024-09-24,99606.9223811775,23441.792381177504,15
2024-09-25,99235.10238117751,23441.792381177504,15
2024-09-26,99744.1423811775,23441.792381177504,15
2024-09-27,100183.8123811775,23441.792381177504,15
2024-09-30,99608.1523811775,23441.792381177504,15
2024-10-01,100188.8123811775,23441.792381177504,15
2024-10-02,100466.8223811775,23441.792381177504,15
2024-10-03,100088.6423811775,23441.792381177504,15
2024-10-04,100422.6923811775,23441.792381177504,15
2024-10-07,100888.50238117749,23441.792381177504,15
2024-10-08,98973.10238117751,23441.792381177504,15
2024-10-09,99536.50238117749,23441.792381177504,15
2024-10-10,99316.3823811775,23441.792381177504,15
2024-10-11,99300.0623811775,23441.792381177504,15
2024-10-14,99645.5623811775,23441.792381177504,15
2024-10-15,98760.8523811775,23441.792381177504,15
2024-10-16,99516.67238117753,23441.792381177504,15
2024-10-17,100201.68238117752,23441.792381177504,15
2024-10-18,100198.64238117752,23441.792381177504,15
2024-10-21,99823.9523811775,23441.792381177504,15
2024-10-22,100080.2823811775,23441.792381177504,15
2024-10-23,99326.2223811775,23441.792381177504,15
2024-10-24,99592.99238117752,23441.792381177504,15
2024-10-25,99252.47238117749,23441.792381177504,15
2024-10-28,99339.98238117751,23441.792381177504,15
2024-10-29,98609.3923811775,23441.792381177504,15
2024-10-30,97727.9623811775,23441.792381177504,15
2024-10-31,97598.63238117751,23441.792381177504,15
2024-11-01,98077.51238117751,23441.792381177504,15
2024-11-04,98048.1223811775,23441.792381177504,15
2024-11-05,98585.59238117751,23441.792381177504,15
2024-11-06,98914.7023811775,23441.792381177504,15
2024-11-07,99514.29238117748,23441.792381177504,15
2024-11-08,98084.6523811775,23441.792381177504,15
2024-11-11,98397.01238117748,23441.792381177504,15
2024-11-12,96973.82238117751,23441.792381177504,15
2024-11-13,96968.33238117752,23441.792381177504,15
2024-11-14,97299.9323811775,23441.792381177504,15
2024-11-15,97713.5723811775,23441.792381177504,15
2024-11-18,98313.8123811775,23441.792381177504,15
2024-11-19,98117.6723811775,23441.792381177504,15
2024-11-20,98238.8623811775,23441.792381177504,15
2024-11-21,98542.60238117751,23441.792381177504,15
2024-11-22,99093.50238117749,23441.792381177504,15
2024-11-25,99282.0923811775,23441.792381177504,15
2024-11-26,98707.27238117749,23441.792381177504,15
2024-11-27,98751.9423811775,23441.792381177504,15
2024-11-28,98930.54238117751,23441.792381177504,15
2024-11-29,98930.5623811775,23441.792381177504,15
2024-12-02,99324.51238117751,23441.792381177504,15
2024-12-03,99511.58238117752,23441.792381177504,15
2024-12-04,98999.21238117752,23441.792381177504,15
2024-12-05,99253.0823811775,23441.792381177504,15
2024-12-06,98764.0823811775,23441.792381177504,15
2024-12-09,99648.5123811775,23441.792381177504,15
2024-12-10,99088.06238117751,23441.792381177504,15
2024-12-11,99494.2823811775,23441.792381177504,15
2024-12-12,99633.5723811775,23441.792381177504,15
2024-12-13,99366.9923811775,23441.792381177504,15
2024-12-16,98779.1423811775,23441.792381177504,15
2024-12-17,97969.1823811775,23441.792381177504,15
2024-12-18,98042.63238117751,23441.792381177504,15
2024-12-19,97082.9123811775,23441.792381177504,15
2024-12-20,96814.58238117749,23441.792381177504,15
2024-12-23,96972.9323811775,23441.792381177504,15
2024-12-24,97441.23238117751,23441.792381177504,15
2024-12-27,97505.4123811775,23441.792381177504,15
2024-12-30,97270.3023811775,23441.792381177504,15
2024-12-31,97853.48238117751,23441.792381177504,15
2025-01-02,98680.7623811775,23441.792381177504,15
2025-01-03,98243.69238117752,23441.792381177504,15
2025-01-06,98867.57238117751,23441.792381177504,15
2025-01-07,98699.34238117751,23441.792381177504,15
2025-01-08,98766.6223811775,23441.792381177504,15
2025-01-09,99337.01238117751,23441.792381177504,15
2025-01-10,98526.7523811775,23441.792381177504,15
2025-01-13,98538.2523811775,23441.792381177504,15
2025-01-14,98353.2223811775,23441.792381177504,15
2025-01-15,99220.9523811775,23441.792381177504,15
2025-01-16,99923.82238117751,23441.792381177504,15
2025-01-17,101343.5623811775,23441.792381177504,15
2025-01-20,101775.22238117752,23441.792381177504,15
2025-01-21,101864.7123811775,23441.792381177504,15
2025-01-22,101556.59238117751,23441.792381177504,15
2025-01-23,101814.73238117751,23441.792381177504,15
2025-01-24,101400.9223811775,23441.792381177504,15
2025-01-27,101170.83238117749,23441.792381177504,15
2025-01-28,101237.1923811775,23441.792381177504,15
2025-01-29,100930.15238117751,23441.792381177504,15
2025-01-30,101573.23238117751,23441.792381177504,15
2025-01-31,101687.1123811775,23441.792381177504,15
2025-02-03,100984.25238117752,23441.792381177504,15
2025-02-04,100862.96238117751,23441.792381177504,15
2025-02-05,101280.5923811775,23441.792381177504,15
2025-02-06,102412.81238117751,23441.792381177504,15
2025-02-07,102511.55238117749,23441.792381177504,15
2025-02-10,103348.1323811775,23441.792381177504,15
2025-02-11,103133.9423811775,23441.792381177504,15
2025-02-12,103386.23238117751,23441.792381177504,15
2025-02-13,102754.4423811775,23441.792381177504,15
2025-02-14,102592.98238117751,23441.792381177504,15
2025-02-17,103130.03238117752,23441.792381177504,15
2025-02-18,103143.4923811775,23441.792381177504,15
2025-02-19,102302.74238117751,23441.792381177504,15
2025-02-20,101990.74238117751,23441.792381177504,15
2025-02-21,101844.51238117751,23441.792381177504,15
2025-02-24,102223.8823811775,23441.792381177504,15
2025-02-25,102564.44238117752,23441.792381177504,15
2025-02-26,103451.7723811775,23441.792381177504,15
2025-02-27,103366.32238117752,23441.792381177504,15
2025-02-28,103953.1923811775,23441.792381177504,15
2025-03-03,105581.37238117751,23441.792381177504,15
2025-03-04,104201.1923811775,23441.792381177504,15
2025-03-05,105096.6023811775,23441.792381177504,15
2025-03-06,105255.3923811775,23441.792381177504,15
2025-03-07,104542.0323811775,23441.792381177504,15
2025-03-10,103887.7323811775,23441.792381177504,15
2025-03-11,102987.33238117749,23441.792381177504,15
2025-03-12,103359.24238117751,23441.792381177504,15
2025-03-13,103653.48238117751,23441.792381177504,15
2025-03-14,104673.98238117751,23441.792381177504,15
2025-03-17,105006.65238117748,23441.792381177504,15
2025-03-18,105517.2723811775,23441.792381177504,15
2025-03-19,105529.58238117749,23441.792381177504,15
2025-03-20,105366.7823811775,23441.792381177504,15
2025-03-21,104517.8223811775,23441.792381177504,15
2025-03-24,104577.85238117752,23441.792381177504,15
2025-03-25,105035.91238117752,23441.792381177504,15
2025-03-26,105400.88238117751,23441.792381177504,15
2025-03-27,104893.3323811775,23441.792381177504,15
2025-03-28,104323.2823811775,23441.792381177504,15
