date,equity,cash,positions
2024-07-01,99574.16533519249,28634.2353351925,13
2024-07-02,99166.3741643725,21211.4641643725,16
2024-07-03,99782.10122145,42658.31122145,10
2024-07-04,100060.23547278748,36233.1954727875,12
2024-07-05,99666.03693650747,24155.206936507497,16
2024-07-08,99580.72183300747,27737.6218330075,15
2024-07-09,99074.91233260749,25579.1423326075,16
2024-07-10,99599.0476740775,30460.1376740775,14
2024-07-11,99665.1722314075,30039.372231407502,14
2024-07-12,99682.29917163249,24749.7091716325,16
2024-07-15,99071.22917163251,24749.7091716325,16
2024-07-16,98726.94917163248,24749.7091716325,16
2024-07-17,98914.679262385,42678.15926238501,12
2024-07-18,98991.28502764499,35873.53502764501,14
2024-07-19,98453.71222911503,27357.802229115012,17
2024-07-22,98694.72405411501,34650.50405411501,15
2024-07-23,98134.62422486502,31786.41422486501,16
2024-07-24,98114.684224865,31786.41422486501,16
2024-07-25,98757.35435392753,57277.154353927515,10
2024-07-26,98996.67965081752,44407.03965081752,13
2024-07-29,99090.85726471253,31910.877264712515,16
2024-07-30,98526.34696051254,29165.696960512516,17
2024-07-31,99107.48247805751,51933.092478057515,11
2024-08-01,98349.49667749749,33319.24667749751,16
2024-08-02,97458.90653949753,36624.39653949751,15
2024-08-05,96095.06128129752,30603.67128129751,17
2024-08-06,96271.1012812975,30603.67128129751,17
2024-08-07,97575.43425246002,74240.14425246001,6
2024-08-08,97334.32482371,41244.00482371003,11
2024-08-09,97282.38865097503,29196.578650975032,15
2024-08-12,97724.64674027504,40149.73674027504,14
2024-08-13,97711.37965351254,29230.75965351254,17
2024-08-14,98046.21817163753,33299.18817163754,16
2024-08-15,98346.26806979004,48118.34806979005,12
2024-08-16,98044.35106544005,27411.391065440057,18
2024-08-19,98476.18000137756,38144.40000137756,15
2024-08-20,97646.17785104006,32638.69785104006,17
2024-08-21,97775.89743646506,37775.25743646506,15
2024-08-22,97742.79708651506,36439.29708651506,16
2024-08-23,98104.88341224006,43086.73341224006,14
2024-08-27,98267.27685226507,31687.816852265063,17
2024-08-28,98122.98168901505,39027.47168901507,15
2024-08-29,98183.56217301507,35135.342173015066,16
2024-08-30,98188.42217301507,35135.342173015066,16
2024-09-02,98129.47273547007,36169.222735470066,16
2024-09-03,97508.02683641507,32591.856836415067,17
2024-09-04,97479.72683641507,32591.856836415067,17
2024-09-05,97593.29323026507,39760.08323026507,15
2024-09-06,96941.96679465256,32906.23679465257,17
2024-09-09,97519.35219663757,46260.81219663757,13
2024-09-10,96948.70636898758,35934.59636898757,16
2024-09-11,97067.84835525257,39940.51835525257,15
2024-09-12,97386.4489025501,57862.98890255008,8
2024-09-13,97385.2116764501,41464.74167645009,12
2024-09-16,97464.1521039701,28770.7421039701,16
2024-09-17,97410.1971906751,38571.2871906751,13
2024-09-18,97061.46845135759,27845.7184513576,17
2024-09-19,97323.2088182376,59361.6988182376,8
2024-09-20,96946.5254420501,26483.265442050102,17
2024-09-23,97272.4514811501,36229.911481150106,14
2024-09-24,97626.8031230801,47886.98312308011,12
2024-09-25,97348.66141217762,29357.911412177604,17
2024-09-26,97496.19404317759,55855.39404317759,10
2024-09-27,97462.03369235007,31175.523692350096,16
2024-09-30,96870.80735160007,28124.317351600097,17
2024-10-01,97212.92119655511,42769.4811965551,13
2024-10-02,97089.5032294301,38176.28322943009,14
2024-10-03,96756.0239119601,31992.4339119601,16
2024-10-04,97047.0834327351,41099.95343273511,14
2024-10-07,97232.0433451351,34372.3233451351,15
2024-10-08,96030.22995457261,28925.0699545726,17
2024-10-09,96520.18954241261,32712.6395424126,16
2024-10-10,96392.7088907726,32191.618890772595,16
2024-10-11,96410.86493002258,33926.13493002259,16
2024-10-14,96650.14597294759,36860.14597294759,15
2024-10-15,96112.93180869758,33547.82180869759,16
2024-10-16,96668.0904372226,45254.39043722259,14
2024-10-17,97062.01659431758,43488.73659431759,13
2024-10-18,96879.9445316876,31910.444531687597,16
2024-10-21,96492.74206061261,30034.7720606126,17
2024-10-22,96560.7368532126,32096.316853212596,17
2024-10-23,95874.7495244626,29415.319524462597,18
2024-10-24,96355.34260957009,43461.6926095701,15
2024-10-25,95930.86678544509,42311.8667854451,15
2024-10-28,95929.03264657008,38237.0526465701,16
2024-10-29,95329.60151712009,42514.971517120095,15
2024-10-30,94827.09791479509,42847.6379147951,15
2024-10-31,94691.30996384259,43270.1099638426,14
2024-11-01,95036.03156769511,43631.3015676951,13
2024-11-04,95072.0295637151,35378.99956371511,15
2024-11-05,95408.4602091701,45230.96020917011,13
2024-11-06,95567.07124254011,43675.94124254011,13
2024-11-07,95687.63496779012,38417.14496779011,14
2024-11-08,94993.41028440763,35804.62028440761,15
2024-11-11,95359.27546868261,46456.58546868261,12
2024-11-12,94465.0894238676,28134.599423867614,17
2024-11-13,94507.4815513426,29551.731551342615,17
2024-11-14,94754.71743633511,41101.30743633512,13
2024-11-15,94812.27259818761,47026.912598187635,11
2024-11-18,95115.16660544262,34969.536605442634,14
2024-11-19,94833.22918577514,31100.939185775133,16
2024-11-20,94874.93761702265,30768.037617022634,16
2024-11-21,95027.34321330262,45481.26321330262,12
2024-11-22,95284.23495179512,45013.284951795125,12
2024-11-25,95428.42708296263,36328.88708296263,14
2024-11-26,94964.18624850015,27280.546248500126,17
2024-11-27,94990.95033272513,31213.510332725127,16
2024-11-28,95085.27103085011,31340.781030850125,16
2024-11-29,94997.54158507012,35579.53158507012,15
2024-12-02,95188.7245087826,30027.75450878262,17
2024-12-03,95442.4002532901,45110.690253290115,13
2024-12-04,95211.96541563515,31824.995415635123,17
2024-12-05,95457.89757756764,46972.947577567626,13
2024-12-06,94966.59125751263,30072.08125751262,18
2024-12-09,95614.14780986513,53897.64780986513,11
2024-12-10,95264.82504608264,31295.955046082625,17
2024-12-11,95481.67706877764,42495.52706877763,14
2024-12-12,95563.05211825513,40388.95211825513,15
2024-12-13,95401.02202563013,34136.14202563013,17
2024-12-16,94988.94202563014,34136.14202563013,17
2024-12-17,94389.65202563014,34136.14202563013,17
2024-12-18,94464.98577748013,38738.93577748013,16
2024-12-19,93763.85225735515,34890.47225735513,17
2024-12-20,93564.94225735511,34890.47225735513,17
2024-12-23,93687.80479695513,38645.11479695513,16
2024-12-24,93947.64457509512,43170.054575095135,14
2024-12-27,94089.90860244264,35259.69860244264,16
2024-12-30,93901.16768894263,32730.607688942637,17
2024-12-31,94383.51289832265,43637.212898322636,14
2025-01-02,94765.96740319015,42907.18740319014,13
2025-01-03,94174.99790574265,30411.737905742644,17
2025-01-06,94488.24154303265,46219.38154303265,13
2025-01-07,94421.69825197516,30229.038251975155,18
2025-01-08,94436.76975760017,46235.51975760016,14
2025-01-09,94625.11665076266,35975.366650762655,16
2025-01-10,93943.24390415265,33595.12390415266,17
2025-01-13,93951.96839102016,41414.76839102015,15
2025-01-14,93713.68419442016,37125.39419442016,16
2025-01-15,94385.64305340017,57526.31305340016,10
2025-01-16,94501.00326213017,40924.81326213017,12
2025-01-17,95355.08515398017,42803.64515398017,11
2025-01-20,95387.89813928267,29021.51813928267,16
2025-01-21,95769.49214153268,41018.51214153267,14
2025-01-22,95415.16968978268,33536.869689782674,16
2025-01-23,95616.32530634517,40995.65530634517,15
2025-01-24,95152.17494979517,39369.32494979518,15
2025-01-27,95169.59544222518,46047.40544222517,13
2025-01-28,95251.03375068019,39148.323750680174,15
2025-01-29,95135.06293273017,44197.902932730176,13
2025-01-30,95468.80697845771,39321.44697845768,13
2025-01-31,95521.45971445768,32680.25971445768,15
2025-02-03,94913.82474022519,32303.274740225177,16
2025-02-04,95052.48656800017,29094.226568000176,17
2025-02-05,95478.39196245016,41859.25196245018,14
2025-02-06,96171.76944771517,49279.11944771517,10
2025-02-07,95980.76272278017,24152.852722780175,17
2025-02-10,96621.14773235517,37377.91773235517,14
2025-02-11,96507.42609232766,31912.456092327673,15
2025-02-12,96610.49914700269,32517.509147002682,15
2025-02-13,95726.48239249267,32962.04239249268,15
2025-02-14,95618.45540979267,34372.615409792685,15
2025-02-17,95638.4083926427,36618.58839264269,14
