date,equity
2024-07-02,100000.0
2024-07-02,99868.57158049077
2024-07-03,100234.32569361439
2024-07-04,100300.94868596963
2024-07-05,100295.49264891724
2024-07-08,100499.7253128361
2024-07-09,99943.88591898482
2024-07-10,100255.65201409587
2024-07-11,100767.13982308285
2024-07-12,100655.42335145494
2024-07-15,100296.57865281143
2024-07-16,100205.37082868406
2024-07-17,100204.77092785676
2024-07-18,100620.57379848551
2024-07-19,100055.01901709136
2024-07-22,100138.63917644015
2024-07-23,99672.97168544955
2024-07-24,99871.96935898544
2024-07-25,100514.1851521794
2024-07-26,102088.11264525348
2024-07-29,101705.81432567447
2024-07-30,100242.78817944996
2024-07-31,101180.17747770499
2024-08-01,100469.52436498566
2024-08-02,99931.34274457772
2024-08-05,98909.75446216988
2024-08-06,98731.5681714787
2024-08-07,99983.39554087531
2024-08-08,100106.52790313945
2024-08-09,100436.55822810197
2024-08-12,101261.29776283051
2024-08-13,101555.11711849226
2024-08-14,101790.9684881509
2024-08-15,102433.03239348873
2024-08-16,101943.46157779539
2024-08-19,102596.44803199437
2024-08-20,101640.12599006646
2024-08-21,102264.44271582468
2024-08-22,101900.9105803032
2024-08-23,102481.69748301216
2024-08-27,102898.63393043635
2024-08-28,102382.49482708874
2024-08-29,102622.17086457236
2024-08-30,102334.22088061844
2024-09-02,101662.04189794505
2024-09-03,100038.45646910845
2024-09-04,99892.07638979956
2024-09-05,99913.57926483422
2024-09-06,98734.5376096598
2024-09-09,99337.83952581909
2024-09-10,98482.74925895389
2024-09-11,98424.44080920437
2024-09-12,99693.05538311985
2024-09-13,100064.4929048449
2024-09-16,99932.43373352206
2024-09-17,100819.12498663146
2024-09-18,100420.33667090365
2024-09-19,101854.09539165148
2024-09-20,100678.27657243694
2024-09-23,100874.12226968164
2024-09-24,102202.49511764527
2024-09-25,101790.19236098415
2024-09-26,103230.96106044757
2024-09-27,103800.0726074132
2024-09-30,103085.53970390308
2024-10-01,103288.75487376981
2024-10-02,103276.18640535476
2024-10-03,103228.93420375919
2024-10-04,103805.21210445202
2024-10-07,104596.24235858223
2024-10-08,103211.54718818906
2024-10-09,103548.43391212345
2024-10-10,104029.80160965427
2024-10-11,103998.36799678081
2024-10-14,104032.88299927284
2024-10-15,103220.4029441703
2024-10-16,103800.88756651638
2024-10-17,104788.77280664931
2024-10-18,104085.031935678
2024-10-21,103928.58865878709
2024-10-22,104152.78828130072
2024-10-23,103453.02565616586
2024-10-24,103932.81210214847
2024-10-25,103677.74522904027
2024-10-28,103365.00630246359
2024-10-29,102046.39491092246
2024-10-30,101367.42580548186
2024-10-31,101623.25498807504
2024-11-01,101840.84713272212
2024-11-04,101773.67652878535
2024-11-05,101684.73387212314
2024-11-06,101108.30765670256
2024-11-07,101081.47364844533
2024-11-08,100349.7310103389
2024-11-11,101345.9906710096
2024-11-12,100713.47916894287
2024-11-13,100945.26675138409
2024-11-14,101294.30966951454
2024-11-15,101590.24916348318
2024-11-18,101942.19235679536
2024-11-19,101362.2166512581
2024-11-20,101334.91305994421
2024-11-21,101715.93011918003
2024-11-22,102081.6419993099
2024-11-25,102311.31798529891
2024-11-26,101567.93237885536
2024-11-27,101386.65243229181
2024-11-28,101678.70504440318
2024-11-29,101452.84032343466
2024-12-02,101464.36892909711
2024-12-03,101904.83529917034
2024-12-04,101554.62538349265
2024-12-05,102178.6306839638
2024-12-06,101805.6394916277
2024-12-09,102641.24944433193
2024-12-10,102324.47532296396
2024-12-11,102576.78347493036
2024-12-12,103361.16793302918
2024-12-13,103643.35946989185
2024-12-16,103296.20618684827
2024-12-17,102228.4205716109
2024-12-18,102229.54208057898
2024-12-19,101930.78107095024
2024-12-20,101808.61065159415
2024-12-23,102015.80239866982
2024-12-24,102303.58621946818
2024-12-27,102638.47810616024
2024-12-30,102387.3712802068
2024-12-31,102979.55468178848
2025-01-02,104133.41958910094
2025-01-03,102946.24206306151
2025-01-06,103739.61977103836
2025-01-07,103378.1350146592
2025-01-08,102777.4525654577
2025-01-09,103366.65812946748
2025-01-10,101670.01856153955
2025-01-13,101789.18797201743
2025-01-14,101741.01700904967
2025-01-15,104224.2299313273
2025-01-16,105145.85302137671
2025-01-17,107250.22079480447
2025-01-20,107811.00053193726
2025-01-21,108254.78417085788
2025-01-22,107561.9855427272
2025-01-23,107911.92354424979
2025-01-24,107856.60144782669
2025-01-27,107745.81376769654
2025-01-28,107654.73911383974
2025-01-29,107536.74753454077
2025-01-30,108114.11710991447
2025-01-31,108087.71092777971
2025-02-03,107620.25062996334
2025-02-04,106620.55156389059
2025-02-05,107002.77915167436
2025-02-06,107409.75315082655
2025-02-07,107086.41108920678
2025-02-10,107013.05354770854
2025-02-11,106379.60408838226
2025-02-12,105768.27465850276
2025-02-13,105876.12220882696
2025-02-14,105767.4849443845
2025-02-17,105573.57263173537
2025-02-18,105663.66195854085
2025-02-19,104749.49561025774
2025-02-20,104802.02472303745
2025-02-21,105054.81429007239
2025-02-24,105337.37662426925
2025-02-25,105395.98197260611
2025-02-26,105491.11171458453
2025-02-27,104859.78538414006
2025-02-28,105251.4813025914
2025-03-03,105180.9117056102
2025-03-04,105029.18792800646
2025-03-05,104619.05940298826
2025-03-06,104762.5757135043
2025-03-07,104748.6784880159
2025-03-10,104995.20057917466
2025-03-11,103979.13627586717
2025-03-12,103869.6267097134
2025-03-13,103981.57631849792
2025-03-14,104853.13736273423
2025-03-17,105266.77783358138
2025-03-18,105248.02293956096
2025-03-19,104934.22853900005
2025-03-20,105434.32819202676
2025-03-21,105151.68992248096
2025-03-24,104599.40094031346
2025-03-25,104794.56047128694
2025-03-26,104975.42873244743
2025-03-27,104513.91313802615
2025-03-28,104457.08981007447
2025-03-31,103664.99585201422
2025-04-01,103845.62958163797
2025-04-02,103717.17693526048
2025-04-03,102785.49068284873
2025-04-04,99943.2593606922
2025-04-07,96287.05717136947
2025-04-08,97443.56554920139
2025-04-09,95507.78428961674
2025-04-10,95969.57049156941
2025-04-11,96567.36082287459
2025-04-14,98147.52002978246
2025-04-15,98568.19724033556
2025-04-16,99039.09968853077
2025-04-17,99507.84934252188
2025-04-22,100433.49100043617
2025-04-23,101799.4191739733
2025-04-24,101801.70464722706
2025-04-25,101686.42421396592
2025-04-28,101801.28048822613
2025-04-29,102398.25081521519
2025-04-30,102518.87490558536
2025-05-01,102219.8431779576
2025-05-02,102713.3381562138
2025-05-06,103035.96534842407
2025-05-07,103009.30997305395
2025-05-08,103069.5073594657
2025-05-09,103771.65739466954
2025-05-12,104808.4523290422
2025-05-13,104531.79573855411
2025-05-14,104396.26821268184
2025-05-15,104334.23000138164
2025-05-16,104463.17217680816
2025-05-19,104044.9643427227
2025-05-20,104246.39847664832
2025-05-21,104007.18401993987
2025-05-22,103259.26799944864
2025-05-23,102800.91480356659
2025-05-27,102838.10108768985
2025-05-28,102527.52222279129
2025-05-29,102681.13334578852
2025-05-30,102659.38390531311
2025-06-02,102600.74858796153
2025-06-03,102609.55538933031
2025-06-04,102622.30739536011
2025-06-05,102234.8633164415
2025-06-06,102289.35953386285
2025-06-09,102613.20866675339
2025-06-10,102969.53552040331
2025-06-11,102653.49432121842
2025-06-12,103025.99578411467
2025-06-13,102947.4504039835
2025-06-16,103228.27836576276
2025-06-17,102979.81791605422
2025-06-18,103016.8490822861
2025-06-19,103017.89678317832
2025-06-20,102837.41569459588
2025-06-23,102577.53219600898
2025-06-24,102580.9994861898
2025-06-25,102121.83240272735
2025-06-26,103217.37055196908
2025-06-27,103664.1467554137
2025-06-30,103401.28617469194
2025-07-01,104296.15140096382
2025-07-02,105535.62530155167
2025-07-03,105168.77519986099
2025-07-04,105005.95069531591
2025-07-07,104775.92671639903
2025-07-08,105849.4258031582
2025-07-09,105442.92861732077
2025-07-10,107229.62091015365
2025-07-11,106615.6566503286
2025-07-14,106921.77222230259
2025-07-15,106291.87715961212
2025-07-16,106517.57521448247
2025-07-17,106648.89917815155
2025-07-18,106588.4059538057
2025-07-21,107049.32820735719
2025-07-22,107630.69720075506
2025-07-23,107917.15895957185
2025-07-24,108274.27954507634
2025-07-25,108036.27195817682
2025-07-28,107488.79853623937
2025-07-29,107250.36997569547
2025-07-30,107749.8818667391
2025-07-31,106249.10556551602
2025-08-01,105774.32947590499
2025-08-04,105668.35266714099
2025-08-05,105305.66494367692
2025-08-06,105088.95633738411
2025-08-07,105237.98644335679
2025-08-08,105488.42061613395
2025-08-11,105788.01045768458
2025-08-12,105986.13774452025
2025-08-13,106314.63566921897
2025-08-14,105663.642187187
2025-08-15,105852.92707366882
2025-08-18,105681.82585067482
2025-08-19,105719.87905982214
2025-08-20,106362.24816029977
2025-08-21,106980.62842037757
2025-08-22,106982.60975581016
2025-08-26,106707.85605989823
2025-08-27,106569.45231862935
2025-08-28,106583.63355786481
2025-08-29,106070.18603745666
2025-09-01,106383.060588412
2025-09-02,105639.97259513171
2025-09-03,106556.93500251722
2025-09-04,107043.74561018217
2025-09-05,107202.04775846594
2025-09-08,107246.55593562333
2025-09-09,108367.23715489273
2025-09-10,107986.34787798546
2025-09-11,109171.92635306265
2025-09-12,109370.23687164973
2025-09-15,109662.81477025918
