date,equity,cash,positions
2024-07-01,99946.551514,91042.551514,1
2024-07-02,99874.188190125,83607.688190125,2
2024-07-03,100075.688190125,83607.688190125,2
2024-07-04,100112.33174972501,75252.231749725,3
2024-07-05,100109.33174972501,75252.231749725,3
2024-07-08,100221.631749725,75252.231749725,3
2024-07-09,99916.27513972501,69175.97513972501,4
2024-07-10,100087.97513972501,69175.97513972501,4
2024-07-11,100369.27513972501,69175.97513972501,4
2024-07-12,100307.97513972501,69175.97513972501,4
2024-07-15,100110.97513972501,69175.97513972501,4
2024-07-16,100060.8230451125,62446.87304511251,5
2024-07-17,100060.49304511251,62446.87304511251,5
2024-07-18,100289.2230451125,62446.87304511251,5
2024-07-19,99978.69304511251,62446.87304511251,5
2024-07-22,100024.7230451125,62446.87304511251,5
2024-07-23,99768.48536121252,51441.60536121251,7
2024-07-24,99878.2153612125,51441.60536121251,7
2024-07-25,100232.024909515,46645.09490951501,8
2024-07-26,101096.64490951502,46645.09490951501,8
2024-07-29,100888.08762439003,55495.737624390014,7
2024-07-30,100088.60762439002,55495.737624390014,7
2024-07-31,100604.20762439002,55495.737624390014,7
2024-08-01,100214.94762439003,55495.737624390014,7
2024-08-02,99919.22236101501,60437.29236101502,6
2024-08-05,99356.51236101502,60437.29236101502,6
2024-08-06,99257.90872961502,54572.69872961502,7
2024-08-07,99951.19872961502,54572.69872961502,7
2024-08-08,100019.00872961502,54572.69872961502,7
2024-08-09,100200.65872961501,54572.69872961502,7
2024-08-12,100653.92872961501,54572.69872961502,7
2024-08-13,100814.81872961503,54572.69872961502,7
2024-08-14,100943.79872961502,54572.69872961502,7
2024-08-15,101294.55872961502,54572.69872961502,7
2024-08-16,101027.858729615,54572.69872961502,7
2024-08-19,101384.34872961503,54572.69872961502,7
2024-08-20,100863.74872961502,54572.69872961502,7
2024-08-21,101205.04872961502,54572.69872961502,7
2024-08-22,101006.858729615,54572.69872961502,7
2024-08-23,101323.99872961502,54572.69872961502,7
2024-08-27,101551.08834761502,61038.22834761502,6
2024-08-28,101270.47834761502,61038.22834761502,6
2024-08-29,101401.07834761501,61038.22834761502,6
2024-08-30,101244.33834761502,61038.22834761502,6
2024-09-02,100877.98834761501,61038.22834761502,6
2024-09-03,99990.4765443125,80965.07654431251,3
2024-09-04,99909.87654431252,80965.07654431251,3
2024-09-05,99921.724279005,73397.99427900501,4
2024-09-06,99272.15427900502,73397.99427900501,4
2024-09-09,99606.314279005,73397.99427900501,4
2024-09-10,99133.98427900502,73397.99427900501,4
2024-09-11,99101.65058679,67496.52058679001,5
2024-09-12,99805.32058679001,67496.52058679001,5
2024-09-13,100010.17058679,67496.52058679001,5
2024-09-16,99937.46058679001,67496.52058679001,5
2024-09-17,100425.95058679,67496.52058679001,5
2024-09-18,100207.12058679001,67496.52058679001,5
2024-09-19,100995.28058679,67496.52058679001,5
2024-09-20,100353.00058679,67496.52058679001,5
2024-09-23,100460.54058679001,67496.52058679001,5
2024-09-24,101189.32175129,61337.771751290005,6
2024-09-25,100964.44175129001,61337.771751290005,6
2024-09-26,101751.70175129,61337.771751290005,6
2024-09-27,102060.724545965,67310.494545965,5
2024-09-30,101673.694545965,67310.494545965,5
2024-10-01,101784.10962514252,74460.0496251425,4
2024-10-02,101777.28669844252,67097.3166984425,5
2024-10-03,101751.63393644252,61697.09393644251,6
2024-10-04,102064.55393644252,61697.09393644251,6
2024-10-07,102493.01393644251,61697.09393644251,6
2024-10-08,101745.54393644253,61697.09393644251,6
2024-10-09,101928.49393644251,61697.09393644251,6
2024-10-10,102189.52393644252,61697.09393644251,6
2024-10-11,102172.51393644253,61697.09393644251,6
2024-10-14,102191.1939364425,61697.09393644251,6
2024-10-15,101751.5339364425,61697.09393644251,6
2024-10-16,102066.76393644251,61697.09393644251,6
2024-10-17,102601.88393644252,61697.09393644251,6
2024-10-18,102222.29393644251,61697.09393644251,6
2024-10-21,102137.65393644251,61697.09393644251,6
2024-10-22,102259.03393644253,61697.09393644251,6
2024-10-23,101880.55393644252,61697.09393644251,6
2024-10-24,102140.8439364425,61697.09393644251,6
2024-10-25,102002.7539364425,61697.09393644251,6
2024-10-28,101833.25393644252,61697.09393644251,6
2024-10-29,101117.61441466752,75196.48441466752,4
2024-10-30,100746.98441466752,75196.48441466752,4
2024-10-31,100887.05441466751,75196.48441466752,4
2024-11-01,101006.05441466751,75196.48441466752,4
2024-11-04,100969.35441466751,75196.48441466752,4
2024-11-05,100920.74441466751,75196.48441466752,4
2024-11-06,100605.58533711752,67924.89533711752,5
2024-11-07,100590.8763689625,61176.206368962514,6
2024-11-08,100189.7263689625,61176.206368962514,6
2024-11-11,100737.67636896251,61176.206368962514,6
2024-11-12,100391.3263689625,61176.206368962514,6
2024-11-13,100518.60636896252,61176.206368962514,6
2024-11-14,100710.0763689625,61176.206368962514,6
2024-11-15,100872.16487180501,62166.87487180501,6
2024-11-18,101064.67487180502,62166.87487180501,6
2024-11-19,100747.92487180502,62166.87487180501,6
2024-11-20,100732.97487180504,62166.87487180501,6
2024-11-21,100941.62487180502,62166.87487180501,6
2024-11-22,101141.55663355501,58421.52663355501,7
2024-11-25,101266.91663355501,58421.52663355501,7
2024-11-26,100861.57663355501,58421.52663355501,7
2024-11-27,100762.40663355502,58421.52663355501,7
2024-11-28,100922.3036096175,63320.87360961751,6
2024-11-29,100798.8036096175,63320.87360961751,6
2024-12-02,100805.11360961752,63320.87360961751,6
2024-12-03,101046.18360961751,63320.87360961751,6
2024-12-04,100854.88360961752,63320.87360961751,6
2024-12-05,101196.2705556175,67101.09055561751,5
2024-12-06,100992.7705556175,67101.09055561751,5
2024-12-09,101449.42055561751,67101.09055561751,5
2024-12-10,101276.94055561752,67101.09055561751,5
2024-12-11,101414.51055561751,67101.09055561751,5
2024-12-12,101841.72055561752,67101.09055561751,5
2024-12-13,101994.89055561752,67101.09055561751,5
2024-12-16,101806.69055561752,67101.09055561751,5
2024-12-17,101226.94500746751,74501.08500746751,4
2024-12-18,101227.5567781175,67978.76677811751,5
2024-12-19,101064.5867781175,67978.76677811751,5
2024-12-20,100997.85677811751,67978.76677811751,5
2024-12-23,101111.0867781175,67978.76677811751,5
2024-12-24,101268.21677811751,67978.76677811751,5
2024-12-27,101450.8367781175,67978.76677811751,5
2024-12-30,101314.10629261751,61216.41629261751,6
2024-12-31,101636.91196891751,45294.61196891751,9
2025-01-02,102264.27196891751,45294.61196891751,9
2025-01-03,101622.01196891752,45294.61196891751,9
2025-01-06,102053.4502655425,37720.92026554251,11
2025-01-07,101857.55026554251,37720.92026554251,11
2025-01-08,101531.5102655425,37720.92026554251,11
2025-01-09,101852.1602655425,37720.92026554251,11
2025-01-10,100931.2002655425,37720.92026554251,11
2025-01-13,100996.37191812001,45563.38191812001,10
2025-01-14,100970.04191812001,45563.38191812001,10
2025-01-15,102327.64191812002,45563.38191812001,10
2025-01-16,102826.11191812,45563.38191812001,10
2025-01-17,103959.80191812,45563.38191812001,10
2025-01-20,104259.249609245,54319.11960924501,8
2025-01-21,104495.66960924501,54319.11960924501,8
2025-01-22,104127.26960924502,54319.11960924501,8
2025-01-23,104313.88960924502,54319.11960924501,8
2025-01-24,104284.42960924501,54319.11960924501,8
2025-01-27,104225.419609245,54319.11960924501,8
2025-01-28,104176.88716283001,61885.88716283001,7
2025-01-29,104113.98716283,61885.88716283001,7
2025-01-30,104421.92814043001,67390.77814043002,6
2025-01-31,104407.87814043002,67390.77814043002,6
2025-02-03,104159.12814043001,67390.77814043002,6
2025-02-04,103626.11976793001,73894.26976793002,5
2025-02-05,103830.76976793002,73894.26976793002,5
2025-02-06,104048.31976793,73894.26976793002,5
2025-02-07,103875.76976793002,73894.26976793002,5
2025-02-10,103836.56976793,73894.26976793002,5
2025-02-11,103497.96976793002,73894.26976793002,5
2025-02-12,103170.31976793002,73894.26976793002,5
2025-02-13,103228.27211761751,78288.62211761752,4
2025-02-14,103169.9221176175,78288.62211761752,4
2025-02-17,103065.72211761752,78288.62211761752,4
2025-02-18,103114.17211761752,78288.62211761752,4
2025-02-19,102622.72211761752,78288.62211761752,4
2025-02-20,102651.07211761753,78288.62211761752,4
2025-02-21,102787.47211761751,78288.62211761752,4
2025-02-24,102939.77211761751,78288.62211761752,4
2025-02-25,102971.32211761751,78288.62211761752,4
2025-02-26,103022.52211761753,78288.62211761752,4
2025-02-27,102682.87211761752,78288.62211761752,4
2025-02-28,102894.17211761752,78288.62211761752,4
2025-03-03,102856.1670416175,70578.61704161752,5
2025-03-04,102774.43196761752,63600.98196761752,6
2025-03-05,102553.34840141752,70129.64840141752,5
2025-03-06,102630.84840141752,70129.64840141752,5
2025-03-07,102623.34840141752,70129.64840141752,5
2025-03-10,102756.39840141752,70129.64840141752,5
2025-03-11,102208.59840141752,70129.64840141752,5
2025-03-12,102149.29840141752,70129.64840141752,5
2025-03-13,102209.94840141753,70129.64840141752,5
2025-03-14,102681.89840141752,70129.64840141752,5
2025-03-17,102905.04840141752,70129.64840141752,5
2025-03-18,102894.94840141753,70129.64840141752,5
2025-03-19,102725.94840141753,70129.64840141752,5
2025-03-20,102995.64840141752,70129.64840141752,5
2025-03-21,102843.54840141752,70129.64840141752,5
2025-03-24,102545.97878646753,63246.77878646752,6
2025-03-25,102651.37878646753,63246.77878646752,6
2025-03-26,102748.97878646752,63246.77878646752,6
2025-03-27,102500.12878646753,63246.77878646752,6
2025-03-28,102469.42878646753,63246.77878646752,6
2025-03-31,102041.37878646753,63246.77878646752,6
