scheme,w_trend,w_momentum,w_mean_reversion,w_volatility,train_total_return,test_total_return,test_sharpe,test_max_drawdown,test_calmar_ratio,test_num_trades
baseline,1.3,1.0,0.8,0.5,,0.14066592451236984,1.374309625558214,-0.06627052060911275,1.1808902748414922,55
trend_x0.5,0.65,1.0,0.8,0.5,,0.12498478252864176,1.2845659177681155,-0.06650091762574709,1.0488117745563976,54
trend_x0.75,0.975,1.0,0.8,0.5,,0.13814201133486387,1.3637171623820106,-0.06627052060911275,1.160270047167625,56
trend_x1.25,1.625,1.0,0.8,0.5,,0.16549067866989806,1.5420510502748659,-0.059113307039556987,1.550087047485008,54
trend_x1.5,1.95,1.0,0.8,0.5,,0.13707554912942105,1.2459599014289517,-0.06516694958285416,1.171052204690134,54
momentum_x0.5,1.3,0.5,0.8,0.5,,0.13482868592059355,1.220664651869139,-0.06718086550675384,1.1178154585674474,32
momentum_x0.75,1.3,0.75,0.8,0.5,,0.14876446296561163,1.38735835571925,-0.06131406900325502,1.3477212201803914,42
momentum_x1.25,1.3,1.25,0.8,0.5,,0.15895243243162038,1.5255728878094406,-0.05235989214830238,1.682980364151014,67
momentum_x1.5,1.3,1.5,0.8,0.5,,0.13050052276202617,1.265093887285282,-0.043527446177139266,1.67127831561342,81
mean_reversion_x0.5,1.3,1.0,0.4,0.5,,0.06555329472162819,0.693187115490864,-0.06405612217787152,0.5779098329696323,23
mean_reversion_x0.75,1.3,1.0,0.6,0.5,,0.14289297992545036,1.3048736667438374,-0.05620651565594483,1.4137671730719932,36
mean_reversion_x1.25,1.3,1.0,1.0,0.5,,0.12286542132696718,1.1535870265057562,-0.06262206831707237,1.0953444949633824,62
mean_reversion_x1.5,1.3,1.0,1.2,0.5,,0.12535052419985382,1.1482537988021857,-0.04950570004581245,1.412888511792196,68
volatility_x0.5,1.3,1.0,0.8,0.25,,0.14066592451236984,1.374309625558214,-0.06627052060911275,1.1808902748414922,55
volatility_x0.75,1.3,1.0,0.8,0.375,,0.14066592451236984,1.374309625558214,-0.06627052060911275,1.1808902748414922,55
volatility_x1.25,1.3,1.0,0.8,0.625,,0.14066592451236984,1.374309625558214,-0.06627052060911275,1.1808902748414922,55
volatility_x1.5,1.3,1.0,0.8,0.75,,0.14066592451236984,1.374309625558214,-0.06627052060911275,1.1808902748414922,55
equal,1.0,1.0,1.0,1.0,,0.10589696811710402,1.0658834206863506,-0.06283353982457075,0.9440481078981177,63
inverted,0.5,0.8,1.0,1.3,,0.12089424648768382,1.2275495720921004,-0.05998187974351088,1.1256465581745243,50
optimized_train,0.8,0.5,1.3,0.5,0.19423475804984044,0.1287209647843707,1.1632172418375426,-0.04807676543613297,1.4930167300276191,52
inverse_variance,1.0418,1.0,1.017,1.0787,,0.09216648837606194,0.9283919105555913,-0.06286393629775376,0.8234971074894331,64
