date,equity,cash,positions
2024-07-01,100000.0,100000.0,0
2024-07-02,100000.0,100000.0,0
2024-07-03,100000.0,100000.0,0
2024-07-04,100000.0,100000.0,0
2024-07-05,100000.0,100000.0,0
2024-07-08,100000.0,100000.0,0
2024-07-09,100000.0,100000.0,0
2024-07-10,100000.0,100000.0,0
2024-07-11,100000.0,100000.0,0
2024-07-12,100000.0,100000.0,0
2024-07-15,100000.0,100000.0,0
2024-07-16,100000.0,100000.0,0
2024-07-17,100000.0,100000.0,0
2024-07-18,100000.0,100000.0,0
2024-07-19,100000.0,100000.0,0
2024-07-22,100000.0,100000.0,0
2024-07-23,100000.0,100000.0,0
2024-07-24,100000.0,100000.0,0
2024-07-25,100000.0,100000.0,0
2024-07-26,100000.0,100000.0,0
2024-07-29,100000.0,100000.0,0
2024-07-30,100000.0,100000.0,0
2024-07-31,100000.0,100000.0,0
2024-08-01,100000.0,100000.0,0
2024-08-02,100000.0,100000.0,0
2024-08-05,100000.0,100000.0,0
2024-08-06,100000.0,100000.0,0
2024-08-07,100000.0,100000.0,0
2024-08-08,100000.0,100000.0,0
2024-08-09,100000.0,100000.0,0
2024-08-12,100000.0,100000.0,0
2024-08-13,100000.0,100000.0,0
2024-08-14,100000.0,100000.0,0
2024-08-16,100000.0,100000.0,0
2024-08-19,100000.0,100000.0,0
2024-08-20,100000.0,100000.0,0
2024-08-21,100000.0,100000.0,0
2024-08-22,99956.61085924,90099.81085924,1
2024-08-23,100043.2212774266,81112.20927742659,2
2024-08-26,100006.0672774266,81112.20927742659,2
2024-08-27,100101.28127742659,81112.20927742659,2
2024-08-28,99726.07127742658,81112.20927742659,2
2024-08-29,99805.2492774266,81112.20927742659,2
2024-08-30,99975.6532774266,81112.20927742659,2
2024-09-02,100156.45196858978,90152.05196858979,1
2024-09-03,99573.4051702303,81151.39517023029,2
2024-09-04,99811.97878807028,90799.97278807028,1
2024-09-05,99674.78878807029,90799.97278807028,1
2024-09-06,99437.15777250053,81799.72277250054,2
2024-09-09,99328.10027250054,81799.72277250054,2
2024-09-10,98916.81977250053,81799.72277250054,2
2024-09-11,98679.40577250054,81799.72277250054,2
2024-09-12,98990.73726786309,90466.54626786309,1
2024-09-13,99105.07926786308,90466.54626786309,1
2024-09-16,99213.82833921294,99213.82833921294,0
2024-09-17,99213.82833921294,99213.82833921294,0
2024-09-18,99213.82833921294,99213.82833921294,0
2024-09-19,99170.41608821544,89308.36608821544,1
2024-09-20,99269.10608821544,89308.36608821544,1
2024-09-23,99409.49608821544,89308.36608821544,1
2024-09-24,99399.76608821543,89308.36608821544,1
2024-09-25,99403.35890863184,72367.23500863183,3
2024-09-26,99610.20834515234,82360.28094515234,2
2024-09-27,99890.76254515233,82360.28094515234,2
2024-09-30,99669.08514515233,82360.28094515234,2
2024-10-01,99276.81054515233,82360.28094515234,2
2024-10-02,99058.65974515234,82360.28094515234,2
2024-10-03,99004.28067225023,74155.24307225023,3
