date,equity,cash,positions
2024-07-01,99688.58584632695,28943.99454632695,12
2024-07-02,98917.69324632695,28943.99454632695,12
2024-07-03,99431.94611409602,34263.80161409599,11
2024-07-04,99345.05579367022,30902.18379367024,12
2024-07-05,98570.97749367026,30902.18379367024,12
2024-07-08,99090.84566170571,32022.1735617057,12
2024-07-09,99273.14106170571,32022.1735617057,12
2024-07-10,98650.46296170569,32022.1735617057,12
2024-07-11,99397.25836170571,32022.1735617057,12
2024-07-12,99686.4401617057,32022.1735617057,12
2024-07-15,99546.46716170569,32022.1735617057,12
2024-07-16,97351.3467781457,28847.4598781457,13
2024-07-17,96303.13066480179,23426.499664801802,15
2024-07-18,97401.90376480178,23426.499664801802,15
2024-07-19,97028.5528648018,23426.499664801802,15
2024-07-22,97220.4975881521,26081.923388152103,14
2024-07-23,96053.6465881521,26081.923388152103,14
2024-07-24,96085.62879118018,23485.759691180185,15
2024-07-25,95507.47356782304,31957.996767823035,14
2024-07-26,95552.76676782302,31957.996767823035,14
2024-07-29,95870.87577322304,34717.80537322303,13
2024-07-30,95414.66717322305,34717.80537322303,13
2024-07-31,96252.47094455302,42034.88234455303,12
2024-08-01,95306.64766781822,34160.693067818196,14
2024-08-02,94357.88696781821,34160.693067818196,14
2024-08-05,92593.4970178922,27743.8904178922,16
2024-08-06,91918.67791789223,27743.8904178922,16
2024-08-07,92526.41638731651,34154.0476873165,14
2024-08-08,93285.26168731651,34154.0476873165,14
2024-08-09,92945.43169391349,30745.569493913503,15
2024-08-12,94607.78579161612,54996.8719916161,9
2024-08-13,94763.58223687242,61161.8722368724,8
2024-08-14,94887.96743687242,61161.8722368724,8
2024-08-16,95525.95071860937,62846.33771860935,6
2024-08-19,95337.57637788689,45896.95567788689,9
2024-08-20,94312.05713183356,41310.34473183355,10
2024-08-21,94889.08598684124,22868.807786841247,16
2024-08-22,94868.48428684124,22868.807786841247,16
2024-08-23,94529.93287372244,20971.508573722447,17
2024-08-26,94861.77367372243,20971.508573722447,17
2024-08-27,94779.43613742245,24322.704737422446,16
2024-08-28,94350.44793742245,24322.704737422446,16
2024-08-29,95141.31455615394,28152.873156153946,16
2024-08-30,95401.09529020483,30662.306190204825,15
2024-09-02,96285.26439020483,30662.306190204825,15
2024-09-03,95092.71529020483,30662.306190204825,15
2024-09-04,94964.41825873482,29882.01135873482,15
2024-09-05,93901.16905873483,29882.01135873482,15
2024-09-06,92600.07215873481,29882.01135873482,15
2024-09-09,92817.86601951852,26899.90781951852,16
2024-09-10,92260.12951951852,26899.90781951852,16
2024-09-11,91460.57666386578,29690.83396386577,15
2024-09-12,92318.50108114912,52768.521281149144,10
2024-09-13,92880.69734718793,73885.35034718794,6
2024-09-16,92979.03328718003,66528.38528718003,7
2024-09-17,93667.89995230672,66824.95135230671,7
2024-09-18,93312.43662125878,49109.02752125876,10
2024-09-19,93455.27652125877,49109.02752125876,10
2024-09-20,92646.7902970413,29132.96983704131,15
2024-09-23,92775.37871704133,29132.96983704131,15
2024-09-24,93974.4349770413,29132.96983704131,15
2024-09-25,95102.72111274888,29860.728292748878,15
2024-09-26,95790.86013180699,26937.07291180698,16
2024-09-27,96212.93173180697,26937.07291180698,16
2024-09-30,94818.14081238948,30603.22775238948,15
2024-10-01,94296.50597238947,30603.22775238948,15
2024-10-02,93883.11609238946,30603.22775238948,15
2024-10-03,93261.9455969795,27546.02909697948,16
2024-10-04,93641.80995852445,30724.61595852447,15
2024-10-07,93963.07225720819,33608.84095720817,14
2024-10-08,93781.84355598266,36775.76115598268,13
2024-10-09,94198.16930924401,38910.83736924402,12
2024-10-10,94009.77978924401,38910.83736924402,12
2024-10-11,94308.86308693685,43189.66408693686,12
2024-10-14,94344.78433892086,38895.96627892086,13
2024-10-15,94271.48428204695,40574.80382204696,13
2024-10-16,94617.89546794372,32889.78802794371,15
2024-10-17,93003.66260794371,32889.78802794371,15
2024-10-18,93521.49982794371,32889.78802794371,15
2024-10-21,92721.55264794372,32889.78802794371,15
2024-10-22,91831.30678794373,32889.78802794371,15
2024-10-23,91930.56736794372,32889.78802794371,15
2024-10-24,91324.3550679437,32889.78802794371,15
2024-10-25,91066.6898982532,36277.03493825321,14
2024-10-28,91149.51210831282,38877.47554831281,13
2024-10-29,92356.38952131283,42999.267621312814,12
2024-10-30,90920.50522379759,39239.65452379762,13
2024-10-31,90466.76096669791,43058.93692669792,12
2024-11-04,91658.88108091027,41861.98494091027,12
2024-11-05,91356.6581809103,41861.98494091027,12
2024-11-06,91340.22971512428,34365.65107512427,14
2024-11-07,93141.31312864933,34527.43306864932,14
2024-11-08,93141.29769008688,38533.25209008687,13
2024-11-12,92365.82630987566,34696.01880987567,14
2024-11-13,91244.77108810365,39471.96118810367,13
2024-11-14,91417.51516479222,42623.35716479221,12
2024-11-15,90193.37366479223,42623.35716479221,12
2024-11-18,89949.44126479221,42623.35716479221,12
2024-11-19,88531.4610024461,37716.88930244611,13
2024-11-20,88993.1616423993,44678.11424239931,11
2024-11-21,89888.47511663841,48263.01601663841,10
2024-11-22,90378.54028329624,53158.28248329625,9
2024-11-25,90563.29838329626,53158.28248329625,9
2024-11-26,90356.01748329625,53158.28248329625,9
2024-11-27,90130.85638318343,48150.43078318345,10
2024-11-28,89815.47765158046,47080.59155158045,10
2024-11-29,89740.37026854651,34360.300328546495,13
2024-12-02,90924.3627025217,31071.824062521697,14
2024-12-03,90515.0583089968,27986.1545289968,15
2024-12-04,90924.37136899681,27986.1545289968,15
2024-12-05,91749.98513194981,32090.5633919498,14
