date,equity
2024-07-02,100000.0
2024-07-02,99347.21347720017
2024-07-03,100101.60341904004
2024-07-04,100022.28551511477
2024-07-05,99395.6253416795
2024-07-08,100378.84432329127
2024-07-09,100531.1674793274
2024-07-10,99847.37299822521
2024-07-11,100414.35920298696
2024-07-12,101006.29456925837
2024-07-15,101703.14553510297
2024-07-16,99118.44935401804
2024-07-17,99288.59361970458
2024-07-18,100812.90751169012
2024-07-19,100516.46331029605
2024-07-22,101325.34343021779
2024-07-23,99245.54268709494
2024-07-24,99957.31548476817
2024-07-25,99127.74039150504
2024-07-26,98997.62544423471
2024-07-29,99945.59428617045
2024-07-30,98881.42402872819
2024-07-31,100192.0774825777
2024-08-01,98258.65082277666
2024-08-02,96124.20611804302
2024-08-05,92836.60930323182
2024-08-06,92968.57972845706
2024-08-07,93869.74800234904
2024-08-08,95445.2786466573
2024-08-09,93900.36190730316
2024-08-12,98144.9965709374
2024-08-13,100187.962972323
2024-08-14,100724.57808383786
2024-08-16,106609.00010846341
2024-08-19,106737.286946065
2024-08-20,105061.93165106194
2024-08-21,106335.67688198655
2024-08-22,106477.64322170355
2024-08-23,106315.86021361253
2024-08-26,106133.40254059156
2024-08-27,106636.84171542442
2024-08-28,105819.40671337604
2024-08-29,109274.19926782895
2024-08-30,110110.8358184621
2024-09-02,112388.15350067816
2024-09-03,109135.51753964406
2024-09-04,109402.74325469765
2024-09-05,106371.17040331275
2024-09-06,102744.75087118502
2024-09-09,103205.03623895823
2024-09-10,101345.46106040024
2024-09-11,99278.75507377092
2024-09-12,102268.36292724701
2024-09-13,104728.91216033016
2024-09-16,104414.57685505571
2024-09-17,106290.89523059949
2024-09-18,105485.28727904476
2024-09-19,107453.76369582207
2024-09-20,104332.25046327179
2024-09-23,104691.91593647077
2024-09-24,106589.32387573711
2024-09-25,111403.64361947302
2024-09-26,113631.11298364386
2024-09-27,113239.66812546382
2024-09-30,110152.28950821943
2024-10-01,109412.53283669862
2024-10-02,108363.73119686196
2024-10-03,107355.17002278366
2024-10-04,108535.0764925216
2024-10-07,110114.25634195212
2024-10-08,109738.50140917188
2024-10-09,111750.1757602946
2024-10-10,112040.24486473294
2024-10-11,112757.52928045145
2024-10-14,113459.51708459826
2024-10-15,112794.08881742907
2024-10-16,113828.26241028329
2024-10-17,110092.36868702112
2024-10-18,111143.45313933647
2024-10-21,110150.96460458456
2024-10-22,107198.5926482056
2024-10-23,108070.43354612606
2024-10-24,106361.85408508743
2024-10-25,104944.3768378072
2024-10-28,105741.70344889468
2024-10-29,108553.03169190786
2024-10-30,105332.02164433655
2024-10-31,104594.76036623753
2024-11-04,107349.49666693946
2024-11-05,106059.80447782342
2024-11-06,107138.38320787308
2024-11-07,111344.39671909841
2024-11-08,109855.17365255853
2024-11-12,107794.89774793723
2024-11-13,105254.52231469212
2024-11-14,109249.86582179101
2024-11-15,107311.31927790049
2024-11-18,107732.01912973785
2024-11-19,103757.15759657345
2024-11-20,104970.73116300876
2024-11-21,107655.90343603723
2024-11-22,109267.09214651126
2024-11-25,110160.90827852923
2024-11-26,109538.29708212335
2024-11-27,109617.27284990861
2024-11-28,106647.60876396917
2024-11-29,108114.5368175235
2024-12-02,112124.10418448356
2024-12-03,111639.08477972631
2024-12-04,113177.43608609671
2024-12-05,113858.24108473517
2024-12-06,113760.27275617517
2024-12-09,110836.13597883572
2024-12-10,111150.64642726682
2024-12-11,110526.38257649164
2024-12-12,109353.46028925086
2024-12-13,108806.1782832355
2024-12-16,109669.74610398726
2024-12-17,105650.04871313702
2024-12-18,106690.14271055622
2024-12-19,106100.244172269
2024-12-20,104056.28139962464
2024-12-23,104428.49486828272
2024-12-27,104956.03951933583
2024-12-30,103980.9353332822
2025-01-02,107383.44688221192
2025-01-03,106206.85486804467
2025-01-07,106227.75150644674
2025-01-08,103816.42346203559
2025-01-09,104580.66283354146
2025-01-10,105787.07684102931
2025-01-13,103664.18911748049
2025-01-14,104522.62111005987
2025-01-15,106189.17520610691
2025-01-16,105252.21942038201
2025-01-17,107227.35474270255
2025-01-20,106670.79602654083
2025-01-21,107254.32117157547
2025-01-22,107075.04390203641
2025-01-23,106674.03615919723
2025-01-24,107079.87073945983
2025-01-27,107020.33603022895
2025-01-28,105984.08746059569
2025-01-29,106692.9995671402
2025-01-30,108638.92627687549
2025-01-31,109134.66376509595
2025-02-03,108260.91042750372
2025-02-04,109780.15566028807
2025-02-05,109253.23515262044
2025-02-06,111097.02586584272
2025-02-07,111668.38114833311
2025-02-10,111063.04869681328
2025-02-11,116071.10500040509
2025-02-12,114781.90016645142
2025-02-13,114469.38293617648
2025-02-14,114574.82668630054
2025-02-17,114660.16333106013
2025-02-18,112937.51022227811
2025-02-19,113122.64529408765
2025-02-20,113994.22991466757
2025-02-21,113449.7622851422
2025-02-24,112488.21863718219
2025-02-25,112541.56209222636
2025-02-26,112775.65227349765
2025-02-27,111783.81512402609
2025-02-28,112077.62822523591
2025-03-03,111020.63537839304
2025-03-04,109049.3566805261
2025-03-05,109605.4630048976
2025-03-06,109867.59192087225
2025-03-07,110042.84850706707
2025-03-10,109531.52694044285
2025-03-11,109391.49568892014
2025-03-12,110520.63640442227
2025-03-13,110927.41191582338
2025-03-14,113549.74841608824
2025-03-17,116513.36711803093
2025-03-18,118193.90076099137
2025-03-19,119268.49099825203
2025-03-20,119518.15842071048
2025-03-21,118357.01361705604
2025-03-24,120497.77860475033
2025-03-25,123121.13825868539
2025-03-26,121276.0258974938
2025-03-27,121976.08634811932
2025-03-28,121825.91520051034
2025-03-31,120371.6692137043
2025-04-01,121234.40547647662
2025-04-02,121669.70952369907
2025-04-03,118776.54944554983
2025-04-04,115207.4522955588
2025-04-07,113588.54173325338
2025-04-08,116812.60964055822
2025-04-09,114701.50504724137
2025-04-10,118987.14757496642
2025-04-11,118643.76179594873
2025-04-14,122928.51723649452
2025-04-15,124295.76743565542
2025-04-16,124025.17980718169
2025-04-17,125452.25828419693
2025-04-22,127393.44019514185
2025-04-23,131176.6556294346
2025-04-24,131595.0641466212
2025-04-25,130932.37387177665
2025-04-28,132180.482513048
2025-04-29,132896.89889596647
2025-04-30,128912.51400553696
2025-05-02,132929.3816710744
2025-05-05,130945.9524495987
2025-05-06,128748.8455207878
2025-05-07,130177.31181685302
2025-05-08,130835.56311330889
2025-05-09,133348.4527961978
2025-05-12,133601.49220784352
2025-05-13,133842.50507537683
2025-05-14,132690.72581108313
2025-05-15,132269.0948203444
2025-05-16,132674.0446304899
2025-05-19,131278.8983496066
2025-05-20,131456.98639122405
2025-05-21,129804.51423560835
2025-05-22,128951.75558944774
2025-05-23,128180.54143419855
2025-05-26,130706.36689169238
2025-05-27,131560.75503125248
2025-05-28,132671.643703583
2025-05-29,130866.13006252609
2025-05-30,130234.1502643557
2025-06-02,129567.53244667855
2025-06-03,129132.67318063628
2025-06-04,131450.0088701219
2025-06-05,129794.15276066025
2025-06-06,128501.7642485138
2025-06-09,129474.23418137617
2025-06-10,130938.23153602013
2025-06-11,130374.28633885147
2025-06-12,129631.25069163772
2025-06-13,126053.6267342018
2025-06-16,126470.23662830328
2025-06-17,128093.49029181614
2025-06-18,127772.89986396708
2025-06-20,128138.60658940903
2025-06-23,126623.66439382464
2025-06-24,129383.16350455956
2025-06-25,129461.67048923144
2025-06-26,131538.79353083333
2025-06-27,132442.76725364555
2025-06-30,134594.55233799943
2025-07-01,133668.94870454678
2025-07-02,133434.08114877102
2025-07-03,136852.49129236894
2025-07-04,135548.14894469484
2025-07-07,135754.6793677516
2025-07-08,137306.32345674335
2025-07-09,138757.08361901832
2025-07-10,135074.718531128
2025-07-11,135357.83449652744
2025-07-14,136545.65862493208
2025-07-15,136016.0744871939
2025-07-16,136108.61038691024
2025-07-17,138639.39519700856
2025-07-18,141907.20983568174
2025-07-21,140886.9541641727
2025-07-22,139649.98449719718
2025-07-23,140896.48698684544
2025-07-24,142305.54420750562
2025-07-25,142327.4017908947
2025-07-28,138681.87303344885
2025-07-29,141247.2087291714
2025-07-30,142910.38968004353
2025-07-31,141181.533855755
2025-08-01,136869.49318615108
2025-08-04,137835.97548797043
2025-08-05,136783.35172879152
2025-08-06,140923.53585073337
2025-08-07,144281.99051645666
2025-08-08,145827.341815716
2025-08-11,143720.9249955265
2025-08-12,145515.08574230177
2025-08-13,145987.10897639958
2025-08-14,143129.2177391054
2025-08-18,144275.85566967938
2025-08-19,147070.23777389855
2025-08-20,146157.6559013621
2025-08-21,148803.67491764997
2025-08-22,139935.3145509802
2025-08-25,140983.94694934136
2025-08-26,141499.08814140354
2025-08-27,137974.4341081928
2025-08-28,136127.57164890517
2025-08-29,133696.0103744354
2025-09-01,131358.33297195204
2025-09-02,130708.44275124223
2025-09-03,131170.5696792578
2025-09-04,134011.89281978647
2025-09-05,132887.27380344932
2025-09-08,136738.87129096102
2025-09-09,134547.2771054657
2025-09-10,133120.68160685414
2025-09-11,135733.1843791979
2025-09-12,133770.77445528496
2025-09-15,136083.98797453858
2025-09-16,132757.35075989558
2025-09-17,132549.32768916924
2025-09-18,132100.14388111862
2025-09-19,131191.24138102675
2025-09-22,131585.5897066411
2025-09-23,132306.6303968027
2025-09-24,133345.64692560775
2025-09-25,132512.67708178228
2025-09-26,135065.64586752516
2025-09-29,134767.36599653968
2025-09-30,134500.86822908517
2025-10-01,135444.78776432044
2025-10-02,135909.2554939258
2025-10-03,136069.09191008325
2025-10-06,133984.72768987596
2025-10-07,135210.31531902458
2025-10-08,134783.0475677186
2025-10-09,134647.436749659
2025-10-10,134650.3262618474
2025-10-13,134291.76691968774
2025-10-14,132300.6665644874
2025-10-15,136726.46669697267
2025-10-16,136383.60939325916
2025-10-17,135307.59132986437
2025-10-20,138383.28220585527
2025-10-21,139444.52278633736
2025-10-22,141922.7871139387
2025-10-23,143363.89426763784
2025-10-24,143341.30153905155
2025-10-27,143679.05789435765
2025-10-28,147368.99746445124
2025-10-29,146132.72298125748
2025-10-30,145544.17659195542
2025-10-31,142201.14910634747
2025-11-03,143765.14647910587
2025-11-04,142343.4889883826
2025-11-05,142980.63733653192
2025-11-06,144554.6663086904
2025-11-07,142357.92571991836
2025-11-10,145887.70372951461
2025-11-12,145960.2004843838
2025-11-13,145239.73271840488
2025-11-14,143358.6593003651
2025-11-17,140411.61187631087
2025-11-18,136639.94521489827
2025-11-19,138980.22339272764
2025-11-20,138411.94481689468
2025-11-21,137043.68595299157
2025-11-24,136751.94119983946
2025-11-25,138091.88128179903
2025-11-26,140571.1942713949
2025-11-27,140221.83990998825
2025-11-28,140698.65790280848
2025-12-01,140355.032768902
2025-12-02,137518.2676752752
2025-12-03,136023.02087370266
2025-12-04,136793.37118868314
2025-12-05,135898.61796553584
2025-12-08,135910.607185928
2025-12-09,139270.8284967593
2025-12-10,139638.30816836428
2025-12-11,141610.5143333741
2025-12-12,141119.1235112102
2025-12-15,142575.81352867422
2025-12-16,140605.76734696323
2025-12-17,140089.84794890115
2025-12-18,140077.94556595688
2025-12-19,141271.7581311613
2025-12-22,142705.21034003745
2025-12-23,142129.5421984774
2025-12-29,143325.5934855616
2025-12-30,143627.61808336762
2026-01-02,146969.39639846253
2026-01-05,145945.77213857233
2026-01-07,149073.16384048876
2026-01-08,144445.62430715674
2026-01-09,146747.19145113174
2026-01-12,147172.23125560294
2026-01-13,147003.06629008942
2026-01-14,146058.6916089602
2026-01-15,148309.9099769059
2026-01-16,147225.69357396066
2026-01-19,146050.2491890134
2026-01-20,145178.19033258548
2026-01-21,144490.14570504418
2026-01-22,148720.55791105962
2026-01-23,147458.4600121743
2026-01-26,149265.4015700225
2026-01-27,149710.31669733542
2026-01-28,151267.00096187968
2026-01-29,151311.87008899168
2026-01-30,150239.56173433058
2026-02-02,150274.48771234203
2026-02-03,151894.30316520695
2026-02-04,152448.68119480915
2026-02-05,148919.46645087624
2026-02-06,149515.80681864958
2026-02-09,151909.07757809374
2026-02-10,150824.9058207833
2026-02-11,151683.23294026573
2026-02-12,152335.7743929895
2026-02-13,149656.36698120806
2026-02-16,150161.89101649553
2026-02-17,148083.63946284322
2026-02-18,150497.6255673781
2026-02-19,150182.31445054332
2026-02-20,149294.12123616732
2026-02-23,151404.0179711277
2026-02-24,150909.5981689682
2026-02-25,153724.0483689327
2026-02-26,153484.27377682648
2026-02-27,153945.08499967784
2026-03-02,152941.40113609083
2026-03-03,146577.6001960214
2026-03-04,150664.5668473743
2026-03-05,149629.87179578908
2026-03-06,145789.8437455925
2026-03-09,145024.2632194935
2026-03-10,147641.95317214343
2026-03-11,146344.30672753527
2026-03-12,145833.54107827894
2026-03-13,144972.28443711935
2026-03-16,146621.64258197675
2026-03-17,151249.1716921841
2026-03-18,149711.7762922713
2026-03-19,146922.28576800678
2026-03-20,144206.13173469336
2026-03-23,144734.81331766886
2026-03-24,143772.88901164412
2026-03-25,147188.23775219027
2026-03-26,145942.93013986893
2026-03-27,145486.86647184886
2026-03-30,147610.21416497725
2026-03-31,149406.26997433938
